Mixture	Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells	P-value	Correlation	RMSE	Absolute score (sig.score)
S18368	0.0487270631089243	0.138394477948367	0.362391050957741	0.154665353032381	0.297024900679148	0	9999	0.347822404735114	1.00589709887644	1.00120284572656
S18371	0.0205663084432928	0.145159915249011	0.34792210310955	0.135769270371615	0.352121671658932	0	9999	0.380387576272167	0.9814389506943	1.0015392688324
S18378	0.0683437484992839	0.160010674591991	0.313418510662117	0.0975133231232059	0.361642828718365	0	9999	0.355915893696453	0.993261667472412	1.00092908559496
S18385	0.0881555816390352	0.102130617773204	0.342656020703363	0.144631434943608	0.323629190667351	0	9999	0.379494295695399	0.979534150411642	1.00120284572656
S18388	0.0539196195994942	0.139173174062558	0.334821430193496	0.1574382670797	0.314975626025039	0	9999	0.38837388326355	0.978066241250493	1.00032811696029
S18393	0.00199051845516867	0.192811496073333	0.397785180022179	0.1023038726467	0.306038018397582	0	9999	0.386238188734349	0.972553332583486	1.00092908559496
S18403	0.0608139485717646	0.123942196427757	0.428352365311965	0.158175415905521	0.229374647768078	0	9999	0.372834510878136	0.98562998675392	1.00065857398509
S18408	0.0841874911350219	0.143970241516696	0.424056223120993	0.12408286062948	0.224227768872994	0	9999	0.384353167748567	0.971363200843291	1.00052458527519
S18412	0.462178518476154	0.0890181337892647	0.357571215657941	0.0916917332339136	0	0	9999	0.397034101014238	0.951145053659404	1.00045960115727
S18415	0.0865374586612577	0.114857524784911	0.380620277944816	0.0790644432238149	0.339849380980163	0	9999	0.403964896319627	0.953831548157853	1.00092908559496
S18418	0.0335903658062235	0.0934170440080694	0.503517154406597	0.110406418784468	0.260271862721203	0	9999	0.375334969411491	0.974744150993845	1.00120284572656
S18422	0.074759978282849	0.0982087127923063	0.341445537299732	0.196598409768459	0.289248978737867	0	9999	0.350987528914358	1.0105479878887	1.00026161688121
S18436	0.0523007548498508	0.10423851069953	0.3389905878049	0.146883909062789	0.358244811568017	0	9999	0.364981781732825	0.992161316503319	1.00065857398509
S18441	0.10688145896813	0.141084723225811	0.403647025850415	0.186279692332362	0.162899538326103	0	9999	0.3855334936473	0.982280215443214	1.00079243870282
S18446	0.0654316445455389	0.131442131264736	0.404326043722171	0.105235871052963	0.293693948301077	0	9999	0.373481641670675	0.977570116240872	1.00012963888649
S18450	0.0499645578749903	0.144605005280402	0.416274690299592	0.116386153391549	0.27349509949742	0	9999	0.343768689416401	1.00019133603364	1.00072550634395
S18451	0.0913329584925638	0.143889285399508	0.373043684270849	0.172058025419301	0.220605132012741	0	9999	0.393231428570873	0.974796291091635	1.00092908559496
S18452	0.0729834292953991	0.16082316667156	0.365824796617047	0.132678922200946	0.268482123917868	0	9999	0.347235341585812	1.00179985739161	1.00079243870282
S18458	0.0625017516465023	0.192263062841426	0.316517483421857	0.141838118719014	0.28787852091789	0	9999	0.389014452345024	0.977235733030541	1.00099893754669
S18466	0.0702976369169443	0.11420520519558	0.317504667215684	0.15963519453743	0.339149734837182	0	9999	0.384789996743994	0.98022801005582	1.00079243870282
S18473	0.0731641277302659	0.124969929312196	0.399044526583645	0.104808050854606	0.298604945149423	0	9999	0.359289075704592	0.987149561518264	1.00059157963014
S18474	0.0520910285274011	0.155060631201069	0.305809073324782	0.132422750449548	0.355208096127335	0	9999	0.370953951724819	0.98830797395957	1.00059157963014
S18479	0.11085256023433	0.0720328423714828	0.43147725150671	0.191071189148141	0.195769002465898	0	9999	0.379012930352044	0.983717945628064	1.00120284572656
S1848	0.084201901403073	0.178056123848903	0.368327164824412	0.0873929642877036	0.28241646267527	0	9999	0.34966238950967	0.99332389217094	1.00039461703936
S1849	0.050818316788021	0.171672979286253	0.346973733648324	0.225534067188515	0.206679186112889	0	9999	0.372702355258817	1.0085223027215	1.001678283024
S18496	0.0582124604089967	0.0982543034079492	0.363731699059748	0.106960606581765	0.373633369244362	0	9999	0.402881324218523	0.958787252860044	1.00079243870282
S185	0.0670320532513011	0.131612295613716	0.377843350132807	0.168211311999081	0.256093427705915	0	9999	0.35764846043247	1.00004055825231	1.00079243870282
S18500	0.0675931439877277	0.112641373528164	0.436144709674266	0.115085987826421	0.269463870578383	0	9999	0.356360355955289	0.989180972619131	1.00092908559496
S18504	0.0833491502208083	0.133401569428737	0.405092250274681	0.159021518619221	0.219331139340403	0	9999	0.352734144725338	1.00017521808076	1.00019562788385
S18511	0.0908914337069541	0.174393449450037	0.396571598589565	0.114007804952216	0.225204502799644	0	9999	0.352296521118703	0.993781919822844	1.00106878949842
S18514	0.0615753250055681	0.0971130145896514	0.369544958742176	0.144095604898513	0.328463535466912	0	9999	0.321423118525614	1.02022522711225	1.00079243870282
S18518	0.0529271647297291	0.156408023368776	0.403883824903032	0.104193644073953	0.283379781627329	0	9999	0.364350965669402	0.984802715906556	1.00079243870282
S18528	0.0430049326409872	0.150605507573571	0.345360321209525	0.24634767073968	0.215884413562798	0	9999	0.396239086564263	0.995544640308731	1.00120284572656
S18529	0.082385542752096	0.10649186652704	0.41334786253835	0.112169275718049	0.287144721296866	0	9999	0.328734836291406	1.00771035042497	1.0015392688324
S18534	0.061849499045234	0.0893414421274105	0.385286733608003	0.160479792315659	0.304511583963646	0	9999	0.356092111245261	0.998065443799885	1.00146905105995
