Mixture	naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell	P-value	Correlation	RMSE
mix_41	0.114740195599791	0	0.249832183636753	0	0.217882577107067	0	0.000998027395178824	0.240993167070335	0.0894309012741155	0	0	0.047588534751754	0.00465779158256362	0.00186036750350428	0	0	0.00251054202513156	0	0	0.0295057120538067	9999	0.602694908178316	0.797395053647755
mix_42	0.278373449887101	0	0.0285484723170994	0.012741767876123	0.0957880940289672	0	0.00297723796498549	0.354320032201551	0.182991026004175	0	0	0.0191507683891212	0.0110431187532987	0	0	0	0.00640388146099514	0	0	0.00766215111658322	9999	0.633257728436079	0.775731715325645
mix_43	0.0912899422457704	0	0.123339893497918	0.020186392594293	0.14539221214788	0	0	0.342551048825004	0.160029416715605	0	0	0.0591571767324874	0.0369139581729497	0.0211399590680926	0	0	0	0	0	0	9999	0.583776456802843	0.811340177180174
mix_44	0.118763630302212	0	0.110556655223134	0	0.138382481505304	0	6.63838213243208e-05	0.515908652145595	0.0359452315522952	0	0	0.0354863706053798	0.00988149323763508	0	0	0	0.00546425356438385	0	0	0.0295448480427378	9999	0.595083729740749	0.807447542092855
mix_45	0.0604371585801485	0	0.181162891928347	0	0.099963566710353	0	0	0.460869273154319	0.0784460278725969	0	0	0.0545793317328559	0.0445994408336815	0.0199423091876981	0	0	0	0	0	0	9999	0.5696934875083	0.821951082886154
mix_46	0.214110202345146	0	0.0385144149388699	0.0354089450119696	0.120352555774874	0	0.0317498583612319	0.291033121076264	0.132905096417897	0	0	0.0417918473417568	0.0460605874963214	0.0189062078953115	0	0	0	0	0	0.0291671633403581	9999	0.61491674139001	0.79250045390247
mix_47	0.180656682796566	0	0.192944828595132	0	0.172805158319662	0	0.000791694618283706	0.32751213570556	0.0622874333026749	0	0	0.0399878828554536	0.00275854126229147	8.67994430742295e-06	0	0	0.00302122017400342	0	0	0.0172257424260655	9999	0.614145738681117	0.79079795970055
mix_48	0.291202339954851	0	0.299664061861025	0	0.210505880846845	0	0	0.0881285932280378	0.0136442519267685	0	0	0.0441447808258815	0.00225623074060225	0.00605423832426528	0	0	0	0	0	0.0443996222917232	9999	0.630718746251934	0.775034129204924
mix_49	0.225297868104689	0	0.231437531717736	0	0.192613477223351	0	0	0.20734962310573	0.0648639503170016	0	0	0.0469363488193052	0.00421320777932237	0.00196669476782619	0	0	0	0	0	0.0253212981650384	9999	0.622837736048098	0.782840859583757
mix_50	0.2857094810348	0	0.0282792016705533	0.0295363328041742	0.0942157437767069	0	0.0330627552433558	0.354308127218962	0.069836116883667	0	0	0.038174124197927	0.0347100854224615	0.0177161427320662	0	0	0	0	0	0.0144518890153267	9999	0.618903177882469	0.788501018344548
mix_51	0.24038807950565	0	0.248208793659962	0	0.182362650154971	0	0	0.227472085111626	0.0128986519167315	0	0	0.0517238073575594	0.00250078296011066	0.00101192972016984	0	0	0	0	0	0.0334332196132203	9999	0.631229922480869	0.776614801885655
mix_52	0.323483560225045	0	0.0375288152131617	0.0121512940297788	0.130001768256185	0	0.000899184827340772	0.362200860356175	0.0853938486406038	0	0	0.0248056928574075	0.00598531373007735	0	0	0	0.0053672552613413	0	0	0.0121824066028836	9999	0.652381930342686	0.761150981939007
mix_53	0.247469845413789	0	0.215401002977926	0	0.172910088897727	0	0	0.2538383381511	0.0370843026341996	0	0	0.0329197393215631	0.00602187427429528	0.00196051672671261	0	0	0	0	0	0.0323942916026885	9999	0.633132249961398	0.776421375528384
mix_54	0.312275168238303	0	0.00492829586991797	0.0221565812426889	0.088333832276662	0	0.0331245220938869	0.279479035116294	0.122655636063464	0	0	0.032866251549759	0.0217241127059754	0.0109341998028826	0	0	0	0	0	0.0715223650401671	9999	0.637298577539064	0.776747869154664
mix_55	0.208462901302491	0	0.219842686003774	0	0.191794532194368	0	0.000188419841361914	0.261339519718309	0.0457137528466651	0	0	0.0433140741079356	0.00644833022499533	0.000524255993913315	0	0	0	0	0	0.0223715277661864	9999	0.620336800417944	0.78533943388103
mix_56	0.123020833618119	0	0.133581466189439	0	0.117131182728411	0	0	0.484495177052235	0.0833498049027905	0	0	0.0327778337393251	0.00877840773264838	0	0	0	0.00274339534194665	0	0	0.0141218986950855	9999	0.588712264524736	0.810188555297823
mix_57	0.0269747308443706	0	0.211065416873282	0	0.197407076732419	0	0	0.427553118797098	0.0471131408226305	0	0	0.0544613311737819	0.0055541550327254	0	0	0	0.00306774574783838	0	0	0.0268032839758541	9999	0.578542379061182	0.814868376734724
mix_58	0.21259351281072	0	0.141329190720133	0	0.157616010702745	0	0	0.303336198313387	0.124463713581853	0	0	0.0239209714204595	0.00842632919277054	0.000562930109422001	0	0	0.00498154594493741	0	0	0.0227695972035721	9999	0.612507295797158	0.792303482555447
mix_59	0.0497680516751916	0	0.250638054775213	0.00130514210398474	0.216597758047371	0	0.0014127802182487	0.265551551416554	0.125837074500444	0	0	0.055175057731067	0.00788471476339835	0.00140079127242652	0	0	0.00210486681881294	0	0	0.0223241566772881	9999	0.572954268031207	0.817990213583805
mix_60	0.246033426077433	0	0.15102302138844	0	0.140795688381002	0	0	0.309497830528561	0.100284839508285	0	0	0.0346949469471831	0.00488643442970536	0	0	0	0.00087910749337784	0	0.00115844764771862	0.0107462575982933	9999	0.609585089363685	0.793531793039675
mix_61	0.21352335144741	0	0.00242068144681951	0.0159130474773116	0.0909459588467882	0	0.0128187580281092	0.562449482054225	0.0708753251481224	0	0	0.021919378903991	0.000340904561529687	0	0	0	0.00879311208569361	0	0	0	9999	0.631382568456233	0.780040685677063
mix_62	0.211673575837911	0	0.0539424324804892	0.00987122446579721	0.1222494567142	0	0.000203266610555747	0.478338808066272	0.0797835617908717	0	0	0.0241862835716137	0.00606311874778845	0	0	0	0.00436036060030159	0	0	0.00932791111419939	9999	0.629872859400726	0.781266847899152
mix_63	0.0718546099867821	0	0.218818167531297	0	0.195870647780413	0	0.00455911553002233	0.344837305661942	0.0723121174292278	0	0	0.0550613889834088	0.00911536164039102	0	0	0	0.00209397256340053	0	0	0.0254773128931159	9999	0.583636146540996	0.81136311473313
mix_64	0.175614819192935	0	0.198413779414638	0	0.163960709101434	0	0.00161168055207673	0.347277724364474	0.0437516714387224	0	0	0.0516589265949238	9.48166854989915e-05	0	0	0	0.00110604669294118	0	0	0.016509825962356	9999	0.608370543875557	0.794784794882983
mix_65	0.194798319989093	0	0.155284844916382	0.00347247569486609	0.169518314353038	0	0	0.313562508691557	0.0934721660161067	0	0	0.0327940667293037	0.00838812588536589	0	0	0	0.00423524202900701	0	0.00153374950400962	0.0229401861912714	9999	0.616347384593875	0.789793010851922
mix_66	0.240470445486544	0	0.258832687693844	0	0.201608745558251	0	0	0.181931603112975	0.0344413978303197	0	0	0.046316305899331	0.00236404314029968	0.00373146549696841	0	0	0	0	0	0.0303033057814674	9999	0.631902612914558	0.77536989455512
mix_67	0.30616590104884	0	0.0402806666119892	0.0130931685315733	0.123832944985909	0	0	0.306565695842612	0.16216975860965	0	0	0.0221313744785897	0.0103800033055322	0	0	0	0.00546946935893719	0	0	0.00991101722636732	9999	0.648129132527038	0.763828393585251
mix_68	0.17346910128972	0	0.0912943260997504	0.0121728865158704	0.142546554369428	0	0.00128124855344319	0.270750108961375	0.253368031843639	0	0	0.0366344715480021	0.00061807884760363	0.00171324455169298	0	0	0.00672675043119346	0	0	0.00942519698828176	9999	0.600815095477607	0.798610811908734
mix_69	0.205759275395801	0	0.209726472466423	0	0.140965328744595	0	0	0.299545717726366	0.0482148034607918	0	0	0.0491249758674144	0	0.00672980513126031	0	0	0	0	0	0.0399336212073483	9999	0.606798424220241	0.79620413457122
mix_70	0.396637167809942	0	0.201302275142917	0.00528906644401534	0.175209110488842	0	0	0.130175137837366	0.0138209624292405	0	0	0.0353128571886058	0.00612077042467544	0.00137881098489158	0	0	0	0	0.00120200501460324	0.0335518362349011	9999	0.646159657069577	0.762571899257677
mix_71	0.277561176178827	0	0.263836742761064	0.00539469546058788	0.183396127836759	0	0	0.14994436619827	0.0456237318435225	0	0	0.0512146024822565	0.0046951687952706	0.00297085950462429	0	0	0	0	0	0.0153625289388181	9999	0.627916970420966	0.777556495711875
mix_72	0.333803276408485	0	0.0780457447890596	0.00407572297713868	0.110331141955129	0	0	0.379947760723908	0.053785562656775	0	0	0.0323375183966045	0.00554120091665168	0	0	0	0	0	0	0.00213207117624784	9999	0.649907437505186	0.763303578259278
