Mixture	Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory	P-value	Correlation	RMSE	Absolute score (sig.score)
mix_29	0	0	0.149530039078807	0.324251545423459	0.0575759320463626	0	0.0545424648858391	0	0.00338898555050584	0	0	0.0239566943351987	0.0196085234417534	0.0871570380479525	0.159996328697251	0.00966034756874206	0.000686238514423222	0.00491734661582594	0	0.000419504618409622	0.0381284426844152	0	0	0.0647784960753087	0	0	0	0	0	0	0.125099387318207	0.0762740372137719	0.281665511138695	0.0265301169271023	9999	0.352947986404951	0.939267985384249	1.50816698018203
mix_30	0	0	0.149790951739694	0.32208276232721	0.0471693152359056	0	0.0547597329534048	0	0.00461130569271954	0	0	0.024783586847252	0.0203295723246402	0.0823472768314129	0.159355137908989	0.0100068695416777	0.000574145539379498	0.00630147589747942	0	0.000381538240447386	0.0347961932006291	0	0	0.0650557153678932	0	0	0.000943091931943253	0	0	0	0.132814901987317	0.0761933869378855	0.285474565235771	0.0293861249832355	9999	0.352343365508353	0.939766875153937	1.50715765072489
mix_31	0	0	0.147839371968765	0.331746712357621	0.0344747170361324	0	0.0539960971977189	0	0.00308826870474457	0	0	0.0244796245258054	0.0204301229971903	0.0824817382098686	0.163302135179512	0.00922959472703804	0.00072374684248974	0.0107046876356782	0	0.000279293598505656	0.0382454892379959	0	0	0.0666890240038866	0	0	0.000804847263289859	0	0	0.000212226029554478	0.125786653771728	0.0814344146336073	0.301544091519922	0.0106026792402427	9999	0.351009339194982	0.940440030905838	1.5080955366813
mix_32	0	0	0.151361147813579	0.271983407290157	0.0488040961984743	0	0.0564707229593931	0	0.00589877499286661	0	0	0.0233118610436884	0.0171912731341372	0.0849595796803193	0.162858851121393	0.00584426220865112	0.000451548922670787	0.00362211172639108	0	0	0.0351136423601062	0	0	0.0631777294048474	0	0	0	0	0	0	0.126464911750834	0.0772320392174095	0.326346386901052	0.0379887682486637	9999	0.352750580145031	0.939148072297476	1.49908111497463
mix_33	0	0	0.154278692533376	0.348202974610512	0.0476608121972707	0	0.0527090843557745	0	0.00471653942941334	0	0	0.0239183727602441	0.0200962336831305	0.0849121535663717	0.164686213818244	0.00985404496620329	0.000549989301211282	0.0147857212271471	0	0.000106174057422816	0.0384826573195245	0	0	0.0657326677117111	0	0	0.00308554492619438	0	0	0	0.124798804300171	0.0794153206923297	0.265383178889229	0.00223199440608237	9999	0.350780665033695	0.940829405782479	1.50560717475156
mix_34	0	0	0.140095603783328	0.405517502024271	0.0490549034952484	0	0.0538657847603591	0	0.00922784325122528	0	0	0.0112104476773163	0.0214192876492023	0.086845951969031	0.178975611325715	0.000502631112993237	0	0.0296625341862996	0	0	0.0522526087705211	0.00522091483511678	0	0.0716992684649693	0	0	0.0044419124292538	0	0	0.00764594594611133	0.0806634793255263	0.102482760137237	0.178224151299353	0.0130114165643142	9999	0.340777967389455	0.945701210187297	1.50202055900739
mix_35	0	0	0.150129134272541	0.343508468920096	0.0518314233954913	0	0.0524802258443088	0	0.00441991164083006	0	0	0.0242218735001057	0.0200575497154123	0.0865659736261594	0.159371264391473	0.00983321588306986	0.000559258775521147	0.0150125677580492	0	8.54755090696235e-05	0.0373399786462729	0	0	0.0650188774846433	0	0	0.00102894284645621	0	0	0.000397605399908188	0.125626737007023	0.0766211985199504	0.266710779263649	0.0178679033298895	9999	0.353568401686696	0.939025403168874	1.50868836572992
mix_36	0	0.0216552220391434	0.181343214824893	0.22453431622814	0.0372883283354098	0	0.0606988230173658	0	0.0054933368443424	0	0	0.0226553759479917	0.013100363298664	0.0736278882773335	0.166847280482583	0.00310321022413679	0.000135348535128685	0.0046813744237805	0	0	0.0331288260283278	0	0	0.0585834268702378	0	0	0	0	0	0	0.130762687809482	0.0850819112060955	0.35397033926898	0.0196928491599828	9999	0.347055190832546	0.941308643735087	1.49638412282202
mix_37	0	0.0199537806517187	0.165733596219287	0.247619835469327	0.0196797905937368	0	0.0605029419185323	0	0.00644640084772018	0	0	0.0231261695570838	0.0127985271867244	0.0716246783109899	0.166822028032995	0.00224173917704284	0.000384652033461455	0.0041319441999638	0	0	0.0305699645414653	0	0	0.0573032670620323	0	0	0.00245555473875481	0	0	0	0.137978914623074	0.0803455701777384	0.351508582154493	0.0285940237799618	9999	0.348351521923524	0.941027011908108	1.4898219612761
mix_38	0	0	0.149236521120324	0.122392419494408	0.0841095989902536	0	0.0550108233104148	0	0.00761261834280918	0	0	0.0196434505613365	0.0156971958493306	0.0718738095384969	0.151636102734482	0.00504737099515931	0.00299051834454068	0.000662236743010526	0	0	0.0378270449683166	0	0	0.0624122142516867	0	0	0	0	0	0.0177303573242445	0.110347227479025	0.107567751008	0.412671935382131	0.0603933318259148	9999	0.341295766274158	0.94416176606844	1.49486252826388
mix_39	0	0.0225825815095085	0.205104182356891	0.142447232898783	0.0970540277384798	0	0.0595092313688161	0	0.0037249031727114	0	0	0.0241124739591789	0.0144008991024034	0.0766063777725544	0.156005124450016	0.00601409830874336	0.00227237145751444	0.00424670456579267	0	0	0.0302878321644614	0	0	0.0593439172939048	0	0	0	0	0	0.00290195317483546	0.132403133301104	0.0855638352940507	0.312476176001618	0.0507736078111535	9999	0.345357444672725	0.942230859490528	1.48783066370252
mix_40	0	0	0.156391543684793	0.34174905363743	0.0293331694810381	0	0.0559079166129594	0	0.00284755526373607	0	0	0.0243976891275747	0.0199738899713297	0.0836879104791543	0.165904741234861	0.0087366265940764	0.000734183351648937	0.00984486757177643	0	0.000300441474809558	0.0373638103355151	0	0	0.0666429667191942	0	0	0	0	0	0	0.128815919461556	0.0774612604890682	0.282670944485991	0.00397989049813136	9999	0.352049739161978	0.940413452024806	1.49674438047464
mix_41	0	0	0.143864260357257	0.386161274804379	0.0617402113609668	0	0.0521220235982644	0	0.0064489617658372	0	0	0.017269393125037	0.0201913872908523	0.0910204016978954	0.160436839630027	0.00755967790601528	0.000312199958392633	0.0193089148774457	0	0	0.0450207863785073	0	0	0.0650998591046993	0	0	0.00456514752220237	0	0	0.00319792586815391	0.103497979478199	0.0847429746785164	0.203982511448388	0.0288056512196871	9999	0.347980841568401	0.941501856184914	1.50534838207072
mix_42	0	0.0406029369496555	0.203748902439286	0.0794620655103353	0.0479640915277669	0	0.0637434819336834	0	0.00380577710097997	0	0	0.0204097301316079	0.010005954157875	0.081349902750433	0.166083618028151	0	0.0007113605772897	0	0	0	0.0351010599736441	0	0	0.058417311606979	0	0	0	0	0	0.000369735166967585	0.124340910233795	0.0893868097344497	0.408208543258373	0.0543677648365687	9999	0.346634009804019	0.941394427773819	1.48807995591784
mix_43	0	0	0.12356018941796	0.240540531085772	0.0872499962192958	0	0.0552897029412422	0	0.00233105999755932	0	0	0.0222116842400858	0.0205665886797835	0.0852686970327686	0.153465280951872	0.00939127912340079	0.000790598669525781	0.000396677133545452	0	0	0.0371287467131994	0	0	0.0650676938810203	0	0	0	0	0	0.00423149848740808	0.120101801100732	0.0829689395025823	0.340521701463889	0.0509378923657488	9999	0.351211004630319	0.939693816117804	1.50202055900739
mix_44	0	0	0.138051544199765	0.230240333550648	0.0712119262760369	0	0.0618494442055177	0	0.00528878368726333	0	0	0.0216601092971666	0.0177508729395573	0.0705568839119888	0.157557439553272	0.0067162026830188	0.000486242738801302	0	0	0	0.0330654744027784	0	0	0.0623025886868521	0	0	0	0	0	0.00688167149083841	0.127838677651944	0.0904542125563303	0.361510175813451	0.0450788129232033	9999	0.345172675485687	0.942373180560325	1.50850139656843
mix_45	0	0	0.122603905478834	0.314963425049396	0.00241976630742634	0	0.0520533796030703	0	0.00719837543867107	0	0	0.0231802014234092	0.0171683560228172	0.0894706018293648	0.152929460353808	0.0062075399182566	0.000267521324243241	0.00886519884187994	0	0	0.0396046698053228	0	0	0.0627217711727188	0	0	0	0	0	0.00299894771462999	0.11669081147007	0.0790429897661788	0.367382418503718	0.0350982424877278	9999	0.353208947089278	0.938640860922951	1.50086758251154
mix_46	0	0	0.179025671715443	0.147416303579848	0.0619985800600415	0	0.0550710266149466	0	0.00753063973887321	0	0	0.0221707826944487	0.014460996848614	0.0729114564975237	0.160524454646529	0.00194977025417476	0.00450082122099598	0.00490345175834238	0	0	0.0267441796061407	0	0	0.0562590779468486	0	0	0.00107597730100565	0	0	0.00355583661626673	0.131130751459999	0.0909542473469118	0.371432192908192	0.0732579380185399	9999	0.348323396344381	0.940460253569433	1.48687415683369
mix_47	0	0	0.161354679941117	0.33879318367216	0.0240435201183484	0	0.0548640725811839	0	0.00328397267507052	0	0	0.0248725033396512	0.0200390741340949	0.0841870904066453	0.162479466259223	0.0098494224921216	0.000690625414496323	0.00948925922270602	0	0.000286228615245032	0.0363810534817722	0	0	0.0657422814693119	0	0	0.000603364913232295	0	0	0	0.130002412819315	0.0766804745605131	0.278764353543638	0.0141572119884851	9999	0.352029856585244	0.940342498409112	1.49656425164833
mix_48	0	0	0.187615002913695	0.422736579411975	0.0788087965572669	0	0.0510107145819075	0	0.00737040071709742	0	0	0.0206602639452977	0.0240950212801438	0.116497243143988	0.151702069642938	0.0087916715037936	0	0.0339643726619449	0	0	0.0616339246359777	0	0	0.0803545620676476	0	0	0	0	0	0.0218824943512445	0.055243981344486	0.0935772748063764	0.0819666640750631	0	9999	0.332891255517842	0.950831847759203	1.49791103764084
mix_49	0	0	0.16971090828186	0.356656109724981	0.0707937244188266	0	0.0530043060536421	0	0.00698500456910367	0	0	0.0201419776943386	0.0218311223935038	0.0878590998314716	0.160764702988537	0.0117129352477919	0	0.0180740847285092	0	0	0.0420984070796442	0	0	0.0676453376900015	0	0	0.0036428970902804	0	0	0.0051221108882667	0.108545245822222	0.085649898200682	0.19659151972814	0.00898774260781506	9999	0.344740590445592	0.943941212828547	1.49581713503962
mix_50	0	0.0124134668496728	0.193166005356436	0.151042080042013	0.00339690708945445	0	0.0609476127093739	0	0.00645673411912417	0	0	0.0212618670267283	0.0116134721432804	0.0825907753288898	0.161827897285579	0	0.000417237648239737	0.00324037830174638	0	0	0.0379556154123889	0	0	0.0598607763517808	0	0	0	0	0	0.00722106530852196	0.117009441057478	0.0943568041558101	0.423405433715601	0.0401775997951966	9999	0.344389796191355	0.943009814897967	1.48836116969732
mix_51	0	0	0.184605988654845	0.37958302467049	0.0819619559125998	0	0.0559786246718403	0	0.00702938066769258	0	0	0.015143748868363	0.020558923018715	0.0909543859869277	0.17365749417787	0.00446448216576867	0	0.0197927506532321	0	0	0.0463706514795884	0	0	0.0692582059335056	0	0	0	0	0	0.00254535597498014	0.0977701418583912	0.0889522227713126	0.159778104400531	0	9999	0.346510013768623	0.942548330468552	1.49840544186665
mix_52	0	0.0452109301115867	0.203598920276484	0.105521783365592	0.0812657035472008	0	0.0624583470528468	0	0.00192578692781002	0	0	0.0213905583817613	0.0127797311307798	0.0754221654310118	0.161936889300463	0.00356131736949103	0.000885673349316509	0.000578520973686008	0	0	0.0326212326283485	0	0	0.0590040334357645	0	0	0	0	0	0.00288519237671411	0.128435490807647	0.089728807085309	0.352933525873938	0.0474371800819342	9999	0.345979167715368	0.941673040415779	1.48958178950769
mix_53	0	0	0.177212118998336	0.367553325146642	0.0602373195162669	0	0.0539374795500518	0	0.00707452508667804	0	0	0.0201201450031821	0.022824380371507	0.0896321244741215	0.165088019581254	0.0111228654806917	0	0.0169409860137533	0	0	0.0435076965816788	0	0	0.0694734619652916	0	0	0.00383661424229081	0	0	0.00477572291486844	0.107330938099846	0.0869404991943684	0.19351214312883	0.00603728537522641	9999	0.3441771116824	0.944481027147427	1.50715765072489
mix_54	0	0.0407377620117242	0.208777602068151	0.106154494805773	0.0350516094554563	0	0.0595916398140961	0	0.00793932963200033	0	0	0.0227698767151684	0.0086338204606754	0.0762790541608477	0.166637983599409	0	0.00518504994687747	0.0016008724379275	0	0	0.02974514946699	0	0	0.0534949069561241	0	0	0	0	0	0.00944525666223844	0.122755434127253	0.0922192703688024	0.408852220310088	0.0482476888324695	9999	0.359471852320758	0.935273900022506	1.50411902183207
