naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell
S10082	0.0403450907621728	0.0740080792070535	0.0785739030293403	0.0561063447934704	0.0386951628606088	0.0710374309951855	0.0731850860576032	0.0720179488928107	0.0244387270684449	0.04011125689273	0.0178140046561501	0.0401943064801737	0.0635236422332914	0.0278946458218141	0.0450092587262183	0.0389002014861341	0.0215013109010617	0.0600965412777926	0.0213853641265521	0.0951616937313918
S10087	0.0424702548885066	0.0729819584352503	0.0796162286732083	0.0558825403720259	0.041252672394567	0.0711618241505994	0.0696241154724171	0.0722753432865755	0.024166929819815	0.0406193737073885	0.0171842912533416	0.0404355163834124	0.0635045655293038	0.0279758582887227	0.0469908514242955	0.0368324520834007	0.0214849386359531	0.0594849611004598	0.021283565268461	0.0947717588322958
S10089	0.0407057198202515	0.0736423620967193	0.0751542777992465	0.0564622913029745	0.0407245610616904	0.0711014282467362	0.0719857411075735	0.0705365799378485	0.0230857221470874	0.0403095494337105	0.0174580403983477	0.0399625151330086	0.0665864521847302	0.0286180901246758	0.0462577105731502	0.0373042113711659	0.0221842416683421	0.0569176383174631	0.0215311053200653	0.0994717619552126
S1009	0.0433105099936727	0.0771908322131567	0.0782024069907737	0.0554922426402952	0.0371763791655248	0.0719353476697425	0.0685714199333567	0.0716981245433998	0.0252469682064881	0.0403309396892755	0.0172120759008538	0.0398079737456589	0.0647245465633352	0.0276712355634898	0.0425829126740743	0.0392012824049102	0.022224749218817	0.0588704100794026	0.0221122728140077	0.0964373699897646
S10090	0.0389193059495201	0.0721952617180299	0.0775868217067987	0.0558761405880332	0.0379910465883918	0.0705379409684842	0.0713086009979797	0.0729217511768654	0.0241546179518256	0.0415056106692498	0.0184826448414091	0.0394069050763092	0.066871707931583	0.0284914381199116	0.0466225993995209	0.0357486199523241	0.0215890879414165	0.0567706714077813	0.0213518127391433	0.101667414275422
S10093	0.0385296522250626	0.0718379692576621	0.0825253644638085	0.05586265819673	0.0383945783227914	0.0732081061540125	0.0732184003194528	0.0687257388963836	0.0220738762800827	0.0421937961965675	0.0180449708031165	0.0382599092179707	0.0662868175547697	0.0282297996637668	0.0449670088609042	0.0359967036717873	0.0232673659778291	0.0559058580643159	0.0211974911631935	0.101273934709793
S10094	0.0387187110707791	0.0732933288541461	0.0797185890340189	0.0570893703107812	0.041356818814099	0.0722549660868016	0.0734373035242072	0.0707900969214364	0.0231030499739488	0.040109513312393	0.0174212570454995	0.0404471257266724	0.0629503352366447	0.0284990902632164	0.0445451630992845	0.0372284579865552	0.0216116960619976	0.0604122423076694	0.0214938900879629	0.0955189942818858
S1010	0.0407311384062754	0.0738431404439595	0.0796960122288723	0.0572691452774796	0.0389013888498868	0.0710922612736784	0.0704767858232909	0.0728948934272286	0.0242842223593614	0.0406447312658059	0.0181998813726985	0.0396443128705267	0.0653547821982712	0.0280546056813554	0.0422189155257819	0.0377776610115727	0.0222421567945664	0.0567694889131033	0.0215280478949814	0.0983764283813038
S10111	0.0393062154001364	0.0747376901569778	0.0799551052743056	0.0555179102347162	0.0414896456588172	0.0731533367138641	0.0702635655130721	0.0725495556671588	0.0243901856864027	0.0398793098031458	0.0173160982632334	0.0397622805827831	0.0622924271027891	0.0283264423168066	0.0469730631254796	0.0375357543009827	0.0216276108491058	0.0603508344315838	0.0212248514713523	0.0933481174472869
S10116	0.0408550745902431	0.0755157973383933	0.0759997819589794	0.0581289355927807	0.0379476321166767	0.0735511296003736	0.065235856018844	0.075185151759575	0.0248937482291723	0.0402967776708103	0.018337291851471	0.0392860330002798	0.0643343257632717	0.0278527316908507	0.0430307778899271	0.0378388060022155	0.0227693373045408	0.057846255468292	0.021423242015233	0.0996713141380699
