Gene	naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell
KIR3DL1	20.49959873	16.68034794	24.63514698	33.20305617	26.28956108	16.54937759	14.90710171	23.69433566
KLHL18	57.26209285	63.69362464	44.97760504	44.49563429	80.86652554	52.58320675	51.64740862	33.09523536
KLRC3	10.84892361	12.40222519	12.75451241	82.90798645	10.1272217	10.86197732	9.579868838	9.883228438
KLRD1	18.63445684	21.63709305	28.6562603	158.3502436	16.18927074	17.7808285	14.69422759	17.2605852
KLRF1	15.17427017	16.98512544	25.0391711	88.75665882	18.88138071	21.00578904	25.999136	9.697762888
KRT19	9.490013335	9.792627233	11.99865607	11.57226859	11.42439273	9.873238505	9.542035308	171.0219251
KRT5	20.01456372	16.17776375	17.73161545	13.92685989	19.2985384	10.37859695	10.10112379	23.69448454
KSR1	19.53475219	26.6530874	31.05951173	32.20444509	28.10912836	23.54430514	18.86685554	23.31238384
LAIR1	169.3916158	58.23111439	82.81974575	78.87399164	112.3038394	413.762792	302.2802132	88.56244796
LAMP3	14.4047974	12.53568786	51.06559862	33.7397647	60.25366116	133.2219922	47.03768023	19.81501919
LGALS13	17.06609469	15.32526543	15.30101896	14.38561439	26.44983309	21.46551017	23.4300031	13.12365103
LILRA3	19.25196215	15.33975432	32.34396029	20.4219805	43.31079112	425.9391278	135.6432383	23.13061014
LILRA4	58.68698021	59.58338099	23.61492201	26.71006619	32.68186906	33.75372099	41.41437124	22.82270958
LILRA5	18.07715546	15.52814799	31.72404275	15.02406596	29.96370145	111.6976491	44.1010288	13.2871532
LILRB1	88.78953524	86.45010813	39.5345332	39.54458751	69.61743099	283.3628638	206.3783712	20.93479918
LIMA1	34.75600124	39.25852962	74.8671303	49.82570946	51.62862375	74.20821567	149.4224441	182.8321268
LIMK2	56.85167375	44.94089664	42.22148783	39.10210529	35.46489886	54.28485497	21.66048607	43.44850837
LIPF	15.3742955	13.32646977	13.65587898	15.13010258	14.97861563	23.40284359	20.99030881	10.21312578
LRP5L	30.96499888	25.36349144	52.92407491	43.3981602	112.5433685	61.17091138	74.41954437	29.44324629
LRRC8D	138.7081087	134.2945506	142.8370216	142.7724325	191.339718	81.10557565	89.42766523	66.60572523
LSM4	88.98427596	105.7842737	121.0106074	135.425977	126.1834738	192.3552094	205.8875007	51.96354523
MAG	18.9625577	20.05885038	19.38010952	15.4544302	23.20073095	14.51548854	14.01775537	17.87793836
MAL	27.7108582	22.58958379	320.7125872	182.8970995	13.06530448	16.02339661	24.78065881	52.73383405
MAOA	10.39920444	12.76710804	16.04345723	13.02623284	46.11507688	70.41159348	476.2210648	77.06786909
MAPK7	33.73194444	32.97070321	38.53064349	39.04135242	32.36656071	51.41328475	48.98339061	34.28009066
MAT2B	693.2130969	610.1014731	169.0684473	252.7013478	72.79261085	130.12854	175.1308714	200.8882764
MEST	26.6982874	24.24340261	22.26591892	27.56139987	24.10130898	11.40305634	11.18871636	17.62394246
MME	17.16725553	16.66138203	16.01947423	13.22752296	22.83864548	16.57501337	15.95707779	20.89235161
MMP25	27.8877984	24.15992273	35.65355189	37.01412604	27.61657763	49.68139491	41.16214341	29.03750868
MMP8	17.19890567	14.46538126	13.563454	11.40491931	44.57211365	7.394263625	6.9489409	24.05947869
MMP9	22.02023517	22.46057904	31.30604498	24.32904544	1082.375474	3825.404778	2402.56263	43.25798
MOCS3	28.76160581	24.29961888	33.99311035	24.96936943	38.80311392	25.06908124	27.34085698	41.48321261
MPO	14.56696088	13.2390239	23.44734784	16.63514223	45.47923511	45.85592213	42.88035944	27.95800551
MPPED2	14.50192069	10.99389663	15.06922112	11.91963402	15.59469458	6.657759807	6.76934525	17.57081449
MRPL3	255.0718646	342.3912238	204.3076218	207.7236983	100.9687625	111.3596921	165.7341037	309.6076602
MRPL4	48.4910992	53.5109069	53.74594948	60.7536004	45.00609344	43.65714286	45.23623547	90.72433609
MS4A1	1518.542733	1425.959673	25.6870312	29.09362967	18.17733678	12.43539706	13.62637605	15.78122076
MS4A6A	23.84058066	22.16608874	62.51195241	19.8563612	110.8129237	84.45353431	675.7509151	36.47317139
MT1X	43.61808169	72.14046687	132.5304834	162.4430448	199.5262067	624.8495023	146.6020722	201.1852501
MTMR11	20.35202598	18.38267966	37.92172956	23.23172493	47.21855588	45.06123837	33.35605093	25.9858217
MTSS1	136.8338526	110.1000479	45.31013535	41.45677758	51.22460454	53.5153049	86.25177392	73.79177449
MUC1	21.15940953	25.36014392	31.92419418	29.01863265	27.32527963	61.02910562	27.57268355	33.5833771
MYLIP	131.3911025	118.916417	150.0150301	131.2137904	49.44986925	105.4791333	111.7434398	45.35543024
NAGA	56.91808615	64.64153099	53.57259922	40.30828893	103.2735677	82.30194765	150.5933048	164.8621681
NBN	71.55835333	105.0491688	64.77969197	81.17406274	75.7572301	107.383916	69.55819286	61.54908607
NBR1	61.07990054	66.6063616	58.81069426	69.58273107	35.00807043	20.301084	32.99776817	87.73088964
NDRG2	29.1725599	26.73085506	39.61226074	26.81456841	41.41162015	48.46157906	52.43067174	37.5518117
NEFL	13.41266956	14.10050093	29.24769675	14.19207094	18.32673125	14.49480313	13.27825852	40.63866386
NGFRAP1	23.25826167	28.73775429	95.37075221	85.7695015	77.23543584	55.07321777	71.0260706	329.1389036
NME1	176.1862467	233.5281896	110.4531213	121.3829507	135.4819185	91.86655108	106.0579619	351.9189762
NOTCH4	35.38610358	29.44693273	26.04926333	22.24507761	22.83736638	25.50793987	16.45733236	31.51670631
NOV	18.68579879	13.59326158	18.72601959	14.6829381	33.42813701	24.62132334	28.34607644	19.46977623
NPEPPS	70.26796034	77.23940015	80.70966512	81.31942699	31.24625266	59.87116737	74.87993051	54.3692389
NR2E3	20.03518548	18.80540383	18.57041274	15.03250604	24.62518793	10.35070628	10.20628873	11.68802416
NR4A2	48.23055105	60.67680721	97.48089096	170.0973233	19.62066538	49.37321622	34.24965368	49.64215973
NRG1	15.55800841	14.29776407	18.19652847	16.36535625	13.30854302	11.22497064	11.92937246	20.29660035
NRGN	23.02412522	20.87575488	41.33990717	29.90204555	32.36783867	24.0883387	47.57365438	61.24103689
NUDT1	69.0775237	78.8452126	78.87652511	86.94464827	181.8272433	40.58678191	64.72885211	57.0174401
NUDT18	39.32100194	34.30207126	56.65081803	52.85544508	96.44229575	105.1662328	81.77349721	25.22853047
NXT1	116.4704663	97.11042173	164.1503968	224.0567431	50.34835974	187.9016481	191.3591698	79.75647628
NXT2	47.13085851	70.97196189	58.75690524	59.64845766	35.52610128	94.35147694	85.26560457	220.7561155
OLFM1	13.01591221	13.60352868	19.50176482	15.3121072	23.47824018	23.83663611	21.1287977	17.24737082
OR2F1	14.70546546	11.75854504	18.14242915	12.85605776	20.78210991	9.727019217	9.947481062	24.35262857
OR2J2	12.48202156	10.83052045	14.17546853	9.688608305	23.93691937	8.206224718	8.262144095	14.47780873
ORM1	15.92259276	16.18297629	17.52609902	16.91123006	43.18347009	71.60749912	15.63406617	16.81012589
OSBPL10	105.278523	104.8699386	19.38783891	18.37111616	20.36400213	16.20182115	23.09335702	16.26291861
PALLD	25.6123872	25.64908807	25.14299248	22.00001842	90.71793262	64.22008231	322.8395319	59.61767951
PANX1	25.54239171	34.66678104	46.19916789	44.61534081	48.91950256	93.92697878	38.53615581	57.91975227
PAX5	212.0252857	169.2611704	18.67527116	22.34666715	22.05220768	12.4321526	10.26064263	23.5336748
PCGF2	28.85880246	29.00033023	27.85059059	24.07973792	25.26857461	54.52115796	38.41658523	29.88309749
PDGFB	23.89904124	18.27973208	23.7937757	22.10112584	32.43057645	31.8521799	39.57795118	21.49769608
PDK4	21.1842502	14.58106362	22.07451304	14.73371552	26.7538026	32.03913265	41.87291518	15.14337441
PGLYRP1	16.89847601	14.74840073	21.15320561	18.57870452	45.07745201	16.97330489	17.56493873	20.66092822
PHEX	22.60471451	21.86549945	23.68828349	22.57833869	16.4550605	13.08565754	13.12320247	15.99427773
PI3	25.14356735	20.63204272	18.8127959	16.40221621	30.77306968	18.59026808	12.49185591	15.01960892
PIK3CG	73.09466473	68.21191522	58.97877543	50.71206659	36.37157682	85.42099389	81.71273906	31.68181283
PLAT	15.91152026	13.03553058	17.8518733	11.14766743	13.37695735	14.3895543	11.15707718	312.2982025
POU2AF1	793.3270891	579.4564008	41.10526208	26.71265193	25.8795455	13.44185424	16.7214804	12.96041945
PPA1	277.6064137	419.289092	369.0317681	423.1915341	241.3422967	883.8645712	284.5844176	322.1897951
PRKCDBP	14.32704851	13.25320744	28.40170096	19.85858748	62.96382517	86.78218429	61.96776256	14.1273478
PROM1	10.99974881	12.13655489	17.04839034	13.77568838	20.76327924	8.904686647	12.97496505	16.3859681
PRR5	26.36985905	40.28044582	53.46178404	103.0902471	30.94439013	39.21815577	35.8926021	25.90992153
PSAT1	30.48060763	57.12170462	47.40817501	46.89314084	51.90489237	27.61712448	24.65170473	159.2756845
PTPN13	11.16301959	13.44507121	28.35163486	9.517158609	29.56970397	10.59644796	11.97720998	9.772316003
PTPRK	83.3268931	50.56437725	19.68798458	33.09116584	14.19534452	9.348226197	7.011989311	34.87729913
PTPRS	17.82709281	20.31651839	19.67726039	17.89881682	26.28942443	14.62403384	15.11661763	16.8589686
PTTG2	20.32234439	17.33305667	27.90648458	26.15085808	23.54152693	47.70592128	43.38671748	18.64063061
QPRT	16.62845877	20.06874114	28.50476833	26.64745261	41.05349201	47.82858953	262.2195692	93.17808369
RAB9A	112.6560829	117.6899621	115.5462833	168.4145525	210.0232278	334.0773054	314.4834704	94.81800353
RAMP1	20.7638077	22.0824959	30.16397238	29.83861422	33.58639292	22.13847068	192.5926091	29.20721
RARRES2	19.15199898	21.00016901	18.25109405	14.93854033	22.8004139	17.23022641	14.77529764	9.304641076
RETN	15.52906917	17.07861424	30.15636884	23.79798307	25.83344078	15.70253271	13.80782354	22.38537105
RNASE1	19.07772968	14.86287016	20.19513756	14.83435711	535.9002635	98.18999294	293.2965946	18.63683172
RNASE4	15.30665176	34.98040623	24.32127794	14.12522889	34.55304377	40.49425713	42.01000477	12.08074218
RNF122	48.46965891	33.31944712	38.80654871	37.63997544	60.20054263	33.33754806	31.9262277	35.36693635
RPL7	1033.574633	504.5586973	393.3765809	420.3726686	63.05588815	121.9572102	185.192881	126.8657874
RRAS	27.64082708	21.46215476	73.41138729	38.42751712	129.8714139	271.2748252	203.6275942	37.19503144
S100A12	14.04455284	14.82133631	46.03084801	27.25970063	20.0165161	31.09564885	13.01220354	20.56001744
S100B	9.971537007	10.04302728	11.9424836	22.32865451	20.23880087	10.35864253	11.89971653	11.87389916
S100P	15.49439491	17.96181247	34.51133428	28.0683052	30.92007051	27.52959187	20.79830149	43.58655064
SCRN1	126.5826759	230.9243204	33.9151586	43.23882517	30.8746285	73.29363702	90.38533447	33.31417754
