Symbol	B_cells	T_cells_(CD4+)	T_cells_(CD8+)	Endothelial_cells	Fibroblasts	Macrophage
DGCR10	22.75	17.27272727	17.38461538	17.45454545	13.75	18.27272727
DGCR11	70	64.22727273	80.53846154	75	54.5	60.09090909
DGCR12	43.5	36.54545455	38.96153846	36.54545455	28.75	37.54545455
DGCR14	24	113	65.19230769	142.2727273	127.625	99.27272727
DGCR2	130.25	169.5454545	128.8461538	134.4545455	114.25	132.3636364
DGCR5	88.5	43.95454545	55.96153846	50.63636364	53	54.45454545
DGCR6L	65.25	46.95454545	54.03846154	45.54545455	42	46.72727273
DGCR7	56.25	33.95454545	39.19230769	26.90909091	24.875	31.36363636
DGCR8	52	153.2727273	91	201.8181818	237.375	88.18181818
DGCR9	83.25	42.09090909	52.03846154	43.09090909	41.125	46
DGKA	693.75	2844.409091	1015.384615	275.6363636	283.625	135
DGKB	17.25	9.863636364	10.5	8.363636364	8	8.636363636
DGKD	472.75	851.6818182	669.2307692	193	152.75	160.4545455
DGKE	18.75	21.90909091	24.07692308	19.90909091	16.125	14.90909091
DGKG	28.25	14.63636364	18.46153846	12.90909091	12.75	14.18181818
DGKH	14.5	17.63636364	16.73076923	24.81818182	27.125	32.18181818
DGKI	15.5	12.77272727	15.34615385	14.63636364	33.125	13.63636364
DGKQ	61.75	361.5454545	426.3846154	247	239	226.6363636
DGKZ	131.5	1461.409091	257.2692308	450.5454545	200	568.0909091
DGUOK	46.5	29.04545455	44.80769231	20.90909091	22.25	21.09090909
DHCR24	59	65.40909091	55.65384615	507.4545455	635.875	865.9090909
DHCR7	47	91.22727273	69.76923077	357.0909091	458.5	157
DHDDS	166.75	167.7727273	135.3461538	301.9090909	302.125	277.8181818
DHDH	56.5	40.40909091	47.69230769	34.90909091	33.625	42.27272727
DHDPSL	26.5	23.59090909	26.73076923	21.90909091	25.375	21.54545455
DHFR	96.75	269.8181818	90.03846154	525.7272727	333.875	272.1818182
DHFRL1	310.75	277.7727273	227.3846154	177.1818182	155.5	184.4545455
DHH	18.5	16.63636364	17.80769231	33.45454545	16.125	19.45454545
DHODH	72	59.27272727	53.19230769	81.09090909	56.125	49.54545455
DHPS	452	505.3636364	238.0384615	394.5454545	419.875	317.4545455
DHRS1	442.5	436	217.5384615	354.2727273	361.125	422.2727273
DHRS11	18.5	39.40909091	23.38461538	93.45454545	55.875	507.9090909
DHRS12	51.5	56.31818182	56.23076923	48.18181818	55.75	50.09090909
DHRS13	104.25	209.9090909	122.1538462	135.8181818	81.75	85.63636364
DHRS2	10.5	10.22727273	13.15384615	11.63636364	13.625	10.09090909
DHRS3	57.25	271.5	212.7307692	326.8181818	1300.75	421.1818182
DHRS7	761.25	1055.772727	961	732.0909091	1049.25	2077.272727
DHRS7B	102	67.72727273	71.61538462	221.2727273	471.125	361.1818182
DHRS7C	32.25	29.09090909	29.19230769	29.36363636	23.5	35
DHRS9	159.5	67.22727273	87.69230769	120.2727273	55.625	1638.090909
DHRSX	114.75	151.7727273	111.0384615	394.3636364	507.75	560.8181818
DHTKD1	235.5	69.22727273	56.61538462	116.8181818	97.25	61.27272727
DHX15	881.5	996.8636364	1073.076923	1713.545455	1233.125	1097.363636
DHX16	226	388.8181818	206.5384615	373.0909091	320.625	331.8181818
DHX29	28.75	34.77272727	34.61538462	59.90909091	67.875	74.81818182
DHX30	34.5	273.6818182	67.96153846	360.7272727	253.5	230.2727273
DHX32	196.75	187.7272727	176.3461538	453.4545455	462.125	398.5454545
DHX33	65	285.5	138.4615385	554.9090909	272.125	273.9090909
DHX34	105.5	83.36363636	88.07692308	113.1818182	71.625	100.0909091
DHX35	45.5	98.68181818	91.23076923	83.90909091	86.625	92.09090909
DHX36	170.5	391.2727273	492.1153846	401.2727273	393	374.0909091
DHX37	133.5	120.1363636	104.8846154	130	130.125	114.4545455
DHX38	165.75	292.9090909	182.8461538	276.9090909	174.5	294.7272727
DHX40	114.5	350.7272727	453.6538462	483.6363636	593.625	340.8181818
DHX57	22.25	24.09090909	24.88461538	14.54545455	14	16.18181818
DHX58	76.5	140.4090909	87.26923077	75.54545455	85.625	124.9090909
DHX8	97	158.2272727	185.6153846	201.1818182	219.75	143.3636364
DHX9	255.25	413.1363636	314.4615385	490.8181818	345.625	306.4545455
DIABLO	285	484.4090909	659.9230769	988.9090909	911.875	757.5454545
DIAPH1	418.5	1597.318182	896	689.6363636	379.125	952.1818182
DIAPH2	59.25	102.6363636	59.57692308	162	81.875	174.0909091
DIAPH3	12.75	12.36363636	12.38461538	85.54545455	56.25	21.72727273
DICER1	24.75	27.04545455	124.4615385	22.36363636	20.5	26.36363636
DIDO1	171.75	354.1363636	250.5	115.8181818	141.5	117
DIMT1L	658	882.5909091	841.3846154	1329.090909	1887.5	666.0909091
DIO1	10.75	9.772727273	10.88461538	10.09090909	9.375	13.09090909
DIO2	27.25	17.68181818	24.34615385	35.36363636	87	14.54545455
DIO3	99.25	65.81818182	77.23076923	80.45454545	82.125	74.54545455
DIO3OS	55.25	37.40909091	42	33.72727273	28.75	33.81818182
DIP2A	998.25	723.3636364	793.7692308	250	227.875	296.7272727
DIP2B	298.25	442.9545455	262.2307692	378.7272727	312.25	454.1818182
DIP2C	42.25	78.22727273	29.84615385	143.2727273	534	71.90909091
DIRAS1	87.75	54.90909091	56.84615385	47.45454545	121.625	129.3636364
DIRAS2	8.75	7.818181818	8.346153846	7.818181818	18.875	11.36363636
DIRAS3	14	12.5	13.96153846	47.54545455	52.125	12.18181818
DIRC1	10.75	7.681818182	8.846153846	7.272727273	7.25	7
DIRC2	57.75	77.18181818	107	344.4545455	457.25	769.7272727
DIRC3	75.5	58.40909091	58.88461538	45.27272727	76.625	69
DIS3	78.75	187.7727273	254.3076923	346.7272727	357.875	240.6363636
DIS3L	205.25	450.9090909	264.8846154	246.1818182	308.25	241
DIS3L2	20.75	221	90.69230769	37.63636364	31.25	25.54545455
DISC1	57.75	126.7272727	67.84615385	126	55.75	163.3636364
DISP1	33.75	30.36363636	25.34615385	44	88.125	53.54545455
DISP2	41	26	29.42307692	38.81818182	47.5	35.54545455
DIXDC1	29	39.77272727	33.46153846	378.0909091	339.625	180.9090909
DKC1	358.75	505.1363636	375.3461538	798.5454545	490.25	341.1818182
DKFZP434B2016	236.5	85.40909091	132.6923077	20.72727273	28.5	39.27272727
DKFZP434C153	19.75	19.63636364	17.15384615	11.63636364	12.75	13
DKFZp434E1119	83.75	46.81818182	55.88461538	34	32.375	39.81818182
DKFZp434F142	19	15.5	19.19230769	14.72727273	14.375	14.81818182
DKFZp434G179	12	8.863636364	10.69230769	8.545454545	7.875	8.181818182
DKFZp434H1419	34.75	100.2727273	40.84615385	104.5454545	71	52.45454545
DKFZP434H168	32.5	30.68181818	36.38461538	26.90909091	25	32
DKFZP434I0714	46.25	139.6818182	59.96153846	89	58	46.72727273
DKFZp434J0226	21.75	16.18181818	18.15384615	16.36363636	18.375	17.09090909
DKFZP434K028	90.5	72.72727273	86.07692308	66.90909091	56.5	65.09090909
DKFZP434L187	62.25	40.81818182	45.46153846	43.45454545	46.25	46.90909091
DKFZp434L192	13.5	11.36363636	11.26923077	10.63636364	9.375	12
DKFZp451A211	54.25	39.63636364	47.03846154	43.45454545	37	43
DKFZp451B082	34.5	29	32.61538462	23	23	22.36363636
DKFZp547G183	29.75	35.77272727	28.38461538	15.72727273	16.375	18.72727273
DKFZp547J222	80	54.95454545	62.73076923	49.18181818	40	48.90909091
DKFZP547L112	49.25	32.13636364	43.23076923	42.45454545	41.5	40.90909091
DKFZP564C196	11.75	11.90909091	13.23076923	12	10.875	13.18181818
DKFZp564H213	27.25	18.90909091	23.73076923	20.63636364	19.625	23.54545455
DKFZp566F0947	42.5	29.81818182	37.57692308	31	29.875	34.18181818
DKFZp566H0824	13	23.86363636	14.76923077	11	10.375	12.27272727
DKFZP586I1420	242.5	549.2727273	877.9230769	72.45454545	78.5	352.2727273
DKFZp667E0512	105.25	678.5909091	244.3076923	57.36363636	90.75	61.90909091
DKFZp667F0711	11.25	15.77272727	12.23076923	9	9.875	10.54545455
DKFZp686A1627	11	11.18181818	10.84615385	9.727272727	9.75	10.36363636
DKFZp686L14188	60.5	51.77272727	54.42307692	41.27272727	63.75	63.54545455
DKFZp686O1327	12.75	9	11.69230769	8.909090909	9	9.090909091
DKFZp686O24166	31.25	26.81818182	64.92307692	69.27272727	87.5	88.54545455
DKFZP761C1711	23.5	11.95454545	15.5	11.81818182	11.125	12.90909091
DKFZp761D1918	10.25	8.363636364	8.153846154	8.818181818	8.75	8.727272727
DKFZp761E198	36.25	51.59090909	39.07692308	44.54545455	39.125	92.45454545
DKFZp761P0212	73	39.86363636	48.34615385	37.63636364	32.125	37.72727273
DKFZp779M0652	88.5	59.77272727	66.65384615	57.72727273	44.25	62.81818182
DKK1	29.25	23.86363636	30.03846154	2533.909091	6434.5	18.54545455
DKK2	8.75	8.181818182	8.769230769	19.18181818	39.875	18.36363636
DKK3	24	23	101.3461538	3280.363636	4446	20.45454545
DKK4	22.75	22.36363636	26.96153846	21.90909091	19.875	22.81818182
DKKL1	64.5	47.95454545	61.76923077	69.72727273	64	70.90909091
DLAT	54.5	106.7272727	88.88461538	211.6363636	186.25	237.1818182
DLC1	28.25	22.13636364	27.46153846	879.1818182	1121.5	48.27272727
DLD	71.5	193	175.5	161.8181818	118	126.7272727
DLEC1	117.5	134	102.2692308	72.27272727	50.75	78.63636364
DLEU1	563	211.6363636	178	326.6363636	327.625	86.54545455
DLEU2	34.75	53.72727273	51.5	69.45454545	30.75	38.45454545
DLEU7	19	12.59090909	15.61538462	10.81818182	11.25	11
DLG1	102.25	247.2272727	144.7307692	632.9090909	548.75	133.0909091
DLG2	15.5	13.5	15.30769231	14.63636364	13.25	15.09090909
DLG3	121.25	134.1363636	134.2692308	63.63636364	121.5	54.90909091
DLG4	117.5	59	85.34615385	81.54545455	100.125	72.36363636
DLG5	93.25	28.36363636	51.26923077	26.81818182	31	21.36363636
DLGAP1	22.25	17.27272727	17.26923077	15.09090909	15.125	17.90909091
DLGAP2	47.5	36.36363636	37.73076923	32.90909091	30.375	35.81818182
DLGAP3	25.5	17.27272727	21.11538462	15.81818182	12.625	14.81818182
DLGAP4	63.5	67.45454545	55.03846154	276.7272727	226	191.3636364
DLGAP5	19.5	20.22727273	17.19230769	1125.545455	298	147.4545455
DLK1	25.25	18.18181818	23.65384615	15.27272727	17	16.90909091
DLK2	72.5	60.13636364	60	52.90909091	52.625	50
DLL1	54.5	43.09090909	50.34615385	49.54545455	40	57.63636364
DLL3	123.5	86.04545455	100.3076923	94	83.75	103.0909091
DLL4	172.25	106.5909091	150.1538462	190.4545455	107.25	150.0909091
DLX1	58.75	46.81818182	53.53846154	44.09090909	45.25	39.54545455
DLX2	120.75	103	93.19230769	65.81818182	54.875	81.90909091
DLX3	45.5	33.36363636	39.61538462	30.36363636	39.625	53.90909091
DLX4	58.75	27.95454545	43.15384615	21.18181818	22.75	32.63636364
DLX5	21.5	20.81818182	22.69230769	23.45454545	31.25	25
DLX6	43	37.77272727	36.46153846	29	22.375	31
DLX6AS	40.75	19.95454545	28.11538462	13.45454545	14.5	16.72727273
DMAP1	59.5	210.2272727	119.3846154	235.9090909	238.125	153.3636364
DMBT1	82.25	79.81818182	86.38461538	75.09090909	82.75	72.72727273
DMBX1	13.5	11.04545455	11.80769231	10.63636364	9.25	10.90909091
DMC1	17	12.77272727	16.57692308	13.09090909	12.375	11.45454545
DMD	15.75	9.318181818	9.076923077	81.09090909	139.75	13.18181818
DMGDH	9.75	8.045454545	8.538461538	8.636363636	10.875	7.727272727
DMKN	24	19.40909091	22.30769231	20.27272727	122.375	21.45454545
DMP1	16	10.45454545	11.92307692	10.72727273	8.75	11.90909091
DMPK	82.5	67.68181818	70.5	76.09090909	113.5	57.45454545
DMRT1	14	10.63636364	13.15384615	13	9.5	11.54545455
DMRT2	15.5	13.95454545	14.15384615	14.72727273	14.75	16
DMRT3	38.5	34.22727273	37.73076923	34.72727273	36.125	39.72727273
DMRTA1	42	23.22727273	33.53846154	28.09090909	22.875	32.36363636
DMRTA2	32	24.86363636	27.03846154	22.72727273	22	24.54545455
DMRTB1	29	25.22727273	27.38461538	23.90909091	19.375	25.45454545
DMRTC2	22	12.63636364	16.53846154	12	13.25	11.09090909
DMTF1	368.5	772.8181818	693.9615385	366.8181818	399.375	343.3636364
DMWD	98.5	117.5454545	87.07692308	183.4545455	136	90.63636364
DMXL1	398.75	297.8636364	134.5769231	198.9090909	345.5	1107.181818
DMXL2	67.75	37	60.73076923	30.45454545	24.375	205.5454545
DNA2	50.25	60	59.38461538	148.9090909	82.125	76
DNAH1	96.25	64.13636364	71.84615385	56.90909091	48.75	56.54545455
DNAH10	58.25	52.86363636	47.69230769	42.90909091	33.25	40.72727273
DNAH11	75.75	64.59090909	71.42307692	68.27272727	48.75	68.45454545
DNAH12	41.5	26.77272727	30.53846154	24.54545455	25.5	25.27272727
DNAH14	15.25	14.27272727	15.73076923	43.36363636	46.875	27.18181818
DNAH17	30	27.45454545	27.88461538	27.54545455	24.75	30.81818182
DNAH2	34.25	31.68181818	33.03846154	38.72727273	40	43.90909091
DNAH3	92.5	69.63636364	96.19230769	80.90909091	62.5	78.18181818
DNAH5	11	9.5	10.07692308	11.54545455	13.625	9.727272727
DNAH6	91	80.09090909	83.73076923	57.90909091	57	52.63636364
DNAH7	16.5	14.81818182	15.73076923	14.27272727	10.25	12.72727273
DNAH8	35.75	32.45454545	31.42307692	22.72727273	20	21.45454545
DNAH9	74	55.59090909	65.30769231	56.81818182	50.25	51.54545455
DNAI1	45	29.22727273	33.80769231	27.18181818	28	30.45454545
DNAI2	19	36.31818182	23.30769231	17.45454545	13.875	17
DNAJA1	227.25	683.6818182	550.0384615	1505.636364	996.625	797.7272727
DNAJA2	486.25	605.9090909	486.6923077	626.7272727	875.375	507.2727273
DNAJA3	235.75	745.6363636	295.8076923	825.0909091	804.625	442.0909091
DNAJA4	86.75	288.3181818	198.5384615	372	171.75	241.1818182
DNAJB1	233	1536.227273	1015.807692	1187.181818	668.625	461.6363636
DNAJB11	221	344.3181818	390.1153846	1161.454545	1053.25	1005.272727
DNAJB12	173	159.1363636	116.6923077	223.8181818	312.625	307.9090909
DNAJB13	68.25	53	65.11538462	52.36363636	49.125	56.72727273
DNAJB14	94	525.4545455	531.1538462	261.9090909	294	362.2727273
DNAJB2	110.5	251.3636364	121.6538462	127.5454545	162.75	169.3636364
DNAJB4	43.75	39.59090909	52.11538462	1031	497.75	67.45454545
DNAJB5	135.5	76.77272727	107	129.8181818	150.375	207.6363636
DNAJB6	24.75	142.4090909	62.03846154	489.2727273	585.25	545.3636364
DNAJB7	10.5	9.363636364	9.576923077	8.818181818	8.375	9.181818182
DNAJB8	32.75	21.04545455	24.30769231	30.09090909	27	25.90909091
DNAJB9	14	67.90909091	69.69230769	68.72727273	190.25	103.3636364
DNAJC1	14.75	318.6818182	225.0769231	309.6363636	367.5	513.2727273
DNAJC10	211.75	130.1363636	67.34615385	700.5454545	442.5	305.6363636
DNAJC11	111	177.2272727	114.5	249	192	232.8181818
DNAJC12	23	20.72727273	26.03846154	62.63636364	126	65.18181818
DNAJC13	209.5	325.2727273	180.4230769	491.5454545	550.125	523.4545455
DNAJC14	84.75	78.22727273	54.46153846	103.0909091	143.625	104.6363636
DNAJC15	1866.25	475.0454545	1173.807692	1280.636364	1131.75	990.7272727
DNAJC16	244.5	334.6363636	193.3461538	320	382.25	258
DNAJC17	80.25	101.4090909	66.92307692	111.4545455	110.75	88.45454545
DNAJC18	50	47.77272727	60.69230769	98.81818182	84.625	51.72727273
DNAJC19	796	485.8181818	1023.923077	591.7272727	482.75	380.8181818
DNAJC2	296.75	570.0909091	904.7692308	797.9090909	524	419.5454545
DNAJC21	135	280.4090909	249.7692308	325	425.625	308.0909091
DNAJC22	50.5	40.18181818	41	49.09090909	40.5	32
DNAJC24	23.75	28.86363636	28.07692308	20.54545455	19	18.72727273
DNAJC27	23.75	21.68181818	28	17.72727273	13.625	21.27272727
DNAJC28	19.25	14.09090909	16.53846154	18.54545455	17	21.45454545
DNAJC3	44	138.6818182	290.1153846	475.7272727	154.5	821.8181818
DNAJC30	155.25	229.0454545	195.1538462	370.5454545	358.875	234.5454545
DNAJC4	130.25	320.7272727	90.15384615	272.4545455	208.625	316.9090909
DNAJC5	86.25	370.5454545	199.5384615	414.5454545	302.5	461.6363636
DNAJC5B	136.25	60.59090909	76.23076923	45.81818182	37.375	78.18181818
DNAJC5G	72.5	48.72727273	62.5	41.36363636	41.125	43.09090909
DNAJC6	11.75	11.63636364	12.03846154	10.72727273	10.25	11.36363636
DNAJC7	86	407.0909091	196.7692308	838.5454545	949.25	679.4545455
DNAJC8	1151.75	970.1363636	1293.576923	1512.727273	1233.5	1257.636364
DNAJC9	412.25	908.1363636	674.9230769	1449	798	577.8181818
DNAL1	21	16.81818182	23.23076923	22.27272727	22.75	20
DNAL4	90.75	91.68181818	80.69230769	141.7272727	106.75	94.72727273
DNALI1	26.5	17.31818182	20.61538462	31.90909091	44.125	15.72727273
DNASE1	53.5	46.95454545	39.42307692	32.81818182	38.875	37.72727273
DNASE1L1	120	222.6818182	104.4230769	948.5454545	418.25	550.8181818
DNASE1L2	56.25	47.31818182	51.11538462	64.63636364	57.25	63.81818182
DNASE1L3	57.5	45.81818182	53.11538462	33.63636364	31.75	39.27272727
DNASE2	391.25	319.0909091	339.0384615	371.1818182	491.125	972.1818182
DNASE2B	17.25	12.5	14.34615385	13.45454545	11.375	740.7272727
DND1	216.75	335.7272727	227.4615385	244.3636364	233.625	342.3636364
DNER	12.25	8.681818182	10.73076923	14	29.875	9.636363636
DNHD1	98.25	89.68181818	93.07692308	54.18181818	45.875	66.18181818
DNLZ	43.25	183.0454545	58.5	339	337.875	154.2727273
DNM1	53.25	28.40909091	32.03846154	31.63636364	91.875	27.63636364
DNM1L	142	551.6818182	677.2307692	960.3636364	937.375	651.4545455
DNM1P41	54	40.13636364	44.53846154	44.54545455	44.625	41.27272727
DNM2	43	82.90909091	83.26923077	119.2727273	74.125	85.45454545
DNM3	26.5	24.22727273	25.61538462	23	22.625	28.18181818
DNMBP	9.75	9.409090909	10.07692308	10.36363636	9.75	9.363636364
DNMT1	69	1030.5	417.6538462	778.0909091	545.75	994.9090909
DNMT3A	43.5	203	89.92307692	73.36363636	39.875	69
DNMT3B	60.5	52.18181818	58.53846154	142.1818182	69.5	67.27272727
DNMT3L	32.75	25.5	25.07692308	24.27272727	23.5	21.90909091
DNPEP	391	552.5	468.9230769	567	683.875	651.7272727
DNTT	74	52.36363636	53.84615385	34.27272727	36.75	29.36363636
DNTTIP1	95	148.8181818	129	387	274.25	669.1818182
DNTTIP2	738.75	831.4545455	1401.846154	1007.454545	699.875	781.5454545
DOC2A	35.5	38.18181818	40.65384615	41.72727273	38.375	44.27272727
DOC2B	72	55.45454545	52.65384615	56.81818182	44.25	61.18181818
DOCK1	20.75	20.31818182	23.92307692	123	117	44
DOCK10	41	111.4090909	66.23076923	23.27272727	25.5	46.36363636
DOCK11	894	1529.954545	881.9230769	29.72727273	787.75	1015.363636
DOCK2	15.25	13.40909091	13.19230769	14.36363636	11.625	14.45454545
DOCK3	25	26.59090909	26.76923077	22.72727273	21	266.4545455
DOCK4	14.75	13.18181818	13.34615385	1340.818182	61.125	871.1818182
DOCK5	46.25	45.40909091	43.07692308	107.1818182	240.625	667.1818182
DOCK6	60.75	48.45454545	44.19230769	414.6363636	91.125	62
DOCK7	37.5	70.68181818	48.88461538	312.8181818	814.25	329
DOCK8	279.75	523.2272727	290.3076923	14.18181818	9.875	503.4545455
DOCK9	79	59.36363636	62.30769231	88.63636364	35.25	41.36363636
DOHH	40.5	28.5	29.88461538	31.63636364	26	29.72727273
DOK1	91.25	126.5454545	100.0384615	132.8181818	127.5	335
DOK2	119.75	674.9090909	410	64.27272727	39.875	317.5454545
DOK3	60	41.5	43.57692308	68.81818182	47	123.6363636
DOK4	78.75	60.27272727	61.38461538	110.3636364	136	55.18181818
DOK5	70	45.22727273	57.30769231	99.72727273	510.75	48.54545455
DOK6	25	18.63636364	21.26923077	24.18181818	54.125	22.72727273
DOK7	35	25.31818182	25.57692308	25.18181818	26.25	20.81818182
DOLK	79	87.31818182	89.03846154	298.7272727	308.625	195.2727273
DOLPP1	340.5	261.1818182	291.3846154	264.7272727	253.25	241.9090909
DOM3Z	128.5	318.2727273	167.8846154	260.6363636	374.625	129.7272727
DOPEY1	116.75	182.5909091	211.4230769	190.5454545	234.75	186.6363636
DOPEY2	192	87.27272727	59.19230769	47	46.25	450.8181818
DOT1L	20	22.36363636	20.34615385	28.81818182	25.5	26
DPAGT1	272.75	194.9090909	106.6923077	441	415.375	371
DPCD	32.75	24.36363636	30.53846154	356.3636364	314.5	143.5454545
DPCR1	42	22.18181818	29.15384615	23.90909091	22.125	27.45454545
DPEP1	85.5	65.5	73.07692308	68.90909091	62.75	67.81818182
DPEP2	579	605.5	163.6538462	33.63636364	26	636.2727273
DPEP3	61.75	42.5	44.26923077	38.81818182	28.25	43.63636364
DPF1	97.25	59.36363636	81.23076923	70.27272727	57.125	70.27272727
DPF2	526	474.1363636	305.3076923	608.6363636	548.75	331.2727273
DPF3	83.25	60.81818182	67.38461538	62.90909091	49.75	52.36363636
DPH2	209.25	229.9545455	192.2307692	272.8181818	199.375	180.6363636
DPH3	214.75	107.3636364	407.6153846	478.2727273	370.25	468.9090909
DPH3B	42.5	35.59090909	41.69230769	34.18181818	32.5	32.72727273
DPH5	1095.5	918.9090909	795.6923077	618.1818182	586.125	372.9090909
DPM1	1592.5	1435.772727	2257.884615	1536.909091	1538.875	1329.727273
DPM2	147.25	153.5	130.8846154	265.8181818	264.5	259.3636364
DPM3	92.25	243	125.6153846	336.9090909	308.75	341.0909091
DPP10	9.75	8.227272727	8.846153846	8.545454545	8.125	8.454545455
DPP3	111.75	235.2727273	134.2692308	681.3636364	491.125	556.1818182
DPP4	25	290.5454545	74.26923077	51.63636364	644.625	80.36363636
DPP6	64.25	42.09090909	71	34.72727273	30.875	31.18181818
DPP7	174.25	533.5454545	222.3461538	346.6363636	377.75	482.7272727
DPP8	608.75	985.3636364	1001.5	808.1818182	1007.75	869.7272727
DPP9	153.75	118.7727273	134.6538462	105.7272727	70.875	125.3636364
DPPA2	27.25	19.77272727	20.34615385	18	16.125	17.81818182
DPPA3	9.75	7.5	8.076923077	8	8.625	7.636363636
DPPA4	33.75	20.81818182	23.84615385	19	18.25	20.54545455
DPPA5	27.25	18.40909091	20.57692308	18	15	17.18181818
DPT	39.75	29.59090909	30.5	35.18181818	110.5	41.54545455
DPY19L1	10.5	9	9.115384615	9.727272727	7.75	10.72727273
DPY19L1P1	17	16.86363636	19.07692308	20.45454545	18.25	17.09090909
DPY19L2	12	8.909090909	10.57692308	8.818181818	8.625	7.727272727
DPY19L2P2	11	43.45454545	21.57692308	9.818181818	12.75	8.727272727
DPY19L3	33	121.2727273	47.15384615	291.8181818	557.375	134.4545455
DPY19L4	25	66.95454545	39.34615385	274.8181818	572.625	105.5454545
DPY30	1831.75	836.1363636	1141.230769	1269.818182	1029.5	930.1818182
DPYD	55.5	46.72727273	54.5	38.90909091	42.5	45.18181818
DPYS	17.5	14.54545455	15.61538462	15.36363636	13.25	19.63636364
DPYSL2	172	515.5	126.4615385	2933.909091	5095.375	3256.090909
DPYSL3	21.75	18.22727273	27.92307692	284	244.625	38.27272727
DPYSL4	138.5	87.31818182	110.2692308	105.2727273	83.25	101.9090909
DPYSL5	86.75	61.09090909	69.38461538	58.18181818	50.625	65.27272727
DQX1	42.5	27.5	39.26923077	22.90909091	22.5	26.09090909
DR1	121	338.9545455	278.8076923	343.5454545	381.5	372.6363636
DRAM1	97.75	33.40909091	49.96153846	558.5454545	1693.75	815.1818182
DRAM2	757	242.5909091	127.4230769	201.4545455	405.75	628.7272727
DRAP1	93	333.1818182	137.5384615	555.5454545	640.75	401.0909091
DRD1	18.5	10.95454545	14.46153846	9.909090909	11.875	10.36363636
DRD2	99	42.5	59.53846154	46.18181818	43.125	47.72727273
DRD3	19	16.59090909	16.73076923	16.54545455	16.75	17.72727273
DRD4	33.25	29.77272727	29.23076923	40.54545455	38.375	34.81818182
DRD5	71.5	43.77272727	55.38461538	33.36363636	28.5	39.36363636
DRG1	798.25	692.1363636	1127.769231	1311.454545	1196	808.4545455
DRG2	220.25	254.8181818	277.5384615	270.0909091	231.25	180.2727273
DRP2	12.75	9.636363636	9.846153846	9.545454545	9	9.454545455
DSC1	19.5	51.5	41.07692308	10.45454545	9.875	9.909090909
DSC2	61	38.81818182	60.5	35.18181818	35.875	378
DSC3	17.75	12.18181818	14.80769231	12.72727273	13.5	11.81818182
DSCAM	88.25	61.68181818	89	50.54545455	33.25	63.81818182
DSCAML1	16	13.54545455	15.19230769	12.63636364	11.25	12.90909091
DSCC1	88.5	59.31818182	76.92307692	71.54545455	70.75	62.45454545
DSCR10	38.5	32.31818182	37.69230769	34.36363636	32.125	28
DSCR3	198.75	415.4545455	246.1153846	370.9090909	493.125	564
DSCR4	49	37.81818182	48.88461538	44.18181818	36.625	38
DSCR6	28	13.13636364	17	12	12.875	11.72727273
DSCR8	26.75	22.95454545	25.38461538	21.54545455	18	20
DSCR9	57.25	62.68181818	66.42307692	67.72727273	47	57.27272727
DSE	191.75	61.27272727	76.57692308	413.9090909	2345.375	1216.454545
DSEL	24.5	21.63636364	25.19230769	31.90909091	73.625	18.72727273
DSG1	10.25	9.136363636	9.538461538	9.727272727	7.75	10.18181818
DSG2	23.5	22.95454545	22.46153846	18.36363636	93.375	19.90909091
DSG3	46.5	32.27272727	44.53846154	20.90909091	21.75	23.27272727
DSG4	10.75	10	10.5	9.454545455	9.25	8.818181818
DSN1	87.75	71.36363636	73.65384615	121.9090909	80.25	139.0909091
DSP	226	19.86363636	28.5	52.90909091	1974	394.0909091
DSPP	74.5	33.81818182	34.92307692	29.18181818	17.375	31.18181818
DST	18.25	34.86363636	21.03846154	741.1818182	1398	265.8181818
DSTN	280.5	1431.136364	1211.576923	6133.636364	9869.125	2130.727273
DSTYK	20	25.72727273	21.5	19.27272727	22.375	22.18181818
DTD1	64.5	42.22727273	51.73076923	38.54545455	63.75	37.54545455
DTHD1	11.5	9.136363636	12.03846154	7.909090909	8.625	8.181818182
DTL	18.5	16.90909091	29.76923077	394.5454545	137.5	146.0909091
DTNA	58.75	49.5	54.46153846	51.90909091	45.5	42.81818182
DTNB	78.25	89.54545455	79.46153846	93.63636364	65.875	107.2727273
DTNBP1	208	291.9545455	142.2307692	342.6363636	245.125	299.1818182
DTWD1	38.75	126.2727273	117.5384615	46.72727273	90.375	75.45454545
DTWD2	99	83.40909091	86.76923077	67.45454545	82.625	115.0909091
DTX1	130.75	103.3181818	72.19230769	65.54545455	55.75	60.36363636
DTX2	82.25	82.59090909	63	84.72727273	69.375	155.3636364
DTX3	105.5	344.5909091	202.9615385	140.0909091	264.375	65.63636364
DTX3L	579.5	1277.363636	562.4230769	318.5454545	434.375	858.1818182
DTX4	231.5	70.04545455	74.30769231	41.27272727	95.75	561.0909091
DTYMK	79.5	65.18181818	57.69230769	73.81818182	56.25	77.09090909
DULLARD	385.75	818.1363636	430.4230769	736	577.625	701.0909091
DUOX1	50.75	25.95454545	36.34615385	20.54545455	17.875	23.72727273
DUOX2	20.25	16.68181818	20.03846154	17.27272727	14.25	17.81818182
DUOXA1	27.25	27.22727273	27.38461538	23.45454545	25.75	22.81818182
DUOXA2	196.25	87.5	121.1923077	100.3636364	98.625	118.0909091
DUS1L	119.75	604.9090909	217.1153846	395.3636364	272.5	391.2727273
DUS2L	394	188	187.1923077	242.1818182	197.25	304.6363636
