CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
stdev.Mix_10	1.41140402474436e-09	5.03617397887338e-09	5.99193344745578e-09	1.9726253254592e-08	9.51077894881303e-09	5.41316388133556e-09	4.53895076986681e-09	1.47081361408254e-08	1.83820350970038e-08
stdev.Mix_11	6.15648311932574e-10	6.31950403503365e-09	6.62695350292093e-09	2.51864832908239e-08	1.23597930245943e-08	5.87010325052478e-09	5.95553782886597e-09	1.8721288776575e-08	2.42006226018765e-08
stdev.Mix_12	4.75454421972312e-09	1.01950178247856e-08	8.06515732370379e-09	2.14769167587412e-08	1.3053007625702e-08	7.44809661654533e-09	4.67573777252518e-09	3.08954814502637e-08	1.89966016492803e-08
stdev.Mix_13	1.89207940062452e-09	3.5542423642566e-09	9.90665144979301e-09	6.5084035037058e-09	4.5234092167498e-09	7.43851006064453e-09	8.7260360093875e-09	1.04783237614537e-08	7.40017410683818e-09
stdev.Mix_14	0	3.69699060289984e-09	4.72687707532157e-09	1.16083686954508e-08	5.08711520954231e-09	3.74613080405322e-09	9.4440036916993e-09	1.11119397314972e-08	1.36200607996975e-08
stdev.Mix_15	1.97210475928596e-09	9.29358931188086e-09	6.61898713803682e-09	1.26130136768974e-08	7.1597679804311e-09	5.66011699204557e-09	4.71938365548903e-09	2.16928565841287e-08	9.02691531430117e-09
stdev.Mix_16	6.33487384734374e-09	7.88170892876414e-09	3.09941256480458e-09	7.07011414846811e-09	5.71148531226299e-09	9.37916985672172e-09	3.25403691310094e-09	9.98587902597889e-09	8.32100221102342e-09
stdev.Mix_17	2.71909256772923e-09	8.31680527395012e-09	8.95400358971053e-09	2.44998545746993e-08	1.38292617509355e-08	8.57322818848486e-09	2.52607696893811e-09	3.63288029442395e-08	2.32653226423283e-08
stdev.Mix_18	1.3370082656073e-09	8.63346563531054e-09	5.27580537984023e-09	1.60240079811525e-08	1.15103680232184e-08	4.71986071651421e-09	0	1.89964254799985e-08	1.52895475154404e-08
stdev.Mix_19	6.86284595811129e-10	9.57212063984248e-09	2.89789156726499e-09	2.1728442396429e-08	2.3022153661603e-09	3.47495266607151e-09	2.094445136737e-09	2.23296916196261e-08	1.03995407738786e-08
stdev.Mix_20	2.31988651466058e-09	1.42833901786774e-08	3.70653307914628e-09	1.34568724281622e-08	8.55260929308296e-09	3.75599641058471e-09	4.64086789055641e-09	1.54895666138108e-08	1.24691022439757e-08
stdev.Mix_21	4.49156827396216e-09	1.09548121687767e-08	3.01946019553902e-09	1.21843065170837e-08	3.6907617692979e-09	1.67125249779736e-09	0	2.97949012321935e-09	5.71583570011513e-09
stdev.Mix_22	5.09902062054941e-09	1.19640719921467e-08	4.74649531397988e-09	1.61262637767962e-08	4.29860528134425e-09	4.11627262724454e-09	4.79841527416972e-09	2.86264404723226e-08	1.19503606556642e-08
stdev.Mix_23	3.30144649546953e-09	8.62284183627774e-09	1.74986978590664e-09	1.00095968467958e-08	6.45317846752079e-09	8.78745562505193e-10	3.85309552442210e-09	1.4423752300136e-08	9.99747895273305e-09
stdev.Mix_24	1.30841952232803e-09	3.03830009831925e-09	1.33098270398552e-08	2.07417832816572e-08	1.47333450790552e-08	1.20678097914408e-08	0	2.13536221507514e-08	1.79349418160728e-08
stdev.Mix_25	0	2.46289270990744e-09	2.7543171574899e-09	1.24914874495274e-08	1.08064315304129e-08	2.61300157678816e-09	3.65830215762752e-09	1.22718203820402e-08	1.28352314648065e-08
stdev.Mix_26	1.92669948985175e-09	9.25683759469167e-09	5.87778209582887e-09	1.4276244213259e-08	6.10779458362074e-09	3.65113428234556e-09	1.08714863331267e-08	1.56600357338055e-08	1.29983205379282e-08
stdev.Mix_27	1.36498589373674e-09	1.2772170055614e-08	3.75117705000034e-09	2.70265668270309e-08	9.29375265031231e-09	4.32443599048106e-09	0	3.06428120818953e-08	2.65042274433353e-08
stdev.Mix_28	6.42528749081345e-09	3.31005692664289e-09	4.23223697712491e-09	8.60100220935453e-09	9.77578730346051e-09	7.52271758677813e-09	1.94528910600116e-09	3.80603952013789e-09	1.14865701815968e-08
stdev.Mix_29	3.41041096635455e-09	1.26222679080397e-08	1.22577435557478e-08	2.92197092985684e-08	1.29105733197795e-08	1.12894889228031e-08	1.21127605421995e-09	3.06631678045758e-08	2.69955056359111e-08
stdev.Mix_30	0	9.92333227571508e-09	7.07959395211626e-09	2.15334683472218e-08	1.29013402927533e-08	6.8254687740115e-09	3.93857682465897e-09	3.42769215646396e-08	2.11394087243538e-08
stdev.Mix_31	4.24000288390616e-09	1.2793148838992e-08	6.65434962642037e-09	2.19474506130417e-08	1.78716419382189e-08	5.45269345426702e-09	1.30255269138415e-09	3.13788264067034e-08	2.50809695045106e-08
