B.cells.naive,B.cells.memory,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.CD8,Macrophages.M0,Macrophages.M1,Macrophages.M2,Mast.cells.resting,Mast.cells.activated
mix_69,0,0.0312672740164298,0,0.252827914880979,0.261568438446066,0.33015483596632,0,0.0641154051536438,0.00798779325507237,0.0520783382814891,0
mix_70,0.00709089477928793,0.00511751425161044,0,0.427605546931418,0.177272789649504,0.108519119291032,0.00629740231698818,0.13267321162582,0.066348755847312,0.0690747653070282,0
mix_71,0.00210012371705498,0.0010533899835269,0,0.118555331631133,0.253458964306799,0.41001575756353,0,0.100412483526163,0.0624090992567124,0.0497531265591656,0.00224172345591599
mix_72,0,0.00584274842502426,0,0.0722003312896245,0.252056959790942,0.427173247600402,0,0.120147146944267,0.102046061230956,0.00316898786282453,0.0173645168559605
mix_73,0,0.0324751913690193,0,0.391480232308007,0.200571411279924,0.150560923776361,0.0217469220503269,0.147184300099026,0.0373899036942074,0.018591115423128,0
mix_74,0,0.00488661070106187,0,0.221512307505956,0.286225600800543,0.3911007485596,0,0.0345653065880902,0.030654015173604,0.0310554106711452,0
mix_75,0,0.0322047374902898,0,0.410970177704807,0.21710663717681,0.162212268315873,0,0.0736464497585096,0.0531025365686803,0.0507571929850308,0
mix_76,0,0,0,0,0.26727145346252,0.497595842221203,0,0.0796150735260951,0.0652225509180327,0.00395690077624124,0.0863381790959078
mix_77,0,0.00993558248302435,0,0.19846939217856,0.267252747497796,0.368668668665259,0,0.0514624787989176,0.0319557615354033,0.0722553688410401,0
mix_78,0,0.0152507704552931,0,0.292776468507355,0.239539623378176,0.285397397765934,0,0.100394333250504,0.0507997763736647,0.0158416302690729,0
mix_79,0,0.0958001279050953,0,0.252753960404487,0.168085809275868,0.142166616334021,0.01089182786827,0.154642677125132,0.141151612203316,0.034507368883811,0
mix_80,0,0.0653536835339016,0,0.420282557470852,0.16713055085164,0.0897633837095142,0,0.0785746709745681,0.101289610718545,0.0776055427409798,0
mix_81,0,0.061569244131723,0,0.195013860630244,0.156930569600597,0.187184240694506,0,0.111234543995447,0.178948254450476,0.108392847153199,0.000726439343809018
mix_82,0.0465192730475365,0,0,0.0980475524499578,0.074857552239269,0.112888018558523,0.0592817658683237,0.207186473258599,0.061484575124376,0.333704345279021,0.00603044417439427
mix_83,0,0.0176769371323311,0,0.516718278253752,0.178839182252728,0.0507080530278326,0.0055292883514908,0.103022845829714,0.0100034245636931,0.117501990588457,0
mix_84,0,0,0,0.05567500068793,0.265511538057897,0.453779153558503,0,0.0771927249443807,0.0325610132395724,0.0839013240430272,0.0313792454686905
mix_85,0.00590214158043145,0,0,0.11725291222156,0.194523589291872,0.311038409151673,0,0.103712388782267,0.0877159369895825,0.153838431294719,0.0260161906878966
mix_86,0,0.0102903012574077,0,0.166199946863578,0.274504672842589,0.412582407897006,0,0.084125230241168,0.0328274822116582,0.0194699586865942,0
mix_87,0,0,0,0.0676069795369341,0.317725549994955,0.510138504086254,0,0.0283607634628724,0.0574164469187075,0.0187517560002769,0
mix_88,0,0,0,0.156311523328211,0.284242265595356,0.414028622260431,0,0.0478675475241846,0.0589712589459184,0.0385787823458996,0
mix_89,0,0.156770071450853,0,0.305236570293337,0.0972390294242024,0.0283993452287118,0,0.175652107504458,0.180987460285026,0.0557154158134122,0
mix_90,0,0,0,0.0390349070644095,0.31921208174824,0.523474218005892,0,0.0221355170276456,0.0202105234981978,0.0570661802517305,0.018866572403885
mix_91,0,0,0,0.102978971556933,0.281303883819904,0.442421701715255,0,0.0481981788947509,0.0299847350203544,0.0832465150496402,0.0118660139431636
mix_92,0,0.00871417953239139,0,0.262811954489327,0.259028289940759,0.321114437851012,0,0.0573473654899161,0.0192705765841825,0.0717131961124125,0
