Chondrocyte.articular,B.cell.naive,B.cell.memory,Monocyte.CD14,NK.cell.CD56,Endothelial.large.blood.vessel,Endothelial.microvascular.mammary.or.endometrial,Endothelial.microvascular.non.reproductive,Epithelial.cell.mammary,Epithelial.renal.cortical,Epithelial.respiratory,Fibroblast.cardiac.ventricle,Fibroblast.of.arm,Fibroblast.of.lung,Fibroblast.of.the.aortic.adventitia,Fibroblast.or.papilla.dermal.cell,Hair.follicular.keratinocyte,Macrophage,Mature.neutrophil,Melanocyte.of.skin,Myometrial.cell,Osteoblast,MSC.like.pluripotent.cell,Myocyte.regular.cardiac,Smooth.muscle.cell.aortic,Smooth.muscle.cell.bronchial,Smooth.muscle.cell.of.bladder,Smooth.muscle.cell.coronary.artery,Smooth.muscle.cell.pulmonary.artery,Smooth.muscle.cell.of.trachea,Smooth.muscle.cell.uterine,T.Cell.CD4,T.cell.CD4.memory,T.cell.CD8.memory
mix_43,0,0,0,0,0,0,0,0,0,0,0,0,0.216984929569039,0,0.0279960226351961,0,0.166023004931897,0.0784604225435279,0.0866411259222068,0,0,0,0,0.0415863391744615,0,0,0,0,0,0.155144868553251,0,0,0.227163286670425,0
mix_44,0,0,0,0,0,0,0,0,0,0,0,0,0.204004173862167,0,0.0196246758835399,0,0.16592961126928,0.042533615681405,0.102790187996864,0,0,0,0,0.0515255844755647,0,0,0,0,0,0.161789264483909,0,0,0.251802886347283,0
mix_45,0,0,0,0,0,0,0,0,0,0,0,0,0.216462948783283,0,0.0222432596699002,0,0.161003847643141,0.0717686277631434,0.0962827242719316,0,0,0,0,0.0473737907068764,0,0,0,0,0,0.157641069227497,0,0,0.227223731934225,0
mix_46,0,0,0,0,0,0,0,0,0,0,0,0,0.21712187510287,0,0.0257362559726055,0,0.163918499608324,0.0850383660080193,0.0921851643452746,0,0,0,0,0.0436138683625461,0,0,0,0,0,0.155243402632795,0,0,0.217142567967563,0
mix_47,0,0,0,0,0,0,0,0,0,0,0,0,0.238550071197163,0,0.0518844839074446,0,0.163437141159009,0.102384396160728,0.0558834806063312,0,0,0,0,0.0231810539404198,0,0,0,0,0,0.146101595706862,0,0,0.218577777322043,0
mix_48,0,0,0,0,0,0,0,0,0,0,0,0,0.203132778041237,0,0.0208331089032648,0,0.166547701314332,0.0543138917440076,0.103944505747541,0,0,0,0,0.0487208483071737,0,0,0,0,0,0.161253948598478,0,0,0.241253217343957,0
mix_49,0,0,0,0,0,0,0,0,0,0,0,0,0.201861830543297,0,0.00783624393879023,0,0.162462538577446,0.0858287508125706,0.119200488337676,0,0,0,0,0.0602504012650939,0,0,0,0,0,0.161157804170171,0,0,0.201401942354948,0
mix_50,0,0,0,0,0,0,0,0,0,0,0,0,0.212846560086982,0,0.0171201096302018,0,0.161604513626496,0.0547435309574222,0.0991426332541435,0,0,0,0,0.0505462613392375,0,0,0,0,0,0.162261430497865,0,0,0.241734960607657,0
mix_51,0,0,0,0,0,0,0,0,0,0,0,0,0.225744166543653,0,0.0376176744632927,0,0.163526532455597,0.0874328867857982,0.0766254714305604,0,0,0,0,0.0341285139508021,0,0,0,0,0,0.152394081151544,0,0,0.22253067321875,0
mix_52,0,0,0,0,0,0,0,0,0,0,0,0,0.220497862007332,0,0.030143239817717,0,0.1647441782293,0.0825217959765597,0.0843762272630639,0,0,0,0,0.0392629471734332,0,0,0,0,0,0.154835277081562,0,0,0.223618472451022,0
mix_53,0,0,0,0,0,0,0,0,0,0,0,0,0.2073624749337,0,0.0273077187909527,0,0.166506675642036,0.0746097971283428,0.0923458409000274,0,0,0,0,0.0437328735184911,0,0,0,0,0,0.159085457476295,0,0,0.229049161610148,0
mix_54,0,0,0,0,0,0,0,0,0,0,0,0,0.215403971196863,0,0.0197400397276108,0,0.163356565344052,0.05673729673201,0.0920262487383363,0,0,0,0,0.0471371960182063,0,0,0,0,0,0.161401677257885,0,0,0.244197004985046,0
mix_55,0,0,0,0,0,0,0,0,0,0,0,0,0.218486290416234,0,0.0278859780253726,0,0.166307304759903,0.0618137998738263,0.0860128288193665,0,0,0,0,0.0404096228044576,0,0,0,0,0,0.157445130802587,0,0,0.241639044498258,0
mix_56,0,0,0,0,0,0,0,0,0,0,0,0,0.208726601100378,0,0.0155073470288703,0,0.164487630700108,0.0506102227106306,0.102606821165766,0,0,0,0,0.0514875633249156,0,0,0,0,0,0.16295752174054,0,0,0.243616292228781,0
mix_57,0,0,0,0,0,0,0,0,0,0,0,0,0.207353934354372,0,0.0135762771678094,0,0.162203574110113,0.0431228939274679,0.10297175591437,0,0,0,0,0.0535653325837394,0,0,0,0,0,0.165859129569397,0,0,0.251347102372732,0
mix_58,0,0,0,0,0,0,0,0,0,0,0,0,0.220695177875633,0,0.0255360126601636,0,0.162729290957198,0.058102020556308,0.087445217010993,0,0,0,0,0.0428492120447234,0,0,0,0,0,0.158400607477805,0,0,0.244242461417167,0
mix_59,0,0,0,0,0,0,0,0,0,0,0,0,0.218253725455254,0,0.032294002815504,0,0.165017112737348,0.0935338830274702,0.0844007732432234,0,0,0,0,0.0394689021836637,0,0,0,0,0,0.152349071447844,0,0,0.214682529089682,0
mix_60,0,0,0,0,0,0,0,0,0,0,0,0,0.214239911885347,0,0.0231899678331343,0,0.166123325524726,0.0599332102490322,0.0908751875954007,0,0,0,0,0.0454732422607027,0,0,0,0,0,0.158319818565591,0,0,0.241845336086056,0
mix_61,0,0,0,0,0,0,0,0,0,0,0,0,0.218636798082053,0,0.0240274227557607,0,0.161580874527988,0.0683693117315515,0.0900987047277066,0,0,0,0,0.044101443077013,0,0,0,0,0,0.158868395431483,0,0,0.234317049666443,0
mix_62,0,0,0,0,0,0,0,0,0,0,0,0,0.225694838575764,0,0.0322265523820896,0,0.164187933246784,0.0883001843079918,0.0816064799119694,0,0,0,0,0.0383152971379967,0,0,0,0,0,0.150522291864633,0,0,0.21914642257276,0
mix_63,0,0,0,0,0,0,0,0,0,0,0,0,0.218633280998276,0,0.0208820853181008,0,0.162692894864158,0.0582526258590301,0.0903691621249665,0,0,0,0,0.0462781602376759,0,0,0,0,0,0.1599059811445,0,0,0.242985809453288,0
mix_64,0,0,0,0,0,0,0,0,0,0,0,0,0.231640605948308,0,0.0525008664641339,0,0.163021363371772,0.0980983510313777,0.0607127455451919,0,0,0,0,0.0236136209056058,0,0,0,0,0,0.148783812208272,0,0,0.221628634525321,0
mix_65,0,0,0,0,0,0,0,0,0,0,0,0,0.222716729430153,0,0.0330827904697704,0,0.165334855737659,0.0890119726770043,0.0811784676556562,0,0,0,0,0.0379384157952928,0,0,0,0,0,0.152245891137091,0,0,0.218490877097373,0
mix_66,0,0,0,0,0,0,0,0,0,0,0,0,0.210395244065997,0,0.0318066357906888,0,0.164833703579414,0.0837758111951176,0.0920350097880505,0,0,0,0,0.040405717321024,0,0,0,0,0,0.156241041816851,0,0,0.220506836442861,0
mix_67,0,0,0,0,0,0,0,0,0,0,0,0,0.213118572688072,0,0.0250478682919476,0,0.163340805658433,0.0675657170160295,0.0944053122913608,0,0,0,0,0.0456709827174586,0,0,0,0,0,0.157640416532523,0,0,0.233210324804174,0
mix_68,0,0,0,0,0,0,0,0,0,0,0,0,0.22196776217425,0,0.0325157809377572,0,0.162507346140023,0.0709126994508023,0.0794824223822369,0,0,0,0,0.0370776038987419,0,0,0,0,0,0.157909244042851,0,0,0.237627140973339,0
mix_69,0,0,0,0,0,0,0,0,0,0,0,0,0.213197109961661,0,0.0188409954147846,0,0.16242349977702,0.04377054243055,0.0925758013532614,0,0,0,0,0.0486093983656683,0,0,0,0,0,0.164393065028976,0,0,0.256189587668073,0
mix_70,0,0,0,0,0,0,0,0,0,0,0,0,0.229623956644285,0,0.0350785691827286,0,0.162550830629024,0.0821946467698593,0.0767071197887736,0,0,0,0,0.0344174830264111,0,0,0,0,0,0.152641651615898,0,0,0.226785742343018,0
mix_71,0,0,0,0,0,0,0,0,0,0,0,0,0.222840917320581,0,0.0308670196240401,0,0.163832954313678,0.0773705143698145,0.0806025424728322,0,0,0,0,0.0385018641984642,0,0,0,0,0,0.155602510971819,0,0,0.230381676728769,0
mix_72,0,0,0,0,0,0,0,0,0,0,0,0,0.226303374194052,0,0.0303001688182463,0,0.162825954896909,0.0874156701577102,0.0807708210781526,0,0,0,0,0.0396328499736574,0,0,0,0,0,0.152491016160347,0,0,0.220260144720918,0
mix_73,0,0,0,0,0,0,0,0,0,0,0,0,0.23001893268838,0,0.0333965771806794,0,0.162300532927292,0.0770947179127715,0.0730254029759356,0,0,0,0,0.0357048977411071,0,0,0,0,0,0.154102416489095,0,0,0.234356522084731,0
mix_74,0,0,0,0,0,0,0,0,0,0,0,0,0.199285265875069,0,0.0099561174990639,0,0.167311602709959,0.0227750600982044,0.111803550734509,0,0,0,0,0.0576915044641046,0,0,0,0,0,0.16691350588852,0,0,0.264263392730556,0
mix_75,0,0,0,0,0,0,0,0,0,0,0,0,0.212760066836507,0,0.0214745871815463,0,0.165488912893637,0.0577435823356021,0.0928459699288437,0,0,0,0,0.0466877780277109,0,0,0,0,0,0.15994985305601,0,0,0.243049249740137,0
mix_76,0,0,0,0,0,0,0,0,0,0,0,0,0.222896610725051,0,0.026581254180466,0,0.161282138259344,0.0884162770051377,0.0893412695020699,0,0,0,0,0.0429528374279764,0,0,0,0,0,0.153690991124669,0,0,0.214838621775283,0
mix_77,0,0,0,0,0,0,0,0,0,0,0,0,0.210543667817408,0,0.0183841870083336,0,0.163170017127339,0.0540588683390429,0.0961972444046535,0,0,0,0,0.0497852839263307,0,0,0,0,0,0.162245232201633,0,0,0.245615499175261,0
mix_78,0,0,0,0,0,0,0,0,0,0,0,0,0.222210718325003,0,0.0283017188033724,0,0.164331791933854,0.0659084013556618,0.0815008429305239,0,0,0,0,0.0397848824053262,0,0,0,0,0,0.158073163834546,0,0,0.239888480411705,0
mix_79,0,0,0,0,0,0,0,0,0,0,0,0,0.224132431680848,0,0.0356597742752758,0,0.163293018245206,0.101431869341159,0.0765378600115686,0,0,0,0,0.0366015105771974,0,0,0,0,0,0.151304842848077,0,0,0.211038693020659,0
mix_80,0,0,0,0,0,0,0,0,0,0,0,0,0.208796616805324,0,0.0204399245333441,0,0.166648685962983,0.0738089535795246,0.0939557006417533,0,0,0,0,0.0486573989550117,0,0,0,0,0,0.158006908497106,0,0,0.229685811024956,0
mix_81,0,0,0,0,0,0,0,0,0,0,0,0,0.213409482011286,0,0.0329873648975515,0,0.167141479265117,0.100223121510364,0.0896840222104402,0,0,0,0,0.0412074372805784,0,0,0,0,0,0.150251964291286,0,0,0.20509512853338,0
mix_82,0,0,0,0,0,0,0,0,0,0,0,0,0.239437560174718,0,0.0545751884804176,0,0.160097885889067,0.118895354296994,0.0648723719926016,0,0,0,0,0.0220557160868403,0,0,0,0,0,0.143362199128426,0,0,0.196703723950937,0
mix_83,0,0,0,0,0,0,0,0,0,0,0,0,0.226178424188271,0,0.0314534597328677,0,0.16128704365969,0.0703745308173071,0.0796599353711564,0,0,0,0,0.0364587687498299,0,0,0,0,0,0.157500008191303,0,0,0.23708782928958,0
mix_84,0,0,0,0,0,0,0,0,0,0,0,0,0.221934909941424,0,0.029300866322756,0,0.162034548781927,0.0770585487130267,0.0840856425076291,0,0,0,0,0.039717102688756,0,0,0,0,0,0.156816597379611,0,0,0.229051783664869,0
mix_85,0,0,0,0,0,0,0,0,0,0,0,0,0.225398406607228,0,0.0368377872425396,0,0.163624454548498,0.0964888900844288,0.0811101551819177,0,0,0,0,0.0357556936193811,0,0,0,0,0,0.148991490869635,0,0,0.211793121846356,0
mix_86,0,0,0,0,0,0,0,0,0,0,0,0,0.219363619113678,0,0.0213717139911641,0,0.161918599221255,0.0566610112753394,0.0881404600289162,0,0,0,0,0.0457170161330859,0,0,0,0,0,0.160788409863981,0,0,0.246039170372574,0
mix_87,0,0,0,0,0,0,0,0,0,0,0,0,0.195397969653445,0,0,0,0.163239536403815,0.0283336193756138,0.127949553643612,0,0,0,0,0.0682253988610643,0,0,0,0,0,0.167513050188067,0,0,0.249340871874382,0
mix_88,0,0,0,0,0,0,0,0,0,0,0,0,0.207405411210708,0,0.015510855454839,0,0.163989372472707,0.0527689411417257,0.104926516504026,0,0,0,0,0.0524846371608224,0,0,0,0,0,0.162600930861503,0,0,0.24031333519367,0
mix_89,0,0,0,0,0,0,0,0,0,0,0,0,0.217350661993818,0,0.0362321542863244,0,0.167275661742823,0.0965855434404475,0.0779778759171469,0,0,0,0,0.0380558878424688,0,0,0,0,0,0.151271557073054,0,0,0.215250657703915,0
mix_90,0,0,0,0,0,0,0,0,0,0,0,0,0.203744929402405,0,0.00652824861849486,0,0.162893154740147,0.0311466983260968,0.113897332141667,0,0,0,0,0.0600542388577205,0,0,0,0,0,0.167716386046603,0,0,0.25401901186686,0
mix_91,0,0,0,0,0,0,0,0,0,0,0,0,0.215422267400419,0,0.0181195845576332,0,0.161297447415985,0.0643466681429715,0.0982450041867667,0,0,0,0,0.0493801402529511,0,0,0,0,0,0.16082023427307,0,0,0.232368653770201,0
mix_92,0,0,0,0,0,0,0,0,0,0,0,0,0.210854166608848,0,0.0205301468278456,0,0.164895624286177,0.0466606803042815,0.0950784755926077,0,0,0,0,0.0474924912618572,0,0,0,0,0,0.162552990536486,0,0,0.251935424581899,0
mix_93,0,0,0,0,0,0,0,0,0,0,0,0,0.236701269905745,0,0.043081565840929,0,0.158855550975658,0.091605552513167,0.0617900947478353,0,0,0,0,0.0292120609289002,0,0,0,0,0,0.152313533643171,0,0,0.226440371444589,0
mix_94,0,0,0,0,0,0,0,0,0,0,0,0,0.206663422215072,0,0.01137913074421,0,0.162472924732409,0.0411486005236956,0.106693923705577,0,0,0,0,0.0549535200344666,0,0,0,0,0,0.166305907628457,0,0,0.250382570416107,0
mix_95,0,0,0,0,0,0,0,0,0,0,0,0,0.211251481745156,0,0.0183139397559945,0,0.163647708635823,0.0444705373240266,0.097413657224881,0,0,0,0,0.0488397719295707,0,0,0,0,0,0.164053472291702,0,0,0.25200943109285,0
mix_96,0,0,0,0,0,0,0,0,0,0,0,0,0.209558593879475,0,0.0243179928718925,0,0.165214713701043,0.0673262421863331,0.0969773268389831,0,0,0,0,0.0465437908731667,0,0,0,0,0,0.158296924781971,0,0,0.231764414867127,0
mix_97,0,0,0,0,0,0,0,0,0,0,0,0,0.200464120186458,0,0.0109015376239683,0,0.162560943023787,0.0501151995671074,0.11782003356937,0,0,0,0,0.0568794622885479,0,0,0,0,0,0.165469646838472,0,0,0.235789056902282,0
