ID,naive_B_cell,memory_B_cell,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell
S10735,7.00794666667,6.2751,6.8314,7.910375,5.30173333333,5.8268,6.47404545455,5.36963076923
S10740,6.86193333333,6.0827,6.753,8.11705,5.47465,6.216875,6.74390909091,5.29585384615
S10745,6.96372666667,6.12284,6.53218333333,7.3183,5.33455833333,5.9716,6.55850909091,5.29385384615
S10748,7.00801333333,6.16476,6.85998333333,7.88135,5.40035,5.8249375,6.56793636364,5.25843076923
S10753,7.15384666667,6.19146,7.08486666667,8.390775,5.51919166667,6.06770625,6.81601818182,5.26985384615
S10756,6.9729,6.10512,7.1781,8.025425,5.478775,5.83739375,6.45057272727,5.32079230769
S10757,7.14364,6.21456,7.7611,8.923125,5.34141666667,5.7798,6.54804545455,5.34745384615
S1076,7.11415333333,6.1151,6.90565,8.05425,5.48174166667,5.90850625,6.69538181818,5.24137692308
S10764,6.88946,6.17304,6.64331666667,7.796,5.85490833333,5.820975,6.38392727273,5.45868461538
S10767,6.98589333333,6.06304,7.18603333333,8.39255,5.27614166667,5.7543875,6.57474545455,5.41360769231
S10776,7.02372666667,6.0703,6.73723333333,7.99855,5.33244166667,5.83946875,6.55046363636,5.33363076923
S10778,6.89686,6.15272,7.01393333333,8.2529,5.42834166667,5.89021875,6.64283636364,5.36116153846
S10784,6.98404666667,5.99932,6.48233333333,7.5059,5.46445833333,6.0218125,6.53384545455,5.19918461538
S10787,6.92482666667,6.29438,6.6382,7.90455,5.429975,5.76891875,6.595,5.38244615385
S10800,7.51684666667,6.4968,7.07186666667,7.79265,5.29248333333,5.82323125,6.45067272727,5.20776923077
S10805,7.03006,6.08316,6.64046666667,7.73215,5.47914166667,5.91581875,6.5476,5.29390769231
S10813,6.85800666667,6.10148,6.61445,7.794175,5.25665,5.8220625,6.52249090909,5.38993076923
S10814,6.42544666667,6.2278,6.62085,7.088825,5.35330833333,5.792875,6.44994545455,5.4604
S10815,6.8854,6.06058,7.1838,8.003425,5.40676666667,5.88905625,6.3666,5.17161538462
S10817,6.72390666667,6.01898,7.04938333333,8.1963,5.34209166667,5.66674375,6.30560909091,5.39858461538
S1083,7.0287,6.18618,7.09038333333,8.39205,5.31963333333,5.818725,6.66279090909,5.30041538462
S10835,6.42089333333,6.03312,6.70008333333,7.466575,5.39511666667,6.13701875,6.57444545455,5.2322
S10838,6.62840666667,5.96528,7.1588,8.107875,5.40825,5.97030625,6.35501818182,5.23073076923
S10844,6.94167333333,5.9842,6.97996666667,8.0434,5.28955833333,5.7771,6.36945454545,5.3993
S10845,6.79269333333,5.98772,6.8623,7.5377,5.39523333333,5.9224125,6.55991818182,5.26882307692
S10846,7.38951333333,6.0726,7.31655,8.472125,5.25629166667,5.76386875,6.56210909091,5.32471538462
S10853,6.38548666667,5.77488,6.54603333333,7.174725,5.50586666667,5.739875,6.35361818182,5.22699230769
S10854,7.18474,6.12736,7.38721666667,8.500325,5.46795,5.68483125,6.50391818182,5.23336923077
S10865,6.95509333333,6.05208,6.90231666667,7.9232,5.56611666667,5.9589875,6.61792727273,5.23660769231
S10866,6.76650666667,6.04684,6.92145,8.162775,5.480825,5.89245625,6.43161818182,5.30899230769
S10869,6.68001333333,6.06604,6.33018333333,7.709325,5.509425,6.002025,6.69182727273,5.36041538462
S10873,6.84606,6.03274,6.62713333333,7.835175,5.34541666667,6.006225,6.60620909091,5.25725384615
S10876,6.98647333333,6.13844,7.35083333333,8.49515,5.57136666667,5.711875,6.6135,5.22956923077
S10883,6.78603333333,6.2171,6.74188333333,7.3402,5.42331666667,5.9140375,6.45051818182,5.49663076923
S10885,6.78707333333,6.03982,6.96145,7.7836,5.446675,6.011075,6.66624545455,5.34113846154
S10893,6.63400666667,5.96026,7.06955,7.6232,5.364275,5.9380625,6.50019090909,5.30838461538
S10895,6.70326666667,6.01164,6.67053333333,7.78655,5.56263333333,5.9094875,6.71538181818,5.27703846154
S10902,6.83173333333,6.15056,6.92416666667,7.886025,5.26236666667,5.91020625,6.26609090909,5.25787692308
S10903,6.54995333333,5.91562,6.95638333333,7.83715,5.83758333333,5.84055,6.64687272727,5.54730769231
S1092,6.81836666667,6.02378,6.98248333333,7.6418,5.38393333333,5.9361,6.60983636364,5.25996153846
S10925,6.91082666667,6.1709,6.78056666667,7.76895,5.53748333333,5.69749375,6.50143636364,5.22871538462
S10927,6.80788,6.16018,6.90756666667,8.111725,5.389825,5.83068125,6.75937272727,5.26343076923
S10936,6.96894666667,6.3404,7.12625,8.488175,5.385275,5.94313125,6.70541818182,5.2769
S10945,7.15138666667,6.27528,6.75398333333,8.079125,5.6195,5.9796125,6.65882727273,5.34421538462
S10947,6.57309333333,6.08298,6.78638333333,7.44685,5.38578333333,5.77049375,6.41356363636,5.36351538462
S10949,6.84258,5.93338,7.52675,8.377475,5.44584166667,5.73510625,6.34675454545,5.41317692308
S1095,6.71511333333,5.99966,6.5302,7.38395,5.29759166667,5.79953125,6.47431818182,5.41976923077
S10961,6.59410666667,6.0012,6.57375,8.02295,5.403075,5.9436,6.45467272727,5.31129230769
S10969,6.85726666667,6.01172,7.2044,8.1468,5.42059166667,5.80385,6.53600909091,5.34100769231
S10972,7.10955333333,6.17114,6.38231666667,7.5043,5.211775,5.8465625,6.52397272727,5.25079230769
S10973,7.14771333333,6.14758,6.67846666667,8.088125,5.53420833333,5.92048125,6.41529090909,5.27445384615
S10978,6.84966,6.00848,6.84803333333,8.18235,5.387125,5.90553125,6.54125454545,5.20316153846
S10979,7.02887333333,6.20124,7.02816666667,8.0356,5.691825,5.92094375,6.55294545455,5.33101538462
S10986,6.57210666667,5.91586,6.88106666667,7.718375,5.3633,5.8408875,6.40738181818,5.29174615385
S10989,6.76455333333,6.05942,7.2855,8.111675,5.4534,5.699775,6.53329090909,5.25795384615
S10995,6.71774,5.93756,7.27703333333,8.040375,5.47071666667,5.9688625,6.61963636364,5.22426153846
S11005,6.84526666667,6.03226,7.32423333333,7.83985,5.45679166667,5.86263125,6.52070909091,5.37110769231
