Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages
S10228	7.88895622560451e-24	0.999999999999883	1.16940575590317e-13	5.24240293084978e-58	4.27828151228119e-151	1.70601267723419e-213
S10232	8.19717212919272e-24	0.999999999999886	1.13733873336729e-13	5.34300520611745e-58	4.63390707033546e-151	1.45407762786995e-213
S10248	8.71430913427502e-24	0.999999999999874	1.26250236417376e-13	5.0610777710508e-58	4.11975413443819e-151	1.58771891957652e-213
S10249	8.4227141661564e-24	0.999999999999877	1.23422032107768e-13	5.61953760693991e-58	4.89695685772265e-151	2.37149063176295e-213
S1025	9.14876736047511e-24	0.99999999999987	1.30359684596405e-13	5.24922607477771e-58	4.26287977686709e-151	1.67828822515062e-213
S10266	7.68361073981872e-24	0.999999999999891	1.0904247142062e-13	5.80160909958086e-58	4.78567454505479e-151	1.96878919405691e-213
S10269	9.21794530570574e-24	0.999999999999874	1.26485702151067e-13	5.7131266374385e-58	4.85346585163963e-151	1.8265829100071e-213
S10272	8.64884576769399e-24	0.999999999999874	1.26221432783023e-13	6.01702801626458e-58	4.92743115164028e-151	1.81795507146996e-213
S10273	9.48892813325291e-24	0.999999999999875	1.24937298509068e-13	5.40297492474969e-58	4.50009428232334e-151	1.83716972141924e-213
S10274	8.17659184332027e-24	0.999999999999883	1.17454155524839e-13	5.55967043301689e-58	4.38974075752024e-151	1.78140661769414e-213
S1028	8.96659458172712e-24	0.999999999999869	1.31480843698572e-13	5.05317584350336e-58	4.05889166706249e-151	1.76054680431967e-213
S10280	8.55741405273015e-24	0.999999999999874	1.2575949332935e-13	4.56082616257034e-58	3.73775623945528e-151	1.73028437464358e-213
S10283	8.58512235657698e-24	0.999999999999868	1.31963947412504e-13	4.65338404404008e-58	3.78110458332662e-151	1.54298130862332e-213
S1029	8.63930145069565e-24	0.999999999999882	1.18252734778516e-13	5.36674535659427e-58	4.4645808588958e-151	1.65770995577644e-213
S10292	8.48085491646189e-24	0.999999999999884	1.16267110847224e-13	5.55713304112421e-58	4.57100049405218e-151	1.42786212292278e-213
S10294	8.85286744449518e-24	0.999999999999875	1.24661012869239e-13	5.11641343453424e-58	4.20610217083445e-151	1.51358529153211e-213
S10302	8.07284821020244e-24	0.99999999999988	1.20312214384259e-13	5.50517186064382e-58	4.48113722297037e-151	1.67559731226543e-213
S10303	8.34039208860196e-24	0.999999999999884	1.16324527715054e-13	5.36698224092569e-58	4.50385333000293e-151	1.70932478758278e-213
S10323	8.26119939942912e-24	0.999999999999884	1.16461390567588e-13	5.64945951726609e-58	4.67703181918627e-151	1.78900248910926e-213
S10326	8.97916573751253e-24	0.999999999999866	1.3361852876458e-13	5.67391398549402e-58	4.58558854725598e-151	1.83920689371524e-213
S10328	7.56972203134045e-24	0.999999999999878	1.2164671367167e-13	4.93596163992842e-58	4.04912349338523e-151	1.530679566682e-213
S10329	8.83312049624222e-24	0.999999999999877	1.22688628658146e-13	5.14224405828352e-58	4.20557873431186e-151	1.64901841699333e-213
S10336	8.25756515459055e-24	0.999999999999878	1.22512765873354e-13	5.51318355350212e-58	4.64009408231406e-151	1.78273633972983e-213
S10340	8.71630219252382e-24	0.999999999999882	1.18340582700455e-13	5.13761699034192e-58	4.2642958474277e-151	1.61036054861034e-213
