Mixture	B_cells	Monocytes_CD14+CD16-	Monocytes_CD16+CD14-	NK_cells	Neutrophils	T_cells_(CD4+)	T_cells_(CD8+)	P-value	Correlation	RMSE
mix_77	0.221388336495992	0.0934183643586831	0.0220003664554955	0	0	0.374694971535378	0.288497961154452	9999	0.572647457748267	0.898506039095414
mix_78	0.185080064128148	0.474024447066676	0.0239886872235728	0.0268704209840925	0	0.123511360633779	0.166525019963732	9999	0.558896764128882	0.912052685436528
mix_79	0.106768848959221	0.530323381002254	0.0191262915219144	0	0	0.14978348178481	0.193997996731801	9999	0.554709459994135	0.919325834549368
mix_80	0.279935841944901	0.289332219223397	0.00990709646380886	0	0	0.258040623773802	0.162784218594091	9999	0.56241392674755	0.904729051534126
mix_81	0.195794103193119	0.291727030361654	0.00395138674562656	0	0	0.295412110093929	0.213115369605672	9999	0.563571936223386	0.905393870903501
mix_82	0.215075097467449	0.441136051779259	0.00341893599862067	0.00654245162481861	0	0.157409234785821	0.176418228344031	9999	0.560393021043563	0.909019339368532
mix_83	0.181526737665518	0.551504349767088	0.0150273959354787	0.0252191526749797	0	0.0887980285747506	0.137924335382185	9999	0.55322645899085	0.920037971337193
mix_84	0.224865943356649	0.336055909663702	0.003284388135173	0	0	0.248965587052025	0.18682817179245	9999	0.561765577074717	0.906497579014062
mix_85	0.189548017272316	0.324818399932906	0.00368453987216241	0	0	0.264142481993538	0.217806560929077	9999	0.562746437904909	0.906243036952035
mix_86	0.178484915075095	0.200163089335241	0.00774056525516598	0	0	0.323076620752352	0.290534809582146	9999	0.568737966346609	0.901450777601007
mix_87	0.158602292084179	0.407933397117796	0.001639474607865	0	0	0.249115107950632	0.182709728239528	9999	0.561860555288776	0.908333053565737
mix_88	0.221832509270255	0.271950957859344	0.00513848834018339	0.0159673090369027	0	0.26684717542863	0.218263560064685	9999	0.564787117713926	0.903539992824091
mix_89	0.248516632842476	0.15042192965778	0.00786469346507393	0.00596053185852167	0	0.332135135864344	0.255101076311805	9999	0.571388546616338	0.897916359987816
mix_90	0.134620794122347	0.433577238035136	0.0178734317005696	0	0	0.213124690834549	0.200803845307398	9999	0.560080003666929	0.911056370671176
mix_91	0.174741039079098	0.523193796752316	0.0238059280893942	0.0388960096701965	0	0.091394107272466	0.147969119136528	9999	0.553667123515508	0.919012094663325
mix_92	0.182493029315144	0.436145408102725	0.00224788002595997	0	0	0.197894865506005	0.181218817050166	9999	0.561012150654621	0.908965910209637
mix_93	0.0571173915921224	0.751604243883658	0.00464939580744447	0	0	0.0304815155733438	0.156147453143432	9999	0.548674833880779	0.935953466191237
mix_94	0.0754748445026703	0.607108357165309	0.0135139884947873	0.0249152504023343	0	0.0795927765051757	0.199394782929723	9999	0.553249055286801	0.92402923138455
mix_95	0.231026541944863	0.518432401358635	0.0191260036199261	0.0452672075492086	0	0.0713659935736521	0.114781851953716	9999	0.553647575805203	0.917871289126736
mix_96	0.216107189755266	0.477662236526483	0.0275504357209466	0.047680228636014	0	0.091219590626257	0.139780318735033	9999	0.555340367019795	0.915359922371836
mix_97	0.165643059055303	0.468555710950405	0.0241941934943285	0.000114380515484988	0	0.155038284866249	0.186454371118229	9999	0.558588618506205	0.912597616113602
mix_98	0.200423126467612	0.465835493380263	0	0.00203290749407813	0	0.17985938313274	0.151849089525306	9999	0.558459829915686	0.911762580760467
mix_99	0.235895804090577	0.0511436097144747	0.0480534824344737	0	0	0.405402039279272	0.259505064481203	9999	0.573095134791398	0.898239328485487
mix_100	0.192775089817613	0.406822916869683	0.00164182007148827	0	0	0.209474569064795	0.189285604176421	9999	0.56262826215682	0.906697782416717
