Bcells	CD4_Tcells	CD8_Tcells	Monocytes	Neutrophils	NKcells	otherCells
mix_43	0.0195909930537034	2.66045493637969e-09	0.401906519353308	0.0358881335550484	5.3714181251772e-07	0.086861634068164	0.455752180167509
mix_44	0.0438568895327167	0.150861332015739	0.193487079718293	0.0328083894572478	1.77252834373126e-08	0.0772635486862655	0.501722742864454
mix_45	0.0108462898589579	0.11163300436436	0.275259515546325	0.0558888726916851	5.39223312781449e-05	6.28066387935322e-10	0.546318394579327
mix_46	0.103853815352396	1.49378517868014e-09	0.503107077884445	0.0152570089356507	9.42197171452478e-08	0.0519081100408555	0.32587389207315
mix_47	0.127850244869241	0.0114934899205272	0.267108479589667	0.065925162058826	8.43265918761776e-08	0.00240181078197967	0.525220728453167
mix_48	0.179104402658984	4.27216319867811e-08	0.0270991341206245	0.0949455608745513	2.81884132216683e-07	0.0827890782684164	0.616061499471659
mix_49	0.143877689962441	2.00571813178162e-09	0.195567127197617	0.0690415424826308	6.19992282559889e-07	0.0586604793778201	0.532852538981491
mix_50	0.163484723110259	0.0840965644075456	0.326598316971456	0.0191946846066274	2.94066435885947e-07	1.29962744243702e-09	0.406625415538048
mix_51	0.165411105958228	0.0323524409714099	0.0504369855928333	0.0812222078249622	6.72850366117954e-08	0.0724588596483253	0.598118332719204
mix_52	0.246782260621253	0.0523272058489691	0.240459566655324	0.0086959663803519	8.09644509488752e-08	0.0748900038119991	0.376844915717652
mix_53	0.155878809088411	6.47163695336964e-07	0.153437646050558	0.074280477915874	2.50154828091318e-08	0.0532816731459127	0.563120721620066
mix_54	0.214725765585693	2.16116975533857e-09	0.528238527793131	0.00825828645728726	0.0010355953591299	0.00646418312558128	0.241277639518008
mix_55	0.143050406296999	1.16074525335393e-08	0.185739609631871	0.0734183357795725	1.8224007640194e-07	0.0450009270148846	0.552790527429144
mix_56	0.0821291847962168	0.122096764464889	0.260857272991491	0.0412309394352295	9.45785430257238e-06	1.89926128047802e-10	0.493676380267945
