ID,B_cells,Blood_CD34._cells,Dendritic_cells,Eosinophils,Fibroblasts,Keratinocytes,Lymphatic_endothelial_cells,Macrophages,Monocytes,NK_cells,Neutrophils,Plasma_cells_CD138.,Platelets,Reticulocytes,Subcutaneous_Adipose,T_cells_CD3.,T_cells_CD4.,T_cells_CD8.,T_cells_Gamma_Delta,T_cells_Regulatory,Vascular_Endothelial_Cells
S10155,6.677474,6.143936,6.223842,6.763268,6.345266,5.75149,6.13064,6.255954,7.41142,6.733714,7.645272,5.590384,6.251814,5.061502,5.33888,6.9406,7.07109,7.40453,6.750936,6.390132,6.526952
S1016,6.417138,5.981152,6.07573,6.586126,6.302682,5.697678,6.020652,6.15061,7.183484,6.564514,7.542046,5.45688,6.088274,5.0957,5.278036,6.508622,6.66622,7.138906,6.520442,6.176758,6.387276
S10163,6.379626,5.932876,6.143736,6.704638,6.488724,5.732184,6.37017,6.330574,7.378446,6.446334,7.64955,5.507812,6.306162,5.201706,5.317888,6.881524,6.643538,7.270008,6.724764,6.315452,6.483614
S10167,6.501932,6.15696,6.076956,6.687896,6.411016,5.75313,6.225964,6.197854,7.19764,6.687248,7.513064,5.614496,6.30926,5.168724,5.352936,6.554428,6.856124,7.267928,6.67416,6.299782,6.50899
S10168,6.638536,6.133784,6.130718,6.696316,6.327856,5.72957,6.11709,6.180108,7.246542,6.868448,7.541402,5.452916,6.18526,4.9594,5.275694,6.829344,6.986526,7.435426,6.747154,6.408048,6.52796
S10173,6.727924,6.14887,6.123856,6.575704,6.364708,5.797516,6.24145,6.21826,7.30408,6.827704,7.48178,5.532984,6.153248,4.994916,5.347382,6.845102,7.077494,7.42146,6.763862,6.362346,6.441514
S10175,6.571544,6.061498,6.097978,6.718026,6.342142,5.701458,6.110624,6.222828,7.331458,6.785224,7.749302,5.551542,6.23008,5.018476,5.245152,6.702908,6.859302,7.265348,6.721608,6.314824,6.49742
S10179,6.839194,6.40687,6.311644,6.648572,6.455156,5.845214,6.256598,6.429338,7.447786,7.263102,7.726172,5.810938,6.558374,4.924274,5.41244,6.895866,7.287074,7.60624,7.116226,6.52016,6.730396
S10186,6.795624,6.23776,6.191148,6.545042,6.363022,5.694712,6.177858,6.161228,7.29742,6.874324,7.245338,5.554948,6.221062,5.01327,5.26966,6.939142,7.051442,7.481074,6.854094,6.384408,6.539648
S1019,6.532796,6.11585,6.073576,6.696172,6.279742,5.712304,6.15668,6.230606,7.29073,6.7873,7.542828,5.505194,6.220836,5.026442,5.294112,6.783658,6.876526,7.316042,6.681342,6.326348,6.50496
S10190,6.898258,6.343578,6.255874,6.68741,6.443684,5.836304,6.198334,6.330302,7.515796,7.088014,7.685688,5.649458,6.353094,4.97754,5.377224,6.966922,7.333628,7.466954,6.936412,6.469404,6.645696
S10195,6.52836,6.051902,6.131474,6.703978,6.333094,5.704368,6.195806,6.2897,7.33448,6.604382,7.773776,5.564546,6.392432,5.123814,5.26613,6.702618,6.773236,7.172186,6.607744,6.278578,6.559946
S10196,6.638568,6.242608,6.195912,6.796084,6.445498,5.789706,6.235336,6.35153,7.495252,6.934584,7.854358,5.601192,6.485852,5.031896,5.313934,6.881544,7.059292,7.403166,6.89098,6.405388,6.666468
S10200,6.457346,6.023526,6.149578,6.722736,6.358268,5.735448,6.111924,6.200894,7.424408,6.790818,7.776324,5.537136,6.22436,5.01483,5.271932,6.619702,6.743528,7.310138,6.697812,6.311164,6.526312
S10201,6.307784,5.730904,6.061046,6.820278,6.256254,5.644972,6.103532,6.196286,7.268082,6.432746,7.936816,5.39363,6.159892,5.099676,5.213308,6.446938,6.277728,7.039438,6.371304,6.161456,6.448548
S10202,6.378364,5.995562,6.151232,6.666328,6.364324,5.69257,6.15901,6.219336,7.407462,6.669348,7.587288,5.49962,6.093444,5.081076,5.256026,6.739168,6.669106,7.344782,6.670674,6.251372,6.41705
