Mixture	B_cells	T_cells_(CD4+)	T_cells_(CD8+)	Endothelial_cells	Fibroblasts	Macrophage	P-value	Correlation	RMSE
Mix_75	0.402337595629322	0.231579437898502	0.318741196350217	0.0473417701219587	0	0	9999	0.657173960730438	0.811054647383868
Mix_76	0.412525712301376	0.200002132403903	0.339953534175676	0.0475186211190459	0	0	9999	0.654346275895471	0.814391903650883
Mix_77	0.48945359670594	0.207531214603516	0.233953813472413	0.0459592542521398	0	0.0231021209659911	9999	0.667463267978767	0.795825265146184
Mix_78	0.353565206634611	0.262306848754462	0.333404014438564	0.0507239301723627	0	0	9999	0.661578161937937	0.806488221805342
Mix_79	0.424150495450412	0.14589450262602	0.381593985090517	0.0355917034186652	0	0.0127693134143857	9999	0.647347828748492	0.82216492844693
Mix_80	0.477462556304579	0.276134684637809	0.20064679872064	0.0405920344136653	0	0.00516392592330789	9999	0.671138417084887	0.792926201423918
Mix_81	0.498518032163272	0.173354186608261	0.274812349333876	0.0466970242099257	0	0.0066184076846646	9999	0.660219236024104	0.805816833719638
Mix_82	0.453084377753538	0.224061064765825	0.280320593297393	0.0425339641832431	0	0	9999	0.655396662410441	0.812525152683579
Mix_83	0.536941610139838	0.184429880253621	0.243581519471198	0.0263017359921263	0	0.00874525414321698	9999	0.662108835362945	0.803726137497542
Mix_84	0.480820594268897	0.239140333442436	0.223580819805157	0.0505924965846313	0	0.0058657558988789	9999	0.668776837463401	0.795411040212266
Mix_85	0.426230432182665	0.230093499620972	0.315815977033511	0.0278600911628511	0	0	9999	0.660024573836409	0.80814179206067
Mix_86	0.470516571448384	0.160131116283546	0.32681618979835	0.0327040747741225	0	0.00983204769559728	9999	0.659020915591302	0.808055033066738
Mix_87	0.584000502083981	0.18253434311738	0.157708360378756	0.0645377430882941	0	0.0112190513315899	9999	0.655616931498591	0.809126497483081
Mix_88	0.528313258234435	0.281440276846303	0.140365932638726	0.049880532280535	0	0	9999	0.668211497175271	0.795837838303236
Mix_89	0.405165993744113	0.214897911032743	0.305476314869555	0.0561196199691562	0	0.0183401603844326	9999	0.665801639986405	0.798988581022017
Mix_90	0.452736023376189	0.169130881686946	0.352203673427781	0.0259294215090837	0	0	9999	0.64848206699033	0.821757175825041
