	B Cells	Basophils	CD4+ T-cells	CD8+ T-cells	Endothelial cells	Eosinophils	Fibroblasts	Macrophages	Mast cells	Monocytes	NK cells	Neutrophils
S13785	0.028	0.0874	0.2307	0.0386	0.0484	0.4654	0	0.0324	0.0137	0.1047	0.0198	0.1456
S13789	0.0546	0	0.2458	0.0587	0	0.5402	0	0.0234	0.0048	0.0846	0.0765	0.1639
S13791	0.0162	0	0.2266	0	0.0632	0.6418	0	0.0225	0	0.0863	0.0516	0.127
S13794	0	0.0202	0.2441	0.0471	0.0383	0.562	0	0.0218	0.0087	0.075	0.0457	0.1728
S13795	0.1182	0	0.3094	0.0639	0.0195	0.3814	0	0.015	0.0047	0.0793	0.0556	0.1681
S13796	0.0833	0	0.2527	0.0324	0.055	0.4094	0	0.0166	5.00E-04	0.1084	0	0.1746
S13824	0.0878	0	0.2851	0.0342	0.0252	0.3437	0	0	0.0054	0.1043	0	0.1505
S13827	0.1343	0	0.3804	0.0963	0.0437	0.2773	0	0.0258	0	0.066	0.0679	0.1399
S13834	0	0.023	0.1958	0.0085	0.0568	0.5046	0	0	0	0.0676	0.1139	0.162
S13837	0.0692	0	0.2563	0.0051	0	0.6479	0	0.0243	0.0201	0.0655	0	0.1636
S13846	0.0837	0	0.1804	0.0596	0.0036	0.3443	0	0.0979	0.027	0.1974	0.1779	0.1413
S1385	0.0883	0	0.3174	0.0671	0.0451	0.4908	0	0.0491	0	0.0576	0	0.1666
S13851	0	0	0.3572	0.0419	0.0066	0.5608	0	0.0298	0	0.0256	0.0599	0.1551
S13856	0.0355	0	0.253	0.0109	0.0887	0.4848	0	0.0538	0.0018	0.0681	0.0854	0.1532
S13858	0.1819	0	0.4651	0.1691	0.0278	0.056	0	0.0354	0.0145	0.0907	0.1218	0.105
S13866	0.0285	0	0.2758	0.0432	0.0557	0.4899	0	0.0236	0.0036	0.0857	0.1223	0.15
S13877	0.1556	0	0.3454	0.1381	0.0195	0.2344	0	0.0395	0	0.1148	0.0236	0.1619
S13881	0.0094	0	0.2305	0.0363	0.0303	0.615	0	0.0363	0.0062	0.0733	0.0589	0.1591
S13883	0.0577	0	0.3833	0.0848	0.0054	0.4259	0	0.0122	0	0.0581	0.1107	0.1217
S13903	0	0.196	0.1401	0.0048	0.045	0.6248	0	0	0	0.0574	0	0.201
S13904	0.1098	0	0.2777	0.0712	0.0203	0.6846	0	0.0369	0	0.043	0.0753	0.142
S13920	0	0.0047	0.2647	0.0459	0.0728	0.6308	0	0	0	0.0739	0.0513	0.1848
S13925	0.0138	0.0461	0.2181	0.0115	0.0711	0.5009	0	0.0083	0.0118	0.0942	0.0219	0.1749
S13926	0.1072	0	0.3515	0.1102	0	0.345	0	0.0691	0.0089	0.0933	0.0944	0.1434
S1393	0.08	0	0.3625	0.1177	0.0517	0.4898	0	0.0474	0	0	0.0126	0.1268
S13936	0.1328	0	0.3092	0.0821	0.0177	0.3387	0	0.0128	0.012	0.0957	0.0407	0.1623
S13938	0.083	0.0447	0.2602	0.0513	0.0818	0.5098	0	0.0162	0.021	0.069	0.0531	0.1877
S13948	0.1954	0	0.3316	0.103	0.0094	0.2082	0	0.0326	0.0163	0.1189	0.1861	0.1401
S13952	0.2087	0	0.4468	0.0782	0.0208	0.1674	0	0.1139	0.0088	0.1038	0.1236	0.1151
S13955	0.1139	0	0.3326	0.1245	0.0209	0.4009	0	0.0238	0.016	0.073	0.0328	0.1591
S13956	0	0.2044	0.1013	0	0.0909	0.5713	0.0227	0.0019	0.0023	0.0955	0.1392	0.1724
S13959	0.178	0	0.3493	0.0595	0.0016	0.4012	0	0.0177	0	0.0718	0.0781	0.1364
S13972	0.0257	0	0.2807	0.0405	0	0.613	0	0.0255	0.0348	0.088	0.1023	0.1474
S13980	0	0.0228	0.0349	0	0.0798	0.6645	0.0359	0.0404	0.0052	0.1707	0	0.1608
S13982	0.0146	0	0.2415	0.0513	0.112	0.2812	0	0.051	0.0248	0.134	0.1606	0.1392
S13988	0.1117	0	0.2851	0.041	0.0729	0.3235	0	0.0033	0	0.1044	0	0.1965
S14012	0.1893	0	0.2386	0.049	0.0444	0.3715	0	0.0347	0	0.1185	0	0.1633
S14014	0	0	0.3293	0.0454	0.0475	0.4567	0	0.0116	0	0.0838	0.0951	0.131
S14022	0.0077	0	0.3397	0.0543	0.0423	0.6555	0	0.0251	0	0.032	0.0374	0.1474
S14028	0.0101	0.0659	0.2108	0.027	0.0687	0.6037	0	0	0	0.0585	0	0.1411
S14030	0.0276	0.0045	0.1606	0	0.0852	0.3234	0	0.0256	0.0156	0.1816	0.1294	0.1397
S14035	0.1407	0	0.3843	0.1033	0.0511	0.3015	0	0.0508	0	0.0362	0.0715	0.126
S14037	0	0	0.2484	0.0353	0.0854	0.5419	0	0.0259	0.0151	0.1027	0.1433	0.1542
S14038	0	0	0.2903	0	0	0.5236	0	0.046	0.0256	0.1225	0.1543	0.1946
S14049	0.0349	0	0.3151	0.0769	0.0698	0.4872	0	0.1181	5.00E-04	0.1169	0	0.1178
S14051	0.0363	0	0.2451	0.0366	0.0459	0.3469	0	0.0331	0.0094	0.1604	0.1525	0.1569
S14056	0.0657	0	0.3676	0.0947	0.0351	0.1903	0	0.0266	0.0085	0.1191	0.0941	0.1627
S14070	0.0446	0	0.2703	0.0329	0.0502	0.4134	0	0.0643	0.0191	0.1376	0.1141	0.1569
S1408	0.1111	0	0.2662	0.0248	0.0283	0.3884	0	0.0334	0.0112	0.1208	0.0241	0.1871
S14089	0.031	0	0.3051	0.0374	0	0.7408	0	0.0535	0	0.0248	0	0.1473
S14090	0.0384	0	0.2948	0.0659	0.0346	0.4599	0	0.0449	0	0.0961	0.0665	0.129
S14121	0	0	0.1661	0.0289	0.0044	0.4394	0	0.0134	0	0.1424	0.0889	0.1607
S14122	0.0942	0	0.3422	0.057	0.0322	0.6537	0	0.0232	0.0011	7.00E-04	0	0.1288
S14129	0.0077	0	0.2335	0.0573	0.0207	0.4366	0	0.043	0	0.0998	0.2279	0.1595
S14133	0.0836	0	0.2443	0.0473	0	0.4721	0	0.0322	0	0.0751	0.1519	0.1382
S14138	0.0651	0	0.4117	0.0727	0	0.5123	0	0.0432	0.0128	0.0602	0	0.1914
S14141	0.1857	0	0.272	0.0556	0.0066	0.5078	0	0.0119	0.0146	0.0643	0.0316	0.156
S14151	0.0123	4.00E-04	0.2306	0.0567	0.0656	0.4303	0.0029	0	0.0052	0.0843	0.0673	0.1839
S14154	0.1026	0	0.3765	0.0601	0.0287	0.4724	0	0.0365	0.0016	0.0309	0.0237	0.1393
S14157	0.1472	0	0.3641	0.0829	0.0014	0.3326	0	0.0232	0.0318	0.1047	0.131	0.1544
S14161	0.0602	0	0.3456	0.0368	0.0217	0.359	0	0.0509	0.008	0.0989	0.0715	0.1596
S14167	0.1368	0	0.3089	0.0581	0.0392	0.3468	0	0.0184	0.0114	0.0852	0.1268	0.1559
S14185	0.088	0	0.2616	0.0602	0.0129	0.394	0	0.0331	0.008	0.1089	0.0853	0.1772
S1419	0	0	0.2436	0.0013	0.0651	0.5655	0	0.0313	0.0424	0.1	0.1302	0.1575
S14193	0.0384	0	0.3102	0.0558	0.0269	0.4192	0	0.0632	0	0.1039	0.0658	0.1352
S14197	0.0509	0	0.1645	0.0315	0.0459	0.3548	0	0	0	0.1183	0.1804	0.1303
S142	0.0087	0	0.2257	0.0421	0.0298	0.6404	0	0.0256	0.0052	0.042	0.03	0.1856
S14206	0.127	0.0141	0.3436	0.1381	0.0899	0.2289	0	0.0107	0.0046	0.0703	0	0.1636
S14215	0.1125	0	0.3102	0.0347	0.0192	0.3125	0	0.0447	0	0.1187	0	0.1705
S14220	0.0709	0	0.1544	0.0207	0.065	0.4327	0.0277	0.0516	0.0178	0.1373	0.1809	0.1503
S14222	0.0412	0	0.2724	0.0388	0.0221	0.3061	0	0.0388	0.0104	0.132	0.1163	0.1726
S14225	0.0738	0	0.3402	0	0.0513	0.5294	0	0.0284	5.00E-04	0.0689	0.0591	0.1314
S1423	0.1066	0	0.2611	0.0337	0.0243	0.6064	0	0.0378	0	0.0305	0	0.1818
S14233	0.046	0	0.2572	0.0222	0.0381	0.726	0	0.0383	0.0196	0.0604	0.0198	0.1571
S14251	0.0676	0	0.3268	0.0936	0.0267	0.4196	0	0.0139	0.0124	0.0738	0.0655	0.1511
S14260	0.1219	0	0.3584	0.0834	0	0.3168	0	0	0	0.0819	0.0717	0.1534
S14266	0.1022	0	0.3117	0.1183	0	0.4334	0	0.0427	0	0.0893	0.0979	0.1443
S14278	0.0133	0	0.1375	0	0.0609	0.4775	0	0.0136	0.019	0.1542	0.0399	0.159
S14280	0.0328	0	0.3076	0.0212	0.0121	0.6054	0	0.0198	0.0202	0.046	0.1055	0.1754
S14286	0.1485	0	0.2953	0.1083	0.0215	0.5353	0	0	0.0117	0.0397	0	0.1253
S14287	0.15	0	0.3252	0.0929	0	0.4379	0	0.0548	0	0.0597	0.0902	0.1524
S14290	0.1459	0	0.348	0.0569	0.0403	0.313	0	0.0566	0.0083	0.1053	0.071	0.1393
S14297	0.019	0	0.3148	0.043	0.0268	0.5263	0	0.0488	0	0.0708	0.0788	0.1245
S14303	0	0	0.2288	0.0169	0.102	0.498	0	0	0	0.038	0	0.1759
S14305	0.0341	0	0.2634	0.0198	0.0529	0.4608	0	0.0264	0.0042	0.1001	0.1291	0.1448
S1432	0.154	0	0.326	0.1234	0	0.4479	0	0.039	0	0.0714	0.0911	0.1171
S14320	0	0	0.276	0.0657	0.0068	0.7695	0	0.0029	0.0017	0.0445	0.0748	0.1449
S14332	0.041	0.0684	0.2995	0.0331	0.06	0.5185	0	0.0254	3.00E-04	0.0155	0	0.1481
S14339	0	0	0.2977	0.0486	0.0112	0.7159	0	0.042	0	0.0397	0.0863	0.1634
S14340	0.0718	0	0.3565	0.1093	0.0025	0.4253	0	0.0247	0.0017	0.0708	0.2025	0.107
S14342	0.0233	0	0.3083	0.0866	7.00E-04	0.6306	0	0.0266	0	0.0023	0.0585	0.141
S14346	0.078	0.0678	0.2024	0.0035	0.0261	0.5122	0	0.0462	0.0115	0.1541	0	0.1856
S14348	0.204	0	0.2838	0.0882	0.0051	0.2049	0	0.038	0.0018	0.1289	0.1138	0.149
S14354	0.2045	0	0.3707	0.0897	0.0194	0.3024	0	0.038	0.0087	0.0761	0.0049	0.1836
S14358	0	0.0611	0.2144	0.0395	0.0503	0.6416	0	0.0098	0.0047	0.0649	0	0.1909
S1436	0.1307	0.044	0.273	0.0718	0.0632	0.3981	0	0.0036	0.0126	0.098	0.1493	0.1611
S1437	0.0367	0	0.2458	0.0691	0.0441	0.4444	0	0.034	0	0.1106	0.0796	0.1706
S14372	0.0803	0	0.2916	0.061	0.015	0.7084	0	0.0389	0.0199	0.055	0.06	0.1218
S14379	0.0893	0	0.3355	0.1028	0.0243	0.3235	0	0.043	0.0076	0.0864	0.1038	0.1666
S14381	0	0.0498	0.268	0.052	0.0647	0.5264	0	0.0479	0.0046	0.1234	0.1816	0.1599
S14389	0.16	0	0.3653	0.0815	0.0077	0.3281	0	0	0	0.0925	0	0.1631
S14392	0.1156	0	0.2532	0.0571	0.0231	0.5202	0	0.0108	0.0023	0.0861	0.0561	0.1545
S14393	0.1266	0	0.3547	0.0774	0.0346	0.3891	0	0.0402	0.0102	0.0826	0.1383	0.142
S14395	0	0	0.0683	0	0.0477	0.6507	0	0.0344	2.00E-04	0.1655	0	0.1818
S14397	0.4318	0	0.192	0.0549	0.0436	0.218	0	0.0638	0.0179	0.0808	0.1465	0.1513
S144	0.0291	0	0.3092	0.0319	0.0225	0.5009	0	0.0358	0	0.0231	0.0791	0.1245
S14402	0.1229	0	0.3895	0.0887	0	0.3555	0	0.0942	0	0.1039	0.1556	0.1246
S14405	0.0231	0.0744	0.1607	0	0.0537	0.4606	0	0.0109	0	0.1126	0.0723	0.17
S14409	0	0	0.2263	0.0264	0.0508	0.6754	0	0.0289	0	0.0893	0.0727	0.1532
S1441	0.2075	0	0.3314	0.0712	0.0194	0.3948	0	0.0253	0.01	0.0352	0.0844	0.138
S14414	0.0313	0	0.2677	0.0556	0.0108	0.4106	0	0.0189	0.0041	0.1098	0.09	0.1418
S14415	0.0228	0.0345	0.157	0	0.0679	0.6017	5.00E-04	0.007	0	0.1068	0	0.1832
S14416	0.1104	0	0.2943	0.0563	0.0274	0.2351	0	0.0674	0	0.1174	0.035	0.1378
S14417	0.0303	0	0.3004	0.0526	0	0.5771	0	0.0095	0	0.0133	0.0178	0.1466
S14428	0.0062	0	0.2583	0.03	0.021	0.5666	0	0.0316	0.0044	0.0862	0.0679	0.1539
S14432	0.021	0	0.215	0.063	0.0443	0.5569	0	0.0257	0.0077	0.0987	0.1141	0.1657
S14433	0.134	0	0.3127	0.0813	0	0.5825	0	0.0523	0.0414	0.075	0.1207	0.1648
S14434	0.0235	0	0.3879	0.0456	0.0223	0.751	0	0.0401	0.0166	0.0028	0.1559	0.121
S14437	0	0	0.3528	0.076	0.0012	0.5742	0	0.0818	0	0.0975	0.1184	0.1326
S14438	0.0933	0	0.3418	0.0468	0.0143	0.3615	0	0.0308	0.0063	0.0863	0.1287	0.1607
S14440	0.1559	0	0.2745	0.0425	0	0.3002	0	0	0.014	0.1004	0.1622	0.1603
S14462	0.0095	0	0.2459	0	0.0374	0.5637	0	0.0282	0	0.09	0.0978	0.1609
S14467	0.136	0.0361	0.3444	0.057	0.0551	0.3698	0	0.019	0.0209	0.0678	0.0178	0.138
S14469	0.0913	0	0.4008	0.104	0.0021	0.4743	0	0.0511	0.0128	0.0802	0.1066	0.1355
S14488	0.1092	0	0.3175	0.0707	0.0443	0.2849	0	0.0513	0.0084	0.1048	0.0679	0.1509
S14492	0.0228	0	0.3305	0.0312	0	0.514	0	0.035	0.0153	0.0946	0.0794	0.1663
S14493	0.0419	0.0139	0.2638	0.0262	0	0.5685	0	0.0329	0.0158	0.0925	0	0.1861
S14495	0.0691	0	0.3684	0.1674	0	0.6564	0	0.0397	0.0141	0.0131	0.1131	0.1434
S14502	0.1139	0	0.3246	0.0492	0.0277	0.2862	0	0.0185	0.0016	0.0976	0.0439	0.1588
S14507	0	0	0.2057	0	0.0482	0.6684	0	0.0564	0.04	0.0615	0.0843	0.1136
S14513	0.1042	0	0.3061	0.0705	0	0.4955	0	0.0392	0.0176	0.0431	0.05	0.1482
S14522	0	0.0274	0.2554	0	0.0606	0.6157	0.0165	0.0461	0.0074	0.1003	0.0256	0.1303
S14532	0.0073	0	0.1652	0.066	0.0626	0.4604	0	0.0262	0.0045	0.1712	0.0111	0.2019
S14533	0.185	0	0.4368	0.0946	0.0306	0.0078	0	0.0494	0.0201	0.1193	0.2627	0.0959
S14534	0.0607	8.00E-04	0.1378	0.005	0.076	0.4015	0	0.0283	9.00E-04	0.1664	0.1079	0.1848
S14538	0.1097	0	0.2854	0.0916	0.0328	0.2351	0	0.0606	0.0185	0.1359	0.2095	0.1319
S1454	0.0602	0	0.3417	0.0944	0.0115	0.4329	0	0.0491	0	0.0767	0.0302	0.1316
S14549	0	0.1025	0.1472	0.0487	0.0676	0.0151	0.0414	0.0875	0.0187	0.2886	0.2428	0.1053
S14554	0	0	0.1004	0	0.0554	0.6651	0.0025	0.029	9.00E-04	0.11	0	0.1869
S14562	0	0	0.2115	0.0314	0.0597	0.4529	0	0.0014	0.0013	0.1051	0.0686	0.1613
S14564	0.1025	0	0.3115	0.111	0.0216	0.3715	0	0.0614	0.0126	0.1635	0.1226	0.113
S1457	0.1232	0	0.2998	0.0539	0	0.5019	0	0.0394	0.0106	0.0582	0.1371	0.1018
S14570	0.0212	0	0.256	0.0837	0.0247	0.534	0	0.0257	0.001	0.069	0.0558	0.1779
S14571	0.0247	0	0.261	0.0443	0	0.4713	0	0.0704	0.0281	0.149	0.034	0.1716
S14579	0.0533	0	0.2473	0.0722	0.046	0.324	0	0.0489	0.0211	0.1426	0.1087	0.1399
S1458	0.0476	0	0.2434	0.0602	0.0395	0.4772	0	0.0569	0	0.1336	0	0.173
S1459	0.1214	0	0.2903	0.0624	0	0.3072	0	0.0884	0.0138	0.1796	0.1513	0.1496
S14594	0.1162	0	0.3892	0.0972	0.0031	0.306	0	0.0553	5.00E-04	0.0482	0	0.167
S14595	0.012	0	0.2608	0.0127	0.0616	0.2972	0	0.0391	0.0158	0.15	0.1676	0.1743
S14599	0.1277	0.0226	0.3386	0.0688	0.0594	0.4301	0	0.0626	0.0187	0.0646	0.0171	0.0971
S14608	0	0.0333	0.3256	0.1219	0.0603	0.5731	0	0.0293	0.0256	0.0651	0.0012	0.1754
S14614	0.1269	0	0.2765	0.0473	0.0821	0.4651	0	0.0346	0.0126	0.1246	0.0334	0.1608
S14619	0.0012	0	0.334	0.0574	0.0117	0.4613	0	0.0641	0	0.0662	0.0819	0.1482
S14640	0.1095	0	0.2168	0	0.016	0.4553	0	0.0626	1.00E-04	0.1541	0	0.1943
S14641	0.1055	0	0.3992	0.082	0.0251	0.2811	0	0.0844	0.0177	0.1056	0.0516	0.1237
S14644	0.0441	0	0.3435	0.0994	0.0495	0.3673	0	0.042	0.0145	0.0338	0.1464	0.1381
S14647	0.0649	0.0245	0.2377	0.0308	0.0407	0.4381	0	0.0035	0.0186	0.1014	0.1142	0.1496
S1465	0.0124	0	0.3063	0.0337	0.0512	0.6153	0	0.0347	0.0022	0.0564	0.1115	0.1159
S14650	0.1378	0	0.3815	0.0979	0.0199	0.1754	0	0.0351	0	0.1135	0.0396	0.1824
S14653	0.0379	0.1297	0.2279	0.03	0.0646	0.444	0	0.0015	0	0.1029	0	0.1771
S14660	0	0	0.2494	0.0316	0.0031	0.6616	0	0.0552	0.029	0.0668	0.0758	0.1485
S14663	0.1148	0	0.2674	0.0613	0.0084	0.4266	0	0.0309	0	0.0817	0.048	0.1474
S14664	0.1403	0	0.2255	0.0449	0.054	0.4512	0	0.0159	0	0.0875	0.0916	0.1694
S14674	0.0244	0	0.2301	0.0301	0.0498	0.4583	0	0.014	0.004	0.0955	0	0.1743
S14676	0.0605	0	0.314	0.0263	0.0099	0.5058	0	0.0148	0.0068	0.0578	0.1097	0.1455
S14678	0.0939	0	0.2587	0.1041	0.0228	0.5494	0	0.0275	0.0181	0.0963	0.0396	0.1635
S14682	0.0694	0	0.3518	0.0398	0.035	0.4669	0	0.0199	0.0101	0.063	0.0633	0.1757
S14683	0.0463	0.0221	0.2911	0.0346	0.0679	0.3582	0	0.0519	0.0125	0.1083	0.029	0.1697
S14685	0	0	0.1129	0.0092	0.0361	0.737	0	0.0638	0.0164	0.1144	0.0421	0.197
S14694	0.1344	0	0.3344	0.0394	0.0041	0.5673	0	0.0089	0.0308	0.0481	0.0287	0.143
S14696	0.0988	0	0.3142	0.0614	0	0.4458	0	0.0512	0	0.0909	0	0.1564
S14705	0.1412	0	0.355	0.031	0	0.4431	0	0.0575	0	0.1119	0.0801	0.1118
S14707	0.131	0	0.3478	0.0613	0.0231	0.2335	0	0.0741	0.008	0.1473	0.0321	0.1514
S14714	0.1683	0	0.4285	0.163	0.0392	0.3144	0	0.0259	0	0.025	0.0865	0.0863
S14729	0.0379	0	0.2671	0.0755	0.0131	0.6877	0	0.0043	0	0	0.0505	0.1305
S14733	0.0688	0	0.3491	0.076	6.00E-04	0.3206	0.0033	0	0	0.0665	0.2197	0.149
S14735	0.0848	0	0.3057	0.0628	0.0234	0.422	0	0.0532	7.00E-04	0.0708	0	0.1469
S14749	0.0776	0	0.3282	0.0875	0.06	0.3606	0	7.00E-04	0	0.1001	0	0.1771
S14761	0	0.1379	0.1072	7.00E-04	0.075	0.5877	0	0.0172	0.0049	0.0792	0	0.1479
S14762	0	0.0898	0.2639	0.0226	0.063	0.6502	0.0298	0	0.0085	0	0.0365	0.1658
S14766	0.085	0	0.337	0.0558	0.0408	0.2134	0	0.0123	0.0016	0.1093	0.0524	0.1638
S14767	0.0551	0	0.2733	0.0814	0.0545	0.4609	0	0.0281	0.0121	0.1151	0.0396	0.1689
S14769	0	0.1229	0.213	0.0084	0.0878	0.656	0	0	0	0.0014	0	0.1568
S14770	0.5565	0.0535	0.2277	0.0786	0.0678	0	0	0.0526	0.0486	0	0	0.0011
S14774	0.0597	0	0.2748	0.0557	0.0367	0.3746	0	0.0168	0	0.1036	0.1094	0.163
S14780	0.1182	1.00E-04	0.306	0.1074	0.0799	0.2929	0	0.0462	0.0226	0.107	0.1158	0.1381
S14793	0.0451	0	0.2867	0.059	0.0129	0.5516	0	0.0693	0.0132	0.0984	0.0866	0.1594
S14796	0.1303	0	0.3693	0.0963	0.0408	0.341	0	0.0463	0	0.0835	0.0777	0.1129
S14803	0.0282	0.1086	0.2266	0.0342	0.0533	0.5026	0	0	0.0099	0.0517	0.0838	0.149
S14804	0.047	0	0.2819	0.1068	0.0231	0.3012	0	0.0077	0.0224	0.1168	0.0989	0.1648
S14805	0.0412	0	0.2153	0.0297	0.0413	0.3947	0	0.0157	0.0058	0.1447	0.0845	0.1569
S14814	0.1154	0	0.3051	0.0941	0.0222	0.1927	0	0.0277	0.0159	0.1321	0.1888	0.1574
S14816	0	0.1072	0.1469	0	0.0992	0.6228	0.028	0	0	0.0784	0.0103	0.2039
S1482	0.0201	0	0.346	0.0719	0.0735	0.5159	0	0.0313	0.017	0.0542	0.009	0.1554
S14823	0.0326	0	0.2214	0.0182	0.0069	0.55	0	0.0425	0.0165	0.1173	0	0.1746
S14824	0.0326	0	0.2694	0.1198	0.0214	0.2322	0	0.0257	0.0117	0.0958	0.0936	0.12
S14829	0.1087	0	0.2669	0.0795	0.0641	0.548	0	0.0068	0.0094	0.0275	0.0529	0.1746
S14838	0.0842	0	0.259	0.0266	0.0142	0.4272	0	0.0231	0	0.1054	0.0311	0.1675
S14841	0.0258	0	0.2153	0.0202	0.0498	0.3682	0	0.0121	0.0061	0.1091	0.0713	0.1632
S14848	0.0258	0.0135	0.25	0.018	0.0627	0.4742	0	0.0332	0.0071	0.0863	0.1481	0.1534
S14853	0.1509	0	0.3185	0.0949	0.0464	0.2109	0	0.0609	0.0107	0.1215	0.1082	0.1558
S1486	0	0.027	0.1658	0.0223	0.0578	0.5784	0.0499	0	0	0.0842	0.0611	0.182
S14862	0.0638	0	0.2789	0.0427	0.0425	0.3707	0	0.0445	0.0152	0.1105	0.0345	0.1659
S14873	0	0	0.2987	0.0577	0.0192	0.4321	0	0	0.0072	0.0592	0.1873	0.1339
S14885	0.047	0	0.3326	0.128	0.0483	0.3936	0	0.0247	0.0103	0.0923	0.0401	0.1559
S14888	0.1284	0	0.4033	0.0744	0.0045	0.379	0	0.0355	0.0091	0.0678	0.0271	0.1725
S14890	0.0522	0	0.2826	0.0343	0.0454	0.4171	0	0.0117	0.0072	0.1007	0.0223	0.16
S14895	0.046	0.0824	0.2322	0.0256	0.0632	0.3809	0	0.0218	0.0093	0.0953	0.1543	0.1657
S14896	0.0949	0	0.299	0.051	0.023	0.3068	0	0.0292	0.0232	0.1342	0.0239	0.1619
S14900	0.0664	0	0.2995	0.088	0.0547	0.4385	0	0.0676	0	0.0872	0.0686	0.1375
S14906	0.0434	0	0.2778	0.0619	0.0594	0.5572	0	0.0112	0.0215	0.0708	0.0755	0.1639
S14909	0.0497	0	0.3564	0.0694	0	0.6075	0	0.0047	0	0	0.0198	0.1145
S1491	0	0	0.3048	0.0699	0.0177	0.3596	0	0.0695	0.0219	0.117	0.0951	0.164
S14913	0.0444	0	0.3622	0.0834	0.0528	0.589	0	0.0256	0	0	0.0822	0.1296
S14914	0	0	0.2716	0.0609	0	0.5756	0	0.0657	0.0012	0.1223	0.0363	0.1796
S14916	0.2387	0	0.4659	0.1606	0.0267	0.0669	0	0.0469	0	0.0414	0.02	0.1214
S14919	0.0368	0	0.2572	0.0342	0.0242	0.554	0	0.0476	0.015	0.0991	0	0.1952
S14949	0.0768	0	0.4412	0.1136	0	0.4982	0	0.0232	0.0213	0.0213	0.0704	0.1417
S1495	0.0753	0	0.375	0.0517	0.0448	0.5373	0	0.0552	0	0.0101	0.0404	0.1276
S14954	0.0591	0	0.3933	0.0782	0	0.461	0	0.0079	0.0125	0.0451	0	0.1322
S14956	0.0256	0	0.3251	0.1137	0.0048	0.4522	0	0.0701	0	0.0649	0.1021	0.131
S14961	0.3494	0.1002	0.2795	0.0262	0.0284	0.331	0	0.0262	0.0274	0	0.059	0.1191
S14976	0.1338	8.00E-04	0.2597	0.0386	0.0596	0.4132	0	0.0014	0.0086	0.0887	0.0055	0.1788
S14978	0.0099	0	0.2755	0.1055	0.0466	0.5551	0	0.0514	0.029	0.0947	0.0672	0.1528
S14980	0.0906	0	0.3924	0.1015	0.0512	0.4073	0	0.0436	0	0.0654	0	0.1614
S14983	0	0	0.3084	0.0449	5.00E-04	0.5045	0	0.0504	0	0.0825	0.0043	0.1736
S14989	0.0053	0	0.2997	0.037	0.0212	0.5712	0	0.0442	0	0.0835	0.0211	0.1659
S14991	0	0	0.2646	0.0486	0	0.988	0	0.0125	0	0	0.0324	0.1608
S14999	0.0027	0.0414	0.2802	0.1075	0.1229	0.5235	0	0	0.012	0.0889	0.0563	0.1453
S15000	0.065	0	0.4222	0.0927	0.0129	0.5322	0.0304	0.0676	0.003	0.0732	0.0392	0.1355
S15012	0	0.0474	0.1778	0	0.0695	0.5267	0	0.0136	0.0106	0.1284	0.0676	0.1619
S15013	0.0049	0	0.3058	0.0599	0.0437	0.568	0	0.0689	0.0172	0.0895	0.0188	0.1399
S1502	0.1525	0	0.3921	0.1375	0.0524	0.3057	0	0.0313	0	0.0344	0.1017	0.1496
S15023	0.1321	0	0.2899	0.0748	0.0351	0.4262	0	0.0216	0	0.0791	0	0.1568
S15024	0.0697	0	0.2304	0.0515	0.0231	0.3459	0	0.0344	0.0144	0.1635	0.1468	0.1762
S15025	0.0607	0	0.2423	0.0638	0	0.5511	0	0.0603	0	0.0606	0.034	0.1484
S15032	0.0608	0	0.3041	0.0614	0	0.5936	0	0.0292	0.0155	0.0463	0.0738	0.1511
S15033	0.0509	0	0.223	0.0422	0.0406	0.4124	0	0.0205	0.0079	0.1242	0.2118	0.1406
S15041	0.1357	0	0.3804	0.0523	0.0029	0.3723	0	0.0091	0.0075	0.0684	0.0388	0.1478
S1505	0.0112	0	0.2003	0.0376	0.0164	0.7149	0	0.0244	0.0177	0.0854	0.0082	0.1918
S15054	0.0827	0	0.2107	0.0676	0	0.5616	0	0.0458	0.005	0.1209	0	0.1648
S15061	0.0199	0	0.338	0.0988	0	0.5995	0	0.0477	0.0233	0.0703	0.0084	0.1418
S15063	0.0013	0	0.2987	0.0507	0.0277	0.4658	0	0.0239	0.0104	0.0652	0.1031	0.1552
S15065	0.1342	0	0.3213	0.0973	0.0462	0.3754	0	0.0478	0.0152	0.0522	0.1737	0.1269
S15069	0.0576	0	0.3223	0.0562	0.0017	0.4329	0	0.0563	0.009	0.1344	0.0268	0.1235
S15070	0.0679	0	0.287	0.1144	0.0226	0.4573	0	0.0337	0	0.0969	0.0399	0.164
S15071	0.1252	0	0.3193	0.035	0.0106	0.3953	0	0.0741	0.0012	0.1478	0	0.1531
S15077	0.0038	0.0355	0.255	0.0564	0.0569	0.4701	0	0.0461	0.0063	0.1183	0.1634	0.1191
S15078	0.1912	0	0.3388	0.0746	0	0.4865	0	0.0478	0	0.0436	0.1053	0.1413
S1508	0.1792	0.0014	0.3381	0.0827	0.0682	0.2242	0	0	0.0153	0.0555	0.1064	0.1543
S15080	0.0778	0	0.3901	0.0642	0.031	0.2614	0	0.0662	0	0.1082	0.0605	0.1587
S15085	0.058	0	0.2797	0.0661	0.0328	0.3774	0	0.0482	0.0264	0.1203	0.1563	0.1708
S15089	0.0949	0	0.3162	0.0885	0.041	0.3457	0	0.0439	0.0089	0.0705	0.1177	0.144
