	Mix_1	Mix_2	Mix_3	Mix_4	Mix_5	Mix_6	Mix_7	Mix_8	Mix_9	Mix_10	Mix_11	Mix_12	Mix_13	Mix_14	Mix_15	Mix_16	Mix_17	Mix_18	Mix_19	Mix_20	Mix_21	Mix_22	Mix_23	Mix_24	Mix_25	Mix_26	Mix_27	Mix_28	Mix_29	Mix_30	Mix_31	Mix_32	Mix_33	Mix_34	Mix_35	Mix_36	Mix_37	Mix_38	Mix_39	Mix_40	Mix_41	Mix_42	Mix_43	Mix_44	Mix_45	Mix_46	Mix_47	Mix_48	Mix_49	Mix_50	Mix_51	Mix_52	Mix_53	Mix_54	Mix_55	Mix_56	Mix_57	Mix_58	Mix_59	Mix_60	Mix_61	Mix_62	Mix_63	Mix_64	Mix_65	Mix_66	Mix_67	Mix_68	Mix_69	Mix_70	Mix_71	Mix_72	Mix_73	Mix_74	Mix_75	Mix_76	Mix_77	Mix_78	Mix_79	Mix_80	Mix_81	Mix_82	Mix_83	Mix_84	Mix_85	Mix_86	Mix_87	Mix_88	Mix_89	Mix_90	Mix_91	Mix_92	Mix_93	Mix_94	Mix_95	Mix_96	Mix_97	Mix_98	Mix_99	Mix_100
NK cells	0.0577	0.0477	0.0957	0.0919	0.073	0.0241	0.0647	7e-04	0.0639	0.0316	0.0624	0.0871	0.0509	0.1106	0.0567	0.0289	0.0564	0.031	0.0658	0.0293	0.011	0.0528	0.0328	0.0203	0.0539	0.0401	0	0.04	0.0315	0.0982	0.0375	0.0272	0.0564	0.0223	0.0827	0.0593	0.0909	0.0783	0	0.0778	0.0809	0.0138	0.0419	0.0813	0.0565	0	0.0477	0.0596	0.116	0.0317	0.0435	0.089	0.0285	0.088	0.108	0.0362	0.1296	0.066	0.1154	0.0211	0.0439	0.0809	0.0926	0.0263	0.0272	0.0715	0.007	0.0211	0.047	0.0343	0.0787	0.0046	0.1175	0.043	0.1004	0.1033	0.058	0.1049	0.1069	0.0594	0.066	0.095	0.0495	0.0342	0.0958	0.0783	0.0106	0	0.093	0.1123	0.0338	0.0737	0	0.0091	0.0793	0.064	0.0499	0	0.0734	0.0363
NKT	0.0099	0	0.0101	0	0	0.0255	0	0.0052	0	0.0231	0	0.0161	6e-04	0	0	0.0056	0	0	0.0327	0.0081	0.0194	0.0354	0	0.0027	0	0	0.0207	0.0207	0.0019	0	0	0.0114	0.0072	0.0214	0	0	4e-04	0.0136	0.0176	0	0	5e-04	0.0124	0.0069	0.0116	0.0033	0.0164	0	0	0.0061	0.0054	0.01	0.0164	0.0101	0.0133	0.0125	0	0.0205	0	0.003	0.0018	0	0.0246	0.0267	0.0159	0	0	0.0159	0.0098	0.0107	0.0041	0.0185	0.0113	0.0085	0	0	0.0107	0	0.0014	8e-04	0.0094	0	0.0103	0.0095	0	0.0167	0.0102	0.0015	0.0117	0	0	0	0.0015	0.0037	0	0.005	0.0111	0.0166	0	0.0074
Neurons	1e-04	0.0029	0.0012	8e-04	0.0058	0.001	0.0028	0.0029	0.0029	0.0042	0.0023	0	0.0047	0.0012	0.0013	0.003	0.0014	4e-04	0.0013	0.0032	0.0027	3e-04	0.0041	0	0.0054	0.003	0.0045	0.0018	0.0043	0.0015	0.0026	0.001	0	0.0019	0.0016	0.0029	0.0011	2e-04	0.0031	0.0036	0.0013	0.0034	0.0039	5e-04	9e-04	0.0038	0.0019	0.0026	0.001	4e-04	0.0027	7e-04	0.0021	2e-04	2e-04	2e-04	0	6e-04	8e-04	0.0063	0.0041	0.0058	0	0.002	0.0028	0.0037	0.0042	0.0019	0.0054	0.0011	0.003	4e-04	2e-04	0.0038	0.0027	0.0031	9e-04	1e-04	1e-04	0.0017	0.0012	0.0033	0.004	0.002	0.003	0.0015	0.0062	0.0043	0	0.0013	0.006	0.0015	4e-04	0.0045	0.001	3e-04	0.0024	0.0029	0	9e-04
Neutrophils	0.0043	0	0	0	0	0.006	0	0	0	0.0025	0	7e-04	0	0	0	0	0	0	0.0027	0	0	0.0016	0	0	0	0	0.0015	0	0	0	0	0	0	0.0047	0	0	9e-04	3e-04	0.0012	0	0.0019	0	0.0019	0.0014	9e-04	0	0.0011	0	0	0	0	2e-04	0	0.0091	0.0015	0	0.0037	0	0.0016	0	0.0019	0	0.0049	0.0026	3e-04	0	0.0026	0	0	0	0.002	0	5e-04	0.0032	0	0	0.0027	0	0.0077	0	0.002	0	8e-04	0	0	0.0031	0.0028	0	0.0026	0	0	0	0	0	0	0	0.0029	0.0115	0	0.0037
Osteoblast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0033	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0.0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0113	0
Pericytes	0.0602	0.028	0.0248	0.0322	0.0046	0.0418	0.03	0.0277	0.0285	0.0096	0.009	0.0659	0.0059	0.0411	0.0283	0.031	0.0416	0.0525	0.0526	0.0196	0.0325	0.0694	0.0108	0.0426	0.0213	0.0027	0.0315	0.049	0.0182	0.0265	0.0055	0.0562	0.0428	0.0293	0.0246	0.0324	0.0613	0.0441	0.0386	0.0392	0.0187	0	0.0354	0.0516	0.042	0.0245	0.0404	0.0206	0.0089	0.0428	3e-04	0.0403	0.032	0.0594	0.0478	0.0664	0.0439	0	0.0546	0	0.0314	0.0093	0.0653	0.0265	0.0396	0.014	0.0239	0.0294	0.0129	0.0225	0.0331	0.0454	0.0404	0.0309	0.0275	0.0358	0.0481	0.019	0.0576	0.0214	0.0406	0.0124	0.033	0.0483	0.0284	0.0447	0.008	0	0.059	0.0242	0	0.0216	0.043	0.0205	0.0145	0.0395	0.0385	0.0387	0.0219	0.0375
Plasma cells	0.0124	0.0155	0.0091	0.0082	0.0073	0.017	0.0062	0.0117	0.0108	0.0156	0.0082	0.0069	0.018	0.0061	0.0077	0.0097	0.0066	0.0102	0.015	0.0158	0.0167	0.0103	0.0112	6e-04	0.0079	0.0126	0.0164	0.0149	0.0055	0.0082	0.0125	0.0104	0.0076	0.017	0.0094	0.0138	0.0126	0.0106	0.0169	0.0069	0.0141	0.0084	0.0185	0.0144	0.0116	0.0136	0.0164	0.0152	0.0071	0.009	0.0134	0.0066	0.0147	0.0171	0.0037	0.0097	7e-04	0.0168	0.0079	0.0104	0.0131	0.0137	0.0078	0.0191	0.0162	0.0121	0.0207	0.0088	0.0119	0.0096	0.0087	0.0102	0.004	0.0171	0.0113	0.0076	0.0163	0.0042	0.0095	0.0107	0.0186	0.0059	0.0167	0.0166	0.0118	0.0156	0.0216	0.0148	0.0041	0.0106	0.0158	0.0135	0.0137	0.0128	0.0092	0.0105	0.0195	0.0243	0	0.0187
Platelets	0	0	0.0025	0.0053	0	0	0.017	0	0.0017	0	0.0043	8e-04	0	0.0131	0.0084	0.0029	0.0124	0.0056	0	0	0	0	0	0.002	0.003	7e-04	0	0	0.0028	0.0125	9e-04	0.0039	0.0046	0	0.0044	0.0017	0.0033	0.0048	0	0	0.0035	0.0099	0	0	0.0068	0	0	0.0088	0.0075	0.0051	0	0.007	1e-04	0	0.0052	0	0.0067	0.0047	0	0.0064	0	0	0	0	0	0.0036	0	0.0054	0	0.0059	1e-04	8e-04	0.0119	0	0.0034	0.0045	0	0.0168	0	0.0017	0	0.0075	0	5e-04	0	0	0	3e-04	0.0045	0.0073	0	0	0	7e-04	0.0018	0.0035	0	0	0.0137	0
Preadipocytes	0	0	0	0	0	0	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0172	0	0	0	0	0.0105	0	0
Sebocytes	0.0349	0.009	0.008	0.0018	0	0.0516	0.0012	0.0215	0.0086	0.0202	0.0025	0.0254	0.0021	0	0.0033	0.0116	0.0029	0.0044	0.027	0.0195	0.0294	0.0338	0.0093	0.0145	0	0.0056	0.0224	0.0236	0.0019	3e-04	0.0084	0.0115	0.0166	0.0519	0.0031	0.0076	0.0065	0.0207	0.0353	0.0038	0.0108	0.0043	0.0195	0.0226	0.0169	0.0118	0.0288	0.0038	0	0.0157	0.0096	0.009	0.0233	0.0286	0.0092	0.0148	0.0108	0.013	0.0047	2e-04	0.0151	0	0.0367	0.0345	0.0237	2e-04	0.0247	0.0149	0.0037	0.0077	0.0057	0.0268	0.0035	0.0233	0.0022	0	0.0291	0	0.0245	0.0105	0.0158	0	0.0152	0.0185	1e-04	0.0182	0.0163	0.0102	0.0277	0	2e-04	0.0172	0.0257	0.0068	0.0041	0.0095	0.0233	0.0506	7e-04	0.0302
Skeletal muscle	0	0	0.0021	3e-04	0	0	1e-04	0	0	0	0	0	0	0.0017	0	0	0	0	7e-04	0	0	0	0	0	0	0	0	0	0	0.0037	0	0	0	0	0.0022	0	0.0033	0.0011	0	0.0032	0.0077	0	0	0.0014	0	0	0	0	0.0023	0	0	9e-04	0	0.0029	0.0067	0	0.0044	0	0.0042	0	7e-04	1e-04	0.0048	0	0	0	0	0	0	0	0.0033	0	0.0047	0	0.0028	0.0045	0	0.0013	0.0064	0	0.0019	0.0021	0	0	0.0019	3e-04	0	0	0.0042	0.0063	0	0	0	0	9e-04	3e-04	0	0	0	0
Smooth muscle	0	0	0.0098	0.012	0	0	0.0234	0	0	0	0	0	0	0.04	0.0096	0	0.0018	0	0	0	0	0	0	0.0185	0	0	0	0	0	0.0244	0	0.0022	0.0101	0	0.0017	0	0.0207	0.0128	0	0.0083	0.0084	0	0	0.0054	0.0117	0	0	0	0.0301	0	0	0.0313	0	0	0.0264	0.0144	0.0366	0.0112	0.0299	0	0	0	0.0095	0	0	0	0	0	0	0	0.0122	0	0.0203	0	0.0063	0.0103	0	0.0451	0.012	0	0	0.0079	0	0	0	0	0	0	0.0151	0.0137	0	0	0	0	0	0.018	0	0	0.0434	0
Tgd cells	0	0	0	0.0035	0	0	0.0036	0	0	0	0.0031	0.0056	0	0.0064	0.005	0	0.0037	0.0047	0	0	0	0	0	0.0091	0	0	0	0	0	0	0	0.0016	0.0056	0	0.0011	0	0	0.0055	0	0	0	0	0	8e-04	0	0	0	0	0.006	0.0068	0	0.0049	0	0	0	0.0015	0.0117	0.0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023	0.0068	0	0.0015	0	0	0.0094	0	0.0051	0	0	0	0	0	0	0	0	0.0064	0	0	0	0	0	0.0045	0.0077	0	0	0.0082	0
Th1 cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0
Th2 cells	0.0037	0.009	0.0243	0.019	0.0225	0	0.0175	0.0068	0.0141	6e-04	0.0183	0	0.0079	0.0319	0.0171	0.0119	0.0202	0.0132	0.0037	0.0057	0.0048	0.0075	0.0111	6e-04	0.0283	0.0322	7e-04	0.0043	0.0216	0.0183	0.0082	0.0145	0.0128	0	0.0181	0.0157	0.0172	0.0093	0	0.0236	0.0049	0.019	0.0052	0.0084	0.0114	0.0095	0.0059	0.018	0.027	0.0041	0.0196	0.018	0.0012	0	0.0232	0.0095	0.0188	0.0189	0.0296	0.0208	0.0033	0.0231	0.0124	0	0.0091	0.0229	3e-04	0.012	0.0141	0.025	0.0143	0.002	0.0199	0	0.0227	0.0284	0.0014	0.0276	0.0154	0.0074	0.0098	0.032	0.0078	0.0052	0.0298	0.0058	0	0.0105	0.0049	0.0211	0.0117	0.0138	0.0022	0.0117	0.0157	0.0111	0	0	0.0223	0.0014
Tregs	0	0	0	0	0	0	0	0	0	0	0.0072	0	0	0	0.0129	0	0	0.0142	0	0	0	0	0	0.0092	0	0.0027	0	0	0	0	0	0.0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0056	0.0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0063	0	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0053	0.0039	0	0	0.0257	0
aDC	0	0	0	0	0	0	0	0	0	0	0	0.0177	0	0	0	0	0	0	0	0	0	0	0	0.0215	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0286	0	0	0	0	0	0	0	0	0	0	0
cDC	0.1742	0.0752	0.0934	0.0472	0.0349	0.1921	0.0037	0.1173	0.0768	0.1246	0.0397	0.1534	0.0541	0	0.0513	0.0955	0.0339	0.083	0.1757	0.1228	0.157	0.1899	0.0817	0.0935	0.0162	0.0324	0.1522	0.1532	0.0539	1e-04	0.0767	0.1019	0.1068	0.1788	0.0585	0.0669	0.0883	0.1517	0.181	0.0404	0.0815	0.0535	0.1212	0.1307	0.1382	0.1133	0.175	0.0536	0.0158	0.1118	0.072	0.0691	0.1624	0.1643	0.0693	0.1387	0.0597	0.0742	0.0463	0	0.0856	0	0.157	0.183	0.1561	0.0169	0.1399	0.1038	0.0732	0.0965	0.0826	0.1723	0.0434	0.115	0.0255	0.0167	0.1529	0	0.1051	0.0783	0.1206	0	0.0976	0.131	0	0.1288	0.1105	0.0732	0.1659	0.0112	0.0322	0.1044	0.1617	0.0605	0.0905	0.0824	0.1247	0.2265	0.0054	0.1655
iDC	0.1423	0.1248	0.0655	0.0813	0.1303	0.2407	0.0857	0.1648	0.1056	0.1612	0.1005	0.1002	0.1241	0.0617	0.0877	0.1387	0.0953	0.1065	0.102	0.1895	0.202	0.1666	0.134	0.0018	0.1065	0.0879	0.1775	0.1722	0.1125	0.0731	0.1643	0.1181	0.1015	0.206	0.0815	0.1188	0.0736	0.08	0.2398	0.1066	0.1573	0.1344	0.1652	0.1152	0.1092	0.1325	0.1252	0.1017	0.0476	0.14	0.1301	0.0296	0.1541	0.1609	0.043	0.1344	0	0.0789	0.0511	0.0915	0.14	0.0981	0.0785	0.2125	0.183	0.1006	0.1807	0.1542	0.1286	0.1183	0.1303	0.1505	0.0292	0.1469	0.0747	0.0646	0.1631	0.0391	0.0618	0.1006	0.1315	0.0809	0.1462	0.1542	0.076	0.1266	0.1748	0.1542	0.0799	0.0718	0.1278	0.1043	0.1094	0.1179	0.1029	0.089	0.1534	0.3536	0	0.203
ly Endothelial cells	6e-04	4e-04	0.0015	0.0017	0	0	5e-04	0	8e-04	0	0.0058	0.0016	0	0.0026	9e-04	0	4e-04	0.0022	0	0	0	0	0	0.0011	0	0	0	1e-04	0.0012	0.002	0	5e-04	0	0	0.0017	1e-04	0.0022	0.002	0	0.0024	0.0041	0	0	0.0015	3e-04	0	4e-04	0.0014	0.0045	0	0	0.0016	0	0.0042	0.0027	0	0.0067	0	0.0042	0	0	5e-04	0.0019	0	0	0	0	0	0	0	0.001	5e-04	0.0044	0	0.0038	0.005	7e-04	0.0034	0.0059	0	4e-04	0.002	0	0	0.0012	8e-04	0	0	0.0012	0.0059	0	0.0013	0	0	0.0014	0.002	1e-04	0	0.0046	0
mv Endothelial cells	0	0	0	0	0	0	0	0	0	0	0	1e-04	0	0	1e-04	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	3e-04	0
naive B-cells	0.0394	0.0768	0.0344	0.0557	0.1024	0.0561	0.0643	0.07	0.0749	0.0838	0.0712	0.019	0.0899	0.0445	0.0496	0.0697	0.0611	0.0474	0.035	0.0724	0.068	0.0373	0.0915	0	0.0921	0.0665	0.0773	0.0577	0.0798	0.067	0.0726	0.0401	0.0316	0.069	0.0657	0.0736	0.0424	0.0238	0.0814	0.0744	0.058	0.073	0.0785	0.0354	0.0482	0.0715	0.0613	0.0727	0.0489	0.032	0.0708	0.0214	0.0625	0.036	0.0241	0.04	0	0.0369	0.0436	0.1	0.0894	0.1003	0.0264	0.0644	0.0634	0.078	0.094	0.0487	0.0949	0.0459	0.0627	0.0401	0.0243	0.0848	0.0636	0.0608	0.0517	0.0355	0.032	0.0582	0.0608	0.0792	0.0803	0.0531	0.0675	0.0497	0.1059	0.0761	0.0112	0.0661	0.1073	0.0707	0.0369	0.0868	0.0552	0.0352	0.0716	0.0792	0	0.0592
pDC	0	0	0	0	0	0.0043	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	1e-04	0.0034	0	0	0	0	0	0	0.0016	0	0	0	0	0	0.0035	0	0	0	0	0.0072	0	0	0	0	0	0	0	0.0026	0	0	2e-04	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0.0034	0.0015	0	0.0057	5e-04	0	0	0	9e-04	0	4e-04	0	0	0.0014	0	0	0	0	0	0	0	0	0	0.0041	0	0	0	0	0	0	0	0	0	0	0	0	0.0015
pro B-cells	0.025	0.0432	0.0163	0.0265	0.0707	0.0444	0.0382	0.0458	0.0423	0.0488	0.0415	0.0096	0.0557	0.0247	0.0271	0.0425	0.0325	0.0276	0.0192	0.0488	0.0489	0.0216	0.0522	0	0.0541	0.0406	0.0533	0.0394	0.0458	0.0365	0.0427	0.0299	0.0173	0.051	0.0318	0.0405	0.0253	0.0108	0.0579	0.0469	0.0311	0.0429	0.0505	0.0206	0.0248	0.0428	0.0361	0.0401	0.0273	0.0194	0.0413	0.0076	0.042	0.0219	0.0101	0.0237	0	0.0168	0.0205	0.0566	0.0531	0.0656	0.0101	0.0449	0.046	0.0453	0.0631	0.0297	0.0532	0.0273	0.0343	0.0304	0.0073	0.0511	0.0319	0.0325	0.0328	0.0168	0.0155	0.0344	0.0356	0.0511	0.0468	0.0367	0.0354	0.0283	0.066	0.0485	0.0011	0.0372	0.0603	0.0386	0.0241	0.0501	0.0315	0.0154	0.0465	0.071	0	0.0423
ImmuneScore	0.1831	0.2093	0.1533	0.1709	0.2375	0.2027	0.1819	0.2013	0.2053	0.2253	0.1869	0.1603	0.2277	0.159	0.1614	0.2037	0.1791	0.1613	0.1665	0.2126	0.2112	0.1749	0.2333	0.1147	0.2181	0.1979	0.2174	0.2015	0.2075	0.1825	0.2069	0.176	0.1655	0.2183	0.1893	0.2021	0.1659	0.1583	0.2447	0.1855	0.1856	0.1884	0.2218	0.1693	0.1899	0.2074	0.2143	0.2054	0.1626	0.1683	0.1997	0.1443	0.2103	0.1731	0.1342	0.174	0.1305	0.1697	0.1566	0.2288	0.2317	0.2358	0.1519	0.2129	0.2075	0.2048	0.2479	0.1798	0.2282	0.1765	0.1839	0.1721	0.139	0.226	0.1726	0.1714	0.1957	0.1403	0.1611	0.1987	0.1956	0.2107	0.2211	0.1961	0.1821	0.1825	0.2583	0.2039	0.1508	0.1829	0.2427	0.2028	0.1774	0.2159	0.1712	0.1545	0.2123	0.278	0.0993	0.1989
StromaScore	0.0022	0.0014	6e-04	4e-04	0	0	0.0022	0.0021	0.001	0	0.0046	8e-04	0	0.0018	0.0028	0.0012	0.0016	0.0104	0	0	0	0	0	0.0138	0	0	0	2e-04	0.0018	2e-04	2e-04	0.0102	0.0019	0	0.0016	2e-04	6e-04	0.0037	0	0	8e-04	0	0	0.0016	5e-04	1e-04	0	4e-04	8e-04	0	9e-04	4e-04	0	0	0	0.0024	0.0036	0.0042	8e-04	0	0	0	0.0026	0	0	0	0	0.001	0	6e-04	0	0.0052	8e-04	0	0.0012	4e-04	0.0016	0.0014	0.0023	4e-04	1e-04	6e-04	0	0.0013	6e-04	0	0	0	0.0034	0.0018	0	0	0.0048	1e-04	0.0016	0.003	0	0.0034	0.0103	0
MicroenvironmentScore	0.1853	0.2106	0.1539	0.1713	0.2375	0.2027	0.1842	0.2034	0.2062	0.2253	0.1916	0.1611	0.2277	0.1608	0.1642	0.2049	0.1807	0.1717	0.1665	0.2126	0.2112	0.1749	0.2333	0.1286	0.2181	0.1979	0.2174	0.2017	0.2093	0.1827	0.2071	0.1862	0.1674	0.2183	0.1909	0.2023	0.1665	0.162	0.2447	0.1855	0.1864	0.1884	0.2218	0.1709	0.1904	0.2076	0.2143	0.2058	0.1634	0.1683	0.2006	0.1447	0.2103	0.1731	0.1342	0.1764	0.1341	0.1739	0.1574	0.2288	0.2317	0.2358	0.1545	0.2129	0.2075	0.2048	0.2479	0.1808	0.2282	0.1771	0.1839	0.1772	0.1398	0.226	0.1738	0.1717	0.1974	0.1417	0.1634	0.1991	0.1958	0.2113	0.2211	0.1974	0.1827	0.1825	0.2583	0.2039	0.1542	0.1846	0.2427	0.2028	0.1822	0.216	0.1728	0.1575	0.2123	0.2814	0.1096	0.1989
