Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells
S11663	0.0672	0.1375	0.0809	0.3352	0.2564	0.1228
S11667	0.0822	0.1828	0.0753	0.3479	0.1944	0.1173
S11668	0.0627	0.1714	0.0986	0.3384	0.2307	0.0982
S1167	0.0623	0.258	0.1392	0.2838	0.1749	0.0819
S11673	0.1013	0.2396	0.1104	0.2449	0.1781	0.1256
S11682	0.065	0.1985	0.0749	0.4178	0.1774	0.0664
S11693	0.1042	0.203	0.0943	0.2596	0.2228	0.1162
S11696	0.053	0.2672	0.0567	0.2838	0.3097	0.0295
S11699	0.0634	0.2576	0.0729	0.3219	0.2352	0.049
S117	0.1192	0.2106	0.1352	0.2194	0.1619	0.1537
S1170	0.0795	0.1872	0.074	0.3256	0.2176	0.116
S11709	0.0439	0.1949	0.1224	0.4091	0.1839	0.0458
S11713	0.1169	0.2738	0.113	0.0935	0.276	0.1267
S11717	0.0764	0.1923	0.0745	0.2739	0.2432	0.1398
S1173	0.0779	0.2082	0.0944	0.3694	0.1865	0.0636
S11731	0.0565	0.3132	0.0603	0.3979	0.1121	0.0601
S11732	0.0635	0.1862	0.0662	0.4005	0.1802	0.1034
S11733	0.0695	0.226	0.0944	0.2642	0.2194	0.1265
S11734	0.059	0.2701	0.1086	0.3472	0.1608	0.0542
S11735	0.0799	0.2314	0.0914	0.3881	0.146	0.0632
S11737	0.1027	0.2183	0.1257	0.2428	0.2138	0.0967
S11745	0.0724	0.191	0.0823	0.3558	0.2037	0.0947
S11760	0.085	0.2039	0.0939	0.3142	0.2227	0.0803
S11761	0.396	0.163	0.0767	0.1176	0.1834	0.0632
S11769	0.0545	0.2233	0.0882	0.4397	0.1231	0.0711
S11783	0.073	0.213	0.0724	0.2743	0.2672	0.1001
S11784	0.0736	0.2452	0.0546	0.318	0.2243	0.0843
S11786	0.0606	0.185	0.0673	0.4311	0.2001	0.0559
S11797	0.0759	0.193	0.0984	0.3205	0.1935	0.1186
S11799	0.0806	0.2749	0.1046	0.2878	0.1562	0.0959
S118	0.0788	0.2033	0.0863	0.3726	0.1281	0.1309
S11800	0.048	0.2858	0.0666	0.2829	0.2205	0.0963
S11802	0.0702	0.2013	0.0912	0.3636	0.1913	0.0823
S11806	0.0776	0.1833	0.0752	0.3904	0.1622	0.1113
S11807	0.3839	0.1455	0.0685	0.1816	0.1476	0.0729
S11810	0.0894	0.1938	0.0753	0.2625	0.2562	0.1228
S11811	0.0506	0.2095	0.0686	0.4445	0.1503	0.0765
S11812	0.0816	0.2047	0.1203	0.3063	0.182	0.1051
S11820	0.0365	0.225	0.0733	0.3783	0.2238	0.0632
S11822	0.0483	0.2372	0.0628	0.4267	0.15	0.075
S11823	0.0954	0.193	0.1014	0.3067	0.2018	0.1016
S11826	0.0585	0.195	0.1287	0.3641	0.1405	0.1133
S1183	0.1039	0.1942	0.1025	0.2378	0.2489	0.1128
S1184	0.064	0.2551	0.0715	0.2507	0.2689	0.0898
S11842	0.0646	0.21	0.0865	0.2806	0.206	0.1522
S11843	0.0553	0.1915	0.0844	0.4136	0.1435	0.1118
S11844	0.0515	0.2967	0.0909	0.2592	0.1855	0.1162
S11850	0.0874	0.1756	0.1389	0.2461	0.2456	0.1063
S11853	0.11	0.1476	0.078	0.3625	0.2092	0.0928
S11857	0.0676	0.187	0.0921	0.3704	0.198	0.085
S11858	0.0818	0.2094	0.0928	0.3491	0.1605	0.1064
S11860	0.0595	0.1745	0.0795	0.3635	0.2316	0.0914
S11864	0.0688	0.4326	0.0911	0.1902	0.1332	0.0841
S11870	0.047	0.2096	0.046	0.3546	0.2473	0.0954
S11875	0.0495	0.187	0.0824	0.3456	0.2643	0.0711
S11877	0.0761	0.2952	0.1006	0.2243	0.2323	0.0715
S11878	0.1044	0.1947	0.0748	0.2748	0.2199	0.1313
S11882	0.0632	0.2892	0.1098	0.2521	0.1876	0.0983
S11883	0.0817	0.2403	0.1075	0.345	0.1592	0.0663
S11884	0.0447	0.2832	0.1058	0.3848	0.1456	0.0359
S11886	0.0925	0.2165	0.0786	0.3386	0.2005	0.0733
S11897	0.0934	0.2082	0.0488	0.3741	0.2034	0.0722
S1190	0.0442	0.3622	0.0841	0.2837	0.1586	0.0673
S11903	0.0565	0.1717	0.0942	0.4752	0.1076	0.0947
S11905	0.0613	0.2832	0.0895	0.3694	0.1264	0.0703
S11907	0.0689	0.1529	0.1001	0.3539	0.2095	0.1147
S11914	0.0649	0.212	0.1048	0.3467	0.1807	0.0909
S11917	0.0642	0.1508	0.1009	0.353	0.2559	0.0752
S11928	0.0873	0.2518	0.1022	0.242	0.1711	0.1454
S11929	0.0757	0.2004	0.0638	0.3305	0.1942	0.1354
S1193	0.0733	0.3534	0.092	0.2043	0.197	0.08
S11930	0.0899	0.2479	0.1153	0.2498	0.192	0.1051
