Mixture	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells	P-value	Correlation	RMSE
S4790	0.0112489809780483	0	0.00158405582145393	0	0	0	0	0	0.159887410818532	0	0.231668481137144	0	0.0193931442258275	0	0.00776846648948958	0.106291935047949	0	0.373395392822578	0.0425325702234418	0	0.0462295624355359	9999	0.449140927726862	1.01365840823523
S4793	0.016918694942803	0	0.00464201668546764	0	0	0	0	0	0.12505461734182	0	0.224930331390568	0	0.0180033065854238	0	0.00603906198077714	0.157808933014503	0	0.375197919661831	0.0415330191127897	0	0.0298720992840177	9999	0.44678801669716	1.01538956402382
S482	0.0264512136087311	0	0.0153017634021957	0	0	0	0	0	0.138049803769694	0	0.25769723802861	0	0.0299645684331252	0	0.0134341230173893	0.17715395638778	0	0.267957010597163	0.0243679375190214	0	0.0496223852362906	9999	0.41901843233968	1.03691351324918
S4820	0.0320870884324222	0	0.00652003843718031	0	0	0	0	0	0.112396889530321	0	0.303968999541318	0	0.000325391080535629	0	0.00834463451868159	0.142602384262032	0	0.311397275537455	0.0420819053508761	0	0.0402753933091781	9999	0.433790467684811	1.02736048630796
S4827	0.0248102461926291	0	0	0	0	0	0	0	0.205121737184662	0	0.233094545443695	0	0.0154701435115191	0	0	0.0863012450506937	0	0.351194991119422	0.0630864698299277	0	0.0209206216674519	9999	0.45642508255741	1.01013470100419
S4831	0.0469055601910522	0	0.00145010627708652	0	0	0	0	0	0.114214554106873	0	0.31411738111218	0	0.0171514331675678	0	0.0120249628362644	0.123299782406848	0	0.302574654087123	0.0422270320627152	0	0.026034533752291	9999	0.451667298526464	1.00966475512969
S4839	0.0346437629990489	0	0.00491145133070917	0	0	0	0	0	0.175182317188761	0	0.260661000575792	0	0.0352349560089925	0	0.0184194372522974	0.0586673924515261	0	0.321287618781961	0.0511339707082064	0	0.039858092702706	9999	0.445104976510301	1.01600130930938
S4847	0.0491734222432369	0	0.0152751466343969	0	0	0	0	0	0.128875948697575	0	0.386600272984364	0	0.0385211691151114	0	0.0165389023512076	0.107158156011619	0	0.185663530921436	0.0287158378802267	0	0.043477613160827	9999	0.438009621484847	1.02028543923481
S4851	0.053762413033857	0.0199193070422046	0.0379341010715457	0	0	0	0	0	0.11959569325956	0	0.284002363400553	0	0.0544700582526779	0	0.0261526671266828	0.0118860163390586	0.0576295417182617	0.271968874623218	0.00229936366674948	0	0.0603796004656312	9999	0.434469225466414	1.02075976145603
S4853	0.0233922556547129	0	0.0160787811532594	0	0	0	0	0	0.145550853543691	0	0.227483476877442	0	0.0263013885307115	0	0.0128723642727169	0.164305234610754	0	0.306873374604702	0.0365235646832148	0	0.0406187060687955	9999	0.429299029034844	1.02953676214313
S4854	0.0222172487781342	0.00371148786886435	0.0262182580137549	0	0	0	0	0	0.154204365966896	0	0.371265159140871	0	0.0380880793845344	0	0.0182367519027127	0.0509738251437517	0	0.24759388341726	0.0259287185521458	0	0.0415622218310747	9999	0.458146927228192	1.00333884017904
S4875	0.03582561970988	8.27549567444101e-05	0.0137312948139444	0	0	0	0	0	0.141299880774627	0	0.310335204940628	0	0.0445579886015835	0	0.0241480043491643	0.043549470735045	0	0.304215138824499	0.0256704568893279	0	0.0565841854045561	9999	0.428550528101939	1.02788339699982
S4889	0.0729584114877347	0	0.000745780480055892	0	0	0	0	0	0.159028725196437	0	0.218170321999137	0	0.0132107231123386	0	0.0112689294701799	0.0971967912451322	0	0.341693758758941	0.0370450298676486	0	0.0486815283823956	9999	0.450797931940398	1.01221238884984
S4892	0.0329637031324337	0	0	0	0	0	0	0	0.11137492976511	0	0.279595687084067	0	0.0357336369893257	0	0.003208370784407	0.112070294004623	0	0.337912379566815	0.046408953656283	0	0.0407320450169345	9999	0.444180584069307	1.01537054388082
S4897	0.0760696364497147	0	0.0219773790565899	0	0	0	0	0	0.122282237137715	0	0.304287237587741	0	0.0363967598935316	0	0.0214759031622842	0.0474923851349577	0.0249900129219876	0.272077426153489	0.0151170636940611	0	0.0578339588079276	9999	0.440587382479404	1.01698213760685
S4902	0.0900841502390433	0.00416064110223965	0.0285726467518809	0	0	0	0	0	0.140306683675793	0	0.230617462600492	0	0.0595926526859578	0	0.0254358303179474	0.011823529382619	0.0810848545408273	0.262545722482736	0	0	0.0657758262204629	9999	0.421847290133587	1.0323619363732
S4908	0.0373775740842288	0	0	0	0	0	0	0	0.148111618997568	0	0.232644723006406	0	0.0101096668361535	0	0.0100807822928767	0.115169715355426	0	0.357874767458916	0.042992526560727	0	0.0456386254076985	9999	0.444560859039881	1.01816001521957
S4915	0.0315266375824605	0	0.0101294320227163	0	0	0	0	0	0.118698307552951	0	0.233984383941353	0	0.0151315949401392	0	0.00161882519344289	0.190759737157134	0	0.313953584984367	0.0519577366730821	0	0.0322397599523544	9999	0.416338647222951	1.04288644230973
S4917	0.0523724865310594	0	0.0150020490362721	0	0	0	0	0	0.158541502139425	0	0.189251010891107	0	0.0249617038725739	0	0.0173147557253684	0.0951874624164279	0	0.355249650922602	0.0343216786759697	0	0.0577976997891943	9999	0.43565419554686	1.02498198923269
S4918	0.0552227115038145	0	0.011256091615254	0	0	0	0	0	0.136689077907922	0	0.224091942009777	0	0.0443011678603821	0	0.0122597446392913	0.0913055705076305	0	0.364917013180004	0.0118239727972953	0	0.0481327079786296	9999	0.437652864469768	1.0198305468205
S4923	0.071473648103304	0	0.00744224570701333	0	0	0	0	0	0.12725742177385	0	0.246187491021498	0	0.0330626565517376	0	0.0207336913750566	0.0953999674630724	0	0.328317894361025	0.0161362426002172	0	0.0539887410432255	9999	0.443989337545062	1.01409963944227
S4936	0.0665690913269642	0	0.00379810483033398	0	0	0	0	0	0.15160427389657	0	0.205950986595248	0	0.0377595773844167	0	0.0216059341534919	0.0661886705891131	0	0.357902216837038	0.0216607671184973	0	0.0669603772683265	9999	0.437289982469086	1.02114446069588
S4944	0.048617878667365	0	0.0162756886949647	0	0	0	0	0	0.193078607818713	0	0.162126877775397	0	0.064474441537168	0	0.0429957294874808	0.0878877144056364	0	0.302325500868192	0.0273405075277149	0	0.0548770532173679	9999	0.412767371220185	1.04134942841626
S4946	0.0419979346450145	0	0.0111325735106638	0	0	0	0	0	0.151301800138916	0	0.20336846148887	0	0.0433312881015725	0	0.0165510652211944	0.0458467355790481	0	0.411281796872095	0.0288874956667607	0	0.0463008487758651	9999	0.435266888933083	1.02379736235791
S4948	0.0576292872591977	0.00645320973939045	0.0389904730315025	0	0	0	0	0	0.117574062078419	0	0.204398301552222	0	0.0636626689957735	0	0.0282614691495041	0.0308954903553237	0.0132665808264	0.364973239303479	0.00140774337739342	0	0.0724874743313954	9999	0.426096269948808	1.02766811085243
S496	0.0291821358679943	0	0	0	0	0	0	0	0.139230105183102	0	0.214976121763089	0	0.0151998820402918	0	0.00289257591917716	0.0954858624825437	0	0.410802938634813	0.0617928741078989	0	0.0304375040010906	9999	0.454861376676698	1.01032379183577
S4960	0.0346844141336837	0	0.0231924152535031	0	0	0	0	0	0.123047840732765	0	0.260264011724012	0	0.0293780920601373	0	0.0166522171302507	0.137431343399964	0	0.305613985697721	0.0215724289395943	0	0.0481632509283685	9999	0.432305569109062	1.02501062483222
S4963	0.00788317793477544	0	0	0	0	0	0	0	0.160828886325808	0	0.236794923885186	0	0.0219883348747899	0	0	0.0756872749918023	0	0.407054553945402	0.0715716780636484	0	0.0181911699785886	9999	0.447479620854102	1.01758839005929
S497	0.0493885154284114	0.00633642583762882	0.0153202947134244	0.00618259023015414	0	0	0	0	0.161237978272929	0	0.217811507523921	0	0.0457749133241337	0	0.0246191443156251	0.0774580692582402	0	0.324666268593996	0.0209464526828255	0	0.0502578398187112	9999	0.427860383827778	1.0285150805181
