ID,naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,myeloid_dendritic_cell,plasma_cell,plasmacytoid_dendritic_cell
S12279,6.90134,6.19768,7.24594,7.08148529412,7.05637692308,5.886025,7.50685862069,7.30301666667,8.212575,5.51434166667,5.78253125,6.73345454545,5.36876153846,7.09751578947,6.68088333333,7.04869090909,6.04624,5.93804444444,6.55553684211,5.50645142857
S12282,6.84819333333,6.07724,6.82418,7.03590588235,6.83013846154,5.462075,7.22663103448,6.497,7.555125,5.34351666667,5.80490625,6.66259090909,5.33278461538,6.93677368421,6.58828333333,6.56027272727,5.87003333333,6.07811111111,6.50627894737,5.40588571429
S12285,6.89298,6.1157,6.86976,7.04708529412,7.00193076923,5.32155,7.06503103448,7.05688333333,8.0826,5.48375,6.0323875,6.64466363636,5.38914615385,7.01047368421,6.39916666667,6.82264545455,5.93778,5.89233333333,6.54362105263,5.48476857143
S12291,6.95278,6.20748,6.91158666667,7.03695882353,7.1334,5.5054,7.42897586207,7.17578333333,8.14575,5.49308333333,5.85744375,6.50973636364,5.32779230769,6.98172105263,6.75029166667,6.7898,6.14039333333,6.14913333333,6.49924736842,5.43633714286
S12294,6.86642,6.16178,7.12554,7.03718235294,7.02206923077,5.59945,7.45728965517,6.82211666667,7.699325,5.70191666667,5.950125,6.50466363636,5.38079230769,6.96645263158,6.663575,6.6116,5.87071333333,5.9399,6.54381052632,5.51964285714
S12308,6.74280666667,6.01624,7.00386666667,6.99633529412,6.96456153846,5.454525,7.2482862069,6.75876666667,7.929,5.45950833333,5.91645625,6.58977272727,5.28017692308,6.98435789474,6.29410833333,6.73244545455,5.81778666667,5.90167777778,6.52101578947,5.39618
S12335,6.60954666667,6.28346,7.36286666667,7.21067352941,6.98658461538,5.019725,7.11962758621,6.75288333333,7.63865,5.77084166667,6.17578125,6.82181818182,5.36261538462,6.91963157895,6.422575,6.87857272727,6.34375333333,6.05416666667,6.59892105263,5.46708857143
S12344,6.84294,6.06722,7.19282,6.98026470588,7.4126,6.01855,7.40497931034,7.6427,8.390675,5.47588333333,5.81885625,6.64988181818,5.40137692308,6.93904210526,7.08485,7.1514,6.40066666667,6.0328,6.5528,5.42806285714
S12347,6.89137333333,6.0496,6.90334,7.02194117647,7.064,5.4994,7.16749310345,6.50243333333,7.412475,5.35055833333,5.72785625,6.51557272727,5.30796923077,7.01470526316,6.80139166667,6.59718181818,5.79372666667,5.96618888889,6.44921052632,5.39654857143
S12348,6.83884666667,6.1852,6.78866,7.03274117647,7.04693076923,5.57865,6.96458965517,6.90073333333,8.02465,5.121875,5.75045,6.43680909091,5.28183846154,6.95784210526,6.55923333333,6.74303636364,5.93611333333,5.97233333333,6.46371578947,5.48312
S12354,7.30899333333,6.3301,6.42264666667,6.98398529412,6.72470769231,5.92085,6.89504137931,7.19785,8.6836,5.490225,5.74946875,6.4015,5.25118461538,6.87517894737,6.222175,6.68297272727,5.904,5.91834444444,6.56780526316,5.49909428571
S1236,6.99335333333,6.05014,6.89970666667,6.97445294118,7.01973846154,5.4264,7.24734827586,6.86416666667,7.8432,5.27928333333,5.8681125,6.46249090909,5.23733076923,6.99487368421,6.58939166667,6.631,5.69865333333,5.94017777778,6.51575789474,5.40173142857
S12365,6.80278666667,6.02478,6.92378,6.91652941176,6.88846923077,5.479025,6.87496551724,6.93215,7.903175,5.4565,5.77515,6.56207272727,5.26971538462,6.75014736842,6.22689166667,6.6601,5.77662666667,5.99588888889,6.36825789474,5.41919714286
