CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
S11109	0.0271	0.1094	0.1798	0.0966	0.2447	0.1453	0.1066	0.0906
S1111	0.0367	0.099	0.1807	0.0886	0.1385	0.1748	0.1925	0.0893
S11119	0.0352	0.1106	0.1415	0.1064	0.2017	0.1741	0.1419	0.0886
S11127	0.0439	0.0774	0.1662	0.1229	0.2032	0.1862	0.0905	0.1097
S11136	0.0236	0.1341	0.1181	0.0888	0.183	0.2104	0.1603	0.0818
S11147	0.0281	0.1056	0.1498	0.0894	0.2622	0.1483	0.1276	0.0892
S11150	0.0344	0.0993	0.1225	0.1039	0.2699	0.1764	0.1415	0.0521
S11152	0.0474	0.1019	0.1867	0.1162	0.204	0.1717	0.1114	0.0608
S1116	0.0302	0.0987	0.1289	0.0945	0.1828	0.1712	0.1884	0.1052
S11163	0.0416	0.0976	0.1359	0.0984	0.1839	0.1634	0.2064	0.0728
S11164	0.0299	0.1074	0.1812	0.1136	0.257	0.1706	0.0857	0.0547
S11166	0.0394	0.1538	0.1466	0.1144	0.1766	0.1404	0.1312	0.0974
S11173	0.0371	0.1183	0.165	0.0901	0.2298	0.1554	0.1445	0.0599
S11174	0.0372	0.1166	0.1803	0.137	0.1758	0.1639	0.1664	0.0228
S11182	0.0631	0.085	0.1254	0.0845	0.2274	0.1698	0.1793	0.0656
S11188	0.0317	0.1015	0.1895	0.0978	0.2615	0.1405	0.1074	0.0701
S11189	0.0314	0.0951	0.1773	0.0979	0.2062	0.1571	0.1696	0.0654
S1119	0.0435	0.106	0.1873	0.1109	0.121	0.1789	0.1579	0.0945
S11195	0.0494	0.0955	0.1293	0.086	0.1868	0.1783	0.1627	0.112
S11197	0.0415	0.133	0.1115	0.1059	0.1791	0.1492	0.2054	0.0744
S11198	0.0308	0.0985	0.1829	0.1242	0.2722	0.1282	0.0986	0.0645
S11211	0.0263	0.1179	0.1762	0.1389	0.1662	0.1838	0.1191	0.0717
S11214	0.0358	0.1092	0.2094	0.1169	0.1893	0.1519	0.1133	0.0742
S11216	0.0316	0.097	0.1354	0.1091	0.227	0.1577	0.1632	0.079
S11224	0.0352	0.0918	0.1525	0.108	0.2671	0.1593	0.1293	0.0567
S11236	0.0466	0.0877	0.1741	0.1032	0.2165	0.1827	0.122	0.0672
S11241	0.0409	0.1491	0.1404	0.1077	0.1944	0.1696	0.1085	0.0894
S11243	0.042	0.1024	0.1401	0.1108	0.1891	0.1844	0.1625	0.0687
S11245	0.0421	0.1218	0.1398	0.1141	0.1967	0.1576	0.1244	0.1035
S11249	0.0371	0.1268	0.1599	0.1147	0.1742	0.1572	0.1258	0.1043
S11274	0.0362	0.1553	0.1304	0.1284	0.1759	0.1504	0.1308	0.0925
S11280	0.0434	0.1097	0.1636	0.1139	0.1601	0.1604	0.1582	0.0907
S11281	0.0338	0.1068	0.1918	0.115	0.1803	0.1688	0.1414	0.0622
S11285	0.0516	0.1195	0.1547	0.1134	0.1716	0.1656	0.1364	0.0872
S11298	0.0492	0.1003	0.1469	0.1252	0.1794	0.1775	0.1531	0.0684
S11311	0.0407	0.0828	0.1684	0.1218	0.1929	0.1819	0.1364	0.0751
S11312	0.0342	0.1125	0.1432	0.1098	0.2095	0.1564	0.1532	0.0812
S11316	0.0358	0.1062	0.1944	0.0902	0.2025	0.153	0.1545	0.0633
S1133	0.0452	0.1294	0.1457	0.1017	0.1993	0.1776	0.1108	0.0903
S11330	0.0236	0.0992	0.126	0.1866	0.263	0.139	0.0926	0.07
S11332	0.0466	0.0883	0.1242	0.144	0.1635	0.1599	0.1694	0.1043
S11334	0.0386	0.1067	0.1907	0.1109	0.1637	0.143	0.1453	0.101
S11335	0.032	0.1139	0.1338	0.0975	0.2522	0.1556	0.1228	0.0922
S11345	0.0418	0.1382	0.1004	0.1219	0.1847	0.1854	0.1388	0.0889
S11349	0.0417	0.0984	0.1498	0.1647	0.2041	0.1575	0.12	0.0638
S1135	0.0311	0.1058	0.2222	0.1189	0.1775	0.1522	0.1196	0.0727
S11352	0.0306	0.1206	0.1446	0.1034	0.2599	0.1573	0.1067	0.0768
S11353	0.0359	0.0871	0.1603	0.1153	0.2493	0.1524	0.13	0.0698
S11368	0.0411	0.1046	0.1841	0.1034	0.2653	0.1699	0.0868	0.0447
S11369	0.0346	0.1074	0.1728	0.1153	0.164	0.1609	0.1189	0.1262
S11371	0.0295	0.138	0.1266	0.1462	0.1611	0.1408	0.1186	0.139
S11377	0.0383	0.1083	0.2086	0.0996	0.2331	0.1773	0.0929	0.0419
S11378	0.036	0.1437	0.1797	0.1234	0.1927	0.1587	0.0888	0.0769
S11383	0.046	0.1137	0.1449	0.1269	0.1812	0.1548	0.1755	0.057
S11384	0.0732	0.1035	0.1309	0.1318	0.1548	0.1725	0.1772	0.0561
S11392	0.0349	0.1062	0.1331	0.1186	0.1704	0.2087	0.1415	0.0866
S1140	0.0458	0.1062	0.149	0.1235	0.2153	0.1985	0.0908	0.071
S11410	0.0309	0.1164	0.1432	0.1059	0.1883	0.1619	0.1924	0.0609
S11411	0.0334	0.1039	0.1612	0.1106	0.1703	0.1903	0.1278	0.1024
S11414	0.0494	0.1306	0.1245	0.1323	0.1952	0.1886	0.0765	0.1028
S11419	0.0423	0.1082	0.1994	0.0956	0.2028	0.1445	0.1302	0.077
S11424	0.0412	0.0827	0.1669	0.0818	0.1345	0.1666	0.2938	0.0324
S11425	0.0325	0.1039	0.1438	0.0826	0.1877	0.1891	0.1666	0.0938
S11433	0.0361	0.1147	0.1314	0.1623	0.1536	0.174	0.1453	0.0826
S11434	0.0379	0.1138	0.1557	0.1047	0.2146	0.1496	0.1218	0.102
S11436	0.0251	0.1139	0.191	0.1067	0.2224	0.1831	0.0836	0.0742
S11437	0.0605	0.093	0.1265	0.087	0.1902	0.1852	0.1875	0.0701
S11440	0.0456	0.109	0.1265	0.1205	0.3017	0.1181	0.1193	0.0594
S11449	0.042	0.0803	0.1584	0.1074	0.2281	0.1634	0.1606	0.0597
S11459	0.0393	0.1369	0.1275	0.1062	0.1656	0.1873	0.16	0.0771
