Mixture	CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT	P-value	Correlation	RMSE
Mix_25	0.0550091196997844	0.308504983957965	0.25101280913517	0.0223636612816989	0	0.0778864679180122	0.161332294559004	0.041807468442325	0.0820831950060413	9999	0.996702423045091	0.107166008597594
Mix_26	0.0906586787304696	0.207708972201847	0.376675676629386	0	0	0.0646209333245732	0.111214681852679	0.0887678884584753	0.0603531688025705	9999	0.997156658859651	0.108414737475454
Mix_27	0.209331241578168	0.25693278915002	0.263474217005818	0	0	0.0243387911737164	0.038014520341677	0.157437982086143	0.0504704586644588	9999	0.995910757615745	0.14816899771183
Mix_28	0.21231506856006	0.200804168285113	0.326725046703251	0	0	0.0319449485391948	0.121933533698201	0.0208943339645748	0.0853829002496052	9999	0.996217339680588	0.172891161955797
Mix_29	0.0892415457670152	0.24632930270467	0.379193883637443	0	0	0.0455239117540418	0.100678457902082	0.0787348446146724	0.0602980536200761	9999	0.996954751285787	0.112238777563278
Mix_30	0.0550589352621555	0.176871817087323	0.209195551834336	0	0	0.0520695295197118	0.254620329435903	0.160710451631434	0.0914733852291371	9999	0.995354316504449	0.0987216332599346
Mix_31	0.142396258536813	0.255954472853641	0.344681735928352	0.0338299975634938	0	0.0222915308316935	0.126576582703773	0.0243562851674874	0.0499131364147457	9999	0.997502237796042	0.136634060178356
Mix_32	0.163579624066789	0.168992512341549	0.487875729352886	0	0	0.0497001127378313	0.0562282017408063	0.0332702755921991	0.0403535441679398	9999	0.995579817898209	0.159438820833234
Mix_33	0.172748156465336	0.117098905149618	0.35819147920572	0	0	0.0530294629416368	0.119738037407147	0.0826282648037356	0.0965656940268056	9999	0.997397707409088	0.130010597426352
Mix_34	0.245767105437363	0.227792771620694	0.244969950470846	0	0	0.041390045849395	0.119205068297827	0.0276123983355263	0.0932626599883488	9999	0.994095718816505	0.195323729171621
