ID,Monocytes_CD14+CD16-,Monocytes_CD16+CD14-,NK_cells,Neutrophils,T_cells_(CD4+),B_cells,T_cells_(CD8+)
S11013,6.167694,6.009668,6.365552,6.745668,6.493512,4.887572,5.4324
S11016,6.325978,5.993206,6.458458,6.719196,6.486432,4.997836,5.769256
S11017,6.348794,6.154052,6.467556,6.719264,6.42469,4.97013,5.44087
S11020,6.337456,6.13296,6.383384,6.757874,6.482288,5.038378,5.526032
S11027,6.31807,6.13139,6.391102,6.750064,6.396606,4.98692,5.61338
S11035,6.140466,5.932348,6.33695,6.720388,6.325292,4.965094,5.69387
S11041,6.095718,5.940064,6.278472,6.735042,6.447016,4.916036,5.508596
S1106,6.246754,6.04543,6.392788,6.782552,6.49158,4.985612,5.586716
S11071,6.22824,5.995264,6.507592,6.499444,6.628762,5.00218,5.784208
S11076,6.197976,5.94354,6.413884,6.723332,6.48833,4.972128,5.534856
S11078,6.254374,6.08457,6.331628,6.760832,6.443448,4.9734,5.469038
S11081,6.25465,6.122518,6.42076,6.695886,6.548044,4.989126,5.455298
S11086,6.212194,6.024468,6.347086,6.770798,6.41418,5.060066,5.50457
S1109,6.413132,6.15961,6.510306,6.783832,6.55671,4.953188,5.60434
S11096,6.323166,6.072844,6.35948,6.844564,6.44987,4.96052,5.571214
S11100,6.108966,6.063714,6.23108,6.629536,6.432602,5.038582,5.398122
S11107,6.210082,6.103698,6.31675,6.757606,6.47549,4.933198,5.46878
S11109,6.23866,6.048924,6.35785,6.76066,6.298846,5.053972,5.564106
S1111,6.14191,5.908648,6.487946,6.638318,6.686034,5.007264,5.87091
S11119,6.16028,5.998392,6.297916,6.716554,6.417136,5.005198,5.516322
S11127,6.344472,5.905884,6.487186,6.669894,6.487506,5.05255,5.829514
S11136,6.206092,6.01012,6.248896,6.558116,6.38306,5.124196,5.373694
S11147,6.194234,6.005284,6.350164,6.80017,6.451104,4.976898,5.570116
S11150,6.160228,6.053398,6.337376,6.834588,6.442438,5.004508,5.57977
S11152,6.220402,6.067554,6.313352,6.763998,6.373174,5.034516,5.598916
S1116,6.24519,6.065832,6.603926,6.711852,6.742656,5.00131,5.774334
S11163,6.075016,5.940888,6.441664,6.708906,6.624664,4.900326,5.555952
S11164,6.24675,6.08221,6.29449,6.811682,6.369834,4.98566,5.442508
S11166,6.119558,6.07731,6.067546,6.43716,6.15869,5.230764,5.349032
S11173,6.15812,5.978786,6.414448,6.743072,6.516564,4.95413,5.596164
S11174,6.150736,5.878116,6.27535,6.576736,6.363418,4.97614,5.554468
S11182,6.175694,6.014638,6.44844,6.770776,6.7204,4.904964,5.609928
S11188,6.243256,6.007004,6.388684,6.792784,6.452046,4.889466,5.580544
S11189,6.150252,6.005092,6.423538,6.76084,6.611512,4.85979,5.546844
S1119,6.23893,5.94856,6.340324,6.542588,6.539678,5.018528,5.59732
S11195,6.277388,6.209658,6.539074,6.735322,6.724968,4.930058,5.524334
S11197,6.07453,6.030448,6.236364,6.617112,6.395014,5.055444,5.409978
S11198,6.28191,6.159848,6.317102,6.92966,6.268564,4.94637,5.42756
S11211,6.262024,6.172402,6.360922,6.704166,6.443196,5.003062,5.391234
S11214,6.249488,5.956324,6.374256,6.614754,6.417558,5.060496,5.77289
S11216,6.286392,6.168898,6.419772,6.80409,6.60538,4.951576,5.411072
S11224,6.133286,5.967356,6.301226,6.775426,6.451956,4.916056,5.523452
S11236,6.207372,6.00438,6.348148,6.721288,6.477524,4.927456,5.535834
S11241,6.204402,6.068844,6.351698,6.639614,6.377746,5.075924,5.653944
S11243,6.168022,6.112498,6.289574,6.689382,6.472708,5.039898,5.472388
S11245,6.209068,6.153334,6.278758,6.626232,6.274138,5.102934,5.382086
S11249,6.132052,5.996712,6.20414,6.611128,6.34262,5.005168,5.3714
S11274,6.17525,6.23552,6.181268,6.530908,6.271462,5.16483,5.30262
S11280,6.224386,6.090162,6.417838,6.709202,6.592872,5.031368,5.581388
S11281,6.249046,5.923074,6.360336,6.75126,6.52479,4.988326,5.472782
S11285,6.24461,6.120798,6.25162,6.644792,6.325022,5.094868,5.4643
S11298,6.234976,6.084446,6.371686,6.661548,6.508988,5.073972,5.56359
S11311,6.16625,6.03869,6.400328,6.684816,6.547228,5.032792,5.653286
S11312,6.252868,6.03953,6.408234,6.813748,6.575166,4.935624,5.412122
S11316,6.258854,5.94157,6.404162,6.715726,6.56659,4.95435,5.60525
S1133,6.14826,6.004904,6.235758,6.667476,6.327674,5.11161,5.521312
S11330,6.164292,6.010524,6.413372,6.772246,6.438462,4.986918,5.532582
S11332,6.038752,6.0047,6.466122,6.654614,6.606772,4.915588,5.549908
S11334,6.2463,6.00385,6.289118,6.643914,6.402466,4.98529,5.60603
S11335,6.158686,6.075072,6.335272,6.78285,6.403214,4.956096,5.408084
S11345,6.195606,6.231972,6.34799,6.604186,6.410488,5.185532,5.30912
S11349,6.336468,6.12952,6.560256,6.803614,6.613058,5.011032,5.557908
S1135,6.305394,6.15189,6.41847,6.707798,6.455372,5.027952,5.527522
S11352,6.329758,6.152426,6.28741,6.789436,6.377006,5.121124,5.511274
S11353,6.189666,6.06575,6.388182,6.810734,6.434884,4.913708,5.429528
S11368,6.32598,5.97094,6.376156,6.752316,6.373976,5.073576,5.66845
S11369,6.213422,6.131082,6.347658,6.677634,6.438934,4.985646,5.404256
S11371,6.19602,6.074704,6.444812,6.551584,6.411282,5.077732,5.636354
S11377,6.322268,6.054124,6.268512,6.795074,6.352742,5.012924,5.481012
S11378,6.119994,5.928126,6.358274,6.551728,6.234208,5.006244,5.640372
S11383,6.207242,6.00886,6.4857,6.660824,6.667494,4.987232,5.737528
S11384,6.144048,5.952778,6.439652,6.483218,6.421784,5.088306,5.805712
S11392,6.19763,6.144926,6.43054,6.71293,6.496184,5.051284,5.453244
S1140,6.225824,6.03942,6.191108,6.67461,6.283244,5.09449,5.490588
S11410,6.255766,6.158116,6.348876,6.72804,6.513104,4.997022,5.44683
S11411,6.194632,6.019184,6.472696,6.708826,6.668418,4.952594,5.608252
S11414,6.08034,6.081422,6.32053,6.650024,6.379446,5.070532,5.508942
S11419,6.281986,6.052612,6.394296,6.797932,6.466814,4.995626,5.641028
S11424,6.312788,6.051108,6.324608,6.625294,6.651846,5.061526,5.727106
S11425,6.102954,6.017228,6.364666,6.69771,6.566022,4.93281,5.451802
S11433,6.379636,6.367158,6.51521,6.725774,6.588734,5.064416,5.433186
S11434,6.214574,6.058928,6.494506,6.767794,6.572262,4.928586,5.630572
S11436,6.289344,6.128014,6.361614,6.772358,6.458578,5.000888,5.502506
S11437,6.196148,5.953616,6.460872,6.614354,6.60025,4.976094,5.756178
S11440,6.249456,6.159392,6.330578,6.895718,6.318132,4.999368,5.481606
S11449,6.035132,5.895126,6.413674,6.707586,6.577158,4.849964,5.590942
S11459,6.113822,6.031726,6.27549,6.517356,6.35951,5.073206,5.400726
S11477,6.24813,6.063132,6.460782,6.790814,6.503642,5.004514,5.628788
S11480,6.240104,6.043912,6.319922,6.810802,6.389134,5.02399,5.481368
S11486,6.194046,5.95184,6.318946,6.722782,6.467138,5.052234,5.598858
S11501,6.166314,5.994688,6.091256,6.58213,6.103258,5.116592,5.625606
S11504,6.19419,6.049838,6.326816,6.616006,6.43373,5.0907,5.558528
S11507,6.054464,5.881926,6.356236,6.60538,6.506002,5.001316,5.543908
S11518,6.39085,6.140942,6.627122,6.667592,6.751112,4.96931,5.641596
S11525,6.170256,6.035858,6.313808,6.595174,6.49995,5.056726,5.588372
S11531,6.112272,5.919898,6.274002,6.679172,6.348404,4.918322,5.362666
S11532,6.199414,6.000398,6.358736,6.652542,6.561644,5.073422,5.631676
