B_cells	T_cells_.CD4..	T_cells_.CD8..	Endothelial_cells	Fibroblasts	Macrophage
S11107	0.1882	0.4166	0.096	0.0611	0.0074	0.2307
S11109	0.2132	0.3187	0.1239	0.0695	0.0095	0.2652
S1111	0.1881	0.3564	0.259	0.0551	0.0058	0.1356
S11119	0.1864	0.3843	0.1621	0.0616	0.0094	0.1961
S11127	0.1859	0.1724	0.4514	0.0421	0.0084	0.1398
S11136	0.1669	0.5015	0.112	0.0472	0.0174	0.1551
S11147	0.2138	0.3508	0.1554	0.0619	0.0042	0.2139
S11150	0.1966	0.396	0.1062	0.0554	0.0081	0.2376
S11152	0.2432	0.2939	0.1435	0.0665	0.0118	0.2412
S1116	0.1727	0.3825	0.2584	0.0544	0.0033	0.1288
S11163	0.1886	0.4066	0.1774	0.0599	0.0037	0.1637
S11164	0.2069	0.3517	0.1097	0.0623	0.0087	0.2607
S11166	0.2409	0.4092	0.0518	0.081	0.0307	0.1864
S11173	0.3198	0.3236	0.1126	0.0503	0.0048	0.1889
S11174	0.2432	0.3576	0.207	0.0427	0.014	0.1356
S11182	0.2477	0.3948	0.1587	0.0398	0.0027	0.1564
S11188	0.251	0.2804	0.1822	0.0556	0.0034	0.2273
S11189	0.1852	0.4105	0.1689	0.0432	0.004	0.1883
S1119	0.1883	0.4501	0.2101	0.0329	0.0063	0.1122
S11195	0.2515	0.4527	0.1292	0.0275	0.0021	0.137
S11197	0.167	0.5453	0.0925	0.053	0.0114	0.1307
S11198	0.1918	0.2703	0.1583	0.0567	0.0082	0.3147
S11211	0.1531	0.4507	0.1526	0.0463	0.011	0.1863
S11214	0.249	0.2572	0.2517	0.0562	0.0064	0.1795
S11216	0.1625	0.4335	0.1649	0.0447	0.0043	0.1901
S11224	0.212	0.3808	0.1504	0.0655	0.0041	0.1872
S11236	0.1948	0.3997	0.1506	0.045	0.0083	0.2016
S11241	0.1864	0.35	0.192	0.0763	0.0096	0.1857
S11243	0.1554	0.4826	0.1181	0.047	0.0096	0.1873
S11245	0.2075	0.4101	0.1109	0.0583	0.0156	0.1975
S11249	0.2218	0.419	0.1145	0.0549	0.0085	0.1812
S11274	0.1544	0.5262	0.0936	0.0584	0.0236	0.1439
S11280	0.2159	0.3815	0.1851	0.0435	0.0048	0.1691
S11281	0.1883	0.3881	0.1741	0.0619	0.0073	0.1804
S11285	0.1919	0.4442	0.0833	0.0807	0.0106	0.1894
S11298	0.1897	0.4407	0.1457	0.0532	0.0085	0.1622
S11311	0.1336	0.3977	0.239	0.0538	0.0085	0.1674
S11312	0.1642	0.4686	0.1312	0.0557	0.0049	0.1755
S11316	0.2158	0.3874	0.1476	0.0421	0.0059	0.2012
S1133	0.216	0.3685	0.1534	0.0612	0.0102	0.1906
S11330	0.1583	0.2535	0.3574	0.0536	0.0023	0.1749
S11332	0.2006	0.388	0.2609	0.0391	2e-04	0.1111
S11334	0.2094	0.327	0.2236	0.0398	0.0065	0.1937
S11335	0.1961	0.3814	0.129	0.0613	0.0062	0.2259
S11345	0.1817	0.4709	0.1106	0.0588	0.0168	0.1612
S11349	0.1512	0.3421	0.2913	0.0447	0.0051	0.1656
S1135	0.27	0.3234	0.1216	0.0474	0.0064	0.2312
S11352	0.1811	0.4203	0.0972	0.064	0.0128	0.2244
S11353	0.1722	0.4005	0.0999	0.0536	0.0071	0.2667
S11368	0.2487	0.2654	0.1731	0.0684	0.0095	0.2348
S11369	0.1545	0.3892	0.2218	0.057	0.0101	0.1674
S11371	0.1729	0.2712	0.3767	0.0545	0.008	0.1166
S11377	0.2252	0.3758	0.0783	0.0586	0.0111	0.251
S11378	0.2577	0.1973	0.3148	0.0547	0.0072	0.1683
S11383	0.2318	0.3088	0.279	0.0369	0.0036	0.1399
S11384	0.2197	0.2507	0.3519	0.0535	0.0095	0.1147
S11392	0.1325	0.4621	0.1759	0.0484	0.0059	0.1752
S1140	0.21	0.3764	0.128	0.0677	0.017	0.2008
S11410	0.1935	0.4526	0.0954	0.0472	0.0063	0.205
S11411	0.2098	0.3496	0.2573	0.0424	7e-04	0.1403
S11414	0.1864	0.3535	0.2061	0.0666	0.0088	0.1786
S11419	0.2533	0.3097	0.1558	0.0565	0.0058	0.219
S11424	0.1636	0.5617	0.0676	0.046	0.0136	0.1475
S11425	0.1572	0.4854	0.1395	0.0443	0.0052	0.1685
S11433	0.1723	0.4358	0.1818	0.0424	0.0048	0.1629
S11434	0.2227	0.2835	0.2772	0.0481	0.003	0.1655
S11436	0.2082	0.3595	0.1664	0.0452	0.0047	0.216
S11437	0.201	0.3935	0.2228	0.046	0.008	0.1287
S11440	0.2163	0.3149	0.0931	0.0662	0.0098	0.2996
S11449	0.1926	0.4108	0.2032	0.0459	0.0032	0.1442
S11459	0.246	0.3899	0.1642	0.0425	0.0163	0.141
S11477	0.1803	0.3417	0.1957	0.0528	0.007	0.2225
S11480	0.2075	0.3313	0.1421	0.0639	0.0088	0.2464
S11486	0.2204	0.3731	0.1573	0.0585	0.0072	0.1834
S11501	0.1839	0.3255	0.185	0.0698	0.017	0.2189
S11504	0.1667	0.3782	0.2502	0.0545	0.0099	0.1406
S11507	0.1649	0.4554	0.1845	0.0568	0.0118	0.1266
S11518	0.1369	0.3662	0.3223	0.0334	0.0028	0.1385
S11525	0.1611	0.4823	0.1773	0.0433	0.0094	0.1266
S11531	0.1781	0.3988	0.1833	0.0512	0.0069	0.1816
S11532	0.2643	0.3559	0.1856	0.0488	0.009	0.1363
S1154	0.2546	0.2719	0.2468	0.0556	0.0033	0.1677
S11542	0.1402	0.4538	0.1374	0.0673	0.0141	0.1872
S11543	0.2394	0.3246	0.1486	0.0525	0.0045	0.2304
S11546	0.2177	0.4042	0.114	0.0495	0.0057	0.209
S1155	0.1718	0.4353	0.1089	0.057	0.0084	0.2186
S1156	0.1882	0.2541	0.4645	0.0362	0.0082	0.0487
S11568	0.1692	0.3546	0.174	0.0661	0.0098	0.2263
S11576	0.2092	0.3811	0.2441	0.0342	0.0028	0.1286
S11584	0.2174	0.3788	0.0649	0.0754	0.0077	0.2557
S11586	0.2279	0.3948	0.1466	0.042	0.0038	0.185
S11590	0.1814	0.3693	0.1858	0.0508	0.0023	0.2103
S11592	0.1562	0.424	0.1862	0.0605	0.0116	0.1614
S11593	0.2686	0.3298	0.1562	0.0537	0.0044	0.1873
S11599	0.1819	0.4752	0.0592	0.0847	0.016	0.1831
S1160	0.2151	0.3782	0.19	0.0673	0.0083	0.1411
S11610	0.1625	0.4432	0.0626	0.0657	0.0103	0.2556
S11615	0.1851	0.3183	0.2466	0.0485	0.0019	0.1996
S11629	0.1862	0.1681	0.3928	0.0474	0.0022	0.2033
S11631	0.2959	0.3379	0.1715	0.0409	0.0042	0.1496
S1164	0.217	0.3114	0.1843	0.06	0.0054	0.2218
S11642	0.1436	0.427	0.0964	0.0869	0.014	0.232
S11656	0.1273	0.4321	0.1649	0.0769	0.0112	0.1876
S11663	0.1784	0.4329	0.1584	0.04	0.0088	0.1816
S11667	0.1992	0.3774	0.1839	0.0444	0.0038	0.1913
S11668	0.201	0.3685	0.1822	0.0514	0.0075	0.1895
S1167	0.1528	0.3572	0.2562	0.0501	0.0079	0.1757
S11673	0.1554	0.4138	0.1727	0.0634	0.0092	0.1855
S11682	0.2549	0.3038	0.1617	0.065	0.0022	0.2125
S11693	0.1944	0.4463	0.1531	0.0521	0.008	0.1462
S11696	0.1922	0.4638	0.1009	0.0463	0.0071	0.1897
S11699	0.2494	0.3494	0.1713	0.0496	7e-04	0.1797
S117	0.1691	0.4749	0.0767	0.0814	0.0284	0.1694
S1170	0.2492	0.364	0.1554	0.0528	0.0035	0.175
S11709	0.1833	0.3212	0.2223	0.0592	0.0072	0.2068
S11713	0.2572	0.3339	0.2969	0.032	0.0048	0.0752
S11717	0.1698	0.3945	0.2148	0.0561	0.0112	0.1536
S1173	0.1753	0.3345	0.1889	0.0716	0.0118	0.2179
S11731	0.2278	0.3166	0.1052	0.066	0.006	0.2783
S11732	0.1881	0.3443	0.174	0.0676	0.0051	0.2208
S11733	0.1625	0.3824	0.2649	0.0374	0.0078	0.145
S11734	0.2049	0.2861	0.2376	0.0607	0.0065	0.2042
S11735	0.2293	0.3089	0.2052	0.0482	0.0044	0.204
S11737	0.1698	0.3986	0.1998	0.0638	0.0149	0.1532
S11745	0.1923	0.4262	0.0914	0.0599	0.0163	0.2138
S11760	0.1731	0.4851	0.0473	0.0702	0.0174	0.2069
S11761	0.5852	0.1868	0.1034	0.0313	0.0094	0.0839
S11769	0.2038	0.2979	0.1421	0.0695	0.0112	0.2755
S11783	0.2585	0.302	0.2448	0.048	0.0034	0.1433
S11784	0.2038	0.4267	0.106	0.053	0.0041	0.2063
S11786	0.2064	0.3613	0.1604	0.0475	0.0069	0.2175
S11797	0.1824	0.3733	0.2156	0.0455	0.0087	0.1746
S11799	0.2073	0.3064	0.2292	0.0667	0.0077	0.1826
S118	0.1866	0.35	0.1932	0.0534	0.0052	0.2116
S11800	0.2294	0.2725	0.2771	0.0446	0.0039	0.1726
S11802	0.2262	0.3744	0.1446	0.066	0.0081	0.1808
S11806	0.181	0.4053	0.0885	0.0682	0.0138	0.2433
S11807	0.5917	0.2523	0.0211	0.0308	0.0056	0.0985
S11810	0.1578	0.4739	0.1746	0.042	0.0073	0.1444
S11811	0.2402	0.2625	0.1967	0.0567	0.0043	0.2396
S11812	0.1663	0.3658	0.182	0.0585	0.0122	0.2152
S11820	0.2148	0.3179	0.2048	0.0556	0.0032	0.2037
S11822	0.2037	0.317	0.1734	0.0602	0.0077	0.238
S11823	0.1987	0.3169	0.1841	0.0881	0.011	0.2012
S11826	0.1604	0.2595	0.344	0.0563	0.007	0.1728
S1183	0.191	0.4873	0.124	0.0568	0.0228	0.1182
S1184	0.2003	0.4108	0.1631	0.047	0.0049	0.174
S11842	0.183	0.3286	0.3064	0.0412	0.0069	0.1339
S11843	0.1783	0.3372	0.2162	0.06	0.0025	0.2059
