ID,CD38.negative.naive.B.cell,memory.B.cell,CD14.positive..CD16.negative.classical.monocyte,cytotoxic.CD56.dim.natural.killer.cell,mature.neutrophil,memory.CD4.positive.alpha.beta.T.cell,CD4.positive..alpha.beta.T.cell,memory.CD8.positive.alpha.beta.T.cell
S15085,8.203156,7.756448,8.269636,8.199586,9.834344,7.942556,8.668582,8.03073
S15089,8.3161,7.936826,8.243642,8.251988,9.848042,8.171338,8.80128,8.179406
S15092,8.078738,7.667432,8.24857,8.115462,9.847166,7.787492,8.471692,7.918046
S15093,8.18805,7.928192,8.45191,8.328374,9.998548,7.98172,8.49483,8.067464
S15099,7.938546,7.808036,8.179998,8.018332,9.594896,7.733064,8.51142,7.817494
S1510,8.247028,7.962922,8.336322,8.136758,9.64125,8.13345,8.833988,8.103846
S15100,8.28777,8.022988,8.34357,8.258894,9.728984,8.135706,8.827906,8.1903
S15107,8.099902,7.9998,8.359086,8.300528,10.13335,8.081412,8.68607,8.04948
S15108,8.219576,8.078644,8.649214,8.505254,9.95909,8.220448,8.65462,8.258682
S1511,8.400046,8.020912,8.5502,8.355552,10.047014,8.309214,8.94669,8.22514
S15110,8.062892,7.872006,8.376594,8.276762,9.941496,7.958696,8.531338,7.997928
S15111,7.976544,7.65297,8.120166,7.922412,9.732518,7.811978,8.434288,7.898744
S15113,8.07891,7.621582,8.273062,7.996452,9.801562,7.653522,8.360948,7.825522
S15115,8.188218,8.104188,8.42559,8.23899,9.800588,8.26188,8.87193,8.322718
S15120,8.390752,7.87479,8.404092,8.174934,9.904162,8.085624,8.634026,8.054388
S15121,8.180744,7.971842,8.233272,8.146908,9.66196,8.039376,8.93048,8.204614
S15124,8.153648,7.89204,8.28477,8.135186,9.780314,7.954502,8.640996,8.060532
S15126,8.090742,7.875924,8.334388,8.150348,9.762018,7.950256,8.485128,8.037834
S15129,8.26548,8.010128,8.435718,8.30011,10.054346,8.050262,8.61793,8.206164
S15130,8.217086,7.9801,8.38714,8.258456,9.802242,8.283234,8.975736,8.258038
S15153,8.127604,7.89278,8.405816,8.416228,10.002004,8.06081,8.57895,8.125538
S15160,8.156906,7.844086,8.350696,8.37872,10.181454,8.21221,8.659386,8.073912
S15167,7.953928,7.76712,8.221526,7.968612,9.815244,7.74275,8.457284,7.810414
S1517,8.260448,8.167514,8.657664,8.458578,10.08517,8.280046,8.873288,8.228472
S15179,8.277516,8.027468,8.59275,8.290902,9.871584,8.075212,8.605124,8.148518
S15184,8.205974,8.107974,8.454264,8.156098,9.862708,8.243956,8.970112,8.173502
S15192,8.486806,8.021534,8.53975,8.355304,9.817478,8.284886,8.793558,8.315386
S15193,8.330788,7.912282,8.463674,8.144266,9.794624,8.09249,8.683742,8.20891
S15198,7.892326,7.970474,8.235214,8.129772,10.17164,7.979872,8.84397,7.902928
S1520,8.191422,7.823508,8.267012,8.114974,9.976244,8.036192,8.604346,8.003948
S15208,8.087668,8.117956,8.524812,8.19594,9.883784,8.226404,9.059474,8.196988
S1521,7.759418,7.63764,8.102964,7.790082,9.79552,7.543866,8.352936,7.728788
S15216,8.162654,7.617448,8.069864,7.992064,9.901666,7.812066,8.404358,7.955774
S15218,7.728834,7.877886,8.360324,8.056218,9.923658,7.674774,8.45546,7.872106
S1522,8.35247,7.90456,8.376164,8.220372,10.04429,8.13701,8.730332,8.183208
S15223,8.132584,7.941534,8.603648,8.33048,9.961948,8.00898,8.458628,8.118856
S15237,8.511002,7.98947,8.368164,8.200994,9.919046,8.301226,8.828418,8.227588
S15239,8.298282,7.950002,8.38563,8.19906,9.934872,8.312656,8.951806,8.130726
S15241,7.808544,7.998818,8.43834,8.131702,9.623284,7.908332,8.626226,8.003294
S15246,8.139694,7.863182,8.438968,8.322878,10.00606,8.021666,8.6477,8.097904
S15254,8.15766,8.069134,8.336346,8.111662,9.40155,8.202986,8.993542,8.087636
S15258,8.13183,7.86804,8.444806,8.282752,9.874972,7.915554,8.710462,8.07405
S15259,8.23474,7.944388,8.2708,8.162782,9.89649,8.382346,9.183364,8.239104
S15264,8.420346,8.1089,8.607946,8.509926,10.207252,8.40433,8.959326,8.332676
S15266,7.700362,7.84199,8.081094,7.933686,9.507802,7.603928,8.557768,7.780776
S15273,8.141128,7.933694,8.484758,8.352636,9.995776,8.054192,8.604262,8.026154
S1528,8.348534,7.943934,8.448228,8.422836,10.166616,8.04133,8.510058,8.046574
S15285,8.23291,7.79046,8.12065,8.16988,9.7692,8.071578,8.518646,8.057078
S15294,8.292918,8.281254,8.655172,8.595906,9.84119,8.360716,8.820198,8.407272
S15304,8.198234,8.075402,8.626794,8.327988,10.12403,8.127694,8.80066,8.05206
S15308,8.112162,7.919168,8.182702,8.23018,9.90132,8.106378,8.704194,8.067412
S15313,8.288428,7.980212,8.320386,8.23385,9.946512,8.189932,8.887344,8.060864
S15329,8.328828,7.804952,8.465506,8.193424,9.926744,8.004638,8.45319,8.087804
S1533,7.663702,7.812892,8.21164,7.79059,9.695154,7.808758,8.679072,7.79502
S15338,8.079836,7.90619,8.157932,8.11347,9.772128,8.073038,8.803452,8.068006
S15340,8.17751,7.96481,8.309896,8.082294,9.786968,8.202284,8.879876,8.119018
S15345,7.915478,8.005158,8.555494,8.331752,10.284682,7.868394,8.511906,7.92397
S15354,7.848866,7.841172,8.342948,8.276426,9.85955,7.821972,8.469064,7.868102
S15366,7.969076,7.849056,8.21907,8.01869,9.5742,7.788492,8.57771,7.899984
S15368,8.31961,8.012406,8.395774,8.26104,9.99095,8.107032,8.733406,8.106862
S15372,8.147526,8.292158,8.712372,8.618824,10.093068,8.32286,8.981882,8.280808
S15374,7.920194,8.311576,8.449828,8.654348,9.739568,8.28257,8.934232,8.22104
S15375,8.484596,8.047748,8.577314,8.411878,10.150544,8.300286,8.875764,8.23645
S15380,8.08625,7.852642,8.146694,8.088008,9.75147,7.915418,8.598918,7.927044
S15382,8.103084,7.91694,8.438022,8.294102,9.848894,7.912572,8.633798,8.089098
S1539,8.39851,7.982452,8.493814,8.449352,9.931112,8.250498,8.791922,8.345802
S15394,8.031996,7.890096,8.351262,8.188126,9.738422,7.910142,8.656074,7.983556
S15401,8.152232,7.892234,8.24032,8.12674,9.863594,7.962846,8.637246,7.981622
S15413,7.67657,7.836,8.292396,8.034634,9.650742,7.742156,8.510902,7.832982
S15417,8.29531,7.979236,8.5313,8.259304,10.153324,8.187748,8.743516,8.148814
S1542,8.030476,7.9562,8.333896,8.21578,9.7763,8.00662,8.759554,8.017946
S15420,8.075594,7.875782,8.427628,8.23946,9.652248,8.08515,8.567848,8.054696
S15427,8.347514,8.0446,8.368002,8.28523,9.88688,8.187122,8.836728,8.136604
S15428,8.262264,8.182698,8.50803,8.5317,9.81718,8.195004,8.63221,8.26341
S15429,7.869204,7.83625,8.398356,8.125456,9.911944,7.925752,8.52743,7.898808
S15432,8.209176,7.855042,8.480754,8.154146,9.901192,7.966544,8.594512,8.028826
S15433,8.30906,8.039568,8.401362,8.339782,9.85071,8.196078,8.889306,8.229088
S1544,8.441288,8.064888,8.458514,8.482524,10.04173,8.43931,8.91934,8.28888
S15446,8.144042,7.992542,8.451696,8.27313,9.883014,8.083924,8.757916,8.050818
S15452,8.426134,7.811612,8.465504,8.266482,10.04275,8.13855,8.666318,8.153494
S15455,8.167588,7.847808,8.404902,8.275392,10.061266,7.92304,8.505066,8.039296
S15458,8.33732,7.820194,8.355122,8.171408,9.81839,8.00533,8.51058,8.0406
S1546,8.150944,8.13257,8.599302,8.481016,10.216358,8.261706,9.03071,8.186532
S15463,8.369126,7.905874,8.407152,8.302944,9.996818,8.115718,8.605232,8.107384
S15470,8.089898,7.699972,8.232302,8.18848,9.864562,7.824218,8.421248,7.932996
S15479,8.236372,8.07786,8.542176,8.276336,10.120452,8.225844,9.023546,8.170268
S15487,8.307618,7.995926,8.47933,8.316662,9.886604,8.129152,8.591146,8.186366
S15490,7.952804,7.751218,8.181744,8.24417,9.9144,7.987784,8.565688,8.028126
S15496,8.403284,7.875422,8.360624,8.299714,9.713862,8.243604,8.744538,8.254452
S1550,8.154036,8.15338,8.539604,8.28466,10.021718,8.267964,9.0744,8.31876
S15503,8.165694,7.968972,8.414506,8.239422,10.065688,7.974212,8.637314,8.078438
S15513,8.552978,7.954518,8.515354,8.316778,10.120138,8.222446,8.644336,8.208626
S15515,8.237944,8.140296,8.539574,8.227778,10.065832,8.329534,9.079064,8.22137
S15525,8.192472,8.220244,8.641248,8.604656,10.096426,8.165826,8.652298,8.17647
S15526,8.103182,8.021928,8.235486,8.148986,9.819484,8.298414,9.230292,8.166206
S15527,8.152238,7.86702,8.482762,8.173234,10.05843,8.123366,8.70086,8.039224
S15528,8.259826,8.22736,8.610068,8.590866,10.18517,8.418456,9.084716,8.3152
S15543,8.153336,7.780802,8.20712,8.088992,9.788084,7.922696,8.622714,8.018044
S15545,8.076962,7.907492,8.465696,8.257036,10.152774,8.07487,8.603528,8.03846
S15556,8.341696,7.982612,8.597534,8.514482,10.122974,8.210114,8.668808,8.24729
S15558,8.092932,8.053518,8.388612,8.204578,9.818372,8.02785,8.718472,8.176382
S15570,7.669178,7.63915,8.158242,7.856484,9.730378,7.495402,8.135634,7.73599
S15571,8.299204,7.841932,8.235608,7.99244,9.692264,7.987576,8.751266,8.034324
S15574,8.179572,7.837836,8.245248,8.075316,9.744306,8.004466,8.71149,8.066342
S15580,8.189922,7.901718,8.410448,8.067612,9.94978,8.084626,8.780946,7.966276
S15585,8.09132,7.90218,8.339024,8.175888,9.84398,7.995016,8.700102,8.100954
S15587,8.278728,7.887642,8.327,8.21609,9.925706,8.120118,8.799328,8.131544
S15589,8.166368,7.9724,8.268586,8.235318,10.025772,8.145176,9.027758,8.177392
S15600,8.303214,7.969148,8.510674,8.379744,9.822506,8.092052,8.60104,7.98126
S15605,8.067328,7.788144,8.21445,8.016004,9.858484,7.836588,8.520304,7.948548
S1561,8.0926,8.333334,8.686268,8.569182,9.9505,8.383702,8.968598,8.25138
S15618,8.386408,8.08292,8.369638,8.33788,9.776082,8.393532,9.06871,8.329012
S15621,7.925722,7.691226,7.94523,7.874064,9.849712,7.628042,8.427952,7.82516
S15628,8.31744,8.094658,8.672652,8.573268,10.097548,8.322324,8.784804,8.303358
S15629,8.32485,8.030128,8.592644,8.40539,9.879838,8.273868,8.583448,8.290186
S15631,8.199632,7.88245,8.357274,8.15373,9.814836,7.987396,8.650322,8.03606
S15634,8.141498,7.960662,8.417738,8.151958,9.80831,8.05883,8.62639,8.015428
S1564,8.2404,8.072216,8.851942,8.62388,10.13148,8.237882,8.655872,8.15267
S15648,8.46453,7.832152,8.444648,8.395134,9.901466,8.181276,8.65674,8.194726
S15659,8.130826,8.119658,8.432352,8.308666,9.954634,8.460624,9.31857,8.352004
S15677,8.362524,8.283386,8.447114,8.513936,10.045472,8.53112,9.264578,8.361384
S15683,8.129452,7.956378,8.714596,8.456466,10.130576,8.01495,8.392028,8.079882
S15689,8.12976,7.649576,8.139712,7.99989,9.919626,7.797206,8.269468,7.846776
S15690,8.043178,7.803424,8.128558,8.064986,10.038346,7.927998,8.717596,7.961568
S15692,8.254714,7.72962,8.416424,8.09219,10.036338,7.992356,8.538464,7.993358
S15693,8.168206,7.761624,8.22609,8.059782,9.956328,7.846192,8.371948,7.885938
S15703,8.065346,7.71506,8.189632,7.983652,9.936944,7.853456,8.529408,7.820022
S15705,8.4587,8.055804,8.10264,8.165406,9.673562,8.07309,8.766392,8.171156
S1572,8.157748,8.013764,8.545494,8.152958,10.15498,8.232646,8.955146,8.102152
S15722,8.265028,7.777588,8.305278,7.97274,9.888412,7.877842,8.593482,7.844202
S15730,8.109428,8.133112,8.325852,8.351068,9.99864,8.049294,8.546088,8.064928
S15732,8.3191,8.012446,8.350846,8.112354,9.464462,8.22411,8.958194,8.14411
S15738,8.211692,8.05597,8.462472,8.285056,9.883472,8.167982,8.856596,8.172536
S1574,8.28608,8.032864,8.483262,8.219182,9.897512,8.256668,8.981898,8.135396
S1576,7.994406,7.860714,8.280296,8.184726,9.917638,7.94099,8.540542,8.118
S15768,8.261646,7.931452,8.441472,8.225972,9.912146,8.130094,8.662334,8.170352
S1577,8.063408,8.038134,8.37887,8.081568,9.861626,8.190516,8.9699,8.152014
S15770,7.890636,7.801582,8.234086,8.106932,9.775222,8.061688,8.803062,8.032858
S15778,8.255228,7.835636,8.39953,8.22879,9.85963,8.055576,8.667454,8.10643
S1578,7.90311,7.725952,8.279376,8.141348,9.80716,7.72531,8.127692,7.849616
S15781,8.357974,7.906562,8.377906,8.284584,9.900582,8.094028,8.695936,8.123382
S15789,8.406968,8.181932,8.575432,8.567848,9.82543,8.307654,8.822478,8.265738
S15791,8.216968,7.8229,8.245554,8.09985,9.948762,8.00955,8.624442,8.019502
S15795,7.99303,8.029376,8.154954,8.273694,9.535824,8.126646,8.988564,8.32953
S15802,8.28333,8.065428,8.488172,8.183936,9.931014,8.25788,8.967408,8.132266
S15816,7.762998,7.675072,8.006148,7.799664,9.410584,7.75884,8.767432,7.83877
S15819,7.887994,7.71474,8.264004,8.014868,9.711364,7.619032,8.356342,7.865368
S15825,8.417756,8.192932,8.680628,8.64016,10.095928,8.461888,8.84267,8.551482
S15828,7.895252,7.968188,8.43857,8.305658,10.08673,7.968058,8.54069,7.996542
S15833,8.258068,8.002122,8.515212,8.432502,10.003492,8.103804,8.640458,8.105958
S15834,8.057102,7.886442,8.273532,8.178976,9.832212,7.889924,8.713194,7.984182
S15840,8.303422,7.993694,8.457974,8.269492,9.854986,8.099562,8.70852,8.136478
S15844,8.092102,7.939184,8.526806,8.324702,10.267356,8.043772,8.545236,8.075678
S15851,8.220504,7.946132,8.411574,8.357332,9.942834,8.083048,8.731452,8.1609
S15862,8.340962,8.100016,8.501068,8.385986,10.025224,8.234722,8.753812,8.252552
S15863,7.410734,7.565496,8.032954,7.91203,9.473582,7.404454,8.274096,7.543398
S15878,8.27276,7.857924,8.380372,7.93267,9.601522,7.977694,8.67366,8.060142
S1588,8.322736,8.055936,8.414498,8.241254,9.965614,8.289206,8.99152,8.190634
S15886,8.250416,7.767568,8.313954,8.087742,10.013522,7.949474,8.467488,7.953312
S15887,8.328842,8.051292,8.562634,8.354482,9.98049,8.273534,8.721958,8.169794
S15895,8.16235,7.967296,8.491594,8.329782,9.792702,8.092538,8.76321,8.155102
S15898,8.199596,8.02067,8.463964,8.372698,9.973408,8.153832,8.851924,8.080778
S15903,7.968216,7.65781,8.11303,7.871846,9.834998,7.698174,8.421954,7.811144
S15908,8.370342,7.974218,8.414446,8.383688,10.07132,8.219476,8.85884,8.115726
S15910,8.257166,8.156958,8.527788,8.58332,9.894052,8.253216,8.783782,8.422726
S15925,8.140148,7.86507,8.410964,8.161908,9.975382,7.876686,8.441992,8.02075
S1593,8.250168,7.778686,8.338284,8.220534,9.84151,7.881022,8.572136,8.03992
S15931,8.216088,8.085482,8.69968,8.459504,10.143328,8.28815,8.899212,8.212428
S15941,8.191436,8.00981,8.619888,8.326384,10.004052,8.124684,8.707832,8.119236
S15946,7.98212,8.022786,8.313404,8.229048,9.870002,8.156774,8.93476,8.084
S15955,8.086626,7.72736,8.151034,7.891414,9.756038,7.770232,8.513038,7.843562
S15956,8.771094,8.270312,7.993158,8.169242,9.16597,8.186798,9.000812,7.927612
S15960,8.36637,7.927634,8.55986,8.30765,10.112068,8.166762,8.579994,8.188096
S15966,8.362758,7.978464,8.431258,8.374528,9.891218,8.219028,8.710378,8.17772
S15973,8.336378,7.851382,8.476506,8.147052,9.950746,7.988112,8.585574,7.998224
S15974,8.368252,7.791374,8.345356,8.146292,10.010508,8.00721,8.576532,8.02318
S15976,7.912182,7.629766,8.059548,7.895248,9.682798,7.87616,8.468166,7.840566
S15978,8.366614,8.060634,8.538038,8.343142,9.933852,8.28588,9.025486,8.225054
S15979,8.144718,7.927532,8.291812,8.174958,9.760518,8.08276,8.814554,8.055916
S15981,8.251316,8.044322,8.407242,8.146768,9.600928,8.263836,8.842418,8.191092
S15984,8.015802,7.812774,8.358562,8.058958,9.674772,7.787418,8.485334,7.885482
S15994,8.312746,8.017318,8.53722,8.314612,10.07052,8.228554,8.897856,8.229656
S15996,8.283334,7.89341,8.35307,8.215594,10.01973,8.20565,8.699832,8.145446
S15998,8.527478,8.043316,8.23726,8.216134,9.56213,8.355326,9.121702,8.259632
S160,8.227972,8.136706,8.561762,8.6173,9.891738,8.361422,9.011456,8.338992
S1600,8.221546,8.086162,8.347904,8.23234,9.864036,8.295088,8.919208,8.167514
S16012,8.2951,8.193186,8.480274,8.711838,9.84329,8.443832,9.032582,8.428396
S16013,8.21985,7.905524,8.35216,8.144684,10.074216,8.083014,8.78447,8.108002
S16022,7.981874,7.953772,8.3796,8.143678,10.094432,8.124706,8.82295,8.02769
S16037,8.21635,7.847758,8.326608,8.191704,9.945486,8.047296,8.58243,8.07331
S16038,8.044538,7.69567,8.233982,8.147004,9.805524,7.849168,8.43006,8.020784
S16040,8.199746,7.89661,8.337214,8.16627,9.884804,8.050814,8.68072,8.00467
S16048,8.031976,7.916632,8.323616,8.130652,10.024056,7.881208,8.634446,7.895998
S16054,8.351024,7.961374,8.464352,8.360706,10.106502,8.172568,8.740806,8.090914
S16056,8.236824,7.90177,8.40632,8.27114,9.871858,8.228426,8.823278,8.201966
S16069,8.292138,8.019036,8.421208,8.196422,9.697934,8.13888,8.927374,8.151282
S1609,7.90828,7.663854,8.106882,7.873696,9.579124,7.64784,8.364568,7.854424
S16093,8.219148,7.897334,8.452478,8.185008,9.934772,7.932364,8.469482,7.9989
S16097,8.00304,7.641674,8.193206,7.838588,9.831802,7.630712,8.366254,7.87597
S16099,8.886566,8.456494,8.265612,8.291984,9.143902,8.438412,8.982158,8.079024
S16108,8.489292,7.983024,8.56769,8.536148,9.97561,8.29221,8.79674,8.380254
S16109,8.157954,7.899032,8.137652,8.129412,9.475288,8.041672,8.775122,8.038272
S1611,8.371654,8.069078,8.55592,8.375956,9.89486,8.548828,8.986782,8.351664
S16112,8.19106,8.02541,8.449658,8.309428,10.03643,8.115948,8.717698,8.130386
S16116,7.747462,7.741682,7.943416,7.787532,9.720348,7.88765,8.590324,7.755164
S16118,8.303154,7.93007,8.493464,8.325506,9.997822,8.082802,8.621344,8.099634
S16122,8.225422,7.596258,8.378204,7.832804,9.92234,7.749316,8.256366,7.889336
S16126,8.152676,7.856554,8.282296,8.095186,9.798256,8.068056,8.65916,8.056878
S16130,8.00635,8.021496,8.401552,8.260004,9.844224,8.012596,8.55392,7.996054
S16138,7.968786,7.895286,8.076326,8.069144,9.771382,7.958508,8.864418,7.98637
S16146,8.40032,8.066608,8.651868,8.291414,10.039332,8.225428,8.742138,8.193974
S16147,8.327422,7.904054,8.386458,8.24235,9.981722,8.196932,8.687656,8.080254
S16151,8.288082,7.831492,8.260944,8.181188,9.760406,8.041634,8.656454,8.045722
S16154,8.186668,7.92041,8.58322,8.282146,10.016098,8.082844,8.652498,8.036266
S16155,8.25291,7.933804,8.484566,8.358112,9.948938,8.146858,8.670164,8.152198
S16160,7.847294,7.949626,8.279392,8.15411,9.854934,7.985386,8.796722,7.950992
S16163,8.30458,7.939636,8.437464,8.218398,10.002082,8.21624,8.762882,8.1236
S16167,7.870374,7.527918,7.75707,7.757354,9.540202,7.515432,8.397048,7.647008
S16168,7.991414,8.041658,8.491568,8.344608,9.931164,8.191078,8.693658,8.12695
S16169,7.84719,7.908222,8.426682,8.32867,9.840378,7.818534,8.579696,7.935998
S16170,8.35194,8.101778,8.414964,8.339018,9.772028,8.225884,8.797544,8.210418
S16171,8.037582,8.017048,8.2049,8.125742,9.754054,8.126492,8.976412,8.179088
S16178,8.266214,8.009804,8.564336,8.394534,10.21176,8.246198,8.883928,8.237986
S16180,8.036258,7.968094,8.396848,8.241444,10.125668,8.051676,8.78784,8.09024
S16187,8.199724,7.946826,8.687954,8.243556,10.258472,8.08154,8.75368,8.0267
S16195,8.349854,8.04973,8.479034,8.230878,9.990184,8.194102,8.965224,8.169576
S16199,8.109562,7.95538,8.499194,8.31488,9.859464,8.0774,8.594372,8.074936
S1620,8.293212,8.063162,8.469256,8.384032,10.086304,8.15179,8.758462,8.135812
S16203,8.219088,7.784582,8.145656,8.094558,9.751666,7.916312,8.630234,7.882256
S16208,8.214024,7.976528,8.418822,8.24504,10.055284,8.275818,9.037506,8.14828
S16211,8.384862,7.889482,8.370428,8.241162,10.163088,8.178988,8.783162,8.12531
S16213,8.330656,8.090704,8.600048,8.56284,9.841784,8.385474,9.00453,8.238906
S16229,8.202478,8.19257,8.588044,8.594044,10.093252,8.25698,8.758332,8.141206
S16232,8.35451,8.002672,8.699614,8.321318,9.88914,8.241338,8.497792,8.366034
S16237,8.162994,7.862738,8.434192,8.18467,10.03723,7.864374,8.419318,8.011438
S16239,8.24714,7.875262,8.29126,8.023012,9.762778,7.97657,8.702526,7.951894
S16249,8.088348,7.835172,8.479804,8.16665,9.938042,7.850636,8.473184,7.964214
S16253,8.223198,7.93074,8.252066,8.288578,9.920374,8.116284,8.871248,8.142804
S16255,8.42634,8.168104,8.712766,8.520592,10.04926,8.42508,8.96662,8.313314
S16257,8.038592,7.961742,8.3801,8.322814,9.71866,7.919978,8.451076,8.000208
S16272,7.948718,7.744468,8.296032,8.036968,9.864826,7.710224,8.428706,7.860876
S16274,8.362498,7.770858,8.584914,8.09177,10.124714,8.073864,8.179882,8.09726
S16275,8.09467,7.791644,8.18624,7.978768,9.876402,7.877482,8.557378,7.980516
S1628,8.23473,7.889902,8.403012,8.319356,10.05714,8.028124,8.57579,8.071466
S16282,8.211334,7.992744,8.312566,8.179478,9.823696,8.261642,8.996974,8.186928
S16288,8.378116,7.957472,8.41254,8.269838,10.03868,8.133822,8.677082,8.079218
S16294,8.178416,7.98514,8.327134,8.144804,9.759576,8.26675,8.870958,8.153682
S16297,7.979946,7.530188,8.171682,7.863372,9.902584,7.58756,8.307982,7.795578
S16305,8.330268,8.080586,8.62474,8.367532,10.122634,8.303518,9.05498,8.153014
S16306,8.073576,7.883286,8.353422,8.221116,9.976956,7.918342,8.497188,8.025028
S16308,8.29314,8.075574,8.3697,8.214316,10.1334,8.215112,8.941792,8.104736
S16311,8.42506,8.195786,8.690728,8.609038,9.862858,8.30139,8.86045,8.347634
S16318,8.078222,8.120816,8.43721,8.376586,10.003468,8.262816,9.03362,8.225494
S16322,8.189804,7.781158,8.382278,7.963328,9.884162,7.926966,8.512362,7.905284
S16327,8.421376,7.982672,8.525308,8.265782,9.99968,8.193138,8.901904,8.222292
S16352,8.34909,8.083018,8.54775,8.5724,10.174646,8.28765,8.76527,8.311748
S16354,7.83816,7.720836,8.264842,7.903114,10.029772,7.625854,8.251572,7.843422
S16358,8.18015,8.046444,8.563612,8.434532,9.910386,8.243856,8.779082,8.222834
S1636,8.174844,7.98779,8.531252,8.342932,10.032404,8.127672,8.987906,8.185374
S16367,8.132388,7.822696,8.254402,8.130966,9.86431,7.897464,8.678228,7.981108
S16368,8.039176,8.00357,8.508884,8.348184,10.047768,8.067486,8.654268,8.113962
S16372,8.199428,8.27331,8.539826,8.33511,9.98604,8.438304,9.339398,8.288828
S16373,7.840054,7.768052,8.107248,7.988974,9.90087,7.716996,8.371802,7.796758
S16379,8.320042,7.982324,8.649072,8.41782,10.113334,8.10999,8.64089,8.209848
S16386,8.278162,7.905372,8.394286,8.119554,9.853722,8.114938,8.736982,8.182676
S16389,8.240638,7.974378,8.515418,8.34424,9.963286,8.021418,8.562314,8.123666
S1639,8.359064,7.95642,8.388066,8.269968,9.754724,8.331584,8.881822,8.232912
S16391,8.294422,7.943592,8.468572,8.237024,9.852202,8.17473,8.786584,8.164586
S16401,8.087536,7.876924,8.29778,8.21219,9.776078,8.166196,8.843284,8.12629
S16407,8.1737,7.816552,8.279998,8.184822,9.66707,8.017186,8.705328,8.012276
S16408,8.14055,8.229152,8.529622,8.534108,10.003294,8.483048,9.24275,8.298664
S16412,8.341432,8.059294,8.56373,8.444672,10.149954,8.215224,8.69171,8.224634
S16414,8.129638,7.727644,8.17548,7.971948,9.79928,7.897016,8.650464,7.89659
S16419,8.202664,7.880622,8.279,8.085144,9.881068,8.081304,8.763458,8.040614
S16420,8.43721,8.009324,8.528554,8.344846,9.96263,8.148506,8.718702,8.217126
S16422,8.120836,7.611468,8.287322,8.021912,9.878238,7.73916,8.323902,7.962434
S16423,7.985888,7.712544,8.099186,7.90631,9.677584,7.827788,8.552416,7.86521
S16428,8.289996,8.017512,8.440104,8.334536,10.003234,8.29485,8.926596,8.189064
S16439,8.292448,7.939144,8.263402,8.259284,10.027708,8.184082,8.86835,8.126846
S16441,8.233362,7.814934,8.278034,8.13371,9.817932,8.00439,8.663382,8.054578
S16450,8.258786,8.46287,8.665462,8.734116,9.863434,8.501428,9.11792,8.397124
S16455,8.264928,8.107172,8.495286,8.313006,10.083618,8.287262,9.04317,8.216262
S16460,8.518462,8.170564,8.639604,8.402988,10.211556,8.44045,9.181374,8.314868
S16473,8.23079,7.998344,8.686892,8.417394,10.151136,8.18361,8.652694,8.227368
S16475,8.280284,7.97243,8.500442,8.441586,9.556724,8.361374,8.775118,8.282862
S16476,8.256304,8.190716,8.555784,8.510794,9.910812,8.369534,8.942454,8.194454
S16478,8.38902,8.129802,8.588608,8.3645,9.972026,8.272992,8.785704,8.211354
S16480,8.264364,7.94227,8.510446,8.211426,10.136678,8.01041,8.62203,8.103216
S16488,8.513458,8.188238,8.716544,8.578836,10.043974,8.536976,9.072048,8.373142
S1649,8.06295,7.60748,8.227834,7.998032,10.02073,7.808456,8.288254,7.814504
S16498,8.262522,8.244062,8.515298,8.516542,10.073512,8.469862,9.235592,8.322056
S16503,8.139398,8.1505,8.42423,8.409402,9.696824,8.334568,8.990306,8.253856
S16504,8.24342,7.92763,8.40787,8.30835,9.74644,8.09443,8.68184,8.067616
S16505,8.08434,7.842852,8.460898,8.081676,10.237844,7.99548,8.66699,7.935658
S16506,8.241196,7.831504,8.194052,8.310396,9.938888,8.007242,8.567616,7.961322
S16515,8.169032,7.689856,8.508372,8.237246,10.012366,7.930542,8.44187,7.942362
S16518,8.354286,8.094774,8.53876,8.395814,10.0462,8.289384,8.850008,8.197688
S16526,8.32493,8.011536,8.47205,8.595332,9.904472,8.270554,8.704274,8.227336
S16529,8.337792,8.014644,8.62754,8.312858,9.936356,8.240756,8.82971,8.157768
S1653,8.340062,8.220842,8.684258,8.466336,9.946102,8.4404,9.033688,8.299294
S16532,8.364308,8.09442,8.57247,8.590774,9.79727,8.353676,8.851958,8.301678
S16535,7.810906,7.656588,8.250184,7.91477,9.766322,7.546788,8.362594,7.696162
S1655,8.698538,8.039312,7.667732,7.834314,8.961656,7.949942,8.75069,7.683084
S16551,8.42008,7.930642,8.46451,8.32988,10.080094,8.217602,8.722912,8.29095
S16561,8.16043,7.953288,8.520964,8.26081,9.845662,8.125738,8.77596,8.143746
S16571,8.01131,7.71681,8.14532,8.060694,9.791208,7.78965,8.45364,7.9141
S16575,8.292302,8.312302,8.558896,8.692256,9.85168,8.475518,8.89929,8.46553
S16584,8.020602,7.799538,8.14473,7.967038,9.895808,7.841422,8.697902,7.917434
S1659,8.303136,7.689126,8.301022,8.044796,9.958916,7.94882,8.549446,8.030854
S16591,8.514902,7.946736,8.431202,8.38951,9.86964,8.268984,8.7873,8.198808
S166,8.319294,7.92378,8.485212,8.423784,9.883206,8.044214,8.645176,8.108554
S1660,8.169412,7.87317,8.429014,8.23553,9.901984,8.074468,8.740584,8.111618
S16604,8.22878,8.005728,8.479268,8.381192,10.060322,8.09114,8.70934,8.172952
S16606,8.397464,8.079964,8.5502,8.327052,10.059626,8.320038,8.941892,8.260266
S16609,8.03152,7.853478,8.25198,8.318324,9.878866,7.978234,8.78471,8.18033
