ID,Bcells,Monocytes,NKcells,Neutrophils,CD4_Tcells,CD8_Tcells
S11071,8.474634,8.94765,8.971576,9.963228,9.133396,8.144114
S11076,7.936104,8.6504,8.674126,9.809344,8.490828,7.8068
S11078,8.166796,8.906374,8.70941,10.227474,8.539412,7.743246
S11081,8.233038,9.02215,8.8819,10.084562,8.601758,7.904872
S11086,8.096756,8.751676,8.64674,10.0389,8.529592,7.784272
S1109,8.567524,9.356258,8.978984,10.467848,8.865384,8.108522
S11096,8.220404,9.169604,8.78227,10.437102,8.662824,7.921788
S11100,8.186082,8.706418,8.615938,9.944738,8.270836,7.697434
S11107,8.127446,8.944448,8.667032,10.254776,8.529492,7.871362
S11109,7.910174,8.697952,8.535074,10.088398,8.186542,7.620682
S1111,8.172006,8.74714,8.659726,9.880102,8.841036,8.116178
S11119,8.022308,8.62164,8.576434,10.044688,8.340518,7.762178
S11127,8.03664,8.858752,8.708262,10.129998,9.148222,8.046334
S11136,8.024822,8.570252,8.458994,9.799762,8.466332,7.694088
S11147,7.979532,8.741622,8.565972,10.16485,8.456226,7.825106
S11150,8.02133,8.771428,8.6495,10.293972,8.432512,7.835034
S11152,7.970902,8.702022,8.545126,10.00615,8.221192,7.708692
S1116,8.45707,9.040824,8.973132,10.192704,9.066114,8.357694
S11163,8.0899,8.691496,8.69374,9.920176,8.48018,7.968076
S11164,7.890274,8.880218,8.568532,10.229654,8.436042,7.678962
S11166,7.802066,8.188034,8.191086,9.44518,7.961066,7.219648
S11173,8.268486,8.801116,8.653736,10.179166,8.569164,7.879276
S11174,7.941176,8.607572,8.454094,9.936704,8.520056,7.774164
S11182,8.25709,8.928072,8.774366,10.193954,8.641912,8.113904
S11188,8.019328,8.851224,8.660356,10.167546,8.429342,7.854578
S11189,8.3206,8.949114,8.857794,10.17101,8.502914,7.993732
S1119,8.197148,8.697758,8.646814,9.813796,8.816476,7.921352
S11195,8.636048,9.329778,9.081108,10.313168,8.947818,8.208342
S11197,7.885428,8.281132,8.375724,9.684068,8.269434,7.62412
S11198,8.07593,9.015384,8.76634,10.406344,8.17686,7.628304
S11211,8.172978,8.986462,8.833476,10.063062,8.604788,7.804776
S11214,7.941952,8.645736,8.44803,9.912256,8.750128,7.848956
S11216,8.269984,9.16478,8.892024,10.248884,8.745152,7.944408
S11224,7.900752,8.659898,8.58017,9.957362,8.279232,7.759256
S11236,8.127692,8.970108,8.730014,10.240972,8.651624,7.899136
S11241,7.989312,8.621156,8.541218,10.01033,8.534936,7.728046
S11243,8.087922,8.753292,8.653186,9.967874,8.374882,7.774204
S11245,8.11303,8.636472,8.551052,9.85392,8.259446,7.52036
S11249,8.25545,8.671634,8.615234,9.74135,8.187428,7.530158
S11274,7.837598,8.529484,8.443984,9.599896,8.117086,7.322436
S11280,8.282662,8.919756,8.77535,10.06051,8.680068,8.001346
S11281,8.069858,8.824324,8.63605,9.828378,8.45059,7.859832
S11285,7.934218,8.514616,8.491344,9.785452,8.358946,7.574548
S11298,8.074808,8.780022,8.602826,9.967564,8.700336,7.88517
S11311,7.926856,8.71766,8.659562,10.013182,8.444144,7.940366
S11312,8.172822,9.039084,8.738432,10.084466,8.691842,7.981228
S11316,8.177514,8.986412,8.678124,9.95336,8.63324,7.930212
S1133,7.865318,8.487144,8.370206,9.860534,8.356032,7.600992
S11330,8.035064,8.657876,8.794716,10.081362,8.435042,7.813844
S11332,8.290266,8.735304,8.903684,9.9645,8.713664,8.072026
S11334,8.283934,8.99098,8.736586,10.113778,8.766626,7.865842
S11335,8.247112,8.846936,8.652462,10.154692,8.289792,7.756808
S11345,8.380846,8.668282,8.721576,9.945572,8.226974,7.609836
S11349,8.413456,9.091766,8.96194,10.212856,8.920078,8.068676
S1135,8.21137,9.03366,8.787296,10.15274,8.554192,7.816962
S11352,8.024252,8.932546,8.624304,10.266528,8.316752,7.627934
S11353,8.06243,8.909058,8.723688,10.166384,8.45046,7.755134
S11368,8.022104,9.007702,8.599792,10.180672,8.728232,7.933448
S11369,8.132252,8.882792,8.819676,9.911024,8.466164,7.74623
S11371,7.976,8.618254,8.804076,9.90981,8.505578,7.893594
S11377,7.855306,8.85185,8.419992,10.041002,8.465322,7.650272
S11378,7.743102,8.440238,8.29806,9.661232,8.37999,7.70815
S11383,8.446118,8.87706,8.8592,10.169782,8.854842,8.119588
S11384,7.91846,8.573206,8.521138,9.772202,8.92335,7.99105
S11392,8.20646,8.774234,8.801198,9.998584,8.599838,7.897232
S1140,7.863974,8.375966,8.421754,9.889924,8.271492,7.521762
S11410,8.20326,8.96535,8.732036,10.101908,8.556834,7.865722
S11411,8.239906,9.023286,8.820168,10.036596,8.494932,8.065996
S11414,8.093124,8.641526,8.637896,9.919566,8.448128,7.68474
S11419,8.401974,8.960052,8.746634,10.168278,8.530266,7.883214
S11424,8.1486,8.845702,8.60133,9.919884,8.929702,8.002652
S11425,8.132842,8.781564,8.718166,9.982696,8.461634,7.926538
S11433,8.494596,9.301008,9.092432,10.234012,8.871712,8.040748
S11434,8.307244,9.005828,8.895604,10.17924,8.729462,8.075306
S11436,8.162282,9.001744,8.75524,10.086536,8.747932,7.867438
S11437,8.25974,8.671124,8.63176,9.960744,8.771618,8.052664
S11440,7.98987,8.874674,8.667404,10.33242,8.22371,7.67161
S11449,8.057166,8.622588,8.636136,9.942398,8.55445,7.869462
S11459,8.085944,8.575952,8.524182,9.693384,8.454222,7.680744
S11477,8.251568,8.918648,8.784544,10.237236,8.58093,7.919994
S11480,8.054258,8.743404,8.57403,10.040148,8.371994,7.671924
S11486,7.731822,8.405244,8.343534,9.680276,8.377982,7.778478
S11501,7.577094,8.274328,8.1964,9.621396,7.985736,7.428198
S11504,8.108202,8.597738,8.679398,9.695362,8.459556,7.797568
S11507,7.984708,8.447572,8.577334,9.72775,8.483626,7.819904
S11518,8.38036,9.264596,9.105586,10.05352,9.019786,8.305604
S11525,8.022082,8.550414,8.609338,9.750574,8.444152,7.7849
S11531,8.161838,8.714396,8.684148,9.79024,8.34695,7.677222
S11532,8.251968,8.657206,8.635358,9.860954,8.542112,7.863968
S1154,8.033528,8.786706,8.585636,9.974278,8.727474,7.931856
