Mixture	B cells naive	B cells memory	Monocytes	NK cells resting	NK cells activated	Neutrophils	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells resting	Mast cells activated	Plasma cells	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	Dendritic cells resting	Dendritic cells activated	Eosinophils	P-value	Correlation	RMSE
mix_54	0.2970644045842	0	0.0994352073314916	0	0.013941643466506	0	0.112551963820691	0.0798710376731113	0	0.330223908882844	0	0	0	0	0.00143694650808548	0.0582715719733712	0	0	0	0	0.00720331575969992	0	9999	0.774361731413294	0.651900251893738
mix_55	0.20766128053291	0	0.447104991910236	0	0.035618333219387	0	0.0104222733909183	0.0733533569224001	0	0.151762447522325	0	0	0.00560633365858106	0	0	0.0243410474626862	0.0132989929239494	0	0.0137160017390577	0	0.0171149407175493	0	9999	0.746186678621073	0.697034098728155
mix_56	0.14115191946561	0	0.314704291805552	0	0	0	0.163637501036149	0.121721977904925	0.00323734038914139	0.212296962209979	0	0	0	0	0.00395531765457282	0.0140155671537334	0	0.0147209166081163	0	0	0.0105582057722205	0	9999	0.748982615215131	0.694785140224691
mix_57	0.0125933327534587	0.00199384417132792	0.504938166306784	0	0.0179074582951048	0	0.108228425747517	0.0891774481177717	0.0151530823283398	0.220309419669976	0	0	0	0	0.0029737741215331	0.00590227272351362	0	0	0.00949905904876536	0	0.0113237167159088	0	9999	0.721777023683735	0.708533616522114
mix_58	0.174076232340824	0	0.251677382173102	0	0.031872023004712	0	0.0364894839427025	0.102331246010852	0.00658348382823854	0.349934914684925	0	0	0.00744213162759233	0	0	0.0262449583504993	0	0	0	0	0.0133481440365518	0	9999	0.726415556810661	0.709721808675679
mix_59	0.0215282886088772	0	0.544025577192508	0	0.0342980069208906	0	0.0415104958424037	0.0269905722844774	0	0.293554423457239	0	0	0	0	0.00843744866178172	0.00842676156752095	0.00862824905646662	0.00236820840904343	0	0	0.0102319679987916	0	9999	0.727847890720209	0.700728681671821
mix_60	0.24194630011561	0	0.340685406087263	0	0.00238203230383864	0	0.0357666909571453	0.0645224986286887	0.011540168127743	0.217613821829157	0.00095189676726825	0	0	0	0	0.0476874886249421	0.00444344582080482	0.019105701454409	0	0	0.0133545492831298	0	9999	0.758404837914186	0.689021896441343
mix_61	0.22304184597918	0	0.0682856212567984	0	0.0111636593553198	0	0.241294487301651	0.17292423652108	0	0.212784907219333	0	0	0	0	0.00408705725228525	0.0494290608760273	0	0.0110631507414852	0	0	0.0059259734968411	0	9999	0.779142925289361	0.64562395562193
mix_62	0.204199247635549	0	0.107293774124304	0	0.0382661195264689	0	0.164359548493025	0.159779191036241	0.0195801157397041	0.212984695982909	0.000567129746027981	0	0	0.00443601647414848	0	0.0276716760564363	0.00919599437430234	0	0.035173595572141	0	0.0164928952387437	0	9999	0.742247504864937	0.688558638823391
mix_63	0.0220804783609689	0.0102604163255196	0.522090827776634	0	0.027457713041411	0	0.0712160227084478	0.0607011012640761	0.0175478232739267	0.217220642387911	0	0	0.0159003121538231	0	0	0.0105684117551815	0.00553534328739911	0.0021963046819045	0	0	0.0172246029827966	0	9999	0.736833091460331	0.698866287706437
mix_64	0.19627842206327	0	0.455889603952605	0	0.00174836655053395	0	0.0718148624463477	0.0821687821388089	0	0.128959293378956	0	0	0	0	0.00163641201671544	0.0276619864966629	0.0059939121063842	0.0135413677121286	0	0	0.0143069911375873	0	9999	0.756616367189093	0.68837567927487
mix_65	0.0749022128950121	0.0455921424477645	0.285368980364185	0.0517972756479813	0.0576960383683386	0	0	0.154652274658027	0	0.211114043310842	0	0	0	0.00816961475910136	0	0.0392447456799776	0	0.0267265445296188	0	0	0.0447361273391516	0	9999	0.687278320238258	0.747600439428846
mix_66	0.227375957539833	0	0.465622017606769	0.0493829465531855	0.00246468051612549	0	0	0.071417861639983	0.00751840547448343	0.101175263006274	0	0	0.00602344659205442	0	0	0.0253606045267692	0.00640987716757321	0	0.0207647211981723	0	0.0164842181787776	0	9999	0.738830025064768	0.700525713135631
mix_67	0.299090300437014	0	0.0860743379533818	0	0.0259972454210815	0	0.026477368035319	0.104081457958206	0.011592736240608	0.35996471125075	0	0	0	0	0	0.041724907837041	0.00648807232524589	0	0.0296122742242239	0	0.00889658831712884	0	9999	0.749238074467923	0.67450320983619
mix_68	0.0526328827964665	0.0199039825006408	0.165007541302984	0	0.111215690416325	0	0.0724845517255498	0.0383956296662015	0.00146271627733052	0.480090354598842	0.00325666331969637	0	0	0.0185169018219262	0	0.0212121651998796	0.000930470650618925	0	0	0	0.0148904497235384	0	9999	0.705414667428764	0.713421229630266
mix_69	0.182424306330693	0	0.477191101470765	0	0.00122402309909453	0	0.0493041622342122	0.087724634635891	0.00121085005780683	0.148661173468828	0	0	0	0	0.001572238924734	0.0243347264771738	0.00660661321228521	0.00710108686838437	0	0	0.0126450832201317	0	9999	0.755789872686147	0.687679001007764
mix_70	0.30469230082491	0	0.276940157254783	0.13957628570604	0.0242345106083955	0	0	0.0902659126891256	0.00442838840950403	0.0464491242691523	0	0	0.0168594795433367	0	0	0.0422151469409001	0.0229474509270188	0	0.0119064065001122	0	0.0194848363267225	0	9999	0.699197414479085	0.731326819556825
mix_71	0.252658410112605	0	0.568524911833707	0	0.0059625378237144	0	0.0168878283584609	0.0221752932933329	0	0.0466076255000122	0	0	0.00683181725935909	0	0.00259814576568734	0.0398925789445132	0.0164846087713192	0.00604618007417715	0	0	0.0153300622631118	0	9999	0.765836583859025	0.661418650259772
mix_72	0.389955747462585	0	0.159582530360947	0	0.00380086861280829	0	0.0762291742147098	0.120793124632271	0.00488976322688451	0.152130547981704	0	0	0	0	0	0.0695353090734052	0.00959279845988995	0	0	0	0.0134901359747959	0	9999	0.798762829520205	0.628467963330175
