Gene,B_cells,Blood_CD34._cells,Dendritic_cells,Eosinophils,Fibroblasts,Keratinocytes,Lymphatic_endothelial_cells,Macrophages,Monocytes,NK_cells,Neutrophils,Plasma_cells_CD138.,Platelets,Reticulocytes,Subcutaneous_Adipose,T_cells_CD3.,T_cells_CD4.,T_cells_CD8.,T_cells_Gamma_Delta,T_cells_Regulatory,Vascular_Endothelial_Cells
mix_64,222.0156,399.4824,881.9814,521.1739,449.2268,102.6209,415.1257,261.3791,979.7423,294.4431,567.1689,136.2151,209.3524,41.0004,166.707,339.8274,503.4355,537.0357,1509.2378,202.5657,331.1407
mix_65,210.3133,397.6551,713.3204,542.8129,445.6387,101.8314,400.0779,230.3467,802.0078,395.1194,498.2248,126.9172,182.7465,42.1749,159.7668,376.8283,528.035,682.5109,1642.2223,231.6776,316.923
mix_66,221.1071,349.0631,1089.1381,535.241,448.2753,100.7747,398.8694,272.0345,1096.6584,303.237,593.9421,136.2696,215.1113,40.1309,168.5257,238.1428,362.992,509.903,1627.8429,178.7863,344.5883
mix_67,277.9482,451.4611,833.2282,532.0767,446.4705,111.3557,403.4107,198.5328,500.6776,434.9568,393.1579,126.1843,151.0618,43.1282,153.644,467.6752,700.5071,788.2027,1273.2001,276.0195,302.9225
mix_68,201.0933,440.4348,460.446,534.8633,477.9434,109.6995,405.653,204.1171,616.7301,424.7005,422.3365,125.3446,155.2738,45.8464,151.7703,485.4149,619.5673,869.0139,1396.8516,269.2775,304.8695
mix_69,217.3627,394.8559,873.9664,522.2955,457.0765,102.7412,414.5871,263.0008,1005.476,289.7111,569.5545,136.2528,209.9597,40.8672,165.8943,326.4377,473.2796,539.0313,1477.9934,200.4453,333.172
mix_70,274.4316,342.1283,1467.3462,553.2794,445.6368,102.8527,384.9595,242.2789,875.548,382.4105,519.7339,128.3081,193.4117,41.6798,164.0184,215.0688,391.1524,551.9554,1732.1371,198.6053,329.1013
mix_71,239.5502,357.8659,1246.3369,524.7953,442.7808,100.2397,403.4134,286.8418,1125.7622,259.6247,613.5825,141.0131,224.3836,40.24,171.4752,226.3487,363.7162,453.8289,1548.9169,172.7046,348.644
mix_72,326.4799,431.6757,1190.0707,532.5075,391.7953,112.8569,406.9751,215.085,595.4018,378.3031,431.4745,128.0633,164.9927,44.0695,159.0898,406.9149,682.2173,642.8645,1187.6451,259.7819,312.7193
mix_73,270.0351,380.8748,1132.8101,540.9657,442.8595,105.1686,395.8127,231.8497,758.4685,377.3,480.8875,130.0043,178.7653,40.8161,162.1757,310.5805,489.7957,648.2688,1594.3215,225.1356,320.6265
mix_74,239.3234,403.9265,871.0158,528.4505,440.2055,104.5076,411.8307,244.852,858.0739,341.4736,505.4208,132.9154,193.205,42.0656,164.2239,363.3237,558.69,588.785,1408.1436,222.6959,329.0749
mix_75,214.4683,351.6566,1060.0528,531.4243,445.8593,98.8534,402.4751,278.4011,1113.5341,285.3353,606.4128,138.2468,221.6857,40.2275,170.2766,241.6937,376.0827,473.3973,1557.5637,174.9228,347.7523
mix_76,190.0119,435.0163,477.0035,536.9105,474.2781,109.228,413.1931,218.8847,704.7759,395.0368,462.8922,128.4941,177.7892,42.5409,156.6174,469.9165,598.0059,784.1686,1383.1444,256.697,318.0104
mix_77,216.6609,510.5943,439.3937,538.1897,473.2209,113.6481,419.14,191.5098,484.5399,432.6938,385.6933,126.5394,149.7297,45.384,150.258,603.3508,804.1221,882.8688,1185.3693,300.059,291.8543
mix_78,206.793,384.7273,880.9933,527.3017,463.7341,100.2496,405.8199,260.0429,1013.646,306.1359,570.7778,135.3645,205.8404,40.161,165.8174,301.4754,416.2093,574.8867,1608.0885,195.3994,335.1516
mix_79,171.4747,383.7732,685.4019,524.0526,460.8378,101.0557,414.8003,271.6619,1085.0775,283.0662,596.2409,136.7296,220.422,40.9838,166.6859,334.5961,432.4024,563.8279,1530.2931,192.4802,341.585
