ID,T_cells_(CD4+),B_cells,T_cells_(CD8+),Endothelial_cells,Fibroblasts,Macrophage
S13717,6.639626,4.938116,5.790162,6.19026,5.62149,6.053174
S13725,6.36319,4.984922,5.44845,6.055598,5.530472,5.984652
S1373,6.421638,4.962184,5.549732,6.105548,5.6198,6.084258
S13749,6.432104,5.042394,5.527396,6.158838,5.600994,6.056766
S13751,6.284842,5.089104,5.47228,6.032976,5.524978,5.995902
S13759,6.50266,4.926682,5.539746,6.175674,5.63267,6.086462
S13761,6.557564,4.959808,5.567804,6.158856,5.635576,6.087994
S13766,6.461564,4.977812,5.514938,6.082608,5.552434,5.980342
S13778,6.489686,4.97003,5.594036,6.109616,5.590064,6.097044
S1378,6.51813,5.150652,5.461834,6.1675,5.632568,6.026884
S13780,6.491854,4.936062,5.41561,6.106232,5.571442,6.072418
S13785,6.375422,5.081882,5.33777,6.098956,5.62673,6.088746
S13789,6.512576,4.922026,5.49306,6.146908,5.636898,6.042776
S13791,6.292638,5.135216,5.469892,6.087428,5.669628,6.037746
S13794,6.366292,5.075818,5.391586,6.074612,5.578078,5.972286
S13795,6.589018,4.939708,5.541422,6.193178,5.646536,6.090818
S13796,6.391562,5.046346,5.53352,6.155218,5.593586,6.060578
S13824,6.602976,4.976772,5.51249,6.208084,5.63481,6.09198
S13827,6.67057,4.976102,5.54372,6.247294,5.692454,6.096336
S13834,6.259148,5.068464,5.45794,6.05945,5.534762,5.960708
S13837,6.457608,5.01133,5.598362,6.131908,5.656268,6.073866
S13846,6.475014,5.02455,5.564974,6.26647,5.665708,6.148772
S1385,6.456468,5.017888,5.463262,6.07464,5.566492,6.017482
S13851,6.439956,4.996756,5.758152,6.079134,5.565828,6.047424
S13856,6.236208,5.121734,5.594226,6.082696,5.54862,5.992712
S13858,6.81088,4.991236,5.649664,6.263718,5.732474,6.130484
S13866,6.501732,4.984556,5.421308,6.120496,5.65664,6.039532
S13877,6.578328,5.010156,5.652996,6.143992,5.617474,6.04292
S13881,6.371364,4.993296,5.487642,6.07934,5.543434,6.073214
S13883,6.479036,5.008402,5.812516,6.201914,5.630098,6.023998
S13903,6.224176,5.161136,5.274496,6.050478,5.570328,5.891016
S13904,6.415242,5.041888,5.644328,6.147,5.563094,5.99427
S13920,6.36892,5.186136,5.43082,6.076418,5.652714,6.020788
S13925,6.377922,5.13333,5.478536,6.067702,5.594896,6.011844
S13926,6.603356,4.91243,5.672122,6.236674,5.636582,6.117712
S1393,6.559196,5.10491,5.560438,6.099828,5.616572,6.018906
S13936,6.590408,4.97632,5.471388,6.202266,5.674548,6.092558
S13938,6.324506,5.090156,5.40382,6.014674,5.547486,5.948388
S13948,6.71255,4.958852,5.70782,6.246208,5.678088,6.169538
S13952,6.713524,4.905056,5.651026,6.321514,5.693834,6.20634
S13955,6.460726,4.95543,5.526784,6.107672,5.593084,6.06373
S13956,6.228352,5.135986,5.232366,5.992782,5.584166,5.96217
S13959,6.676134,5.016594,5.725868,6.267564,5.697194,6.124566
S13972,6.566496,4.975526,5.513524,6.23869,5.696102,6.153028
S13980,6.101326,5.03166,5.48341,6.050746,5.50211,6.061304
S13982,6.398296,5.055644,5.366634,6.056578,5.563648,6.064744
S13988,6.342608,5.01582,5.426556,6.017156,5.509736,5.961818
S14012,6.387894,5.00343,5.441302,6.132402,5.570006,6.04075
S14014,6.49077,4.98173,5.657982,6.094198,5.572718,5.969034
S14022,6.316628,4.991972,5.611436,6.049568,5.550284,5.913038
S14028,6.413012,5.154278,5.373834,6.12486,5.656784,6.046356
S14030,6.24405,5.094816,5.409822,5.991338,5.557664,5.97241
S14035,6.728038,4.939358,5.563928,6.206336,5.673392,6.073104
S14037,6.308314,5.077246,5.438536,6.050918,5.56432,5.95998
S14038,6.454062,4.899592,5.457556,6.104876,5.575656,6.049448
S14049,6.573314,4.949028,5.484484,6.300572,5.673638,6.129144
S14051,6.385046,4.938806,5.481176,6.0833,5.597346,6.062466
S14056,6.597728,4.910076,5.630354,6.18664,5.662458,6.053878
S14070,6.388236,4.979164,5.494924,6.172574,5.661008,6.104162
S1408,6.485422,4.918332,5.526266,6.118882,5.628966,6.025942
S14089,6.44566,4.953968,5.631948,6.144974,5.584418,6.121236
S14090,6.511842,5.069858,5.641214,6.253764,5.676282,6.15132
S14121,6.404546,4.893788,5.672442,6.119782,5.622506,6.114798
S14122,6.529742,5.00286,5.539348,6.08231,5.599896,6.025172
S14129,6.534694,5.019204,5.596334,6.170214,5.655774,6.0837
S14133,6.462392,4.997172,5.725204,6.204062,5.63926,6.127252
S14138,6.537,4.927844,5.647214,6.107126,5.616652,6.060022
S14141,6.543782,4.940706,5.54201,6.191406,5.694492,6.084058
S14151,6.331412,5.067568,5.522264,5.996622,5.543806,5.925362
S14154,6.494288,4.938186,5.603012,6.163104,5.638324,6.055096
S14157,6.622472,4.993786,5.55092,6.237276,5.64744,6.094558
S14161,6.460176,4.949454,5.649658,6.115676,5.593516,6.057112
S14167,6.507806,4.98727,5.616972,6.099236,5.569412,6.033626
S14185,6.476344,4.922854,5.495376,6.121042,5.670178,6.040532
S1419,6.350018,4.98315,5.556416,6.159256,5.63124,6.116642
S14193,6.512562,5.002462,5.672788,6.17959,5.65762,6.081014
S14197,6.34418,5.07921,5.65801,6.138424,5.661676,6.03074
S142,6.412084,5.046852,5.366116,6.077352,5.58576,6.00064
S14206,6.46746,5.085638,5.384064,6.050924,5.572718,6.009942
S14215,6.50472,4.93114,5.544262,6.126252,5.610928,6.020026
S14220,6.268978,5.014654,5.462764,6.060208,5.50745,6.03284
S14222,6.54933,4.96361,5.432204,6.152122,5.632884,6.06015
S14225,6.389724,5.090332,5.662674,6.12311,5.582954,5.947524
S1423,6.439628,4.991414,5.642228,6.132496,5.622968,6.067712
S14233,6.49453,5.041444,5.443264,6.207208,5.652888,6.12594
S14251,6.495918,4.953718,5.596184,6.138112,5.646032,6.106622
S14260,6.617236,4.965856,5.707906,6.08446,5.588276,6.006074
S14266,6.761734,4.96346,5.674712,6.391094,5.74837,6.218114
S14278,6.38568,5.065322,5.553924,6.154196,5.632562,6.071082
S14280,6.449976,4.978698,5.529062,6.078946,5.557932,6.02842
S14286,6.621672,5.062752,5.464574,6.145194,5.600504,6.05823
S14287,6.593592,4.93786,5.799896,6.236906,5.584982,6.117954
S14290,6.43936,4.987174,5.564064,6.103766,5.574154,6.03631
S14297,6.590894,4.975316,5.611,6.222862,5.682102,6.10066
S14303,6.283468,5.188122,5.272118,5.990398,5.62577,5.902582
S14305,6.412694,4.984356,5.558986,6.098034,5.588464,6.06308
S1432,6.691188,5.0256,5.71944,6.378056,5.674708,6.22675
S14320,6.469436,5.009132,5.521772,6.156738,5.610222,6.065352
S14332,6.525014,5.133234,5.42131,6.177792,5.653348,6.01469
S14339,6.470648,5.05167,5.615766,6.149574,5.66373,6.0852
S14340,6.572726,4.988776,5.743334,6.110352,5.585088,6.050094
S14342,6.57883,5.031904,5.700766,6.199942,5.63749,6.103378
S14346,6.319274,5.028182,5.321502,6.034204,5.548144,5.953298
S14348,6.590728,4.970372,5.601036,6.182704,5.658238,6.09202
S14354,6.613274,5.000974,5.502308,6.182328,5.692282,6.098156
S14358,6.324454,5.176266,5.510666,6.049888,5.687404,5.998526
S1436,6.45528,5.00362,5.383186,6.119848,5.660784,6.059488
S1437,6.340616,4.960004,5.558596,6.060832,5.594056,5.998068
S14372,6.450134,5.020454,5.592906,6.202552,5.57891,6.103748
S14379,6.629846,4.966124,5.621574,6.2165,5.674302,6.076928
S14381,6.307106,5.226144,5.682886,6.178828,5.649376,6.056886
S14389,6.748806,5.018908,5.646346,6.272872,5.693722,6.163106
S14392,6.438716,4.972612,5.500162,6.126082,5.646706,6.057248
S14393,6.641148,4.94369,5.598778,6.192852,5.610848,6.09801
S14395,6.295498,5.107518,5.447632,6.160616,5.640718,6.013416
S14397,6.420532,4.971918,5.599624,6.123644,5.564952,6.06871
S144,6.409006,4.999728,5.64659,6.174052,5.600814,6.122088
S14402,6.647826,4.920924,5.696028,6.276988,5.6145,6.058306
S14405,6.349158,5.078886,5.401144,6.043368,5.640602,5.982048
S14409,6.282918,5.00936,5.511452,6.001088,5.505916,5.913032
S1441,6.550356,4.960534,5.598656,6.20436,5.632468,6.104506
S14414,6.560148,5.054178,5.60728,6.24896,5.642418,6.028992
S14415,6.166334,5.086864,5.412712,5.936768,5.48369,5.906634
S14416,6.549514,5.001954,5.671014,6.230198,5.641638,6.132916
S14417,6.430394,5.07781,5.64594,6.051314,5.58533,6.007896
S14428,6.344822,4.961534,5.428436,6.052396,5.561362,6.011942
S14432,6.299514,5.08851,5.546454,6.00388,5.558208,5.98014
S14433,6.512934,4.9799,5.608102,6.162094,5.633196,6.098358
S14434,6.37328,5.054008,5.755872,6.129528,5.563658,6.027892
S14437,6.46554,4.93237,5.785928,6.184568,5.607348,6.051964
S14438,6.515856,4.951896,5.656864,6.152204,5.646368,6.0832
S14440,6.613788,4.900686,5.536166,6.214054,5.657408,6.12498
S14462,6.42027,4.996568,5.611046,6.073048,5.580952,6.053956
S14467,6.463462,5.066644,5.567146,6.103714,5.55617,6.03173
S14469,6.542508,4.974498,5.586064,6.143918,5.585616,6.045616
S14488,6.678176,5.041594,5.60055,6.229954,5.7226,6.116324
S14492,6.552382,4.97742,5.650266,6.339722,5.730208,6.197552
S14493,6.399414,5.00881,5.463814,6.13496,5.646852,6.09933
S14495,6.67461,4.879512,5.755574,6.16249,5.5671,6.0607
S14502,6.553254,4.988402,5.60253,6.137918,5.623098,6.101342
S14507,6.229868,4.911746,5.555698,6.030326,5.552954,6.037688
S14513,6.572428,4.974256,5.603898,6.184316,5.677692,6.11046
S14522,6.420586,5.109176,5.346714,6.25213,5.709278,6.137158
S14532,6.42469,5.10222,5.471976,6.13132,5.666818,5.96346
S14533,6.692052,4.92875,5.73643,6.248562,5.687562,6.11426
S14534,6.305052,4.994796,5.37044,5.988278,5.561978,5.900156
S14538,6.5813,4.964898,5.700006,6.294472,5.741846,6.110194
S1454,6.591476,4.997442,5.689534,6.161448,5.617222,6.114498
S14549,6.263416,5.038358,5.564688,6.127786,5.545838,6.077094
S14554,6.16348,5.114908,5.457638,6.058462,5.553396,6.046086
S14562,6.412472,5.103998,5.47075,6.019708,5.60795,5.964206
S14564,6.731018,4.946834,5.53324,6.30022,5.693236,6.223162
S1457,6.516974,4.930178,5.747236,6.249238,5.68602,6.179184
S14570,6.459596,4.899,5.408104,6.072778,5.598652,5.932654
S14571,6.47854,4.919932,5.563494,6.20526,5.660446,6.139496
S14579,6.466854,4.998718,5.608904,6.156812,5.66044,6.100236
S1458,6.382046,5.03534,5.552394,6.079528,5.588826,6.058356
S1459,6.505348,4.87684,5.712582,6.21927,5.689784,6.172502
S14594,6.538476,4.881618,5.570112,6.125492,5.568994,6.079424
S14595,6.392652,4.970268,5.509708,6.120318,5.586258,6.045506
S14599,6.56958,5.107768,5.469382,6.165492,5.636524,6.110178
S14608,6.482422,5.10104,5.532734,6.111452,5.6168,6.015456
S14614,6.384832,5.126264,5.480868,6.1293,5.60811,6.028728
S14619,6.522128,4.955444,5.708076,6.226082,5.646114,6.107332
S14640,6.393494,4.920452,5.517146,6.107826,5.620336,6.090124
S14641,6.573314,4.976098,5.70262,6.232416,5.637416,6.121412
S14644,6.56976,4.940052,5.643104,6.154842,5.621826,6.062176
S14647,6.527906,5.039304,5.457442,6.179848,5.688216,6.101796
S1465,6.294242,5.076852,5.680932,6.004366,5.560474,5.943292
S14650,6.52891,5.06008,5.743854,6.127242,5.596704,5.98792
S14653,6.369662,5.082046,5.324208,6.10344,5.571134,6.06072
S14660,6.342798,5.033526,5.585006,6.093222,5.582612,6.046998
S14663,6.535212,5.006536,5.501082,6.211092,5.645516,6.12009
S14664,6.392906,4.991654,5.44899,6.018204,5.530728,5.961402
S14674,6.459718,5.029684,5.651664,6.15329,5.610796,6.099458
S14676,6.483746,5.07586,5.509166,6.103602,5.583354,6.10239
S14678,6.39707,5.039416,5.483906,6.079364,5.658332,6.02857
S14682,6.318568,4.941554,5.463846,5.97024,5.50743,5.883618
S14683,6.409186,5.00062,5.419636,6.070488,5.607776,5.986376
S14685,6.271318,4.983318,5.452374,6.064276,5.598894,6.071054
S14694,6.492102,4.98402,5.637058,6.139942,5.588204,6.001832
S14696,6.552054,4.888752,5.568698,6.155712,5.61174,6.049372
S14705,6.541036,4.995506,5.86676,6.344846,5.729612,6.214026
S14707,6.567226,4.91139,5.677364,6.193354,5.635972,6.152464
S14714,6.584232,5.027036,5.923066,6.251148,5.629116,6.063736
S14729,6.53879,5.024524,5.491326,6.144988,5.65472,6.077172
S14733,6.55231,4.959134,5.704366,6.175192,5.621952,6.099582
S14735,6.532506,5.002268,5.61773,6.14652,5.610268,6.006168
S14749,6.332768,5.11565,5.427616,6.000542,5.48045,5.934984
S14761,6.259826,5.159654,5.426828,6.054266,5.658406,6.04093
S14762,6.240906,5.138488,5.399696,6.0465,5.575942,5.963528
S14766,6.460764,5.002616,5.661524,6.163312,5.622022,5.95329
S14767,6.434192,4.934858,5.494974,6.0896,5.610004,5.99298
S14769,6.381932,5.214906,5.337582,6.089782,5.635936,6.0047
S14770,6.533378,5.1197,5.682086,6.401206,5.71299,6.176638
S14774,6.490546,5.005,5.71374,6.185094,5.612436,6.099478
S14780,6.420988,5.082806,5.460774,6.067724,5.569642,6.02862
S14793,6.396318,4.97202,5.554846,6.10256,5.553088,6.067724
S14796,6.581692,4.971212,5.576682,6.16201,5.612198,6.069426
S14803,6.396934,5.070152,5.354848,6.13291,5.602488,5.985554
S14804,6.540944,4.948822,5.471336,6.11684,5.634418,6.055562
S14805,6.415898,5.020596,5.58284,6.088188,5.593218,5.960558
S14814,6.547342,4.949222,5.615684,6.183816,5.65295,6.15534
S14816,6.22148,5.193058,5.416548,6.072062,5.611174,5.923834
S1482,6.389376,5.068074,5.476698,6.037006,5.546608,5.94314
S14823,6.486346,5.051532,5.55405,6.132626,5.633108,6.042328
S14824,6.600338,4.985612,5.519298,6.261084,5.726042,6.092278
S14829,6.365006,5.12428,5.42799,6.025392,5.595606,6.000964
S14838,6.453688,4.917372,5.522976,6.120086,5.582868,6.04774
S14841,6.463226,5.00005,5.450418,6.088266,5.59209,6.004748
S14848,6.349334,5.041986,5.391836,6.112222,5.56024,6.028302
S14853,6.516922,4.942284,5.628736,6.158052,5.594706,6.018914
S1486,6.252184,5.123536,5.344704,6.002564,5.52569,5.975088
S14862,6.472828,5.05373,5.558348,6.109614,5.571674,6.074504
S14873,6.672836,4.96417,5.555026,6.263888,5.723922,6.177188
S14885,6.560932,4.949208,5.486546,6.155726,5.67807,6.123948
S14888,6.730128,4.967232,5.562352,6.245994,5.69645,6.114118
S14890,6.356268,5.062228,5.490256,6.010904,5.52653,6.000746
S14895,6.361076,5.06331,5.41482,6.063884,5.578294,5.984876
S14896,6.546374,4.99763,5.723024,6.24718,5.634152,6.146728
S14900,6.410794,5.03277,5.722412,6.162422,5.574664,6.059588
S14906,6.410422,5.018748,5.449944,6.099748,5.608522,6.039758
S14909,6.546052,4.89445,5.733512,6.140776,5.605954,6.061364
S1491,6.471826,4.955912,5.58563,6.148568,5.630276,6.11401
S14913,6.536458,4.945508,5.520684,6.078226,5.54436,5.994108
S14914,6.604344,4.914082,5.559002,6.226402,5.696444,6.182292
S14916,6.772482,5.037254,5.68704,6.253414,5.717138,6.135278
S14919,6.354022,4.947534,5.525416,6.06997,5.560972,6.040288
S14949,6.685972,4.902148,5.683582,6.227914,5.63903,6.145186
S1495,6.470544,5.06927,5.569026,6.182156,5.658738,6.063276
S14954,6.662824,4.970908,5.574666,6.172456,5.656426,6.0707
S14956,6.57604,4.957772,5.737702,6.274264,5.657024,6.178034
S14961,6.288552,5.11054,5.42277,6.105826,5.569764,6.021488
S14976,6.436806,5.093794,5.514172,6.093574,5.559372,6.017218
S14978,6.462948,5.01631,5.415582,6.16347,5.60584,6.092906
S14980,6.45039,4.977476,5.698038,6.039678,5.540402,5.982064
S14983,6.520696,4.999736,5.658584,6.151466,5.633402,6.07938
S14989,6.452868,4.941082,5.573044,6.110222,5.58898,6.03243
S14991,6.459434,4.94241,5.660106,6.104972,5.541216,6.06544
S14999,6.170782,5.0553,5.367082,5.971736,5.562182,5.92771
S15000,6.484954,4.917694,5.7573,6.263638,5.62691,6.110734
S15012,6.355394,5.059068,5.457748,6.118912,5.614532,6.041468
S15013,6.391944,5.01727,5.53776,6.073284,5.545114,6.040732
S1502,6.57688,4.93354,5.586048,6.160108,5.619474,6.06812
S15023,6.45267,4.960582,5.467352,6.089,5.5692,6.027758
S15024,6.375112,4.889214,5.49757,6.054462,5.528406,6.010034
S15025,6.497258,5.039952,5.642566,6.256036,5.661166,6.153546
S15032,6.69057,4.910718,5.64493,6.266076,5.722256,6.242932
S15033,6.43519,4.963782,5.56002,6.11666,5.59018,5.993018
S15041,6.65995,4.906598,5.608618,6.205154,5.654274,6.114132
S1505,6.304322,4.9992,5.542082,6.059282,5.588202,6.037608
S15054,6.55409,4.987862,5.625208,6.356694,5.70914,6.194494
S15061,6.584286,4.974526,5.536762,6.212488,5.645384,6.129672
S15063,6.532762,4.905942,5.463508,6.133972,5.655824,6.063232
S15065,6.587302,4.972792,5.532256,6.229236,5.751662,6.107346
S15069,6.629826,4.981766,5.624978,6.212752,5.70384,6.199816
S15070,6.452576,5.016112,5.586378,6.170198,5.61013,6.043418
S15071,6.572512,4.9422,5.489386,6.203006,5.672392,6.126584
S15077,6.254834,5.151568,5.579276,6.086132,5.606702,6.020774
S15078,6.618144,5.000818,5.53245,6.194442,5.629736,6.087484
S1508,6.479438,5.02222,5.541362,6.02648,5.54123,5.942228
S15080,6.62071,4.95465,5.6112,6.217818,5.667476,6.047466
S15085,6.478166,4.917998,5.561924,6.086868,5.605726,6.036582
S15089,6.590074,4.98737,5.569066,6.155848,5.631914,6.076574
S15092,6.351078,5.022774,5.415858,6.096008,5.577314,6.028372
S15093,6.452058,5.017088,5.424926,6.131644,5.57773,6.017912
S15099,6.316762,5.162714,5.346794,6.037452,5.574626,5.993594
S1510,6.616856,4.978178,5.498736,6.174284,5.629476,6.070552
S15100,6.628246,4.9677,5.537526,6.149862,5.637122,6.093952
S15107,6.425124,5.055456,5.54623,6.120706,5.631976,6.034866
S15108,6.490834,4.987062,5.511454,6.201512,5.646212,6.177446
S1511,6.60199,4.968544,5.706752,6.254154,5.676412,6.13905
S15110,6.40472,5.052634,5.411192,6.088788,5.600508,5.990512
S15111,6.294138,5.027516,5.443694,6.065216,5.58007,5.99315
S15113,6.280658,5.07214,5.402282,6.03334,5.538234,5.970382
S15115,6.508824,4.98102,5.692414,6.189408,5.622104,6.133178
S15120,6.578358,4.88333,5.47943,6.09978,5.59283,6.052144
S15121,6.497452,5.138272,5.518224,6.102976,5.652818,6.02711
S15124,6.470528,4.990952,5.55714,6.100996,5.64622,6.013048
S15126,6.45029,5.014644,5.489438,6.121008,5.663976,6.021838
S15129,6.461374,4.982496,5.415848,6.102196,5.609096,6.020684
S15130,6.552788,5.000386,5.754036,6.21439,5.629016,6.118434
S15153,6.425358,4.981796,5.507456,6.13097,5.575532,6.107548
S15160,6.424074,4.886258,5.47707,6.116744,5.574126,6.012382
S15167,6.339462,5.07114,5.410954,6.047448,5.532128,5.981182
S1517,6.462326,4.896118,5.502852,6.208128,5.63987,6.104674
S15179,6.48731,5.039954,5.4568,6.182184,5.6483,6.13956
S15184,6.56744,5.07234,5.65072,6.216132,5.657676,6.09187
S15192,6.575536,4.97002,5.569144,6.265304,5.712966,6.16262
S15193,6.459946,4.952816,5.557448,6.148376,5.59832,6.039566
S15198,6.30375,5.13278,5.61448,6.044746,5.546562,5.981474
S1520,6.403886,4.946774,5.46066,6.067874,5.540214,6.03191
S15208,6.452042,5.1107,5.636938,6.157258,5.603892,6.027054
S1521,6.263776,5.067036,5.385724,5.941908,5.48109,5.906336
S15216,6.393302,5.075708,5.566936,6.088674,5.5877,5.926084
S15218,6.23567,5.223636,5.328436,6.005714,5.530318,6.022814
S1522,6.498244,4.947482,5.616986,6.172848,5.586904,6.077012
S15223,6.450602,5.041476,5.405208,6.170932,5.650556,6.102202
S15237,6.71997,4.890526,5.659068,6.236046,5.661742,6.166274
S15239,6.491106,4.982612,5.698138,6.155938,5.607766,6.087234
S15241,6.312474,5.123172,5.343584,6.096472,5.625634,6.099112
S15246,6.402522,5.0157,5.524784,6.07328,5.578938,6.03787
S15254,6.590194,5.079426,5.578666,6.153848,5.617234,6.05597
S15258,6.357728,4.998934,5.483124,6.083152,5.55986,6.039528
S15259,6.528518,5.012868,5.902088,6.188906,5.622222,6.085018
S15264,6.630722,4.872612,5.667176,6.244612,5.675764,6.145522
S15266,6.246638,5.178962,5.308884,5.948832,5.5502,5.951436
S15273,6.347154,5.02909,5.479112,6.10876,5.666684,6.109252
S1528,6.480614,4.939794,5.437158,6.107976,5.64639,6.013006
S15285,6.536228,4.904408,5.47407,6.115888,5.564524,6.013354
S15294,6.709706,4.878402,5.48465,6.269138,5.78643,6.186476
S15304,6.473728,4.997296,5.43152,6.135316,5.60772,6.05051
S15308,6.47134,4.99208,5.579172,6.11383,5.574202,6.035248
S15313,6.517916,4.934086,5.467884,6.124626,5.605184,6.045756
S15329,6.40209,4.8332,5.60803,6.069472,5.609256,6.123992
S1533,6.287872,5.0685,5.467276,6.02282,5.579342,5.940002
S15338,6.491728,5.010822,5.623692,6.137076,5.622396,6.04677
S15340,6.399558,5.017924,5.7153,6.19457,5.5903,6.129142
S15345,6.279102,5.127176,5.353052,6.091322,5.624472,5.973846
S15354,6.283234,5.094888,5.338192,6.1047,5.562892,6.03653
S15366,6.321268,5.107516,5.410924,6.069822,5.574582,6.023246
S15368,6.541496,5.025278,5.490812,6.15818,5.663608,6.046174
S15372,6.539768,4.978104,5.488182,6.305898,5.740494,6.189802
S15374,6.541624,5.123088,5.424148,6.271728,5.64024,6.09612
S15375,6.637224,4.936286,5.609362,6.154136,5.655394,6.106474
S15380,6.504226,5.01436,5.378024,6.049704,5.574638,5.983302
S15382,6.54212,5.033256,5.398198,6.111186,5.64332,6.076994
S1539,6.57214,4.951006,5.557072,6.239352,5.677044,6.085712
S15394,6.436204,5.067998,5.457616,6.091426,5.674202,5.998074
S15401,6.495196,4.978358,5.407546,6.097318,5.629496,6.021878
S15413,6.302942,5.27776,5.274898,6.001216,5.546728,6.031924
S15417,6.529788,5.015894,5.515718,6.148592,5.614908,6.096016
S1542,6.381974,5.028548,5.445676,6.1191,5.558006,6.021422
S15420,6.504986,4.985516,5.58469,6.183652,5.678554,6.036246
S15427,6.575252,4.935324,5.543792,6.228182,5.677138,6.176608
S15428,6.608534,5.12587,5.442756,6.21052,5.68329,6.14703
S15429,6.294304,5.1362,5.271624,6.054942,5.56085,5.985608
S15432,6.410836,4.998144,5.419664,6.097188,5.615232,6.098906
S15433,6.49728,5.022424,5.585106,6.18947,5.606704,6.093228
S1544,6.601672,4.963366,5.730548,6.285956,5.720816,6.160504
S15446,6.474238,5.01098,5.487536,6.168768,5.602564,6.036298
S15452,6.494558,4.888428,5.653932,6.109012,5.573702,6.092686
S15455,6.323142,5.030026,5.484036,6.045934,5.59109,6.053838
S15458,6.477422,4.96762,5.478818,6.138978,5.582276,6.055248
S1546,6.36682,5.065978,5.606374,6.11399,5.60077,6.046348
S15463,6.556306,4.926654,5.560716,6.182634,5.64992,6.099768
S15470,6.317306,4.994742,5.514272,6.019116,5.588968,5.934714
S15479,6.467974,4.9846,5.711746,6.18929,5.620748,6.074638
S15487,6.580458,4.98432,5.500344,6.162608,5.6203,6.091266
S15490,6.365934,5.147724,5.415038,6.011852,5.53254,5.902264
S15496,6.555328,4.904764,5.671676,6.181224,5.627936,6.062846
S1550,6.453204,5.042146,5.655894,6.165634,5.663696,6.077842
S15503,6.336304,4.934982,5.437162,6.094656,5.532676,6.00751
S15513,6.737482,4.89387,5.68937,6.28451,5.752204,6.18981
S15515,6.502578,5.064862,5.735926,6.215582,5.625946,6.076076
S15525,6.459516,5.089032,5.424064,6.198468,5.745252,6.066826
S15526,6.507658,5.09643,5.79684,6.181172,5.568594,6.057118
S15527,6.371766,5.047166,5.54658,6.115282,5.565696,5.99867
S15528,6.566332,5.076554,5.656836,6.272082,5.692948,6.14605
S15543,6.436654,5.000542,5.560374,6.127878,5.58604,6.033886
S15545,6.435006,4.992462,5.42121,6.134988,5.588782,6.04448
S15556,6.595784,4.965736,5.482284,6.230228,5.648656,6.130798
S15558,6.406188,5.14005,5.51269,6.085746,5.557896,5.979234
S15570,6.222246,5.156748,5.366634,6.02378,5.595448,6.001172
S15571,6.480442,4.989594,5.563832,6.107582,5.59818,5.982092
S15574,6.472808,5.032704,5.541866,6.089868,5.578922,6.047648
S15580,6.466662,4.946258,5.574714,6.094638,5.5598,6.042112
S15585,6.434632,4.985582,5.44651,6.101152,5.634192,5.964928
S15587,6.529072,4.97618,5.6303,6.163062,5.639358,6.132054
S15589,6.485306,5.031312,5.63654,6.128766,5.552436,5.939358
S15600,6.585682,4.978708,5.438156,6.174502,5.660474,6.14974
S15605,6.34439,5.029848,5.512016,6.061054,5.589476,6.005502
S1561,6.519478,5.106748,5.437294,6.280072,5.712342,6.207296
S15618,6.631444,4.993442,5.770922,6.2204,5.667854,6.146322
S15621,6.39521,5.069568,5.509456,6.026308,5.543698,5.922024
S15628,6.53301,4.889026,5.54436,6.228626,5.637108,6.12595
S15629,6.509846,4.964112,5.595826,6.23439,5.65268,6.18542
S15631,6.471184,5.040598,5.535342,6.130072,5.622914,6.083616
S15634,6.390336,4.949974,5.340358,6.063488,5.525926,6.007088
S1564,6.438264,4.97827,5.46353,6.260948,5.762022,6.217842
S15648,6.572876,4.890616,5.632154,6.178452,5.67229,6.13182
S15659,6.449944,5.03618,5.837946,6.266908,5.562766,6.049622
S15677,6.698876,4.995054,5.765154,6.247932,5.700026,6.128914
S15683,6.379118,5.065668,5.436368,6.163106,5.649128,6.103674
S15689,6.388692,4.933296,5.42901,5.986414,5.504118,5.949352
S15690,6.413854,5.00337,5.489326,5.992184,5.518694,5.903218
S15692,6.43476,4.919028,5.529232,6.058804,5.539658,6.009576
S15693,6.340522,4.951604,5.455604,6.009426,5.55005,5.991316
S15703,6.384456,5.06278,5.608274,6.083058,5.57064,6.021596
S15705,6.634428,5.024918,5.522282,6.222416,5.654414,6.003962
S1572,6.388852,4.964048,5.719642,6.15905,5.614154,6.089382
S15722,6.296116,5.036378,5.557418,6.107754,5.57945,6.019678
S15730,6.399346,5.175996,5.421858,6.100418,5.5988,6.026938
S15732,6.65748,4.947448,5.543518,6.173596,5.647626,6.092782
S15738,6.51814,5.02,5.522632,6.14413,5.631968,6.043358
S1574,6.489074,4.9834,5.647512,6.13894,5.62843,6.101652
S1576,6.321724,5.045786,5.505326,6.064304,5.586724,6.051194
S15768,6.525972,4.964678,5.532786,6.155148,5.63317,6.064468
S1577,6.496016,5.022284,5.800224,6.21324,5.588796,6.048034
S15770,6.290912,5.123346,5.72669,6.012946,5.585774,5.942496
S15778,6.494886,4.955958,5.596694,6.132466,5.566236,6.066928
S1578,6.340146,5.093142,5.402764,5.95296,5.543148,6.003722
S15781,6.559304,4.955742,5.614522,6.17326,5.623176,6.086988
S15789,6.582038,4.935916,5.476156,6.257398,5.684236,6.147994
S15791,6.42047,5.003816,5.606078,6.082432,5.568344,6.01649
S15795,6.466866,5.182048,5.596842,6.164606,5.584154,5.960562
S15802,6.511778,4.967986,5.662132,6.18048,5.558442,6.049584
S15816,6.308834,5.17997,5.657934,6.051508,5.517006,5.989372
S15819,6.237102,5.074202,5.38912,6.012562,5.53856,6.043142
S15825,6.577098,4.990298,5.523996,6.255104,5.725856,6.219694
