B_cells	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	NK_cells	Neutrophils	T_cells_.CD4..	T_cells_.CD8..
S1111	0.0828	0.215	0	0.0454	0.2293	0.2303	0.1972
S11119	0.0695	0.1754	0.0092	0.0632	0.4074	0.1941	0.0811
S11127	0.0653	0.2514	0	0.0944	0.3008	0.0595	0.2286
S11136	0.0652	0.1688	0.0457	0.0727	0.3238	0.2846	0.0391
S11147	0.0619	0.1783	0	0.0544	0.4833	0.166	0.0562
S11150	0.0539	0.1437	0	0.0503	0.532	0.1808	0.0393
S11152	0.0925	0.2325	0.0447	0.0805	0.3927	0.1065	0.0506
S1116	0.068	0.1765	0	0.054	0.3034	0.214	0.1842
S11163	0.1065	0.1342	0.0126	0.0688	0.3296	0.2694	0.0789
S11164	0.0497	0.278	0	0.0806	0.4732	0.1101	0.0082
S11166	0.1301	0.1424	0.1649	0.1041	0.2887	0.1698	0
S11173	0.1298	0.2067	0	0.0608	0.389	0.1755	0.0381
S11174	0.0768	0.2475	0	0.0746	0.3157	0.2068	0.0785
S11182	0.0991	0.1829	0	0.0605	0.3527	0.2318	0.073
S11188	0.07	0.2794	0	0.0739	0.3982	0.1132	0.0652
S11189	0.0569	0.1876	0.0083	0.0501	0.388	0.2165	0.0926
S1119	0.0922	0.2397	0	0.044	0.1892	0.3027	0.1322
S11195	0.1335	0.1882	0.0081	0.0527	0.2741	0.2676	0.0758
S11197	0.083	0.0827	0.0506	0.0845	0.3282	0.3518	0.0192
S11198	0.0275	0.2009	0.0353	0.0902	0.5731	0.0694	0.0036
S11211	0.0319	0.241	0.067	0.0867	0.3141	0.2044	0.055
S11214	0.0667	0.2806	0	0.0614	0.3311	0.1292	0.131
S11216	0.0403	0.2152	0.0208	0.0786	0.3809	0.2149	0.0494
S11224	0.0835	0.2168	0	0.0839	0.3924	0.1735	0.0499
S11236	0.0625	0.2626	0	0.0624	0.3783	0.1722	0.062
S11241	0.0724	0.2038	0	0.0672	0.4147	0.1451	0.0966
S11243	0.0443	0.1487	0.0532	0.07	0.3761	0.2677	0.04
S11245	0.0813	0.1548	0.0848	0.0781	0.3923	0.1842	0.0244
S11249	0.0944	0.1445	0.112	0.0822	0.3267	0.1925	0.0477
S11274	0.065	0.1332	0.1407	0.1291	0.2921	0.2397	0
S11280	0.0717	0.2246	0.021	0.071	0.2897	0.2352	0.0868
S11281	0.0703	0.298	0	0.0816	0.287	0.2036	0.0595
S11285	0.0642	0.2077	0.0754	0.0787	0.3298	0.2249	0.0193
S11298	0.0911	0.2331	0.0026	0.0793	0.304	0.2308	0.0591
S11311	0.0426	0.2202	0	0.0966	0.3547	0.1807	0.1051
S11312	0.0572	0.1986	0.0075	0.0628	0.4123	0.2178	0.0436
S11316	0.0639	0.2812	0	0.0572	0.3342	0.1805	0.0831
S1133	0.1166	0.1834	5e-04	0.0618	0.3876	0.1765	0.0737
S11330	0.0323	0.1513	0	0.1627	0.4428	0.0846	0.1262
S11332	0.0988	0.1054	0.0304	0.1	0.2502	0.2855	0.1297
S11334	0.0527	0.2722	0	0.071	0.3123	0.1435	0.1482
S11335	0.0585	0.1244	0.0613	0.0639	0.4515	0.1812	0.0591
S11345	0.0903	0.0708	0.1217	0.11	0.3253	0.2592	0.0227
S11349	0.0354	0.2815	0	0.1224	0.3234	0.1394	0.0979
S1135	0.0762	0.2855	0.0572	0.0777	0.3278	0.1311	0.0444
S11352	0.0553	0.2247	0.021	0.0712	0.4843	0.1282	0.0152
S11353	0.044	0.2045	0.0382	0.0683	0.444	0.1781	0.0228
S11368	0.075	0.308	0	0.0859	0.3879	0.0926	0.0506
S11369	0.0549	0.2242	0.0774	0.0982	0.2716	0.1755	0.0982
S11371	0.0679	0.1893	0.0176	0.1621	0.3155	0.1096	0.138
S11377	0.0473	0.3572	0	0.0644	0.4112	0.118	0.002
S11378	0.094	0.2917	0	0.087	0.2967	0.0799	0.1507
S11383	0.0808	0.1919	0	0.0753	0.3067	0.177	0.1682
S11384	0.1197	0.2054	0	0.1106	0.2626	0.156	0.1456
S11392	0.0417	0.1847	0.0399	0.073	0.3253	0.2564	0.0791
S1140	0.0762	0.2152	0.0111	0.1073	0.4256	0.1426	0.022
S11410	0.0556	0.1662	0.0796	0.0588	0.3606	0.2406	0.0386
S11411	0.0938	0.2024	0.0392	0.0959	0.2242	0.1936	0.1509
S11414	0.101	0.1317	0.0438	0.103	0.3901	0.1601	0.0703
S11419	0.0807	0.283	0	0.0509	0.3857	0.1321	0.0676
S11424	0.0491	0.2557	0.0096	0.03	0.2764	0.3282	0.051
S11425	0.0584	0.1668	0.0264	0.0603	0.2987	0.3016	0.0878
S11433	0.0714	0.157	0.0851	0.1068	0.272	0.2429	0.0647
S11434	0.0945	0.1973	0	0.0773	0.3353	0.1436	0.152
S11436	0.0551	0.3076	0.0112	0.0689	0.3476	0.1309	0.0787
S11437	0.1062	0.152	0	0.0527	0.3331	0.2445	0.1116
S11440	0.0654	0.1619	0.0019	0.085	0.5937	0.0922	0
S11449	0.0685	0.153	0	0.0428	0.3531	0.2538	0.1288
S11459	0.1124	0.1753	0.0743	0.0682	0.2567	0.2438	0.0694
S11477	0.0437	0.2382	0	0.0591	0.4439	0.1297	0.0854
S11480	0.0561	0.2403	0	0.0593	0.4435	0.1397	0.0611
S11486	0.0665	0.2143	0	0.0556	0.379	0.1942	0.0903
S11501	0.053	0.2735	0	0.0785	0.4221	0.1412	0.0318
S11504	0.0901	0.183	0.0492	0.1217	0.2454	0.1926	0.118
S11507	0.0864	0.1244	0.0179	0.0662	0.2976	0.3288	0.0786
S11518	0.0384	0.3278	0	0.122	0.1358	0.2116	0.1645
S11525	0.0716	0.1794	0.0287	0.0621	0.2622	0.294	0.1019
S11531	0.0519	0.1868	0.0364	0.1044	0.3747	0.1933	0.0525
S11532	0.1378	0.174	0.0317	0.0972	0.269	0.2228	0.0676
S1154	0.0956	0.2699	0	0.0532	0.338	0.128	0.1153
S11542	0.0605	0.1184	0.0696	0.0905	0.4118	0.1891	0.0602
S11543	0.0762	0.2633	0.0103	0.0852	0.3919	0.1337	0.0396
S11546	0.0687	0.2318	0	0.0567	0.4275	0.192	0.0234
S1155	0.0376	0.198	0.0624	0.0627	0.4012	0.1902	0.0478
S1156	0.1039	0.1525	0	0.122	0.2186	0.1816	0.2214
S11568	0.0551	0.1949	0.0244	0.0773	0.4578	0.1439	0.0466
S11576	0.0895	0.244	0	0.0428	0.248	0.2317	0.1439
S11584	0.0458	0.2469	0.0063	0.0736	0.4803	0.1472	0
S11586	0.0672	0.1874	0.011	0.0485	0.4033	0.2066	0.0759
S11590	0.0399	0.2519	0	0.058	0.3765	0.1769	0.0969
S11592	0.0879	0.1533	0.0468	0.1328	0.3053	0.2547	0.0192
S11593	0.1355	0.2046	0	0.0782	0.3924	0.1496	0.0397
S11599	0.0976	0.1842	0.0494	0.0934	0.384	0.1889	0.0026
S1160	0.1084	0.2032	0.0052	0.0792	0.3038	0.212	0.0882
S11610	0.0502	0.1708	0.0353	0.0747	0.4656	0.1749	0.0285
S11615	0.0581	0.2635	0.0068	0.1081	0.3575	0.1337	0.0724
S11629	0.0553	0.2294	0	0.099	0.3701	0.0672	0.179
S11631	0.1142	0.37	0	0.032	0.2056	0.1862	0.092
