ID,Bcells,CD4_Tcells,CD8_Tcells,Endothelial,CAFs,Macrophages
S10559,8.47781,8.542772,9.150298,7.884968,7.300322,8.578808
S1056,8.828894,8.798762,9.226534,7.990506,7.24145,8.55835
S10563,8.833728,8.829878,9.469158,8.081854,7.458776,8.911674
S10574,8.680696,8.69117,9.27035,7.883498,7.282702,8.56192
S10576,8.50105,8.576826,8.930188,7.889534,6.992652,8.552804
S10578,8.602108,8.683428,9.101132,8.097716,7.406956,8.797972
S10579,8.502926,8.537166,9.17489,7.899548,7.178974,8.507418
S10582,8.68295,8.648682,9.206866,7.89189,7.251468,8.700986
S1059,8.683358,8.873252,9.383398,8.12882,7.454784,8.792554
S10599,8.897216,8.992704,9.312198,8.175978,7.47598,8.929808
S10611,8.544126,8.552854,9.167404,7.898564,7.226328,8.535842
S10614,8.560072,8.644104,9.145484,7.960158,7.32293,8.686382
S10624,8.519628,8.454164,9.26137,7.904324,7.228188,8.548072
S10632,8.38648,8.398146,8.798384,7.741328,6.950386,8.37662
S10634,8.559836,8.535392,9.067218,7.85506,7.088328,8.387224
S10638,8.306074,8.508408,9.396124,8.022938,7.490296,9.005214
S10644,8.875684,8.854206,9.31035,8.006278,7.36042,8.61592
S10649,8.366398,8.47043,9.171808,7.842698,7.154974,8.534932
S10652,8.354902,8.37229,8.907238,7.806172,7.186274,8.45698
S10654,8.638212,8.71326,9.155352,7.930158,7.264734,8.570374
S10655,8.474844,8.589482,9.024344,7.892892,7.143224,8.420448
S10656,8.868666,8.924192,9.42737,8.087538,7.350308,8.78449
S10657,8.571706,8.680738,9.138218,8.202792,7.376802,8.857832
S10658,8.851128,8.903574,9.348206,8.073758,7.320762,8.646316
S10660,8.6207,8.544316,9.105774,7.87296,7.158166,8.32432
S10661,8.663506,8.646612,9.216486,7.91169,7.262918,8.515342
S10676,8.526186,8.637024,9.324218,7.908648,7.234702,8.821534
S1068,8.66278,8.634004,9.224716,7.830534,7.273304,8.543898
S10681,8.222804,8.419592,8.890244,7.822906,7.035956,8.36392
S10686,8.426978,8.399278,8.962712,7.821986,7.10434,8.579796
S10688,8.50607,8.749354,9.28438,8.061826,7.43774,8.790548
S10690,8.414086,8.43559,9.020708,7.941966,7.167,8.713698
S10698,8.69429,8.682774,9.161012,7.850618,7.177712,8.461184
S107,8.885502,8.896442,9.370358,8.032026,7.288512,8.665482
S10703,8.617106,8.731136,9.19684,7.915634,7.26925,8.409594
S10726,8.673464,8.748894,9.203362,7.986194,7.361322,8.54121
S10729,8.617432,8.687486,9.065158,8.18523,7.346816,8.741612
S10733,8.696004,8.88046,9.346696,8.011646,7.377026,8.684612
S10734,8.862252,8.95496,9.221462,8.094958,7.545968,8.727946
S10735,8.575722,8.65801,9.183724,7.985528,7.340474,8.559072
S10740,8.834268,8.929742,9.34109,8.152818,7.590348,9.087316
S10745,8.487814,8.548314,9.193138,7.97339,7.24227,8.729066
S10748,8.450762,8.53664,9.137968,7.950018,7.355244,8.581472
S10753,8.895242,9.026712,9.485152,8.232006,7.639532,9.266516
S10756,8.74907,8.781922,9.173142,8.07607,7.328162,8.685588
S10757,8.70305,8.761548,9.312916,7.98649,7.442354,8.645292
S1076,8.73559,8.763942,9.278896,8.064216,7.432252,8.79903
S10764,8.47664,8.504758,9.12121,7.98627,7.372648,8.609804
S10767,8.828434,8.874494,9.253446,8.103678,7.333764,8.608598
S10776,8.603856,8.636708,9.247544,7.958456,7.351964,8.804036
S10778,8.865436,8.867074,9.392798,8.104156,7.441186,8.854594
S10784,8.54238,8.514742,9.114102,7.93123,7.221982,8.693018
S10787,8.597818,8.655098,9.184184,7.91847,7.31591,8.508378
S10800,8.66456,8.605212,9.181086,7.831178,7.252922,8.656786
S10805,8.586034,8.566318,9.166588,7.988272,7.448502,8.760388
S10813,8.538014,8.52877,9.23295,7.953108,7.31731,8.590264
S10814,8.116434,8.16238,8.688588,7.655576,6.984592,8.27485
S10815,8.57301,8.63044,9.185806,7.988056,7.272776,8.597146
S10817,8.592916,8.620868,8.948512,8.029822,7.188404,8.488172
S1083,8.622558,8.678412,9.32948,7.92505,7.310516,8.61288
S10835,8.540518,8.574426,9.161146,7.861446,7.171476,8.772628
S10838,8.642354,8.615644,9.247254,7.994164,7.285296,8.642254
S10844,8.62723,8.557552,9.112372,7.89271,7.240164,8.405332
S10845,8.456404,8.530242,9.127676,7.926978,7.193138,8.564734
S10846,8.9725,8.940366,9.185224,8.08115,7.327606,8.58461
S10853,8.60418,8.594934,9.010474,7.94348,7.179568,8.633602
S10854,8.667706,8.633314,9.187546,7.87432,7.258726,8.5024
S10865,8.638662,8.628842,9.252452,8.04071,7.37054,8.742006
S10866,8.726754,8.826534,9.199064,8.08161,7.289396,8.65159
S10869,8.55747,8.627092,9.385306,8.117978,7.484932,8.906238
S10873,8.562842,8.537306,9.18486,8.017214,7.26013,8.664852
S10876,8.956558,8.896244,9.363218,7.97118,7.379172,8.711632
S10883,8.640844,8.653792,9.061694,8.054332,7.23988,8.753346
S10885,8.817888,8.87896,9.271628,8.170616,7.561458,8.935844
S10893,8.596088,8.67519,9.16574,8.041168,7.32432,8.705038
S10895,8.517362,8.62895,9.275846,7.974842,7.416538,8.700162
S10902,8.680894,8.615222,9.099694,8.025532,7.267482,8.476154
S10903,8.890094,9.010544,9.289982,8.287012,7.494934,8.839218
S1092,8.507332,8.521518,9.12833,7.93637,7.261778,8.579514
S10925,8.537042,8.49554,9.037968,7.816668,7.183466,8.477964
S10927,8.711982,8.880454,9.38639,8.140032,7.533638,8.96337
S10936,8.777746,8.850522,9.425278,7.989708,7.497102,8.688534
S10945,8.840992,8.86012,9.408058,8.109646,7.473558,8.940746
S10947,8.202398,8.400186,8.863146,7.78399,7.06409,8.298478
S10949,8.880354,8.88524,9.15315,8.040318,7.28231,8.583292
S1095,8.218106,8.22971,9.000144,7.847262,7.19598,8.453784
S10961,8.46676,8.529878,9.271776,8.006586,7.238304,8.624234
S10969,8.609716,8.716132,9.237906,7.94688,7.318662,8.574544
S10972,8.543778,8.561894,9.192424,7.9499,7.26968,8.757012
S10973,8.617822,8.591042,9.351752,8.104614,7.439082,8.91131
S10978,8.589304,8.680038,9.370764,8.04192,7.377802,8.710662
S10979,8.691014,8.63532,9.25705,7.970442,7.336158,8.646214
S10986,8.571734,8.598972,9.016254,7.883044,7.190206,8.690068
S10989,8.464382,8.607276,9.036136,7.824738,7.157168,8.413316
S10995,8.739064,8.821512,9.348512,8.031058,7.304294,8.914254
S11005,8.821068,8.851,9.162426,8.096634,7.41586,8.718098
S11008,8.549884,8.571042,9.173674,7.953908,7.313036,8.64894
S11010,8.024394,7.945436,8.551014,7.489654,6.745114,7.81588
S11013,8.575614,8.639566,9.241924,7.85882,7.26908,8.622408
S11016,8.939792,8.98426,9.319548,8.091306,7.391044,8.913196
S11017,8.713492,8.78095,9.278398,8.205786,7.445838,8.890502
S11020,8.887874,8.971942,9.442396,8.169374,7.561478,9.035772
S11027,8.735426,8.82759,9.372972,8.101256,7.445146,8.874498
S11035,8.656634,8.615824,9.091718,7.979508,7.161564,8.561364
S11041,8.40727,8.383596,9.086826,7.623362,7.002994,8.294988
S1106,8.646796,8.69742,9.304566,7.980908,7.233734,8.611142
S11071,9.125628,9.165596,9.384788,8.207438,7.486148,8.721128
S11076,8.557378,8.522236,8.972194,7.84919,7.107982,8.447422
S11078,8.703074,8.67601,9.2115,7.996842,7.32927,8.669902
S11081,8.756044,8.775552,9.246974,8.091544,7.438968,8.686892
S11086,8.599482,8.61829,9.112546,8.01628,7.264096,8.69187
S1109,9.028078,9.09083,9.588668,8.389358,7.657492,9.295806
S11096,8.705744,8.912728,9.39091,8.23737,7.562846,9.02048
S11100,8.463132,8.490322,9.110282,7.893486,7.212852,8.512578
S11107,8.692842,8.709112,9.211716,7.979478,7.397002,8.681804
S11109,8.32423,8.413732,8.994086,7.909738,7.133244,8.607446
S1111,8.85391,8.882172,9.22848,8.128336,7.36421,8.671544
S11119,8.456058,8.4459,9.167044,7.880414,7.139566,8.598302
S11127,9.047274,9.085884,9.34848,8.216228,7.456044,8.735848
S11136,8.478664,8.51734,8.996134,7.797788,7.2364,8.463264
S11147,8.594054,8.603868,9.165284,7.969782,7.25249,8.616736
S11150,8.636574,8.570146,9.219942,7.956774,7.262778,8.695878
S11152,8.34755,8.40397,9.147084,7.852372,7.20819,8.549478
S1116,9.050886,9.219218,9.486392,8.239412,7.606284,8.88164
