	Adipocytes	Astrocytes	B-cells	Basophils	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD4+ memory T-cells	CD4+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	CD8+ naive T-cells	CLP	CMP	Chondrocytes	Class-switched memory B-cells	DC	Endothelial cells	Eosinophils	Epithelial cells	Erythrocytes	Fibroblasts	GMP	HSC	Hepatocytes	Keratinocytes	MEP	MPP	MSC	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Megakaryocytes	Melanocytes	Memory B-cells	Mesangial cells	Monocytes	Myocytes	NK cells	NKT	Neurons	Neutrophils	Osteoblast	Pericytes	Plasma cells	Platelets	Preadipocytes	Sebocytes	Skeletal muscle	Smooth muscle	Tgd cells	Th1 cells	Th2 cells	Tregs	aDC	cDC	iDC	ly Endothelial cells	mv Endothelial cells	naive B-cells	pDC	pro B-cells	ImmuneScore	StromaScore	MicroenvironmentScore
mix_83	0	0	0.14	0.0236	0	0.0047	0	0.0013	0	0	0	0.0186	0	0	0	0	0.0324	0	0	0.0016	0	0	0	0.047	0.0396	0	0	7.00E-04	0	0.0673	0.003	0.0156	0.0081	0	0	0.0115	0.1001	0	0.0947	0	0.0121	0	2.00E-04	0.008	0	0	0.0077	0	0	0	0	0	0	0.0023	0.0147	0	0	0.0536	0.1575	0	0	0.0417	0.0095	0.0353	0.1729	0	0.1729
mix_84	0	0	0.1663	0	0.04	0.0722	0	0.0162	0.0167	0.0559	0.0168	0.004	0.0112	0	0	0	0.0318	0	0	0	0	0	0	0.0175	0.0079	0	2.00E-04	0.0191	0.0019	0.0666	0	0.004	0.0033	0	0	0.0055	0.1097	0	0.0451	0	0	0	9.00E-04	0	0	0	0.0106	0	0	0	0	0	0	8.00E-04	0.0109	0	0	0.0244	0.0933	0	0	0.043	0.0013	0.0392	0.2049	0	0.2049
mix_85	0	0	0.1147	0	0.0488	0.0835	0	0.0197	0.0242	0.068	0.0234	0.0036	0.0125	0	0	0	0.0197	0	0	0	0	0	0	0.0177	0.0068	0	2.00E-04	0.0156	0.0016	0.0426	0	0.0052	0.0017	0	0	0.0051	0.0769	0	0.0416	0	0	0	7.00E-04	0	0	0	0.0087	0	0	0	0	0	0	0.0013	0.007	0	0	0.02	0.0789	0	0	0.0304	0	0.0324	0.1821	0	0.1821
mix_86	0	0	0.0407	0	0.0499	0.1015	0	0.0244	0.0321	0.0997	0.0361	0.0452	0.0128	0	0	0	0.0031	0	0	0	0	0	0	0.0027	0.0536	0	2.00E-04	0.0337	0	0.0111	0	0.0011	2.00E-04	0	0	9.00E-04	0.031	0	0.0121	0.001	0.0447	0	7.00E-04	0	0.0032	0	0.0108	0	0	0	0	0.0238	0.0033	0.0145	0.0186	0	0	0.0033	0.0203	2.00E-04	0	0.0151	0	0.0046	0.1647	0	0.1647
mix_87	0	0	0.0784	0	0.0468	0.0845	0	0.016	0.0235	0.0462	0.0091	0	0.0084	0	0	0	0.0103	4.00E-04	0	0	0	0	0	0.0321	0.0062	0	2.00E-04	0.0129	0	0.0409	0	0.0075	0.0035	0	0	0.0079	0.0569	0	0.0656	0	0	0	5.00E-04	0.0017	0	0	0.0052	0	0	0	0	0.0011	0	2.00E-04	9.00E-04	0	0	0.0263	0.0942	0	0	0.0224	0	0.019	0.1594	0	0.1594
mix_88	0	0	0.157	0	0.0289	0.0677	0	0.0128	0.0093	0.0762	0.0206	0.0412	0.01	0	0	0	0.0252	0	0	0	0	0	0	0.0096	0.0411	0	2.00E-04	0.028	0	0.0463	0	0.0027	0.0012	0	0	0.003	0.1054	0	0.0252	0	0.0326	0	0.001	0	0	0	0.0142	0	0	0	0	4.00E-04	0	0.01	0.0165	0	0	0.0132	0.075	0	0	0.0443	0.008	0.0374	0.2133	0	0.2133
mix_89	0	0	0.145	0	0.044	0.0898	0	0.0179	0.0256	0.1072	0.0389	0.0384	0.0157	0	0	0	0.0331	0	0	0	1.00E-04	0	0.0025	0	0.0079	0	1.00E-04	0.0357	0.001	0.0254	0	0.0012	5.00E-04	0	0	6.00E-04	0.0888	0	0.0027	0	0.0312	0	0.0011	0	0	0	0.0117	0	0	0	0	0.0063	0	0.0088	0.0268	0	0	0.0048	0.0393	0	0	0.0401	0.0042	0.0364	0.2201	0.0012	0.2213
mix_90	0	0	0.0572	0	0.0341	0.0614	0	0.0089	0.013	0.055	0.0169	0.0026	0.0094	0	0	0	0.0105	9.00E-04	0	1.00E-04	0	0	0	0.0305	0.0111	0	2.00E-04	0.0109	0	0.0256	1.00E-04	0.0103	0.0041	0	0	0.0099	0.0389	0	0.076	0	0	0	2.00E-04	0.0042	0	0	0.0051	0	0.0026	0	0	0.006	0	3.00E-04	0.0094	0	0	0.0275	0.0952	0	0	0.0176	0	0.0159	0.1517	0	0.1517
mix_91	0	0	0.1373	0.0257	0	0.0076	0	0	0	0.0037	0	0.0263	0	0	0	0	0.0247	0	0	9.00E-04	0	0	0	0.0383	0.0095	0	0	0.0022	6.00E-04	0.0563	0	0.0101	0.0074	0	0	0.0109	0.0982	0	0.0912	0	0.0312	0	2.00E-04	0.0079	0	0	0.0094	0	0	0	0	0	0	0.0086	0.0028	0	0	0.049	0.1465	0	0	0.0394	0.0129	0.0366	0.1815	0	0.1815
mix_92	0	0	0.1227	0	0.0355	0.0668	0	0.0151	0.0125	0.033	0.0062	0.0045	0.0066	0	0	0	0.0179	1.00E-04	0	7.00E-04	0	0	0	0.0317	0.0097	0	1.00E-04	0.0074	0.0013	0.0525	0	0.0086	0.0041	0	0	0.0089	0.0857	0	0.0726	0	0	0	6.00E-04	0.0038	0	0	0.0085	0	0	0	0	0	0	0.0013	0.0087	0	0	0.03	0.1127	0	0	0.0345	5.00E-04	0.0299	0.1789	0	0.1789
mix_93	0	0	0	0.0018	0	0.0037	0	0	0	0	0	0	2.00E-04	0	5.00E-04	0	0	0.0012	2.00E-04	0.0151	0	0	1.00E-04	0.06	0	0	0	0	0	0.0591	0.0132	0.0214	0.0139	0	0	0.0195	0	0	0.1497	9.00E-04	0	0.0039	0	0.0128	0	0.0058	0	0	0	0	0	0.0056	0	0.003	0	0	0	0.0609	0.1025	0	0	1.00E-04	0.0011	0	0.128	2.00E-04	0.1282
mix_94	0	0	0	0	0	0	0	0	0	0.0331	0.0057	0.0408	0.0044	0	0	0	0	0	7.00E-04	0.0051	0	0	0	0.0484	0	0	1.00E-04	0	0	0.0305	0.0069	0.0174	0.0069	0	0	0.0136	0	0	0.1186	0	0.0462	0	0	0.0093	0	0.0038	0	0	0	0	0	0.006	3.00E-04	0.0076	0.0031	0	0	0.0383	0.0488	0	0	0	0.0056	1.00E-04	0.1461	4.00E-04	0.1465
mix_95	0	0	0.2041	0.0199	0	0	0	0	0	0	0	0.0317	0	0	0	0	0.0415	0	0	0	0	0	0	0.0314	0.0026	0	0	0	0.0047	0.0776	0	0.0116	0.0066	0	0	0.0108	0.1384	0	0.085	0	0.0334	0	4.00E-04	0.0086	0	0	0.0155	0	0	0	0	0	0	0.01	0	0	0	0.0508	0.1611	0	0	0.0561	0.0159	0.0514	0.2207	0	0.2207
mix_96	0	0	0.1611	0.0195	0	0	0	0	0	0	0	0.0464	0	0	0	0	0.0355	0	0	0	0	0	0	0.0364	0.0456	0	0	0.0081	0	0.0479	7.00E-04	0.0106	0.0067	0	0	0.0106	0.1169	0	0.0743	0	0.0607	0	4.00E-04	0.0078	0	0	0.0138	0	0	0	0	0	0	0.0124	0.0034	0	0	0.0396	0.13	0	0	0.0452	0.0188	0.0417	0.2031	0	0.2031
mix_97	0	0	0.1057	7.00E-04	0.0159	0.0379	0	0.0031	1.00E-04	0.0435	0.0094	0.0156	0.0072	0	0	0	0.018	4.00E-04	0	0.0013	0	0	0	0.0378	0.0103	0	1.00E-04	0.0055	0.0013	0.0422	0	0.0109	0.0051	0	0	0.01	0.0761	0	0.0838	0	0.0041	0	5.00E-04	0.006	0	0	0.0067	0	0	0	0	0	0	0.0045	0.002	0	0	0.0331	0.1248	0	0	0.0286	0.0054	0.0294	0.1738	0	0.1738
mix_98	0	0	0.1571	4.00E-04	0.0219	0.0498	0	0.0088	0.0023	0.021	4.00E-04	0.0064	0.0041	0	0	0	0.035	2.00E-04	0	9.00E-04	0	0	0	0.0422	0.0508	0	1.00E-04	0.0056	0	0.0581	0	0.01	0.0052	0	0	0.0093	0.1068	0	0.0765	0	0	0	5.00E-04	0.005	0	0	0.0114	0	0	0	0	0	0	0.0018	0.0048	0	0	0.0363	0.1285	0	0	0.0431	0.0027	0.0329	0.1884	0	0.1884
mix_99	0	0	0.0995	0	0.0826	0.1384	0	0.0408	0.0604	0.1161	0.0537	0.0204	0.0203	0	0	0	0.0116	0	0	0	0	0	0.0148	0	0.0395	0	0	0.0429	0	0.0049	0	0	0	0	1.00E-04	0	0.0574	0	0	0.002	0.0045	0	9.00E-04	0	0.0094	0.0038	0.0161	0	0.0047	0	0	0.0372	0	0.0065	0.0444	0	0	0	0.0031	0	0	0.0354	0	0.0204	0.2018	0.0074	0.2092
mix_100	0	0	0.143	0	0.0351	0.0686	0	0.0147	0.0138	0.0417	0.0077	0.0114	0.0073	0	0	0	0.0258	0	0	0	0	0	0	0.0268	0.0098	0	2.00E-04	0.009	0	0.0529	0	0.0062	0.0037	0	0	0.0073	0.0928	0	0.0624	0	0	0	6.00E-04	0.0022	0	0	0.0087	0	0	0	0	0	0	0.0035	0.0052	0	0	0.0308	0.1081	0	0	0.0383	0.0025	0.0366	0.1896	0	0.1896
