Adipocytes	Astrocytes	B-cells	Basophils	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD4+ memory T-cells	CD4+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	CD8+ naive T-cells	CLP	CMP	Chondrocytes	Class-switched memory B-cells	DC	Endothelial cells	Eosinophils	Epithelial cells	Erythrocytes	Fibroblasts	GMP	HSC	Hepatocytes	Keratinocytes	MEP	MPP	MSC	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Megakaryocytes	Melanocytes	Memory B-cells	Mesangial cells	Monocytes	Myocytes	NK cells	NKT	Neurons	Neutrophils	Osteoblast	Pericytes	Plasma cells	Platelets	Preadipocytes	Sebocytes	Skeletal muscle	Smooth muscle	Tgd cells	Th1 cells	Th2 cells	Tregs	aDC	cDC	iDC	ly Endothelial cells	mv Endothelial cells	naive B-cells	pDC	pro B-cells	ImmuneScore	StromaScore	MicroenvironmentScore
S11985	0	0	0	0	0.2458	0.0357	0.0993	0.4225	0.0779	0.0917	0.1525	0.0812	0.1197	0.188	0	0	0.0011	0.0217	0.0193	0.4184	0.108	0.1387	0	0.0078	0	0	0.0181	0	0.1373	0.0765	0.025	0.0145	0.016	0.0049	0.3363	0.0405	0	0.0169	0.1244	0.0214	0.0989	0.3801	0	0.1463	0.1892	0.0334	0	0.1404	0.0944	0.0047	0.0152	0.4273	0.0499	0.1671	0.1194	0	0	0.0091	0.0087	0.0737	0.0928	0	0	0	0.7847	0.0096	0.7944
S11987	0	0	0.0197	0.0171	0.2246	0.0782	0.0331	0.3065	0.1419	0.0592	0.0703	0	0.1162	0.1247	0	0	0.0413	0.0042	0.0445	0.3404	0.1665	0.1523	0	0	0.0907	0.003	0.0579	0	0.1256	0.2978	0.0026	0.0027	0.039	0.0095	0.2683	0.0521	0	0.0599	0.1484	0.004	0.0384	0.536	0.0067	0.1824	0.1763	0.0787	0.0103	0.0867	0.0621	0.0061	0.0332	0.2306	0.0061	0.1707	0.0496	0.0229	0.0025	0	0.0107	0.0971	0.1585	0	0	0	0.6863	0.0222	0.7085
S11993	0.0026	0	0.0243	0	0.2855	0.0782	0.0696	0.4243	0.1129	0.0889	0.1242	0.0621	0.1644	0.196	0	0	0.0491	0	0.0249	0.4523	0.104	0.0941	0	0	0.0105	0.0061	0.0167	0	0.0675	0.1335	0.0397	0.0077	0.0496	0.0048	0.2086	0.0476	0	0.0269	0.1036	0.0034	0.075	0.4609	0.001	0.1647	0.2271	0.0544	0	0.0986	0.0775	0.0035	0.0177	0.3973	0.036	0.2195	0.0936	0.0597	0	0.0123	0	0.0757	0.1133	0.0022	0	0	0.8259	0.0137	0.8396
S12001	0.0124	0	0.0278	0	0.1926	0.0538	0.0108	0.3141	0.0362	0	0.0262	0.019	0.1373	0.1712	0	0	0.0401	0	0.0441	0.4669	0.1281	0.0968	0	0.0252	0.1185	0.001	0.0389	0	0.1097	0.12	0.0372	0.0232	0.0241	0.0136	0.3918	0.0443	0	0.035	0.1147	0.0172	0.1049	0.4898	0.0095	0.1595	0.0764	0.0634	0	0.1582	0.0812	0.0047	0.0313	0.3542	0.0291	0.1479	0.0613	0.05	0	0.0239	0	0.1256	0.1188	0	0.0069	0	0.7448	0.0282	0.773
S12004	0.0256	0	0	0	0.2527	0.1273	0.0376	0.2151	0.1367	0.0165	0.0253	0.0805	0.0878	0.1022	0.0235	0	0.0556	0.0264	0.0472	0.6322	0.185	0.1276	0	0.0049	0	0	0.0532	0	0.3257	0.4648	0	0.0024	0.0876	0.0056	0.2369	0.0492	0.0055	0.0859	0.0989	0	0.0333	0.5765	0.0075	0.1588	0.2033	0.1066	0	0.0536	0	0.0046	0.0506	0	0	0.3111	0	0	0	0	0	0.1319	0.219	0	0	0.0233	0.8163	0.0364	0.8527
S12006	0	0	0.192	0	0.3155	0.1145	0.0587	0.4821	0.1508	0.0801	0.0769	0	0.15	0.1234	0	0	0.134	0.0081	0.0469	0.2307	0.0612	0.1371	0	0	0.0619	0.0014	0.0039	0	0.0681	0	0	0	0.0072	0.011	0.3242	0.025	0.0613	0.0207	0.0453	0.0097	0	0.4645	0.0079	0.1712	0.1742	0.0225	0	0.1235	0.1574	0.001	0.004	0.4206	0.0188	0.1426	0.0319	0.1591	0	0	0	0.0633	0.1045	0.1407	0	0	0.7026	0.0234	0.726
S12010	0.0599	0	0	0.0145	0.2487	0.1007	0.085	0.2253	0.1097	0.0621	0.0079	0.1927	0.0886	0.1557	0.002	0	0.0117	0.0121	0.0578	0.7804	0.1629	0.0244	0	0	0	0	0.0716	0	0.3576	0.5039	0.0148	0.0016	0.1017	0.0249	0.2631	0.0258	0	0.0905	0.0191	0	0.1492	0.4477	0.0075	0.1421	0.2251	0.1041	0	0.0839	0	0.0068	0.0572	0.0732	0.0136	0.2904	0	0.0498	0	0	0.0253	0.1521	0.254	0	0	0	0.9689	0.0588	1.0278
S12011	0.0165	0	0.0708	0	0.2037	0.0642	0.09	0.2667	0.0966	0.0475	0.0578	0.076	0.1393	0.148	0	0	0.0935	0.0396	0.0307	0.5268	0.1581	0.1238	0	0	0	0.0027	0.039	0	0.1559	0.2595	0.0347	0.0108	0.0312	0	0.242	0.0544	0.0364	0.0526	0.119	0	0.0952	0.5322	0	0.1348	0.2919	0.0713	0	0.093	0.0589	0.0057	0.0283	0.2669	0.0111	0.2895	0.0107	0.0472	0	0.0184	0.0452	0.0789	0.1914	0.0082	0	0	0.8481	0.0236	0.8717
S12012	0.0588	0	0	0.0479	0.1836	0.0726	0.0207	0.1903	0.0532	0	0	0.0166	0.1262	0.1162	0	0	0	0.0635	0.1149	0.5806	0.2253	0.1175	0	0	0.0603	0.0127	0.101	0	0.1854	0.4222	0.0141	0.0213	0.0447	0.0039	0.3071	0.0568	0	0.1103	0.1257	0.0234	0.0446	0.5617	0.0276	0.1665	0.0248	0.1096	0	0.0927	0	0.0099	0.0761	0.0143	0	0.2566	0	0.0785	0.0188	0	0.0716	0.1917	0.2459	0	0	0	0.7883	0.0868	0.8752
S12022	0	0	0	0	0.2362	0.1121	0	0.1542	0.204	0.0334	2e-04	0.0351	0.1934	0.0151	0	0	0.1204	0.0332	0.0776	0.6625	0.1624	0.1807	0	0	0.0343	0	0.0573	0	0.228	0.5226	0.007	0	0.0765	0	0.2302	0.0268	0	0.0977	0.0474	0	0	0.5656	0.0087	0.153	0.2231	0.1214	0	0.0691	0.0212	0.0025	0.0529	0	0	0.3138	0	0	0	0	0.0498	0.1148	0.2567	0	0	0	0.7818	0.0388	0.8206
S12043	0	0	0.1408	0	0.3359	0.1029	0.0737	0.5436	0.1015	0.0457	0.1139	0	0.1315	0.2167	0	0	0.0458	0.0124	0	0.2806	0.0601	0.1474	0	0.0379	0	0.0074	0	0	0	0	0.0539	0.0128	0.0167	0.0028	0.3303	0.0447	0.0349	0	0.1235	0.0018	0.0389	0.2832	0	0.1567	0.219	0.0232	0.0205	0.1312	0.1449	0	0	0.4733	0.0657	0.1636	0.0923	0.0865	0	0.0263	5e-04	0.0268	0.0033	0.0937	0	0	0.7941	0	0.7941
S12052	0	0	0.1113	0	0.3553	0.1212	0.0916	0.5594	0.1098	0.0583	0.1481	0.0339	0.0875	0.1836	0	0	0.069	0.0376	0.0158	0.3795	0.1071	0.1412	0	0	0.1162	0	0.0426	0	0.0795	0.081	0.0412	0.0056	0.0247	0	0.3081	0.021	0.0173	0.0478	0.058	0.0346	0.0881	0.2153	0.0056	0.1435	0.1836	0.0447	0.0292	0.1343	0.141	0.0076	0.0255	0.4127	0.0487	0.1067	0.1167	0.1101	0	0.0507	0.0082	0.095	0.0764	0.0536	0	0.0151	0.8485	0.0079	0.8564
S12056	3e-04	0	0.1187	0	0.2635	0.0879	0.0564	0.4171	0.1055	0.0511	0.1164	0	0.1053	0.1425	0	0	0.0679	0.0315	0.0239	0.4561	0.1277	0.1462	0	0	0.0601	0	0.0407	0	0.1138	0.0991	0.0299	0.0114	0.0182	0	0.2923	0.0418	0.0286	0.0493	0.063	0.0347	0.0375	0.446	0.0109	0.171	0.172	0.0722	0.0014	0.112	0.1161	0.0053	0.024	0.3643	0.0027	0.166	0.0814	0.1142	0	0.0028	0.0104	0.0857	0.1051	0.0644	0	0	0.8149	0.0121	0.827
S12057	0	0	0	0	0.3228	0.0855	0.0041	0.4283	0.1304	0.0252	0.0151	0	0.127	0.1816	0	0	0.0058	0.0035	0.0166	0.5597	0.1184	0.1059	0	0.0676	0.016	0.0188	0.0249	0	0.1529	0.1437	0.0352	0.0167	0.0106	0.0062	0.2758	0.0405	0	0.0223	0.0921	0.0299	0	0.3757	0	0.1772	0.1583	0.0499	0	0.1154	0.0978	0.0039	0.03	0.4029	0.0287	0.2029	0.0248	0.1358	0	0	0.0107	0.1138	0.1117	0	0	0	0.8146	0.0083	0.8229
S12058	0.0329	0	0	0.0863	0.153	0.1007	0	0.1789	0.0372	0.0134	0.0534	0.0094	0.1257	0.0537	0	0.0476	0	0.0391	0.0826	0.7112	0.187	0.1081	0.0486	0	0.0833	0	0.0637	0	0.2017	0.2946	0	0	0.0584	0.0183	0.3735	0.0498	0	0.1076	0.0771	0.0265	0.0251	0.5804	0.0236	0.204	0.0321	0.1101	0	0.0704	0.0103	0.0081	0.0708	0.0496	0	0.2079	0.0324	0.0023	0.0041	0	0.0508	0.1722	0.2108	0	0	0	0.8275	0.082	0.9095
S12061	0	0	0.0051	0	0.3694	0.0871	0.0232	0.5625	0.1144	0.0767	0.1469	0	0.1599	0.1856	0	0	0	0.039	0	0.6643	0.1044	0.0863	0	0	0.0821	0	0.0196	0	0.0482	0.0708	0.0233	0.0054	0	0	0.3233	0.0499	0	0.0096	0	0.0314	0.0119	0.2591	0	0.1543	0.146	0.05	0	0.1142	0.1326	0.0054	0.004	0.4539	0.0566	0.1899	0.0736	0.1507	0	7e-04	0.0417	0.0701	0.0748	0	0	0	0.896	0	0.896
S12064	5e-04	0	0.1164	0	0.3763	0.0938	0.0775	0.625	0.0364	0.1286	0.2232	0.0915	0.1779	0.251	0	0	0.0341	0.0107	0.0337	0.3136	0.0803	0.1759	0	0.0419	0.0635	0.0224	0.0327	0	0.1085	0.183	0.0659	0.0174	0.0708	0	0.1696	0.0408	0.062	0.0281	0.1064	0.023	0.1353	0.1475	0.0144	0.1462	0.2532	0.0339	0.0373	0.0526	0.1436	0.004	0.009	0.438	0.0603	0.174	0.154	0.1569	0	0.0588	3e-04	0.1061	0.0751	0.0243	0.0399	0.0192	0.9329	0.0171	0.95
S12073	0.0591	0	0.0257	0.0723	0.1375	0.0206	0.0596	0.1915	0.0966	0.0479	0.0469	0.0962	0.1171	0.1089	0	0	0.0507	0.0275	0.0627	0.4087	0.2153	0.1273	0	0	0.095	0.005	0.0831	0	0.3182	0.4695	0	0	0.0512	0	0.1378	0.0535	0.0459	0.0988	0.1569	0	0.054	0.5381	0.02	0.1804	0.2581	0.1003	0.026	0.0643	0.086	0.0063	0.0458	0.0065	0	0.2831	0.0357	0	0.0014	0	0.016	0.1106	0.2094	0	0	0.0361	0.6924	0.0609	0.7533
S12076	0.0203	0	0.0636	0	0.2612	0.1162	0.0656	0.3448	0.1327	0.0102	0.0381	0.0783	0.0634	0.1341	0	0	0.1066	0.0165	0.103	0.4922	0.1424	0.1432	0	0	0.1021	0.0115	0.0688	0	0.1202	0.2191	0.0153	0.0153	0.0633	0.0124	0.2975	0.0383	0	0.0798	0.1058	0.0312	0.1145	0.3691	0.0128	0.1666	0.1104	0.0742	0	0.1073	0.0546	0.006	0.0503	0.2119	0	0.2234	0.0319	0.004	0	0.0056	0.0124	0.1735	0.1747	0	0	0.0275	0.8389	0.0616	0.9005
S12079	0.0148	0	0	0	0.2483	0.0678	0	0.4523	0	0.0576	0.1324	0.0163	0.1715	0.1579	0	0	0.0218	0.0157	0.0389	0.6976	0.1536	0.1269	0	0.0222	0.0919	0	0.0424	0	0.12	0.1991	0.0147	2e-04	0.0096	0	0.3459	0.043	0	0.0435	0.0373	0.0311	0.0516	0.4174	0.0063	0.1512	0.1479	0.0605	0	0.1039	0.0909	0.0048	0.0321	0.3372	0	0.1193	0.1424	0.1852	0	0	0	0.1375	0.1043	0	0	0	0.8493	0.0268	0.8762
S12089	0.0319	0	0.022	0.1002	0.2233	0.083	0.0755	0.2779	0.0881	0.0174	0.0214	0.0348	0.1083	0.1356	0	0	0.0718	0.0433	0.0619	0.5066	0.1448	0.0607	0	0	0.0313	0.0112	0.0687	0	0.2119	0.2933	0.0292	0.0208	0.0592	0.0109	0.3484	0.0616	0	0.0812	0.1198	0.0285	0.0556	0.3748	0.0116	0.1687	0.0501	0.0785	0	0.1293	0.0514	0.005	0.0601	0.2162	0.0088	0.154	0.0268	0.0225	0	0	0.0416	0.1542	0.1703	0	0	0.02	0.7979	0.0469	0.8448
S12098	0	0	0.0687	0	0.2633	0.0608	0.0045	0.4589	0.0925	0.0608	0.1126	0	0.218	0.2013	0	0	0.054	4e-04	0.045	0.3512	0.1334	0.1115	0	0.0657	0.0611	0.0075	0.0231	0	0.0792	0.0279	0.0458	0.0206	0	0	0.3549	0.0351	0.031	0.0033	0.0835	0.0043	0.0667	0.4834	0.0034	0.1305	0.2315	0.0353	0	0.1521	0.1275	0.0059	0.0063	0.4874	0.0207	0.2168	0.1428	0.0521	0	0.0341	0	0.0789	0.0801	0.0282	0.0069	0	0.7139	0.0225	0.7364
S1210	0	0	0.0911	0	0.2406	0.0497	0.0549	0.4036	0.0803	0.0724	0.0897	0	0.1532	0.1876	0	0	0.0743	0	0.0041	0.3951	0.106	0.121	0	0.0364	0.0013	0	0.0024	0	0.1464	0.0425	0.0017	0.0125	0	0.005	0.3737	0.0465	0.0091	0	0.0939	0.0119	0.0502	0.5388	0	0.1522	0.2177	0.0173	0	0.1657	0.1192	0.0021	0	0.4293	0.0529	0.1381	0.0862	0.1261	0	0	0	0.0511	0.0676	0.0495	0	0	0.7348	0.002	0.7368
S12101	0.0501	0	0.0161	0	0.2145	0.1223	0.0287	0.2491	0.0987	0.029	0.0161	0.0228	0.0752	0.087	0	0	0.0903	0.0369	0.0683	0.6093	0.1923	0.1052	0	0	0.1538	0.0083	0.0879	0	0.1166	0.3442	0.0143	0.0202	0.0248	0	0.3901	0.0517	3e-04	0.1026	0.0374	0.0258	0	0.4758	0.0149	0.1459	0.0185	0.0988	0	0.1581	0.0011	0.008	0.0584	0.102	0	0.1975	0.0452	0.011	0.0277	0	0.0415	0.133	0.1733	0	0	0.042	0.7356	0.0592	0.7948
S12105	0	0	0.0945	0	0.394	0.1247	0.0542	0.6028	0.1979	0.146	0.1923	0	0.1689	0.2373	0	0	0.0303	0.042	0.0116	0.2917	0.0618	0.1815	0	0	0.0467	0.0025	0.0178	0	0.038	0	0.0381	0.0035	0	0	0.2322	0.0252	0.011	0	0.0743	0.0187	0.0367	0.2206	0	0.1349	0.3009	0.0514	0.0273	0.0992	0.1555	0.0062	0	0.5277	0.0702	0.2067	0.0935	0.0964	0	0.098	0.0043	0.0591	0.0298	0.056	0	0	0.8348	0.0058	0.8406
S12106	0.0406	0	0	0.0855	0.162	0.104	0.0808	0	0.155	0.0196	0	0.0782	0.0383	0.0572	0.0036	0	0.0457	0.0853	0.0829	0.6477	0.2007	0.1101	0	0	0.0394	0	0.1093	0	0.2269	0.5735	0	0.0104	0.1203	0	0.3024	0.0194	0	0.1352	0.0302	0	0	0.6547	0.0317	0.1633	0.23	0.1314	0	0.026	0	0.0085	0.0486	0	0	0.2716	0	0	0	0	0.0761	0.1975	0.3087	0	0	0.0063	0.7387	0.0618	0.8005
S1212	0	0	0.0677	0	0.3797	0.0975	0.0521	0.4768	0.1694	0.1097	0.1417	0.0016	0.1196	0.2116	0	0	0.0114	5e-04	0.0343	0.4446	0.1068	0.0596	0	0.0141	0.0155	0.0057	0.0068	0	0.0911	0.052	0.0496	0.0155	0.0046	0	0.2477	0.0422	0.0188	0.0043	0.0515	0.0107	0.0772	0.3535	0	0.1273	0.3086	0.043	0.0155	0.1026	0.1321	0.0034	0	0.4617	0.0371	0.2353	0.1039	0.12	0	0.0208	0	0.0747	0.0998	0.0309	0	0	0.8719	0.0172	0.889
S12120	0	0	0.0437	0	0.2686	0.0973	0.0595	0.3714	0.0982	0.0595	0.0933	0.0616	0.0753	0.1305	0	0	0.0011	0	0.0207	0.4376	0.1039	0.1252	0	0	0.0339	0.0126	0.018	0	0.0562	0.068	0.0669	0.0181	0.0698	0.0209	0.2655	0.0442	0.0194	0.0264	0.1211	0.0076	0.0873	0.3821	0	0.1631	0.2657	0.0666	0.024	0.1237	0.0902	0.0042	0.0233	0.414	0.0338	0.2252	0.0666	0.0617	0	0	0	0.066	0.1264	3e-04	0.015	0	0.8458	0.0104	0.8562
S12129	0	0	0.1056	0	0.2674	0.0827	0.0196	0.3874	0.1178	0.0178	0.0286	0	0.0971	0.1728	0.0019	0	0.0878	0.0351	0.0089	0.364	0.0974	0.1325	0	0.0056	0.0526	0	0.0217	0	0.154	0.1106	0	0.0084	0.0078	0.0097	0.3474	0.0549	0.0262	0.0485	0.1004	0.0097	0.0329	0.5489	0	0.156	0.2239	0.0504	0	0.1453	0.1158	0.0032	0.0197	0.3525	0.0198	0.2078	0.0179	0.1479	0	0.005	0.0412	0.0606	0.1033	0.0724	0	0	0.7259	0.0044	0.7304
S12137	0	0	0.0703	0	0.2692	0.0744	0.0343	0.4122	0.0814	0.0125	0.0348	0	0.1198	0.1641	0	0	0.0484	0.0273	0.0041	0.6368	0.1191	0.1412	0	0	0.0652	0	0.0115	0	0.067	0.0796	0.0305	0.0068	0.0167	0.0123	0.2784	0.0571	0	0.0258	0.1005	0.0202	0.0481	0.3757	0	0.1617	0.1294	0.0493	0	0.0954	0.1118	0.0048	0.0203	0.386	0.0186	0.1561	0.0556	0.12	0	0.0036	0.0153	0.0907	0.0823	0.0345	0	0	0.9128	0.002	0.9148
S12140	0.0282	0	0.0571	0	0.2858	0.0769	0.0178	0.4668	0.069	0.0772	0.1554	0.0878	0.1143	0.197	0.0223	0	0.0764	0.024	0.0239	0.4644	0.151	0.1068	0	0.0944	0.0924	0.0068	0.0527	0	0.1997	0.2281	0.0403	0.0281	0.0447	0.0186	0.2954	0.045	0.0072	0.0238	0.0964	0.0176	0.1131	0.3052	0.0158	0.1287	0.0979	0.0454	0	0.1309	0.1342	0.0067	0.0304	0.3125	0.0175	0.1931	0.0891	0.1146	0.0091	0.0388	0.0158	0.1113	0.0862	0.0302	0.0013	0	0.8704	0.026	0.8964
S12159	0	0	0.1241	0	0.353	0.0892	0.0516	0.5847	0.0837	0.0912	0.2029	0.0507	0.1478	0.2323	0.031	0	0.0349	0.0086	0.0067	0.4908	0.0539	0.1337	0	0.0852	0.0672	4e-04	0.001	0.0012	0.0463	0.04	0.0355	0	0	0.0083	0.2397	0.0495	0.0348	0.0164	0.0449	0.0359	0.1447	0.2276	0	0.1248	0.1975	0.0365	0.0089	0.1236	0.1641	0.0026	0	0.5221	0.057	0.1542	0.1248	0.0987	0	0.0311	0	0.0822	0.0515	0.0785	0.0245	0	0.9506	0.0034	0.954
S12170	0	0	0.0415	0	0.2307	0.076	0.0602	0.3857	0.0459	0.0421	0.0731	0.0566	0.1291	0.162	0	0	0.0234	0.0049	0.0371	0.3393	0.1232	0.124	0	0	0.0792	0.0046	0.0353	0	0.0264	0.0153	0.0546	0.0279	0.0149	0.0111	0.4397	0.0515	0	0.0421	0.1301	0.0212	0.0916	0.4019	0.007	0.1566	0.1434	0.0339	0.0036	0.1702	0.1161	0.005	0.0277	0.4296	0.0439	0.1459	0.0917	0.0413	0	0.0054	0.0257	0.0799	0.0988	0.0107	0	0	0.735	0.0186	0.7535
S12178	0	0	0.0432	0	0.3952	0.1674	0.0654	0.5523	0.1196	0.1116	0.1433	0.0795	0.0919	0.183	0	0	0.0464	0.009	0.0447	0.5259	0.0829	0.1279	0	0.0667	0.0342	0	0.022	0	0.0415	0.0934	0.0676	0.0313	0.019	0	0.1425	0.0399	0	0.01	0.0206	0.0118	0.0965	0.2772	0	0.1425	0.2139	0.0506	0	0.0561	0.1361	0.0043	0.0068	0.439	0.0587	0.1896	0.0834	0.1735	0	0.0165	0	0.0919	0.0972	0	0.0043	0	0.9414	0.0223	0.9637
S12179	0	0	0.1645	0	0.3504	0.1375	0.041	0.5286	0.1341	0.1201	0.1715	0	0.1391	0.1925	0	0	0.0784	0.0032	0.0243	0.2095	0.0731	0.0386	0	0.0233	0.0097	0	0.0041	0	0.054	0	0.0262	0.008	0	0	0.3544	0.029	0.046	0.009	0.0631	0	0	0.4193	0	0.1767	0.217	0.0282	0.0235	0.1552	0.1335	0.0043	0	0.4636	0.0424	0.1837	0.0775	0.1623	0	0.0385	0.0175	0.0445	0.0568	0.0938	0	0	0.7425	0.0122	0.7546
S1218	0.0114	0	0.1105	0	0.2838	0.1364	0.1356	0.3442	0.1111	0.1129	0.1097	0.0365	0.156	0.1438	0	0	0.096	0.0303	0.0534	0.3872	0.1545	0.0609	0	0	0	0.0085	0.0529	0	0.2337	0.2918	0.0128	0.007	0.0423	0.003	0.08	0.0393	0.067	0.0722	0.0945	0	0.0195	0.6102	0.0092	0.1605	0.2566	0.0679	9e-04	0.0177	0.0915	0.006	0.0412	0.212	0.0329	0.2282	0.0111	0.1073	0.0034	0.0556	0.0331	0.0987	0.1747	0.0669	0	0	0.81	0.0324	0.8424
S12182	0.0271	0	0.0072	0.0272	0.331	0.1785	0.032	0.3733	0.2359	0.0506	0.0296	0	0.1389	0.1042	0	0	0.0782	0.0247	0.0705	0.4522	0.1837	0.1169	0	0	0.159	0.0246	0.0907	0	0.0796	0.3104	0.0275	0.0059	0.0715	0.0156	0.3843	0.0306	0	0.1085	0.071	0.0077	0.0119	0.3539	0.0216	0.1603	0.0852	0.0972	0.0155	0.1247	0.0546	0.0103	0.0541	0.168	0	0.2221	0.0197	0.0255	0.0228	0	0.0142	0.1396	0.1712	0	0	0.001	0.768	0.0488	0.8168
S12196	0	0	0.0116	0	0.2863	0.1338	0.0698	0.4016	0.0833	0.004	0.03	0	0.1915	0.1888	0	0	0.0359	0.0021	0.0106	0.5972	0.1429	0.1047	0	0	0	0	0.0465	0	0.1518	0.1987	0.0489	0.0165	0.0414	0.0123	0.4514	0.0412	0	0.0321	0.0695	0	0.0304	0.488	0	0.1407	0.2287	0.0467	0	0.1755	0.0901	0.0056	0.0271	0.3658	0	0.2478	0.0699	0.1163	0	0	0.0143	0.0971	0.1453	0	0	0	0.802	0.0053	0.8073
S12198	0.021	0	0.0748	0	0.2814	0.0784	0.0741	0.4441	0.055	0.0368	0.0554	0.0424	0.1785	0.237	0	0	0.0236	0	0.0327	0.4332	0.1552	0.1083	0	0.0348	0.1112	0.0031	0.0402	0	0.0716	0.2326	0.0285	0.0166	0.0504	0.0082	0.2815	0.0381	0.0201	0.0137	0.0988	0.0162	0.1472	0.4409	0.0127	0.1599	0.1051	0.0405	0.0255	0.0848	0.1025	0.005	0.0242	0.3659	0.0135	0.1944	0.0676	0.1059	0	0.0242	0	0.1057	0.1163	0.0334	0	0	0.8459	0.0268	0.8727
S1220	0	0	0.1078	0	0.2943	0.0739	0.0662	0.5253	0.0404	0.0522	0.1173	0.0043	0.1641	0.2395	0	0	0.0414	0.0047	0.0107	0.3701	0.1107	0.0842	0	0.0703	0.0855	0.0091	0.03	0	0.1237	0.0127	0.0289	0.0189	0	0.0035	0.4368	0.0358	0.0186	0	0.1155	0.0194	0.0753	0.241	0.0058	0.1253	0.2125	0.0085	0.0191	0.1972	0.176	0.0056	0.0056	0.4765	0.0618	0.1012	0.1377	0.1093	0	0.0259	0	0.0862	0.0256	0.0692	0.0082	0	0.7851	0.0054	0.7904
S12200	0.0057	0	0.0461	0	0.3367	0.1128	0.0275	0.4933	0.1164	0.0392	0.0861	0	0.1012	0.195	0	0	0.0631	0.0413	0.0026	0.6219	0.113	0.0808	0	4e-04	0.0858	0.007	0.0283	0	0.081	0.0827	0.024	0	0.0659	0.0085	0.3073	0.059	0	0.0298	0.0506	0.0306	0.0419	0.2657	0	0.1596	0.0952	0.0489	0	0.1103	0.1136	0.0045	0.0181	0.399	0.0245	0.1075	0.0941	0.1173	0	0	0.0388	0.0755	0.0572	0	0	0	0.9132	0.0042	0.9173
S12202	0	0	0.0012	0	0.1982	0.0505	0.0142	0.391	0	0.008	0.0508	0.0636	0.0752	0.1914	0	0	0.0101	0.017	0.0292	0.5146	0.1602	0.1446	0	0	0.0527	5e-04	0.0555	0	0.0742	0.1802	0.03	0.0159	0.0643	0	0.3489	0.048	0	0.0452	0.1077	0.0293	0.0836	0.4521	0.0076	0.1416	0.0917	0.0669	0	0.1576	0.0686	0.0061	0.0425	0.3495	0.0044	0.1775	0.0919	0.1264	0	0.0549	0.0086	0.1074	0.1237	0	0.009	0	0.7346	0.0146	0.7492
S12206	0	0	0	0	0.2492	0.0763	0.0967	0.3707	0.0764	0.0598	0.0512	0.0926	0.1829	0.2003	0	0	0.0353	0.0453	0.0463	0.4083	0.1414	0.1024	0	0	0.0075	0.0072	0.0468	0	0.13	0.1243	0.0259	0.0112	0.0682	0.0142	0.2778	0.0417	0	0.0437	0.1276	0	0.1468	0.4066	0	0.1482	0.2768	0.0529	0	0.1226	0.0935	0.0065	0.0211	0.4068	0.0416	0.2118	0.0586	0.0316	0	0.052	0.0263	0.0847	0.1427	0	0.0254	0	0.8169	0.0232	0.84
S12208	0.0077	0	0.1413	0	0.2499	0.0516	0.0666	0.3507	0.1194	0.1031	0.1013	0.0799	0.1933	0.1984	0	0	0.0779	0.0264	0.0444	0.2669	0.084	0.0897	0	0.0317	0	0.0154	0.015	0	0.1632	0.086	0.0745	0.0308	0.0254	0.0118	0.1893	0.0437	0.0545	0.026	0.1371	0	0.1505	0.5299	0	0.1177	0.2813	0.0366	0.0038	0.0817	0.1088	0.0041	0.0134	0.4358	0.0619	0.2291	0.0794	0.026	0	0.0624	0.0073	0.0653	0.1421	0.0736	0.0106	0	0.8528	0.026	0.8789
S12215	0	0	0.072	0	0.3269	0.1364	0.0546	0.484	0.1701	0.0549	0.1091	0.0511	0.0843	0.1643	0	0	0.0441	0.0152	0.0247	0.5224	0.0931	0.1216	0	0	0.0658	0	0.0303	0	0.1416	0.0585	0.0196	0.0202	0.0411	0.0148	0.372	0.0493	0	0.0416	0.0636	0.0304	0.1178	0.2786	0	0.1314	0.1052	0.049	0.0056	0.1361	0.1006	0.0046	0.0232	0.4063	0.0549	0.1453	0.0668	0.0084	0	0	0.0185	0.0803	0.102	0.0141	0	0	0.8924	0.0124	0.9048
S12221	0	0	0.0958	0	0.4017	0.1471	0.1098	0.5401	0.1298	0.1085	0.1629	0.0808	0.0733	0.1794	0	0	0.0347	0.0367	0	0.4561	0.0721	0.1662	0	0.0081	0	0	0	0.0469	0.0179	0	0.0449	0.0044	0	0.018	0.2652	0.0284	0.0296	0	0.0348	0	0.1414	0.3467	0	0.1296	0.3257	0.0388	0	0.1174	0.1455	0	0	0.4656	0.0607	0.2341	0.0768	0.1622	0	0.0112	0.0269	0	0.0558	0.0773	0	0	0.9783	0	0.9783
S12228	0.0217	0	0.0048	0.0567	0.2533	0.1401	0.0453	0.2178	0.2036	0.0259	0	0	0.1763	0.1116	0	0	0.0864	0.0153	0.0217	0.6576	0.1629	0.0978	0	0	0	0	0.0532	0	0.3441	0.4455	0.0293	0	0.0638	0.013	0.2866	0.0309	0.0077	0.0706	0.0747	0	0	0.5094	0.0016	0.1553	0.185	0.0878	0	0.0704	0.0114	0.0053	0.0387	0.0622	0	0.3036	0	0	0	0	0.0273	0.1067	0.2294	0	0	0	0.8195	0.0217	0.8412
