	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil
S11173	8.05980476077e-119	1.10847678231e-26	1.79458975287e-102	0	0
S11174	5.33477795766e-119	1.24701777789e-26	1.64215170471e-102	0	0
S11182	8.05077809927e-119	1.69778731031e-26	2.11094269054e-102	0	0
S11188	4.63717088165e-119	8.64039366916e-27	2.31619076135e-102	0	0
S11189	1.19104957475e-118	1.51233595296e-26	1.34585291057e-102	0	0
S1119	4.30086910723e-119	1.03920255544e-26	1.41911097377e-102	0	0
S11195	7.4890266571e-119	2.86918714688e-26	1.2791517374e-102	0	0
S11197	3.67695509653e-119	1.24649823971e-26	4.61697794283e-103	0	0
S11198	7.98261569945e-119	7.19297218368e-27	1.59352399727e-102	0	0
S11211	6.1968206967e-119	9.30933002802e-27	6.05075641245e-103	0	0
S11214	1.08411424456e-118	8.65494653137e-27	2.68264114369e-102	0	0
S11216	6.64227855041e-119	1.43476075819e-26	1.17975510301e-102	0	0
S11224	7.64762381003e-119	1.11328507949e-26	1.57278421249e-102	0	0
S11236	1.11304876126e-118	1.22155515819e-26	2.91592594121e-102	0	0
S11241	5.08563606647e-119	7.23423494629e-27	1.31310966791e-102	0	0
S11243	5.43794499401e-119	1.47011593546e-26	8.60842222069e-103	0	0
S11245	4.76528188687e-119	9.10632340617e-27	4.56985642635e-103	0	0
S11249	3.9845355205e-119	8.40889118526e-27	3.49392548466e-103	0	0
S11274	2.07874322031e-119	8.44228954327e-27	1.37558838563e-103	0	0
S11280	6.25283981259e-119	1.09918318676e-26	1.36558654157e-102	0	0
S11281	3.97630445637e-119	1.28573251168e-26	1.41057894621e-102	0	0
S11285	3.12483112609e-119	8.08527196381e-27	6.49989091746e-103	0	0
S11298	7.51928191114e-119	1.63969621078e-26	1.40070590701e-102	0	0
S11311	1.05801992475e-118	1.20630997756e-26	2.49329584642e-102	0	0
S11312	6.13003321735e-119	1.3658131185e-26	9.86953540522e-103	0	0
S11316	5.63628628107e-119	1.15354068053e-26	2.20557386683e-102	0	0
S1133	5.77796537428e-119	9.71385723527e-27	1.43546757751e-102	0	0
S11330	5.45770679867e-119	8.41193964744e-27	2.08688930637e-102	0	0
S11332	3.07793242531e-119	1.25897283569e-26	1.04885899877e-102	0	0
S11334	4.58369661463e-119	1.02900863927e-26	2.34846931769e-102	0	0
S11335	9.28667121222e-119	1.0337182498e-26	7.84976160298e-103	0	0
S11345	5.15127023243e-119	9.75361504185e-27	2.94652704205e-103	0	0
S11349	5.95634873902e-119	9.72269179836e-27	2.83979622842e-102	0	0
S1135	7.73782566519e-119	9.31217701147e-27	1.27994996273e-102	0	0
S11352	6.47588885455e-119	1.00148626664e-26	1.11526566463e-102	0	0
S11353	7.83922784902e-119	1.18428971153e-26	1.21834333183e-102	0	0
S11368	4.62668290305e-119	9.21263705151e-27	2.43274888975e-102	0	0
S11369	4.31276037138e-119	8.23626931345e-27	6.1994870038e-103	0	0
S11371	4.36438455139e-119	6.65244639615e-27	9.73590780728e-103	0	0
S11377	5.46149110414e-119	1.03387381778e-26	2.37652582409e-102	0	0
S11378	3.20934353028e-119	5.3986031852e-27	2.2685766594e-102	0	0
S11383	6.28303474541e-119	9.17806088134e-27	2.06425434967e-102	0	0
S11384	3.72901575273e-119	1.27259182978e-26	2.69587588588e-102	0	0
S11392	3.63993215021e-119	9.52786842276e-27	5.33485418857e-103	0	0
S1140	4.18558195139e-119	7.57370392688e-27	1.16174014925e-102	0	0
S11410	6.80051917845e-119	1.23355727744e-26	1.01336512085e-102	0	0
S11411	5.61412644785e-119	8.76786286977e-27	4.13603627855e-103	0	0
S11414	3.7134107174e-119	4.97492035583e-27	6.14785088607e-103	0	0
S11419	8.79771108932e-119	1.01579404313e-26	2.70117556475e-102	0	0
S11424	8.06082904152e-119	1.92886225607e-26	1.12676559034e-102	0	0
S11425	7.65451812332e-119	1.15832177282e-26	5.90791406042e-103	0	0
S11433	1.03420113748e-118	1.27617328015e-26	8.55508490841e-103	0	0
S11434	6.98161866023e-119	9.16457459862e-27	2.63357171319e-102	0	0
S11436	9.54389535754e-119	8.8005313398e-27	2.03085524606e-102	0	0
S11437	7.12337804813e-119	1.23764081715e-26	1.71133327401e-102	0	0
S11440	1.02563457099e-118	1.16936928595e-26	1.66723108146e-102	0	0
S11449	2.88858221686e-119	1.1178413764e-26	1.97810738191e-102	0	0
S11459	3.46869956963e-119	1.17714793006e-26	4.63375630604e-103	0	0
S11477	9.28946101083e-119	9.3788213966e-27	2.17913273826e-102	0	0
S11480	5.77562960796e-119	7.72697721264e-27	1.38596172075e-102	0	0
S11486	5.40731183675e-119	8.4808653916e-27	9.71590807351e-103	0	0
S11501	4.15883147482e-119	1.04514767896e-26	1.51896371993e-102	0	0
S11504	2.4417715425e-119	8.88686649331e-27	4.59930383457e-103	0	0
S11507	4.06689635724e-119	1.44751477621e-26	8.60941676207e-103	0	0
S11518	4.96729888897e-119	1.2432120021e-26	2.73572031618e-102	0	0
S11525	3.72019494955e-119	1.03346482257e-26	8.17328196905e-103	0	0
S11531	4.82672586728e-119	9.73877051374e-27	8.30616294205e-103	0	0
S11532	5.23441469107e-119	1.24427204906e-26	1.048253329e-102	0	0
S1154	7.8257456715e-119	1.00036489395e-26	4.52459108168e-102	0	0
S11542	5.36357487499e-119	8.77366322596e-27	3.9295992035e-103	0	0
S11543	8.48272754434e-119	9.67109488309e-27	1.64557001604e-102	0	0
S11546	8.06744344055e-119	1.06194845952e-26	2.06769120457e-102	0	0
S1155	8.19879312409e-119	9.26659218698e-27	9.59477410102e-103	0	0
S1156	2.25953863439e-119	1.22168919032e-26	2.11636345644e-102	0	0
S11568	8.13172574148e-119	6.53510019917e-27	9.58413905444e-103	0	0
S11576	6.10057357743e-119	1.82006745418e-26	2.25754395635e-102	0	0
S11584	9.2254005919e-119	1.12546268907e-26	1.5744203193e-102	0	0
S11586	1.41292360529e-118	1.35400873306e-26	9.80861092918e-103	0	0
S11590	1.12976036783e-118	1.31253817554e-26	2.10461169608e-102	0	0
S11592	3.52134901344e-119	8.94132913028e-27	6.53014717253e-103	0	0
S11593	9.41271920735e-119	1.2977210027e-26	2.42035848649e-102	0	0
S11599	4.49580114561e-119	9.40460108054e-27	5.39048658351e-103	0	0
S1160	2.7667230271e-119	7.45117709742e-27	1.13862084106e-102	0	0
S11610	6.07967789818e-119	1.11114081477e-26	1.2340099939e-102	0	0
S11615	4.77972701881e-119	9.39888927106e-27	2.56665148541e-102	0	0
S11629	1.16254250357e-118	1.03914204075e-26	3.32100695725e-102	0	0
S11631	1.29015543755e-119	1.05895139439e-26	3.88537562028e-102	0	0
S1164	6.35170932522e-119	9.22736741912e-27	2.01426580889e-102	0	0
S11642	5.09463300575e-119	6.33705792583e-27	5.25436166552e-103	0	0
S11656	3.91585738986e-119	1.41829549197e-26	5.78098571227e-103	0	0
S11663	4.41662667809e-119	1.25801012722e-26	1.43122855693e-102	0	0
S11667	6.79423706759e-119	1.12755704507e-26	2.24625348989e-102	0	0
S11668	6.01623765668e-119	1.21476725708e-26	1.1626531323e-102	0	0
S1167	5.76289962387e-119	9.45964585742e-27	8.1093269128e-103	0	0
S11673	2.69906843761e-119	8.28700809528e-27	3.03237639565e-103	0	0
S11682	1.23711829837e-118	1.26738758163e-26	1.57901047856e-102	0	0
S11693	4.75571268681e-119	1.18897737435e-26	1.24765645985e-102	0	0
S11696	9.17004125862e-119	1.53110843831e-26	1.16198175144e-102	0	0
S11699	7.50513605139e-119	1.20759427966e-26	1.42482764337e-102	0	0
S117	3.55876883843e-119	5.33138041467e-27	4.02172798616e-103	0	0
S1170	6.40069349447e-119	1.24576275336e-26	1.51328887375e-102	0	0
S11709	6.42432505537e-119	8.48532586708e-27	1.13418350404e-102	0	0
S11713	1.41427390665e-119	9.90570581943e-27	1.01263955584e-102	0	0
S11717	5.30043791556e-119	9.159239241e-27	1.21169008376e-102	0	0
S1173	5.3869856606e-119	7.54727600323e-27	8.3571759291e-103	0	0
S11731	7.34066903863e-119	6.52632957217e-27	2.01953163476e-102	0	0
S11732	5.25489361883e-119	7.08230324855e-27	1.52903427342e-102	0	0
S11733	5.80425763572e-119	1.30288054003e-26	1.51227524586e-102	0	0
S11734	8.42413306512e-119	8.60868657869e-27	2.09548967337e-102	0	0
S11735	7.58050988752e-119	7.55120882681e-27	1.06921655349e-102	0	0
S11737	3.94911183728e-119	9.78579795946e-27	3.66068974719e-103	0	0
S11745	6.49176852138e-119	1.67633626602e-26	1.01256936745e-102	0	0
