	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil
S1197	0	25.726118	0	0	0
S11973	0	27.854388	0	0	0
S11974	0	26.627084	0	0	0
S11980	0	26.502722	0	0	0
S11985	0	26.635388	0	0	0
S11987	0	26.30112	0	0	0
S11993	0	26.819776	0	0	0
S12001	0	25.557166	0	0	0
S12004	0	26.065374	0	0	0
S12006	0	25.797774	0	0	0
S12010	0	25.93336	0	0	0
S12011	0	26.798466	0	0	0
S12012	0	25.530476	0	0	0
S12022	0	26.147012	0	0	0
S12043	0	26.853186	0	0	0
S12052	0	26.638186	0	0	0
S12056	0	26.357834	0	0	0
S12057	0	26.22208	0	0	0
S12058	0	25.228038	0	0	0
S12061	0	26.733422	0	0	0
S12064	0	27.289282	0	0	0
S12073	0	27.095644	0	0	0
S12076	0	25.542926	0	0	0
S12079	0	25.902532	0	0	0
S12089	0	25.832892	0	0	0
S12098	0	26.702476	0	0	0
S1210	0	26.40627	0	0	0
S12101	0	25.598162	0	0	0
S12105	0	27.265042	0	0	0
S12106	0	25.602492	0	0	0
S1212	0	26.260596	0	0	0
S12120	0	26.039654	0	0	0
S12129	0	26.566454	0	0	0
S12137	0	26.227724	0	0	0
S12140	0	26.211412	0	0	0
S12159	0	27.339806	0	0	0
S12170	0	26.167256	0	0	0
S12178	0	26.151922	0	0	0
S12179	0	26.660998	0	0	0
S1218	0	26.440436	0	0	0
S12182	0	25.670422	0	0	0
S12196	0	26.475994	0	0	0
S12198	0	26.73587	0	0	0
S1220	0	26.558334	0	0	0
S12200	0	25.826626	0	0	0
S12202	0	25.929998	0	0	0
S12206	0	26.761526	0	0	0
S12208	0	26.76299	0	0	0
S12215	0	26.237512	0	0	0
S12221	0	26.65294	0	0	0
S12228	0	26.994138	0	0	0
S12231	0	25.934982	0	0	0
S12240	0	26.932376	0	0	0
S12241	0	26.402314	0	0	0
S12244	0	25.907358	0	0	0
S12245	0	26.033132	0	0	0
S12249	0	26.850924	0	0	0
S12251	0	25.997332	0	0	0
S12261	0	25.25025	0	0	0
S12264	0	26.692982	0	0	0
S12265	0	26.17431	0	0	0
S12271	0	26.303958	0	0	0
S12276	0	26.946126	0	0	0
S12278	0	26.229406	0	0	0
S12279	0	27.624852	0	0	0
S12282	0	26.373572	0	0	0
S12285	0	26.55363	0	0	0
S12291	0	26.731012	0	0	0
S12294	0	26.471092	0	0	0
S12308	0	26.011642	0	0	0
S12335	0	26.695204	0	0	0
S12344	0	27.820378	0	0	0
S12347	0	26.05153	0	0	0
S12348	0	26.648768	0	0	0
S12354	0	26.030988	0	0	0
S1236	0	26.293648	0	0	0
S12365	0	26.195484	0	0	0
S12366	0	26.308472	0	0	0
S12374	0	26.605796	0	0	0
S12385	0	27.150294	0	0	0
S1239	0	26.515708	0	0	0
S12391	0	26.418668	0	0	0
S12394	0	26.151564	0	0	0
S12406	0	26.767374	0	0	0
S1241	0	26.446102	0	0	0
S12410	0	25.917748	0	0	0
S12417	0	25.888438	0	0	0
S12419	0	27.271778	0	0	0
S12428	0	26.184448	0	0	0
S12431	0	26.563168	0	0	0
S12432	0	26.66761	0	0	0
S12436	0	26.857082	0	0	0
S12437	0	26.887056	0	0	0
S12439	0	26.682786	0	0	0
S12440	0	26.052702	0	0	0
S12441	0	26.05173	0	0	0
S12447	0	26.777586	0	0	0
S12450	0	26.081278	0	0	0
S12452	0	26.179696	0	0	0
S1246	0	26.54796	0	0	0
S12463	0	26.357436	0	0	0
S12464	0	26.67662	0	0	0
S12488	0	25.710662	0	0	0
S12489	0	26.068418	0	0	0
S12496	0	26.830248	0	0	0
S12500	0	25.925188	0	0	0
S12501	0	26.832998	0	0	0
S1251	0	26.155768	0	0	0
S12516	0	27.735398	0	0	0
S1252	0	26.493872	0	0	0
S12524	0	26.705276	0	0	0
S12527	0	25.715502	0	0	0
S12535	0	27.131816	0	0	0
S12540	0	26.015088	0	0	0
S12548	0	26.325448	0	0	0
S12556	0	26.879824	0	0	0
S12563	0	26.41973	0	0	0
S12568	0	26.681188	0	0	0
S12569	0	26.362622	0	0	0
S12570	0	26.463176	0	0	0
S12577	0	26.960134	0	0	0
S12582	0	26.271114	0	0	0
S12583	0	26.852906	0	0	0
S12585	0	26.14657	0	0	0
S12590	0	26.013752	0	0	0
S12596	0	26.320464	0	0	0
S12597	0	26.1946	0	0	0
S12604	0	26.46127	0	0	0
S12605	0	25.829466	0	0	0
S12608	0	25.967126	0	0	0
S12617	0	27.178428	0	0	0
S12618	0	26.370084	0	0	0
S12624	0	26.03577	0	0	0
S12628	0	25.701332	0	0	0
S12637	0	26.321658	0	0	0
S12655	0	26.66265	0	0	0
S12658	0	27.030876	0	0	0
S1266	0	26.969036	0	0	0
S12665	0	26.25017	0	0	0
S12666	0	26.375116	0	0	0
S12667	0	26.179776	0	0	0
S12675	0	26.959016	0	0	0
S12682	0	25.943788	0	0	0
S12691	0	25.97093	0	0	0
S12704	0	27.120686	0	0	0
S12706	0	26.010272	0	0	0
S12707	0	27.365896	0	0	0
S12721	0	26.692974	0	0	0
S12722	0	26.196654	0	0	0
S12731	0	25.5562	0	0	0
S12734	0	26.123496	0	0	0
S12735	0	26.01897	0	0	0
S12736	0	26.734162	0	0	0
S12742	0	26.265334	0	0	0
S12754	0	26.041362	0	0	0
S12760	0	25.480232	0	0	0
S12773	0	26.184144	0	0	0
S12775	0	25.872256	0	0	0
S12776	0	26.336778	0	0	0
S12779	0	26.202412	0	0	0
S12781	0	27.094346	0	0	0
S12785	0	26.397848	0	0	0
S12790	0	26.39876	0	0	0
S12794	0	26.74922	0	0	0
S12796	0	26.300828	0	0	0
S12798	0	26.575692	0	0	0
S128	0	27.145026	0	0	0
S1280	0	27.336036	0	0	0
S12800	0	26.56612	0	0	0
S12809	0	25.6231	0	0	0
S12813	0	26.361674	0	0	0
S12814	0	25.834466	0	0	0
S12817	0	26.364074	0	0	0
S12819	0	26.774958	0	0	0
S1282	0	26.235102	0	0	0
S12821	0	26.197558	0	0	0
S12823	0	26.077102	0	0	0
S12826	0	27.431328	0	0	0
S12827	0	27.323858	0	0	0
S1283	0	26.715864	0	0	0
S12830	0	25.906754	0	0	0
S12836	0	26.708464	0	0	0
S12839	0	26.833126	0	0	0
S12845	0	26.101744	0	0	0
S12848	0	26.70722	0	0	0
S12849	0	26.48768	0	0	0
S12854	0	26.441516	0	0	0
S12857	0	26.901526	0	0	0
S12863	0	26.62438	0	0	0
S12865	0	26.783232	0	0	0
S12866	0	25.535506	0	0	0
S12868	0	25.624318	0	0	0
S12869	0	25.489278	0	0	0
S12872	0	26.68867	0	0	0
S12875	0	27.512762	0	0	0
S12884	0	26.316488	0	0	0
S12886	0	26.237922	0	0	0
S12888	0	26.32375	0	0	0
S12893	0	26.231454	0	0	0
S12897	0	26.12353	0	0	0
S1290	0	26.263492	0	0	0
S12901	0	25.852414	0	0	0
S12906	0	26.52407	0	0	0
