naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	otherCells
S10323	0.0218556473081856	0.0535642070027916	0.223774591688106	0.0303801168328818	0.0375587337132948	0.0253743518601452	8.57321776634603e-09	0.178295058771047	0.429197284250329
S10326	0.0155560710311971	0.0605590528249986	0.224656148270527	0.0286454072902733	0.0359520580976206	0.0270780977440082	3.21830076334636e-10	0.17211131214502	0.435441852274525
S10328	0.0206812682730011	0.0546909245441153	0.231884212365853	0.0339072344886813	0.038632167985009	0.0245451750182601	2.53246453782513e-09	0.171358975035641	0.424300039756975
S10329	0.0273550931041765	0.0523444755401939	0.229957219254816	0.0284722514745399	0.0373189847927226	0.0239342799699166	3.61484543305836e-09	0.175619951747423	0.424997740501367
S10336	0.0213425159604845	0.0557898791511603	0.222518735428944	0.0282977748054717	0.0378241571863671	0.0265718836455396	9.95255715052473e-09	0.176011835376427	0.431643208493048
S10340	0.0350207725138008	0.0454035555501662	0.232244426176659	0.0293767631863455	0.0372107660294927	0.0251230162893298	6.96039240946091e-09	0.171747560371288	0.423873132922526
S10347	0.0162997130398887	0.0600878287052543	0.225053861197293	0.0303725156092489	0.0375014277564759	0.0288829926586832	4.89118295618295e-09	0.178208764760476	0.423592891381498
S10353	0.0261700541415023	0.0564320887697298	0.225230829600178	0.031017287924276	0.0359496606095646	0.0275120129818778	1.81577545396872e-08	0.174876621421233	0.422811426393884
S10356	0.0317351552568179	0.047426696065491	0.229927212237009	0.0265050783990678	0.0372446573101019	0.0264980396692011	2.25748829262067e-09	0.176264037499515	0.424399121305308
S10358	0.0135598385707374	0.0583684874404018	0.23307345395415	0.027063050583688	0.0316723161234271	0.0306366620718855	2.81571792785874e-08	0.173667860215712	0.431958302882819
S10365	0.0164007046465663	0.0578817442017238	0.224995676914199	0.0278574829559383	0.0369575270381832	0.0277598635921314	1.52974508524999e-09	0.17697726805502	0.431169731066494
S1037	0.0213604645925917	0.0582282973561622	0.247055775893041	0.0310008173428833	0.0362395998159343	0.0239966510990565	1.54074322484062e-08	0.170981184920038	0.411137193572861
S10373	0.0255822073808782	0.0512132344047205	0.234448872007466	0.0274766942516938	0.0344267248219322	0.0273739661507693	9.90190052209392e-10	0.174650908518514	0.424827391473836
S10374	0.0166114649340479	0.0575907759788241	0.23319143938128	0.0237091150687234	0.0318079882294819	0.02745457186383	7.39161664902195e-11	0.181384338937882	0.428250305532014
S10375	0.0218706919430976	0.0475016469723269	0.235080107362715	0.0253465982891415	0.0357883986343905	0.0259852204398424	1.02188911495301e-08	0.172083845488965	0.43634348065063
S10377	0.0259664947701096	0.050942001157737	0.225115070749542	0.0285625136062011	0.0342421045037035	0.0282730728523815	1.2413997037251e-08	0.175991733853116	0.430906996093212
S10378	0.0265543095103341	0.051160753041305	0.233469587428323	0.0300432940393609	0.0344164542953035	0.0259313786448768	1.17781763870562e-09	0.170615829156497	0.427808392706182
S10390	0.0322259265115042	0.0438176720142172	0.215398917549507	0.0314173951453053	0.0362933779557922	0.0305347056981087	1.13877701384577e-09	0.185897039306899	0.424414964679889
S10391	0.0213833627500033	0.0543667022301922	0.221475473944725	0.0267351659680989	0.0341645600952403	0.0280271295152127	3.62926013622507e-09	0.176631961078434	0.437215640788833
S10393	0.0183225603040361	0.0520024871291876	0.233080119012376	0.0290027161997128	0.0347604941719156	0.0238519490178643	3.90340161374595e-09	0.174723096095116	0.43425657416639
S10400	0.0207483294376255	0.0528325660899637	0.227441184148278	0.0274216852093803	0.0386115468077752	0.0272772403802019	1.02545638578198e-08	0.177659142319775	0.428008295352436
S10401	0.0258449935728506	0.054726276036128	0.217742425415737	0.0305052338162452	0.0372981469289717	0.0304117103400956	2.24544548294348e-08	0.177677627703849	0.425793563731668
S10406	0.0227645869872039	0.0490037993926935	0.211440006902754	0.0296089325569771	0.0368726051466779	0.0315795708465851	1.53974797382935e-08	0.176361611357203	0.442368871412426
S10408	0.0294432244669538	0.04688123514411	0.226847122862802	0.028991572975807	0.0366119189544953	0.0285533033537221	6.38874275407039e-08	0.17138437578737	0.431287182567312
