	Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells
S10484	0.0638008642231655	0.194820520951943	0.741378614824891	0	0	0
S10492	0.0740105407570367	0.191345119471907	0.734644339771056	0	0	0
S10496	0.0708540703262978	0.183956606582169	0.745189323091533	0	0	0
S10510	0.0653877431021805	0.199667763589783	0.734944493308037	0	0	0
S10513	0.0582560256723018	0.197193384605568	0.744550589722131	0	0	0
S10516	0.0639543216701343	0.192415295144582	0.743630383185284	0	0	0
S10534	0.0760019891333132	0.189566216933382	0.734431793933305	0	0	0
S10535	0.0759470283304461	0.186247140521842	0.737805831147712	0	0	0
S10537	0.0646406689016583	0.195939297933389	0.739420033164953	0	0	0
S1054	0.0662009568658748	0.186824300983153	0.746974742150972	0	0	0
S10543	0.0621019729452423	0.186583387046606	0.751314640008152	0	0	0
S10546	0.0654571455179779	0.192772027431786	0.741770827050236	0	0	0
S1055	0.057940314002564	0.201997524271607	0.740062161725829	0	0	0
S10551	0.0682187997552153	0.193332421614801	0.738448778629984	0	0	0
S10552	0.053313292638962	0.196380485433126	0.750306221927912	0	0	0
S10555	0.0650853716326786	0.184122771743648	0.750791856623673	0	0	0
S10559	0.0637419345963551	0.196458987342172	0.739799078061473	0	0	0
S1056	0.0792241504455062	0.186889504555793	0.733886344998701	0	0	0
S10563	0.0639624855340786	0.193619278639752	0.742418235826169	0	0	0
S10574	0.0670016660145559	0.186843974517267	0.746154359468177	0	0	0
S10576	0.0669496935832149	0.195274413239077	0.737775893177708	0	0	0
S10578	0.0634382480635034	0.199984593419048	0.736577158517449	0	0	0
S10579	0.0594040162703861	0.192720151910136	0.747875831819478	0	0	0
S10582	0.0666307272247457	0.192297214112322	0.741072058662932	0	0	0
S1059	0.0626960945057363	0.188565400099475	0.748738505394789	0	0	0
