	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
S19135	0	1	0	0	0	0	0	0
S19136	0	0.98930054721158	0	0.0106994527884196	0	0	0	0
S19138	0	1	0	0	0	0	0	0
S19141	0	0.99973027333406	0	0	0.000269726665939806	0	0	0
S19142	0	0.997158726593813	0	0.00284127340618707	0	0	0	0
S19145	0	1	0	0	0	0	0	0
S1915	0	0.988339095651681	0	0.011660904348319	0	0	0	0
S19166	0	1	0	0	0	0	0	0
S19169	0	1	0	0	0	0	0	0
S19183	0	1	0	0	0	0	0	0
S19184	0	1	0	0	0	0	0	0
S19188	0	1	0	0	0	0	0	0
S1919	0	1	0	0	0	0	0	0
S19195	0	1	0	0	0	0	0	0
S19211	0	0.999794150382899	0	0.000205849617100644	0	0	0	0
S19220	0	0.999778710098895	0	0	0.000221289901104534	0	0	0
S19221	0	1	0	0	0	0	0	0
S19226	0	1	0	0	0	0	0	0
S1923	0	0.99599419683467	0	0.00400580316532991	0	0	0	0
S19234	0	0.99979585543929	0	0	0.00020414456070985	0	0	0
S19235	0	0.999679787243608	0	0	0.000320212756391819	0	0	0
S19244	0	0.99981204199668	0	0	0.00018795800331974	0	0	0
S19247	0	1	0	0	0	0	0	0
S19249	0	0.999922285357674	0	0	7.77146423254701e-05	0	0	0
S1925	0	0.99925915672363	0	0	0.00074084327637034	0	0	0
S19250	0	1	0	0	0	0	0	0
S19268	0	1	0	0	0	0	0	0
S19272	0	0.998200335601286	0	0.00179966439871439	0	0	0	0
S19278	0	1	0	0	0	0	0	0
S19279	0	0.995279471544594	0	0.00472052845540614	0	0	0	0
S1928	0	1	0	0	0	0	0	0
S19280	0	0.999669470427685	0	0	0.000330529572314672	0	0	0
S19283	0	1	0	0	0	0	0	0
S19285	0	1	0	0	0	0	0	0
S19295	0	1	0	0	0	0	0	0
S19302	0	1	0	0	0	0	0	0
S19305	0	0.999592412401289	0	0	0.000407587598711266	0	0	0
S19308	0	0.999941243537379	0	0	5.87564626205762e-05	0	0	0
S19315	0	0.995428086520612	0	0.00457191347938835	0	0	0	0
S19318	0	1	0	0	0	0	0	0
S19321	0	1	0	0	0	0	0	0
S19325	0	0.999570193091761	0	0.000352624532073222	7.71823761662264e-05	0	0	0
S19329	0	1	0	0	0	0	0	0
S19339	0	0.999994747394584	0	5.25260541590675e-06	0	0	0	0
S1935	0	1	0	0	0	0	0	0
S19351	0	0.999299573845457	0	0	0.000700426154542723	0	0	0
S19358	0	0.99748143728259	0	0	0.00251856271740991	0	0	0
S19359	0	1	0	0	0	0	0	0
S19360	0	0.992459283881079	0	0.00754071611892067	0	0	0	0
S1937	0	0.999807884272718	0	0	0.00019211572728216	0	0	0
S19370	0	1	0	0	0	0	0	0
S19372	0	1	0	0	0	0	0	0
S19374	0	1	0	0	0	0	0	0
S19376	0	0.999290548491584	0	0	0.000709451508415875	0	0	0
S19378	0	0.998107350036238	0	0.00189264996376202	0	0	0	0
S1938	0	0.998719800775241	0	0	0.00128019922475872	0	0	0
S19385	0	0.997693776681081	0	0.00230622331891908	0	0	0	0
S19387	0	0.994141225373016	0	0.00585877462698416	0	0	0	0
S19391	0	0.999704008191552	0	0	0.000295991808447838	0	0	0
S19392	0	0.995300541435907	0	0.00469945856409286	0	0	0	0
S19393	0	0.992295710851156	0	0.00770428914884426	0	0	0	0
S19403	0	1	0	0	0	0	0	0
S19407	0	0.999115159152297	0	0	0.000884840847702799	0	0	0
S19415	0	0.998048237648732	0	0.00195176235126781	0	0	0	0
S19431	0	1	0	0	0	0	0	0
S19435	0	0.999582219430338	0	0	0.000417780569661833	0	0	0
S19443	0	0.997387049180439	0	0.00261295081956132	0	0	0	0
S19446	0	0.999106446159433	0	0	0.000893553840566805	0	0	0
S19452	0	1	0	0	0	0	0	0
S19453	0	1	0	0	0	0	0	0
S19455	0	0.999573811707694	0	0	0.000426188292306052	0	0	0
S1946	0	0.999672256324792	0	0	0.000327743675207978	0	0	0
S19476	0	0.994626920265705	0	0.00504467565233725	0.000328404081957431	0	0	0
S19477	0	1	0	0	0	0	0	0
S19481	0	1	0	0	0	0	0	0
S19485	0	0.999305914988385	0	0	0.000694085011614712	0	0	0
S19486	0	0.995485206262758	0	0.00415601732838022	0.000358776408861341	0	0	0
S19487	0	1	0	0	0	0	0	0
S19495	0	0.996835002197198	0	0.00316499780280228	0	0	0	0
S19510	0	1	0	0	0	0	0	0
S19512	0	0.997481899995367	0	0.00251810000463342	0	0	0	0
S19514	0	1	0	0	0	0	0	0
S19516	0	1	0	0	0	0	0	0
S19517	0	1	0	0	0	0	0	0
S1953	0	0.995027365016552	0	0.00497263498344791	0	0	0	0
S19535	0	1	0	0	0	0	0	0
S19538	0	0.998886692030961	0	0.00111330796903942	0	0	0	0
S1954	0	0.999551939888676	0	0	0.000448060111323981	0	0	0
S19545	0	0.998892107492403	0	0.00110789250759703	0	0	0	0
S19549	0	1	0	0	0	0	0	0
S19553	0	1	0	0	0	0	0	0
S19558	0	1	0	0	0	0	0	0
S1956	0	1	0	0	0	0	0	0
S19567	0	1	0	0	0	0	0	0
S19569	0	0.999973478302029	0	0	2.65216979714168e-05	0	0	0
S19577	0	1	0	0	0	0	0	0
S19586	0	1	0	0	0	0	0	0
S19587	0	1	0	0	0	0	0	0
S19592	0	0.999727249288788	0	0	0.000272750711211879	0	0	0
S19593	0	1	0	0	0	0	0	0
S19596	0	1	0	0	0	0	0	0
S19600	0	0.999241508372099	0	0	0.000758491627901041	0	0	0
S19610	0	0.998484360887173	0	0	0.00151563911282731	0	0	0
S19612	0	1	0	0	0	0	0	0
S19613	0	1	0	0	0	0	0	0
S19614	0	1	0	0	0	0	0	0
S19615	0	1	0	0	0	0	0	0
S19618	0	0.999718099184797	0	0	0.000281900815203297	0	0	0
S19621	0	1	0	0	0	0	0	0
S19627	0	0.9997544006896	0	0	0.000245599310399957	0	0	0
S19628	0	1	0	0	0	0	0	0
S19633	0	1	0	0	0	0	0	0
S19635	0	0.99995785931474	0	0	4.21406852598563e-05	0	0	0
S19640	0	1	0	0	0	0	0	0
S19641	0	0.99856214397292	0	0.00143785602708034	0	0	0	0
S19648	0	0.999757260878271	0	0	0.000242739121728544	0	0	0
S19659	0	1	0	0	0	0	0	0
S19660	0	1	0	0	0	0	0	0
S19664	0	0.996926730752776	0	0.00307326924722383	0	0	0	0
S19676	0	1	0	0	0	0	0	0
S19677	0	1	0	0	0	0	0	0
S19678	0	1	0	0	0	0	0	0
S1968	0	1	0	0	0	0	0	0
S19682	0	1	0	0	0	0	0	0
S19688	0	1	0	0	0	0	0	0
S19689	0	0.997370981890564	0	0.00262901810943626	0	0	0	0
S19697	0	0.995609851543607	0	0.00414391757883066	0.000246230877562686	0	0	0
S19702	0	1	0	0	0	0	0	0
S19711	0	1	0	0	0	0	0	0
S19729	0	0.998987197300644	0	0	0.00101280269935639	0	0	0
S19730	0	1	0	0	0	0	0	0
S19737	0	1	0	0	0	0	0	0
S19739	0	1	0	0	0	0	0	0
S19744	0	1	0	0	0	0	0	0
S19746	0	1	0	0	0	0	0	0
S19747	0	0.999766964589831	0	0	0.000233035410169025	0	0	0
S19758	0	1	0	0	0	0	0	0
S19759	0	1	0	0	0	0	0	0
S1977	0	0.999170584380506	0	0	0.000829415619494053	0	0	0
S19778	0	0.999591761229363	0	0	0.00040823877063704	0	0	0
S19779	0	1	0	0	0	0	0	0
S19780	0	0.992742675797676	0	0.00725732420232387	0	0	0	0
S19781	0	1	0	0	0	0	0	0
S19784	0	1	0	0	0	0	0	0
S19785	0	1	0	0	0	0	0	0
S19789	0	1	0	0	0	0	0	0
S19797	0	1	0	0	0	0	0	0
