	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells
S6244	0.114173492943144	0	0	0	0	0.0138236499883206	0	0	0	0.0911313829200055	0.217463485098381	0	0.0648306107978919	0.427566843140571	0.0515742770558545	0	0	0.0191632913351737	0.000272966720658479	0	0
S6250	0.0750355779297745	0	0	0	0	0.0135234280063719	0	0	0	0.0432358993422504	0.246572260123372	0	0.0727902982442903	0.479412577183189	0.0507312833172427	0	0	0	0.0186986758535097	0	0
S6255	0.101805848649933	0.0141591379987247	0	0	0	0.0129186058950325	0	0	0	0.120249163835255	0.203584358236104	0	0.0852830263919421	0.403059131844474	0.0589407271485343	0	0	0	0	0	0
S6256	0.104204569171504	0	0	0	0	0.0126150442639461	0	0	0	0.120263936722628	0.18682227003726	0	0.0769919750256655	0.446721978443721	0.0523802263352756	0	0	0	0	0	0
S626	0.0645562351937994	0	0	0	0	0.0193926236232621	0	0	0	0.0337840042643472	0.209073584743345	0	0.0738925346869924	0.529536736613433	0.0463079508155953	0	0	0.0150027874214229	0.00845354263780304	0	0
S6260	0.102204882119932	0.00490449842269244	0	0	0	0.0155185233078139	0	0	0	0.116422799227867	0.185084989462834	0	0.081332607536841	0.440206788964626	0.0543249109573934	0	0	0	0	0	0
S6263	0.0694694605051501	0	0	0	0	0.015789092599977	0	0	0	0.0187883487642468	0.206666683850348	0	0.0701640651014011	0.515916336941979	0.0405312054949082	0	0	0.0395676686924101	0.0231071380495794	0	0
S6284	0.0726372996298606	0	0	0	0	0.0187939106334767	0	0	0	0.0648219903305969	0.186175432987761	0	0.0834297484704951	0.526459212106815	0.0470967147657188	0	0	0.000585691075275692	0	0	0
S6302	0.0779459118885267	0	0	0	0	0.0149649937849464	0	0	0	0.0866940731540922	0.196057230147908	0	0.0881608898495484	0.484214174973615	0.0519627262013637	0	0	0	0	0	0
S6310	0.0759585852569766	0	0	0	0	0.0117900758555682	0	0	0	0.064219475627867	0.190741847638822	0	0.0932702699147294	0.47885969706386	0.0416375057399478	0	0	0.0277368966297588	0.0157856462724698	0	0
S6321	0.0843499717761644	0	0	0	0	0.0134405654100516	0	0	0	0.0382308632093789	0.226389567195512	0	0.0815740719464748	0.486002812924128	0.0468497991392604	0	0	0.0103680722648334	0.0127942761341969	0	0
S6324	0.0916831716453918	0	0	0	0	0.0180230635717643	0	0	0	0.070224601205719	0.212493826106912	0	0.0840880017969225	0.451039830121296	0.0496151205518405	0	0	0.0135531608388145	0.00927922416133973	0	0
S6330	0.0948493071710556	0.0258520732486504	0	0	0	0.0247516466084656	0	0	0	0.0746636419583032	0.183058338285472	0	0.0652764089455956	0.42157021511356	0.0447519220146718	0	0	0.0396680965843051	0.02555835006992	0	0
S6331	0.0756114410347228	0.0155544923886212	0	0	0	0.0168818716520187	0	0	0	0.0764928902220164	0.230041539353304	0	0.124154763887591	0.397758793828413	0.0552594633530918	0	0	0	0.00824474428022011	0	0
S6333	0.0630778758126445	0	0	0	0	0.0175536502190298	0	0	0	0.0340852787102531	0.203805028372509	0	0.0736008985348049	0.49537837381606	0.0442341835156374	0	0	0.0526526446648321	0.0156120663542293	0	0
S6336	0.11032423314457	0	0	0	0	0.0134015237726661	0	0	0	0.129194506287586	0.161030901914954	0	0.0811914918296836	0.453304758318602	0.0515525847319375	0	0	0	0	0	0
S6337	0.0841876836810863	0.0108511252044305	0	0	0	0.0188154962168915	0	0	0	0.0678542721313041	0.246834108684921	0	0.0938813183833598	0.408081677219226	0.0539730850227539	0	0	0	0.0155212334560263	0	0
S6351	0.0748210495647924	0	0	0	0	0.0200441312648549	0	0	0	0.0515890824291208	0.185196725252574	0	0.0775160175008097	0.51548672028469	0.0496645743026074	0	0	0.0220802473607156	0.0036014520398355	0	0
S6355	0.0711210160268924	0.00233645103028383	0	0	0	0.0206073341171902	0	0	0	0.0921834442393089	0.243414228538609	0	0.0876761010243091	0.42793828535396	0.0547231396694466	0	0	0	0	0	0
S6356	0.09255140010836	0	0	0	0	0.016839710618383	0	0	0	0.0555254134891714	0.239068129973445	0	0.084289653987065	0.449093472645017	0.0462054973393624	0	0	0	0.016426721839196	0	0
S6358	0.0995592065623486	0	0	0	0	0.017327929846202	0	0	0	0.0687993377956451	0.206504183086661	0	0.0812167270910253	0.445536261993862	0.0507688594774863	0	0	0.0202572674716998	0.0100302266750697	0	0
S6360	0.085190342055432	0	0	0	0	0.0126537282167363	0	0	0	0.0988073733402462	0.227161104437759	0	0.0928042225150502	0.424661751827585	0.052642548983447	0	0	0	0.00607892862374358	0	0
S6364	0.0579259702389358	0	0	0	0	0.0196460398485471	0	0	0	0	0.213222637485333	0	0.0596574963664575	0.526314319721591	0.0370985636934955	0	0	0.0542793089308599	0.0318556637147802	0	0
S6367	0.0689163008220085	0	0	0	0	0.0170324852428178	0	0	0	0	0.208895455439625	0	0.0604296593429924	0.529750184605706	0.0420451385179311	0.00374223345214256	0	0.0467665024859176	0.0224220400908583	0	0
S6370	0.0773209407993096	0	0	0	0	0.0171866792394004	0	0	0	0.0845461793205784	0.206827713422487	0	0.0925126156405374	0.466609328073815	0.0545197938149013	0	0	0.000476749688971567	0	0	0
S6388	0.090967288692962	0	0	0	0	0.0180245059066327	0	0	0	0.0200454219636215	0.216897800566139	0	0.0688527729681084	0.480133043240675	0.0443703281137394	0	0	0.0383442145622667	0.0223646239858556	0	0
S6391	0.11537520239415	0	0	0	0	0.0170306333702736	0	0	0	0.0546278367371838	0.19838406045819	0	0.0640934412224269	0.452847027991227	0.0482775374768216	0.00238680521933235	0	0.0377734757831637	0.00920397934723074	0	0
S6395	0.0867584794059996	0.0160326846044301	0	0	0	0.0191879592481476	0	0	0	0.0931835769488932	0.196613548624846	0	0.0918013172294202	0.440960642143406	0.0502250737686249	0	0	0	0.00523671802623306	0	0
S6399	0.0841807141993552	0.015982518775044	0	0	0	0.022067549559415	0	0	0	0.114019597750507	0.165034291795783	0	0.0938701083418864	0.45150013751456	0.0533450820634489	0	0	0	0	0	0
S64	0.0617060476027598	0	0	0	0	0.015418345328906	0	0	0	0.0598197395129441	0.183814608300241	0	0.0677123971533656	0.531140843545757	0.0456646251783771	0	0	0.0347233933776496	0	0	0
S6410	0.0937645942414301	0	0	0	0	0.011987946288199	0	0	0	0.105501174798124	0.219141868441288	0	0.0856943196701554	0.426872446826078	0.0542016622819144	0	0	0	0.00283598745281204	0	0
S6415	0.0923086223799436	0	0	0	0	0.0181945489057515	0	0	0	0.084135100218326	0.216614717727123	0	0.084060487808848	0.445823307529686	0.0516256351237242	0	0	0	0.0072375803065977	0	0
