	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil	Other
S1154	0	1.0	0	0	0	5.52388269754e-58
S11542	0	1.0	0	0	0	6.08622191997e-58
S11543	0	1.0	0	0	0	5.49300261023e-58
S11546	0	1.0	0	0	0	5.07324344769e-58
S1155	0	1.0	0	0	0	5.77863153297e-58
S1156	0	1.0	0	0	0	5.54436933418e-58
S11568	0	1.0	0	0	0	5.75073469125e-58
S11576	0	1.0	0	0	0	4.81718156795e-58
S11584	0	1.0	0	0	0	5.63455785447e-58
S11586	0	1.0	0	0	0	5.05775280512e-58
S11590	0	1.0	0	0	0	5.06352550822e-58
S11592	0	1.0	0	0	0	5.9411535794e-58
S11593	0	1.0	0	0	0	5.18803782249e-58
S11599	0	1.0	0	0	0	6.3826965184e-58
S1160	0	1.0	0	0	0	5.65207236091e-58
S11610	0	1.0	0	0	0	6.06092898575e-58
S11615	0	1.0	0	0	0	5.22174823076e-58
S11629	0	1.0	0	0	0	5.00979761314e-58
S11631	0	1.0	0	0	0	5.11037477405e-58
S1164	0	1.0	0	0	0	5.52672101549e-58
S11642	0	1.0	0	0	0	6.5472766493e-58
S11656	0	1.0	0	0	0	6.17729464297e-58
S11663	0	1.0	0	0	0	5.12961766969e-58
S11667	0	1.0	0	0	0	4.99752013765e-58
S11668	0	1.0	0	0	0	5.36872227023e-58
S1167	0	1.0	0	0	0	5.58987854589e-58
S11673	0	1.0	0	0	0	6.26695459804e-58
S11682	0	1.0	0	0	0	5.23326610532e-58
S11693	0	1.0	0	0	0	5.45431457378e-58
S11696	0	1.0	0	0	0	5.20177590387e-58
S11699	0	1.0	0	0	0	4.93418691531e-58
S117	0	1.0	0	0	0	6.77784420732e-58
S1170	0	1.0	0	0	0	5.28593275519e-58
S11709	0	1.0	0	0	0	5.51814531732e-58
S11713	0	1.0	0	0	0	5.2737632031e-58
S11717	0	1.0	0	0	0	5.68617670753e-58
S1173	0	1.0	0	0	0	5.99976122513e-58
S11731	0	1.0	0	0	0	5.70296036661e-58
S11732	0	1.0	0	0	0	5.3509073977e-58
S11733	0	1.0	0	0	0	5.26000850578e-58
S11734	0	1.0	0	0	0	5.94386401565e-58
S11735	0	1.0	0	0	0	5.35604325637e-58
S11737	0	1.0	0	0	0	6.33598141231e-58
S11745	0	1.0	0	0	0	5.73285310574e-58
S11760	0	1.0	0	0	0	6.20180283418e-58
S11761	0	1.0	0	0	0	5.44496767061e-58
S11769	0	1.0	0	0	0	6.0880578344e-58
S11783	0	1.0	0	0	0	5.0542425486e-58
S11784	0	1.0	0	0	0	5.24710246963e-58
S11786	0	1.0	0	0	0	5.22172096397e-58
S11797	0	1.0	0	0	0	5.74296499283e-58
S11799	0	1.0	0	0	0	5.83499207379e-58
S118	0	1.0	0	0	0	5.31720904391e-58
S11800	0	1.0	0	0	0	5.23521962865e-58
S11802	0	1.0	0	0	0	5.69022751073e-58
S11806	0	1.0	0	0	0	6.25633370184e-58
S11807	0	1.0	0	0	0	5.79089601436e-58
S11810	0	1.0	0	0	0	5.2668065032e-58
S11811	0	1.0	0	0	0	5.33765748369e-58
S11812	0	1.0	0	0	0	6.07350640465e-58
S11820	0	1.0	0	0	0	5.14888248726e-58
S11822	0	1.0	0	0	0	5.44962403346e-58
S11823	0	1.0	0	0	0	6.03414764953e-58
S11826	0	1.0	0	0	0	5.64199793117e-58
S1183	0	1.0	0	0	0	6.0062427063e-58
S1184	0	1.0	0	0	0	5.09984376206e-58
S11842	0	1.0	0	0	0	5.302962759e-58
S11843	0	1.0	0	0	0	5.32606953962e-58
S11844	0	1.0	0	0	0	5.30561329171e-58
S11850	0	1.0	0	0	0	5.87812333949e-58
S11853	0	1.0	0	0	0	5.63721169116e-58
S11857	0	1.0	0	0	0	5.94161647779e-58
S11858	0	1.0	0	0	0	6.20004478663e-58
S11860	0	1.0	0	0	0	5.22986666445e-58
S11864	0	1.0	0	0	0	5.85851128258e-58
S11870	0	1.0	0	0	0	5.32281442795e-58
S11875	0	1.0	0	0	0	5.21086925262e-58
S11877	0	1.0	0	0	0	6.82246185302e-58
S11878	0	1.0	0	0	0	5.09880720599e-58
S11882	0	1.0	0	0	0	6.07538159538e-58
S11883	0	1.0	0	0	0	6.64561695083e-58
S11884	0	1.0	0	0	0	4.90743134179e-58
S11886	0	1.0	0	0	0	5.80980130257e-58
S11897	0	1.0	0	0	0	5.18998105208e-58
S1190	0	1.0	0	0	0	5.1161544089e-58
S11903	0	1.0	0	0	0	5.65745795599e-58
S11905	0	1.0	0	0	0	6.41678891131e-58
S11907	0	1.0	0	0	0	5.63850437691e-58
S11914	0	1.0	0	0	0	6.26898307793e-58
S11917	0	1.0	0	0	0	5.4739724462e-58
S11928	0	1.0	0	0	0	6.10898781566e-58
S11929	0	1.0	0	0	0	5.34797256222e-58
S1193	0	1.0	0	0	0	5.38333303062e-58
S11930	0	1.0	0	0	0	5.51792782703e-58
S11934	0	1.0	0	0	0	5.24714422726e-58
S11939	0	1.0	0	0	0	5.38361795277e-58
S11944	0	1.0	0	0	0	5.09325662888e-58
S11945	0	1.0	0	0	0	5.66395970052e-58
S11957	0	1.0	0	0	0	5.06660945148e-58
S11958	0	1.0	0	0	0	5.96077051164e-58
S1196	0	1.0	0	0	0	5.93984981965e-58
S11960	0	1.0	0	0	0	5.8402492388e-58
S11965	0	1.0	0	0	0	5.72367986734e-58
S11967	0	1.0	0	0	0	5.38560233862e-58
S1197	0	1.0	0	0	0	6.38297686229e-58
S11973	0	1.0	0	0	0	4.50484369378e-58
S11974	0	1.0	0	0	0	5.51124459365e-58
S11980	0	1.0	0	0	0	5.34881823031e-58
S11985	0	1.0	0	0	0	5.44663260242e-58
