Tool	Reference	SampleName	CellType	Prediction	Answer	Error	SqError
Cibersort	BlueCodeV1.tsv	E	CD8 T Cell	0.0888163218812	0.846	0.757183678119	0.57332712241
Cibersort	BlueCodeV1.tsv	F	B Cells	0.0	0.027	0.027	0.000729
Cibersort	BlueCodeV1.tsv	F	Monocytes	0.227632755405	0.055	0.172632755405	0.0298020682387
Cibersort	BlueCodeV1.tsv	F	NK Cells	0.11597836559	0.885	0.76902163441	0.591394274191
Cibersort	BlueCodeV1.tsv	F	Neutrophils	0.0	0.017	0.017	0.000289
Cibersort	BlueCodeV1.tsv	F	CD4 T Cells	0.0849346367306	0.011	0.0739346367306	0.00546633050849
Cibersort	BlueCodeV1.tsv	F	CD8 T Cell	0.0958773838497	0.005	0.0908773838497	0.00825869889537
Cibersort	BlueCodeV1.tsv	G	B Cells	0.0208047923197	0.159	0.13819520768	0.0190979154258
Cibersort	BlueCodeV1.tsv	G	Monocytes	0.257663873015	0.319	0.061336126985	0.00376212047352
Cibersort	BlueCodeV1.tsv	G	NK Cells	0.0	0.016	0.016	0.000256
Cibersort	BlueCodeV1.tsv	G	Neutrophils	0.0339834895454	0.395	0.361016510455	0.130332920821
Cibersort	BlueCodeV1.tsv	G	CD4 T Cells	0.201463806159	0.08	0.121463806159	0.0147534562066
Cibersort	BlueCodeV1.tsv	G	CD8 T Cell	0.0	0.032	0.032	0.001024
Cibersort	BlueCodeV1.tsv	H	B Cells	0.0	0.1	0.1	0.01
Cibersort	BlueCodeV1.tsv	H	Monocytes	0.340665563464	0.813	0.472334436536	0.223099819938
Cibersort	BlueCodeV1.tsv	H	NK Cells	0.0	0.01	0.01	0.0001
Cibersort	BlueCodeV1.tsv	H	Neutrophils	0.0	0.001	0.001	1e-06
Cibersort	BlueCodeV1.tsv	H	CD4 T Cells	0.183803250277	0.05	0.133803250277	0.0179033097847
Cibersort	BlueCodeV1.tsv	H	CD8 T Cell	0.0	0.025	0.025	0.000625
Cibersort	BlueCodeV1.tsv	I	B Cells	0.0	0.1	0.1	0.01
Cibersort	BlueCodeV1.tsv	I	Monocytes	0.375315662942	0.813	0.437684337058	0.191567578906
Cibersort	BlueCodeV1.tsv	I	NK Cells	0.0	0.01	0.01	0.0001
Cibersort	BlueCodeV1.tsv	I	Neutrophils	0.0	0.001	0.001	1e-06
Cibersort	BlueCodeV1.tsv	I	CD4 T Cells	0.186124676822	0.05	0.136124676822	0.0185299276399
Cibersort	BlueCodeV1.tsv	I	CD8 T Cell	0.00110029247676	0.025	0.0238997075232	0.000571196019696
Cibersort	BlueCodeV1.tsv	J	B Cells	0.112650791946	0	0.112650791946	0.0126902009261
Cibersort	BlueCodeV1.tsv	J	Monocytes	0.0110764542081	0	0.0110764542081	0.000122687837824
Cibersort	BlueCodeV1.tsv	J	NK Cells	0.0	0	0.0	0.0
