B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8
S1059	0	0	0.1747	0.1224	0	0.4267	0.1098	0	0	0.1664
S10599	0	0	0.3075	0	0	0.5064	0.1542	0	0	0.0319
S10611	0	0	0.2328	0.0079	0	0.4964	0.1584	0	0	0.1046
S10614	0	0	0.2573	0.0057	0	0.5605	0.1365	0	0	0.0401
S10624	0	0.0062	0.2995	0.0573	0	0.3512	0.1735	0	0	0.1123
S10632	0	0	0.2625	0.0869	0	0.4056	0.0986	0.0074	0	0.139
S10634	0	0	0.1438	0.0061	0	0.5171	0.2194	0	0	0.1136
S10638	0	0	0.2993	0	0	0.4025	0.18	0	0	0.1182
S10644	0	0	0.1799	0.0664	0.0187	0.3548	0.2263	0	0	0.154
S10649	0	0	0.1433	0.0115	0	0.6864	0.1072	0	0	0.0516
S10652	0	0	0.18	0.1373	0	0.5686	0.0748	0	0	0.0394
S10654	0	0	0.196	0.1578	0.0171	0.4083	0.0842	0	0	0.1366
S10655	0	0	0.2345	0.0462	0	0.4375	0.1416	0	0	0.1401
S10656	0	0	0.0852	0.1333	0.0835	0.3973	0.1314	0	0	0.1693
S10657	0	0	0.2554	0.0758	0	0.3932	0.1516	0	0	0.1239
S10658	0	0	0.169	0.0465	0	0.4898	0.1458	0	0	0.1489
S10660	0	0	0.1842	0.1238	0.0196	0.1888	0.1417	0.0575	0	0.2844
S10661	0	0	0.1647	0.0146	0	0.3889	0.2378	0.0194	0	0.1746
S10676	0	0	0.3663	0.1275	0	0.428	0.0653	0	0	0.0129
S1068	0	0	0.2397	0.0207	0	0.348	0.1793	0.039	0	0.1732
S10681	0	0	0.197	0.0305	0	0.5076	0.0986	0	0	0.1664
S10686	0	0	0.2749	0.0482	0	0.4287	0.1539	0	0	0.0943
S10688	0	0	0.1639	0.002	0.008	0.3629	0.2168	0.1006	0	0.1459
S10690	0	0	0.2172	0.1782	0.0259	0.3595	0.1195	0	0	0.0998
S10698	0	0	0.2097	0.0508	0	0.3427	0.1838	0	0	0.2129
S107	0	0	0.107	0.0464	0	0.4395	0.1801	0.0052	0	0.2218
S10703	0	0	0.242	0.1092	0.0072	0.3051	0.1778	0.0205	0	0.1381
S10726	0	0	0.189	0	0	0.4252	0.2432	0.0071	0	0.1356
S10729	0	0	0.2898	0.0622	0	0.3661	0.1907	0	0.0078	0.0834
S10733	0	0	0.2699	0.0591	0	0.4316	0.1163	0	0	0.1232
S10734	0	0	0.2784	0.0794	0	0.3049	0.1653	0.0013	0	0.1708
S10735	0	0	0.228	0.0295	0	0.4119	0.1787	0	0	0.1519
S10740	0	0	0.3316	0	0	0.4134	0.1859	0	0	0.0691
S10745	0	0	0.272	0.0388	0	0.5985	0.0661	0	0	0.0246
S10748	0	0	0.2072	0.0598	0	0.3813	0.2301	0.0125	0	0.109
S10753	0	0	0.2616	0	0	0.4087	0.1949	0	0	0.1348
S10756	0	0	0.1827	0.0542	0	0.4847	0.1342	0	0	0.1442
S10757	0	0	0.1181	0.0233	0.0103	0.2715	0.2227	0.1167	0.003	0.2344
S1076	0	0	0.2208	0.0238	0	0.4151	0.1825	0	0	0.1579
S10764	0	0	0.1763	0.1574	0	0.391	0.1736	0	0	0.1017
S10767	0	0	0.1085	0.1205	0.0795	0.2744	0.1234	0	0	0.2937
S10776	0	0	0.2499	0.0242	0	0.5317	0.1244	0	0	0.0698
S10778	0	0	0.1494	0	0	0.5812	0.1372	0	0	0.1322
S10784	0	0	0.2442	0.0194	0	0.6054	0.1178	0	0	0.0132
S10787	0	0	0.223	0.0816	0	0.3667	0.2196	0	0	0.1092
S10800	0	0.0171	0.19	0.0208	0	0.49	0.1963	0	0	0.0857
S10805	0	0	0.23	0.0436	0	0.4723	0.1682	0	0	0.0858
S10813	0	0	0.2565	0.1072	0	0.4472	0.1042	0	0	0.0849
S10814	0	0	0.1919	0.0121	0	0.4871	0.1856	0	0.0334	0.0899
S10815	0	0	0.1365	0.053	0	0.5383	0.1729	0	0	0.0992
S10817	0	0	0.1507	0.0821	0.0372	0.3547	0.1673	0	0	0.2081
S1083	0	0	0.2381	0.0574	0.0093	0.3766	0.1781	0	0	0.1405
S10835	0	0	0.4072	0.0615	0.0086	0.3605	0.1491	0	0	0.0129
S10838	0	0	0.1954	0.0516	0.0015	0.5044	0.1102	0	0	0.1369
S10844	0	0	0.1545	0.0483	0.0066	0.4566	0.1488	0	0	0.1852
S10845	0	0	0.2852	0.0544	0	0.494	0.1575	0	0	0.009
S10846	0	0	0.1602	0.0386	0.0633	0.2706	0.2027	0.0075	0	0.2571
S10853	0	0	0.2012	0.03	0	0.668	0.0728	0	0	0.028
