B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8
mix_60	0.0156834689641765	0.0421846129447301	0.0584120351498612	0.0269270111434443	0.128450938171196	0.0141002040383891	0.0766269425300145	0.331134993611016	0.194596346130965	0.111883447316207
mix_61	0.0164413340748275	0.0545722755198045	0.0408231698940156	0.0299748850302101	0.142115670548135	0.011614689209677	0.0573837246549048	0.322910643225607	0.159404129769183	0.164759478073635
mix_62	0.0152833871208662	0.0294132355910724	0.067030860639688	0.0366442917672117	0.126664152934729	0.0154290412418454	0.0530425878811621	0.351406903350497	0.162276704039927	0.142808835433001
mix_63	0.0119522876603094	0.0270650774284001	0.0285768201106123	0.0276645709496355	0.159794854138542	0.0100358176590029	0.0645343946330977	0.30092868289183	0.18661676672218	0.18283072780639
mix_64	0.044292672690713	0.247070498932443	0.0611555964272741	0.043036949644795	0.108291958279295	0.0152571802259505	0.0849877123869656	0.213046318947155	0.121028005967938	0.0618331064974722
mix_65	0.0218063615492333	0.0417231680391816	0.0828880414868396	0.0305341888987691	0.121889300971495	0.0161850182614117	0.06438793759479	0.373564792675807	0.14766367019529	0.0993575203271831
mix_66	0.0182161898885126	0.0786341836836984	0.0772940772913691	0.0370551136748048	0.11361310694946	0.0121711440379695	0.0509420726023603	0.311972498013835	0.149461286771595	0.150640327086395
mix_67	0.0139790147465809	0.0672413641282174	0.0492629888943122	0.0298404412684401	0.170833638271239	0.0111195864908804	0.0479786238203968	0.271062489319287	0.118734121600163	0.219947731460483
mix_68	0.0152915956360456	0.0502085836873727	0.0354577580824381	0.0295146639546805	0.1452301987671	0.0116696564705754	0.0697754816553593	0.31025966813	0.199137820747924	0.133454572868505
mix_69	0.0185211027461695	0.0824970005429057	0.0108306353638743	0.0210832367984846	0.147302407119243	0.00639834856784669	0.0694298459697311	0.334166367275049	0.156199528485465	0.153571527131232
mix_70	0.0172022901932661	0.0117399646088519	0.0668593396712696	0.0449206591627437	0.0778440081267926	0.0194460811550634	0.0856431842441227	0.398473589175951	0.190505825632164	0.0873650580297745
mix_71	0.0147483848606593	0.0532624126955315	0.0477833285906882	0.0321620677551578	0.151585596118932	0.0125355252086559	0.0576275862966149	0.327283345549732	0.143145256505685	0.159866496418344
mix_72	0.0185151210750834	0.0522344005942358	0.0670840715929948	0.0370660770348807	0.123613688599832	0.0139749288058628	0.0524596339958176	0.366876232350208	0.123474730398342	0.144701115552743
mix_73	0.0144589439081202	0.0602182921644888	0.0301873934237317	0.0303046855392015	0.103121289126724	0.012781257630299	0.0637245431365591	0.375450583633889	0.225579486137468	0.0841735252995186
mix_74	0.0144405059893453	0.0390586093202024	0.0325829262806508	0.0134634112834225	0.153178621719414	0.00806081457346478	0.0713643807340723	0.2636700321939	0.215742628889733	0.188438069015795
mix_75	0.0186239252184795	0.0721691848536689	0.056008790916241	0.0275871629530366	0.111330290769513	0.0134074141318501	0.0674546498864186	0.339049353104435	0.187514443229517	0.10685478493684
mix_76	0.0133789970236997	0.0371570880861433	0.0579759833955264	0.0346223424197986	0.168598924948599	0.0122474949493436	0.0403230900146037	0.293203487026837	0.12920777573268	0.213284816402769
mix_77	0.0168674416449247	0.0643418694890592	0.0339727412007856	0.026239721096071	0.147636632408378	0.00881031681521001	0.0606917220973059	0.297443252754286	0.181925497231567	0.162070805262413
