Gene,B cells naive,B cells memory,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells resting,Mast cells activated
Mix_48,725.746734018,275.938551625,174.205501722,482.199967738,77.7813366975,376.286078585,47.7388098249,112.97707842,215.141214527,37.5531585877,30.1797073587
Mix_49,457.209031709,136.827153254,174.51800187,473.579266358,86.19880178,391.198127085,21.994193882,79.4848751014,114.175294812,36.3002975319,20.1284189495
Mix_50,451.22348294,166.411341475,244.51920002,651.852876668,71.193584465,784.984954766,69.6449879789,109.853904545,321.013427454,53.0289662093,31.2509561397
Mix_51,717.853394986,277.403045888,187.91465231,525.410279606,77.368014325,383.730718859,61.4554440057,112.954597146,270.358931353,47.0975501004,28.045143099
Mix_52,335.307512365,95.2257303058,202.783517208,552.5674315,73.99233961,730.465728727,59.1302907369,93.7058920186,259.850483644,52.5735044718,26.333113349
Mix_53,668.272142923,276.738288617,163.092602833,461.344163495,63.3604121375,495.436505102,104.472129935,127.05728846,432.844999859,77.0240124566,41.9178299197
Mix_54,384.602605458,163.387256166,85.2260370758,254.057619635,62.4307935075,197.217275873,103.548217209,109.911604352,423.495039472,87.2430319439,46.74305565
Mix_55,344.093401107,100.624004802,159.158640433,437.558459507,79.410362012,499.74085961,46.0210000671,86.7808581399,226.317365565,60.8249581195,34.1671061085
Mix_56,472.27120357,175.470971528,214.834309141,587.722261885,64.725721345,727.361031675,87.9404177553,121.607715129,379.667733746,62.1435782086,36.264765867
Mix_57,221.912973256,58.3997762762,152.107482874,421.980728935,86.1636043325,212.919840083,61.0530682207,87.9618012953,240.197617035,53.8522527119,33.8910177067
Mix_58,527.77611253,174.161169553,231.152032001,626.663525505,82.943500215,518.649137639,40.4771200176,102.343487423,233.601682861,57.8182793513,29.4641144338
Mix_59,411.048475415,143.202348266,128.95989383,362.975173656,76.48405444,412.927471345,50.2239117807,81.7483217127,206.536862565,48.2238445015,28.865168571
