ID,HPCA_B_cells,HPCA_Monocytes_CD14plusCD16minus,HPCA_NK_cells,HPCA_Neutrophils,HPCA_T_cells_CD4+,HPCA_T_cells_CD8+
9932,6.8512644,7.855503,7.136406,8.0977194,7.5341738,7.5065722
9948,7.082358,8.12376,7.3235382,8.2893668,7.6487196,7.573715
9955,7.1222174,8.5439702,7.395382,8.8396606,7.70097,7.7886084
9958,6.7682024,8.2949852,7.191882,8.503021,7.6285818,7.4534958
9971,7.111564,8.4484308,7.5473902,8.8028302,7.9470568,7.9591864
9982,6.730227,8.282289,7.1342362,8.2123824,7.3364516,7.4074312
9983,6.887784,8.3767778,7.359182,8.5681886,7.9394176,7.7808006
10001,6.696975,8.1726752,6.870107,8.491085,7.4205504,7.0221108
10006,6.9464968,8.1904592,7.145537,8.636139,7.3922648,7.3400976
10026,6.9703404,8.4398232,7.1774102,8.8320176,7.703695,7.651483
10036,6.7379428,8.136967,7.0397286,8.6249632,7.3761654,7.3771172
10042,7.0752338,8.6150594,7.3900688,8.873152,7.7239654,7.7439686
10044,7.1756878,8.5811982,7.3102774,9.0481884,7.867205,7.7953538
10049,7.2021872,8.443665,7.2292686,8.7123634,7.7915384,7.7374286
10057,6.54699,7.6485982,7.1974098,7.8926544,7.3087862,7.3672136
10062,6.9075802,8.5225696,7.125494,8.7319756,7.6696112,7.475489
10067,6.9933944,8.2508588,7.4205772,8.4145438,7.8818262,7.8695286
10073,6.9219556,8.3760528,7.445739,8.6940174,8.006132,7.9390178
10077,6.7760202,8.2571726,7.0914128,8.3387368,7.413718,7.2081242
10082,7.064692,8.3883742,7.0975956,8.610815,7.8683908,7.6293326
10087,7.2646698,8.4917556,7.1847502,8.5692542,7.7570326,7.634336
10089,6.6899062,8.1550938,6.9990376,8.55407,7.3446642,7.1340818
10090,6.571716,8.0169612,7.0142136,8.4147004,7.33986,7.1977348
10093,6.5618962,8.2589014,7.1663778,8.5244496,7.3072292,7.261964
10119,6.9884942,8.1600946,7.1252656,8.4533546,7.770652,7.5710674
10121,6.8031808,8.2571734,7.2389032,8.5318754,7.5996002,7.6256524
10130,6.5221096,8.2573532,7.1068846,8.5202626,7.2074956,7.1670942
10155,7.139023,8.43996,7.2981756,8.6887776,7.8506524,7.713041
10186,7.2017232,7.949733,7.368275,7.7671522,7.842101,7.7541036
10190,7.3927186,8.5673836,7.1923704,8.816879,8.1153664,7.9544856
10196,6.8953082,8.5354324,7.3032648,8.8767822,7.7870374,7.6596718
10201,6.5528894,8.3719826,6.9038242,8.85819,6.753112,6.7731428
10211,6.7695162,8.0659218,7.2240852,8.4739824,7.3549688,7.4542994
10221,7.0819688,8.5437514,7.259756,8.8233644,7.7818838,7.7033626
10222,6.7960192,8.2246674,6.949356,8.5545342,7.1909264,7.048765
10226,7.0939762,8.4852998,7.1169106,8.7915706,7.5633306,7.4770774
10228,6.7473078,8.337413,7.2467328,8.6287046,7.659993,7.5536046
10248,7.1035572,8.314502,7.1568928,8.8531592,7.7855484,7.696689
10266,6.6746762,8.4267134,7.0657776,8.7042148,7.410012,7.2008914
10272,6.6191032,8.1409882,7.004894,8.70405,7.1869964,7.211042
10274,6.8119776,8.4375454,7.148988,8.6704442,7.470868,7.3964082
10280,7.2310886,8.6212432,7.4408264,8.7119378,8.0173272,7.958122
10283,7.131821,8.3788128,7.547378,8.2929522,8.044465,8.0621448
10292,6.8923304,7.8710674,7.1120792,8.1385146,7.7246572,7.519236
10302,6.884903,8.294226,7.2627426,8.6032798,7.7285014,7.7513898
10323,6.8788986,8.2776748,7.1743544,8.555377,7.4961094,7.413209
10326,6.9957646,8.464133,7.3717708,8.761995,7.4520146,7.5826812
10328,6.7736156,8.1644794,7.6883524,8.4634076,7.8589252,7.9565426
10329,7.1901686,8.351524,7.4006384,8.5100204,7.7475076,7.7705094
10340,7.1419376,8.3261546,7.1525884,8.7158794,7.677275,7.5404096
10347,6.4586966,7.864466,7.054904,8.0214442,7.2188478,7.0962468
10353,7.147487,8.3520296,7.175248,8.6078666,7.5875716,7.465134
10356,6.8801726,8.0884008,7.100599,8.261513,7.5389182,7.327263
10358,6.7282844,8.4943276,7.1862152,8.7323898,7.520907,7.4413486
10373,7.099951,8.2793446,7.3134272,8.4859082,7.7550174,7.6544916
10374,6.7874512,7.926035,6.7726346,8.3321666,7.1741088,7.0814436
10377,6.7706222,7.8449344,7.0090752,8.1247666,7.4208136,7.2000182
10378,7.2771986,8.5691288,7.4900824,8.789367,7.9584686,7.9462606
10391,6.8796362,8.0287042,7.0354084,8.1892766,7.1151634,7.2096428
10393,7.0697476,8.458274,7.4610168,8.8338356,7.7693878,7.9677628
10406,6.654626,8.531056,6.9163658,8.8347888,7.057806,7.0397284
10408,6.9581024,8.4645588,7.3565202,8.7054236,7.5573,7.528827
10409,7.1947744,8.4906892,7.4512604,8.7248708,7.959774,7.9670164
10418,6.344521,7.86759,6.6327792,8.3237408,6.661029,6.556159
10431,6.744794,8.2560984,7.1975488,8.6102454,7.6096846,7.455293
10439,7.0694914,8.7558788,7.2988254,8.8896684,7.6620434,7.6604362
10441,6.8247914,8.7285226,7.2530332,8.8418244,7.3375368,7.4086036
10480,6.9665072,7.5993634,7.3921626,7.7407502,7.5214964,7.5349964
10492,7.196291,8.5672266,7.4798992,8.6862736,8.152191,7.9818948
10496,7.4153978,8.3110754,7.487651,8.62546,7.797132,7.8835804
10510,6.8953186,8.2001872,7.0171576,8.3584648,7.4634716,7.4511656
10534,6.986413,8.3409464,6.9923272,8.5329374,7.6526332,7.4408802
10535,7.0329992,8.1861666,7.1323388,8.4051008,7.833856,7.777215
10551,6.809021,8.1993782,7.1557434,8.29299,7.430542,7.2998
10563,6.9000778,8.5389986,7.3844638,8.9078042,7.6471192,7.5930308
10576,6.746669,8.3486224,6.972579,8.847794,7.1759598,7.171782
10579,6.8443456,8.3718298,7.215352,8.844167,7.4958324,7.4955336
10611,6.8446612,8.4252664,7.0774402,8.7298758,7.558397,7.431142
10624,7.0670056,8.1714446,6.9081924,8.1959546,7.3246922,7.1805128
10632,6.6316618,7.9555464,6.9725328,8.3168922,7.1708678,7.1443162
10634,7.042626,8.1243272,7.0337104,8.4970606,7.5527512,7.432725
10638,6.9985134,8.5901768,7.0440194,8.7213666,7.5704512,7.4610344
10644,7.0353568,8.3624768,7.442485,8.5734248,7.8875426,7.8482006
10654,7.0562052,8.3517764,7.5173418,8.6643684,7.6990492,7.8414828
10656,7.1362928,8.4989384,7.786101,8.8884312,8.0906114,8.1635418
10658,7.2305652,8.5012518,7.4500358,8.9789074,7.895566,7.8836522
10660,6.8381472,7.7716624,7.3576596,7.7559934,7.6748698,7.7505696
10661,7.1810698,8.190995,7.2811792,8.4733204,7.8091888,7.6881392
10676,7.2006964,8.746156,7.2788454,8.9342676,7.2363958,7.4007186
10681,6.849332,8.1591002,7.1036086,8.623211,7.2470542,7.305876
10686,6.6853014,8.2086676,7.031079,8.4566754,7.2312988,7.1949542
